date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600016,7.2700,7.42,7.24,7.36,115526232,850583117.0000,3,0.613750,1,1.377400,17.340498,2.748844,4.186371,3.214013,0,7.258000000000003,7.216000000000003,7.284499999999999,1,1,1,1,-1,70.04548408057188,68.57483214208374,72.98678795754816,1,-0.13605439704815403,-0.18616720766056824,0.05011281061241421
2010-02-26,sh.600016,7.3500,7.4,7.3,7.33,76577021,562052377.0000,3,0.406827,1,-0.407600,17.269816,2.737640,4.169307,3.200912,0,7.2680000000000025,7.236000000000002,7.261999999999999,1,1,1,1,1,79.4730935081813,71.97944355839103,94.46039340776181,1,-0.12116185614624975,-0.17316613735770453,0.052004281211454784
2010-03-01,sh.600016,7.3100,7.45,7.31,7.42,88708667,656652678.0000,3,0.471278,1,1.227800,17.481860,2.771253,4.220499,3.240214,0,7.306000000000002,7.268000000000003,7.251499999999998,1,1,1,1,1,82.86815523657631,77.46224427510984,93.67997715950926,1,-0.10093366192229425,-0.15871964227062246,0.057785980348328214
2010-03-02,sh.600016,7.4300,7.55,7.38,7.44,95792940,714012794.0000,3,0.508914,1,0.269500,17.528981,2.778723,4.231875,3.248948,0,7.362000000000002,7.294000000000002,7.245999999999998,1,1,1,1,1,80.16029863855954,80.8338491277724,78.81319766013382,-1,-0.08233967884742999,-0.14344364958598396,0.061103970738553975
2010-03-03,sh.600016,7.4500,7.47,7.35,7.45,74140303,550380360.0000,3,0.393881,1,0.134400,17.552542,2.782458,4.237563,3.253314,0,7.400000000000003,7.3160000000000025,7.252499999999998,1,1,1,1,1,82.00483091787443,81.6777615976701,82.6589695582831,1,-0.06603567867370597,-0.12796205540352837,0.0619263767298224
2010-03-04,sh.600016,7.4500,7.45,7.25,7.26,83239899,611305010.0000,3,0.442224,1,-2.550300,17.104893,2.711496,4.129491,3.170344,0,7.380000000000003,7.319000000000003,7.2529999999999974,-1,-1,1,1,1,63.768115942029034,75.311081832821,40.682184160445104,-1,-0.06766604117379416,-0.11590285255758152,0.04823681138378737
2010-03-05,sh.600016,7.2800,7.32,7.22,7.25,57001269,414609514.0000,3,0.302828,1,-0.137700,17.081333,2.707761,4.123803,3.165977,0,7.3640000000000025,7.3160000000000025,7.253999999999998,-1,-1,-1,1,1,50.00000000000002,65.25764895330117,19.484702093397715,-1,-0.06896998853228187,-0.10651627975252159,0.037546291220239725
2010-03-08,sh.600016,7.2700,7.38,7.23,7.31,75410363,550890435.0000,3,0.400629,1,0.827600,17.222695,2.730170,4.157931,3.192178,0,7.342000000000003,7.3240000000000025,7.263999999999998,-1,-1,1,1,1,39.46859903381641,51.07890499194849,16.247987117552242,-1,-0.0644192921489628,-0.09809688223180983,0.03367759008284703
2010-03-09,sh.600016,7.3100,7.48,7.25,7.43,108593933,803805546.0000,3,0.576921,1,1.641600,17.505421,2.774988,4.226187,3.244581,0,7.340000000000003,7.351000000000002,7.279499999999997,1,1,1,-1,1,48.36187966622748,45.94349290001464,53.19865319865316,1,-0.05054715917457919,-0.08858693762036371,0.03803977844578452
2010-03-10,sh.600016,7.4100,7.5,7.36,7.36,73881055,549152861.0000,3,0.392504,1,-0.942100,17.340498,2.748844,4.186371,3.214013,0,7.3220000000000045,7.3610000000000015,7.282999999999999,1,-1,1,-1,1,50.909090909090935,46.246523203044944,60.234226321182916,1,-0.044686688506049954,-0.07980688779750096,0.03512019929145101
2010-03-11,sh.600016,7.4200,7.53,7.38,7.46,110663359,825079009.0000,3,0.587916,1,1.358700,17.576102,2.786193,4.243251,3.257681,0,7.3620000000000045,7.371,7.293499999999999,1,1,1,-1,1,59.59595959595964,52.95564339042602,72.87659200702689,1,-0.03160869366881336,-0.07016724897176344,0.038558555302950076
2010-03-12,sh.600016,7.4600,7.49,7.37,7.39,58924294,437556290.0000,3,0.313044,1,-0.938300,17.411179,2.760049,4.203435,3.227113,0,7.390000000000005,7.377000000000001,7.306499999999998,-1,1,1,1,1,55.5555555555556,55.35353535353539,55.959595959596015,1,-0.026586233968200368,-0.06145104597105082,0.03486481200285045
2010-03-15,sh.600016,7.3900,7.4,7.2,7.25,68346846,496612953.0000,3,0.363103,1,-1.894500,17.081333,2.707761,4.123803,3.165977,0,7.378000000000005,7.360000000000001,7.313999999999998,-1,-1,-1,1,1,46.46464646464644,53.8720538720539,31.649831649831526,-1,-0.03351637256209994,-0.055864111289260644,0.022347738727160706
2010-03-16,sh.600016,7.2500,7.38,7.22,7.33,53890330,392941987.0000,3,0.286300,1,1.103400,17.269816,2.737640,4.169307,3.200912,0,7.358000000000006,7.349000000000001,7.321499999999999,-1,-1,1,1,1,35.3535353535353,45.791245791245785,14.478114478114321,-1,-0.03218224898111366,-0.05112773882763125,0.018945489846517588
2010-03-17,sh.600016,7.3400,7.46,7.31,7.45,78031065,578005168.0000,3,0.414552,1,1.637100,17.552542,2.782458,4.237563,3.253314,0,7.3760000000000066,7.349000000000001,7.332499999999999,1,1,1,1,1,43.43434343434338,41.750841750841715,46.80134680134671,1,-0.02119759661445908,-0.045141710384996814,0.023944113770537734
2010-03-18,sh.600016,7.4600,7.54,7.4,7.42,83950431,627228171.0000,3,0.445999,1,-0.402700,17.481860,2.771253,4.220499,3.240214,0,7.3680000000000065,7.365,7.341999999999999,1,1,1,1,1,59.952465834818724,46.24678154089914,87.36383442265789,1,-0.014742981835861535,-0.03906196467516976,0.024318982839308223
2010-03-19,sh.600016,7.4200,7.48,7.39,7.45,46761965,347740914.0000,3,0.248430,1,0.404300,17.552542,2.782458,4.237563,3.253314,0,7.380000000000007,7.385000000000001,7.3504999999999985,1,1,1,-1,1,71.33095662507425,58.239255298078795,97.51435927906518,1,-0.007124773882990709,-0.03267452651673395,0.02554975263374324
2010-03-22,sh.600016,7.4800,7.64,7.48,7.55,92518549,699702521.0000,3,0.491519,1,1.342300,17.788146,2.819806,4.294443,3.296983,0,7.440000000000007,7.409000000000001,7.366499999999999,1,1,1,1,1,72.59358288770052,67.95900178253117,81.86274509803923,1,0.006902309543138863,-0.024759159304759387,0.03166146884789825
2010-03-23,sh.600016,7.5800,7.59,7.41,7.43,66662847,498479053.0000,3,0.354156,1,-1.589400,17.505421,2.774988,4.226187,3.244581,0,7.460000000000006,7.409000000000001,7.38,-1,1,1,1,1,68.44919786096256,70.79124579124579,63.7651020003961,-1,0.008240881349443896,-0.018159151173918732,0.026400032523362628
2010-03-24,sh.600016,7.5000,7.53,7.42,7.44,63289051,472934387.0000,3,0.336233,1,0.134600,17.528981,2.778723,4.231875,3.248948,0,7.458000000000007,7.417,7.389,-1,1,1,1,1,62.12121212121213,67.72133095662508,50.92097445038624,-1,0.009993427564076285,-0.01252863542631973,0.022522062990396014
2010-03-25,sh.600016,7.4200,7.44,7.31,7.33,54215805,398483504.0000,3,0.288030,1,-1.478500,17.269816,2.737640,4.169307,3.200912,0,7.440000000000007,7.404000000000001,7.3875,-1,-1,-1,1,1,45.45454545454547,58.6749851455734,19.0136660724896,-1,0.0024776910933290708,-0.00952737012238997,0.01200506121571904
2010-03-26,sh.600016,7.3300,7.59,7.3,7.48,103985424,776917857.0000,3,0.552438,1,2.046400,17.623223,2.793662,4.254627,3.266415,0,7.446000000000007,7.413000000000001,7.394999999999999,1,1,1,1,1,48.665223665223756,52.08032708032713,41.835016835017015,-1,0.00852686974338912,-0.0059165221492341515,0.014443391892623272
2010-03-29,sh.600016,7.5400,7.83,7.49,7.77,280492451,2161064467.0000,3,1.490158,1,3.877000,18.306476,2.901973,4.419579,3.393054,0,7.490000000000006,7.465000000000001,7.4125,1,1,1,1,1,60.04315391107847,51.38764101028258,77.35417971267026,1,0.036302985554764966,0.002527379391565672,0.033775606163199294
2010-03-30,sh.600016,7.7700,7.83,7.7,7.8,123385630,959327393.0000,3,0.655505,1,0.386100,18.377158,2.913177,4.436643,3.406155,0,7.564000000000005,7.5120000000000005,7.4305,1,1,1,1,1,81.64120994309674,63.44986250646633,118.02390481635757,1,0.060044352808068524,0.014030774074866243,0.04601357873320228
2010-03-31,sh.600016,7.8000,7.81,7.66,7.69,92491841,713832836.0000,3,0.491377,1,-1.410300,18.117993,2.872094,4.374075,3.358119,0,7.614000000000006,7.536,7.442500000000001,1,1,1,1,1,85.53459119496853,75.73965168304792,105.12447021880973,1,0.06918594421384139,0.025061808102661273,0.044124136111180115
2010-04-01,sh.600016,7.7000,7.81,7.7,7.75,96293563,746775261.0000,3,0.511574,1,0.780200,18.259356,2.894503,4.408203,3.384320,0,7.698000000000006,7.569,7.467000000000001,1,1,1,1,1,84.27672955974843,83.81751023260459,85.1951682140361,1,0.08034604068031381,0.03611865461819178,0.04422738606212203
2010-04-02,sh.600016,7.7800,7.82,7.73,7.76,87715644,681612159.0000,3,0.466002,1,0.129000,18.282916,2.898238,4.413891,3.388687,0,7.754000000000007,7.6,7.4925000000000015,1,1,1,1,1,81.76100628930817,83.8574423480084,77.5681341719077,-1,0.08897180240555258,0.04668928417566394,0.04228251822988864
2010-04-06,sh.600016,7.7900,7.87,7.75,7.78,110603730,863076551.0000,3,0.587599,1,0.257700,18.330037,2.905708,4.425267,3.397421,0,7.756000000000006,7.623,7.516000000000001,1,1,1,1,1,85.30287984111219,83.7802052300563,88.34822906322395,1,0.09631139575261383,0.05661370649105392,0.03969768926155991
