date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600017,7.3900,7.46,7.33,7.41,18740303,138498539.0000,3,1.486627,1,1.091400,35.883061,2.768036,5.793512,37.035333,0,7.288000000000006,7.225,7.128000000000002,1,1,1,1,1,82.70159791898926,79.95405773092403,88.19667829511974,1,0.0022274948688600915,-0.06055062891666364,0.06277812378552373
2010-02-26,sh.600017,7.4400,7.54,7.37,7.39,18149075,135243790.0000,3,1.439726,1,-0.269900,35.786211,2.760564,5.777875,36.935372,0,7.320000000000005,7.256,7.145500000000001,1,1,1,1,1,84.86348831617374,82.8117757018013,88.96691354491864,1,0.015631380339507395,-0.04531422706542944,0.06094560740493683
2010-03-01,sh.600017,7.4000,7.5,7.34,7.45,12378188,91948559.0000,3,0.981934,1,0.811900,36.076762,2.782978,5.824786,37.235254,0,7.358000000000006,7.295,7.1715,1,1,1,1,1,79.90622335890878,82.49043653135725,74.73779701401182,-1,0.030741189408082903,-0.030103143770726967,0.06084433317880987
2010-03-02,sh.600017,7.4500,7.5,7.35,7.38,10706199,79166070.0000,3,0.849299,1,-0.939600,35.737786,2.756829,5.770056,36.885392,0,7.392000000000006,7.316,7.191,-1,1,1,1,1,71.677559912854,78.81575719597883,57.4011653466043,-1,0.03664498637738767,-0.016753517741104042,0.05339850411849171
2010-03-03,sh.600017,7.3800,7.75,7.35,7.66,34068434,260281999.0000,3,2.702574,1,3.794000,37.093691,2.861424,5.988974,38.284838,0,7.458000000000007,7.352999999999999,7.2295,1,1,1,1,1,76.93602693602695,76.17327006926324,78.46154066955435,1,0.06318904398721426,-0.0007650053954403845,0.06395404938265464
2010-03-04,sh.600017,7.9700,8.43,7.9,8.01,98620748,799149569.0000,3,7.823368,1,4.569200,38.788572,2.992168,6.262622,40.034145,0,7.578000000000007,7.433,7.282500000000001,1,1,1,1,1,73.15493240866374,73.92283975251489,71.61911772096144,-1,0.11118579517454652,0.021625154718557,0.08956064045598952
2010-03-05,sh.600017,8.0700,8.57,7.83,8.33,80032642,663197549.0000,3,6.348814,1,3.995000,40.338178,3.111705,6.512814,41.633512,0,7.766000000000007,7.542999999999999,7.343000000000001,1,1,1,1,1,79.60137885511018,76.56411273326694,85.67591109879669,1,0.1730500783535156,0.05191013944554872,0.12113993890796688
2010-03-08,sh.600017,8.2900,8.29,8.01,8.14,38456052,311970639.0000,3,3.050634,1,-2.280900,39.418100,3.040730,6.364263,40.683888,0,7.904000000000008,7.6309999999999985,7.399500000000001,1,1,1,1,1,74.0529366869497,75.60308265024118,70.95264476036678,-1,0.20439047026463353,0.08240620560936568,0.12198426465526785
2010-03-09,sh.600017,8.1500,8.19,7.84,7.91,29686825,235467563.0000,3,2.354991,1,-2.825600,38.304321,2.954813,6.184437,39.534343,0,8.010000000000009,7.700999999999999,7.442,-1,1,1,1,1,66.7587623971086,73.4710259797228,53.3342352318802,-1,0.20826809389568446,0.10757858326662943,0.10068951062905503
2010-03-10,sh.600017,7.9100,8.02,7.81,7.99,19476605,154063226.0000,3,1.545036,1,1.011400,38.691722,2.984697,6.246985,39.934185,0,8.07600000000001,7.766999999999999,7.486500000000001,-1,1,1,1,1,56.4460106209422,65.7525699016668,37.83289205949299,-1,0.21531445891835244,0.12912575839697404,0.08618870052137839
2010-03-11,sh.600017,7.9500,7.97,7.7,7.83,19956854,155554620.0000,3,1.583133,1,-2.002500,37.916919,2.924928,6.121889,39.134501,0,8.04000000000001,7.808999999999999,7.517000000000001,-1,1,1,1,1,46.4857067925518,56.56349327020083,26.33013383725374,-1,0.20561785648405007,0.14442417801438925,0.06119367846966081
2010-03-12,sh.600017,7.8000,7.84,7.55,7.59,16131367,124054806.0000,3,1.279666,1,-3.065100,36.754715,2.835275,5.934245,37.934977,0,7.89200000000001,7.828999999999999,7.542500000000001,-1,-1,1,1,1,37.451685992269766,46.79446780192122,18.766122372966848,-1,0.1765322807137677,0.15084579855426494,0.025686482159502755
