date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600019,8.2200,8.34,8.16,8.18,75505105,623823631.0000,3,0.431162,1,-0.486600,24.899732,1.542066,0.965694,-35.359501,0,8.080000000000002,7.759,7.672500000000002,1,1,1,1,1,87.1438722819651,85.88721896839927,89.65717890909676,1,-0.24893060721238935,-0.4966609208026175,0.24773031359022812
2010-02-26,sh.600019,8.1700,8.22,8.01,8.04,51797084,418944371.0000,3,0.295781,1,-1.711500,24.473576,1.515674,0.949166,-34.754326,0,8.084000000000001,7.828999999999999,7.681000000000002,-1,1,1,1,1,85.07050705070509,85.7297308678237,83.75205941646786,-1,-0.2159780721415725,-0.4405243510704085,0.224546278928836
2010-03-01,sh.600019,8.0600,8.21,8.06,8.2,72884141,592852848.0000,3,0.416195,1,1.990000,24.960612,1.545836,0.968055,-35.445955,0,8.126000000000001,7.919999999999999,7.706500000000001,1,1,1,1,1,81.52986172403648,84.58141368556892,75.42675780097159,-1,-0.1749357375745042,-0.38740662837122763,0.21247089079672343
2010-03-02,sh.600019,8.2000,8.23,8.08,8.09,31540380,256644338.0000,3,0.180107,1,-1.341500,24.625774,1.525100,0.955069,-34.970460,0,8.146,7.997,7.738000000000001,-1,1,1,1,1,77.51309834557097,81.37115570677086,69.79698362317117,-1,-0.14956142145985485,-0.33983758698895306,0.1902761655290982
2010-03-03,sh.600019,8.0900,8.22,8.0,8.18,47633145,387397687.0000,3,0.272003,1,1.112500,24.899732,1.542066,0.965694,-35.359501,0,8.138000000000002,8.074000000000002,7.772500000000001,1,1,1,1,1,78.27067410314673,79.10454472425141,76.60293286093736,-1,-0.12079736841892075,-0.29602954327494657,0.17523217485602582
2010-03-04,sh.600019,8.2100,8.3,8.0,8.07,56811765,465329953.0000,3,0.324416,1,-1.344700,24.564895,1.521329,0.952708,-34.884007,0,8.116000000000001,8.098000000000003,7.798,-1,-1,1,1,1,68.73891843971636,74.84089696281137,56.534961393526316,-1,-0.10565975001455641,-0.25795558462286855,0.15229583460831214
2010-03-05,sh.600019,8.0700,8.25,8.04,8.17,44953306,367839027.0000,3,0.256700,1,1.239200,24.869293,1.540181,0.964514,-35.316274,0,8.142000000000001,8.113000000000003,7.827499999999999,1,1,1,1,1,68.75000000000004,71.91986418095439,62.41027163809133,-1,-0.08461848488276402,-0.22328816467484763,0.1386696797920836
2010-03-08,sh.600019,8.1800,8.45,8.18,8.41,88837305,744391652.0000,3,0.507294,1,2.937600,25.599847,1.585425,0.992847,-36.353717,0,8.184000000000001,8.155000000000003,7.873499999999998,1,1,1,1,1,74.89754098360666,70.79548647444103,83.10165000193791,1,-0.04802355083497467,-0.18823524190687305,0.14021169107189838
2010-03-09,sh.600019,8.4100,8.51,8.27,8.42,52712680,443315486.0000,3,0.301009,1,0.118900,25.630287,1.587310,0.994027,-36.396944,0,8.25,8.198000000000004,7.920499999999999,1,1,1,1,1,83.07768804243018,75.57507634201231,98.08291144326594,1,-0.018007308480324724,-0.1541896552215634,0.13618234674123866
2010-03-10,sh.600019,8.3900,8.72,8.35,8.53,110181678,946450766.0000,3,0.629178,1,1.306400,25.965124,1.608047,1.007013,-36.872438,0,8.32,8.229000000000003,7.964999999999999,1,1,1,1,1,83.1355584128005,80.37026247961245,88.66615027917663,1,0.014489830783062985,-0.12045375802063811,0.1349435888037011
