date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.558,6.42,6.264,1,1,1,1,1,81.22222222222221,81.79213683661423,80.08239299343816,-1,0.12410212474898064,0.06378039576395829,0.060321728985022346
2010-02-26,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.62,6.454000000000001,6.2815,1,1,1,1,1,79.77777777777776,81.62768031189084,76.07797270955157,-1,0.1316299665629499,0.0773503099237566,0.05427965663919329
2010-03-01,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.62,6.489000000000002,6.303500000000001,1,1,1,1,1,78.3333333333333,79.77777777777777,75.44444444444434,-1,0.13602779172702295,0.08908580628440987,0.04694198544261308
2010-03-02,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.62,6.5230000000000015,6.340500000000001,1,1,1,1,1,78.3333333333333,78.8148148148148,77.3703703703703,-1,0.13792320697834004,0.09885328642319591,0.03906992055514413
2010-03-03,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.62,6.546000000000002,6.376500000000002,1,1,1,1,1,78.3333333333333,78.33333333333331,78.33333333333326,-1,0.13783644448887777,0.10664991803633228,0.031186526452545493
2010-03-04,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.62,6.589000000000003,6.402500000000002,1,1,1,1,1,76.71201814058955,77.79289493575206,74.55026455026453,-1,0.13619768248728903,0.11255947092652363,0.0236382115607654
2010-03-05,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.62,6.620000000000003,6.429000000000002,1,-1,1,-1,1,50.600907029478435,68.54875283446711,14.705215419501087,-1,0.13336164180242882,0.11671990510170467,0.01664173670072415
2010-03-08,sh.600029,6.6200,6.62,6.62,6.62,0,0.0000,3,,0,0.000000,-11.810881,5.131585,0.958182,-30.397942,0,6.62,6.620000000000003,6.450000000000001,1,-1,1,-1,1,24.489795918367324,50.600907029478456,-27.732426303854936,-1,0.12961988181511774,0.11929990044438729,0.010319981370730452
2010-03-09,sh.600029,6.7000,7.1,6.68,6.85,167092284,1152494114.0000,3,11.139486,1,3.474300,-12.221229,5.309873,0.991472,-31.454064,0,6.6659999999999995,6.643000000000003,6.487500000000002,1,1,1,1,1,15.972222222222172,30.354308390022663,-12.79195011337881,-1,0.14355873217474446,0.12415166679045872,0.019407065384285743
2010-03-10,sh.600029,6.8500,6.86,6.61,6.66,57117092,384173917.0000,3,3.807806,1,-2.773700,-11.882246,5.162591,0.963971,-30.581616,0,6.6739999999999995,6.647000000000004,6.512000000000002,-1,1,1,1,1,19.373582766439853,19.945200302343135,18.230347694633288,-1,0.13768679177644927,0.12685869178765682,0.010828099988792445
