date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600031,31.8500,32.9,31.57,32.64,8894323,288386282.0000,3,0.597737,1,3.422100,31.146237,7.398990,3.363930,-76.284312,0,31.70000000000001,31.004,31.095999999999993,1,1,1,1,1,78.96497343957499,76.59767791578776,83.69956448714947,1,-1.136916803357277,-1.834678281388662,0.697761478031385
2010-02-26,sh.600031,32.5000,33.06,32.23,32.7,5191870,170657604.0000,3,0.348916,1,0.183800,31.203491,7.412591,3.370114,-76.424540,0,31.868000000000013,31.285000000000004,31.066999999999997,1,1,1,1,1,87.50178732921074,79.93557806945356,102.63420584872512,1,-0.9460175621986338,-1.6569461375506562,0.7109285753520225
2010-03-01,sh.600031,32.7000,33.3,32.6,33.12,5112077,169159371.0000,3,0.343554,1,1.284400,31.604270,7.507799,3.413400,-77.406140,0,32.22400000000001,31.598000000000003,31.058999999999997,1,1,1,1,1,91.62393010468725,86.03023029115765,102.81132973174644,1,-0.7521675292430174,-1.4759904158891284,0.7238228866461109
2010-03-02,sh.600031,32.9000,33.45,32.76,32.77,5691546,188588635.0000,3,0.382496,1,-1.056800,31.270288,7.428459,3.377328,-76.588140,0,32.558000000000014,31.863999999999997,31.154999999999994,1,1,1,1,1,86.85151536321308,88.65907759903702,83.23639089156521,-1,-0.6196392409815736,-1.3047201809076174,0.6850809399260438
2010-03-03,sh.600031,32.9000,33.21,32.71,32.8,5324349,175274345.0000,3,0.357819,1,0.091500,31.298915,7.435260,3.380420,-76.658255,0,32.80600000000002,32.089999999999996,31.279999999999994,-1,1,1,1,1,82.9301577770185,87.13520108163961,74.52007116777625,-1,-0.5063519582584277,-1.1450465363777795,0.6386945781193518
2010-03-04,sh.600031,32.8000,33.2,31.6,31.76,7606167,247143054.0000,3,0.511167,1,-3.170700,30.306510,7.199507,3.273236,-74.227627,0,32.63000000000002,32.165,31.313499999999994,-1,-1,1,1,1,65.15083087256087,78.31083467093082,38.83082327582099,-1,-0.4947866859453285,-1.0149945662912894,0.5202078803459609
2010-03-05,sh.600031,31.8100,32.13,31.39,31.44,3923678,124336541.0000,3,0.263688,1,-1.007600,30.001155,7.126968,3.240256,-73.479742,0,32.37800000000002,32.123,31.343499999999995,-1,-1,1,1,1,49.12280701754378,65.73459855570772,15.899223941215894,-1,-0.5056140459741485,-0.9131184622278612,0.4075044162537127
2010-03-08,sh.600031,31.5800,32.16,31.5,31.87,5073870,161488036.0000,3,0.340986,1,1.367700,30.411476,7.224443,3.284573,-74.484713,0,32.12800000000002,32.176,31.452499999999993,-1,-1,1,-1,1,37.573631047315246,50.61575631247331,11.48938051699912,-1,-0.47403304262380175,-0.8253013783070493,0.35126833568324756
2010-03-09,sh.600031,31.8000,32.57,31.5,32.29,3788670,121850463.0000,3,0.254615,1,1.317900,30.812255,7.319650,3.327859,-75.466312,0,32.03200000000002,32.295,31.56499999999999,1,-1,1,-1,1,38.56948638144341,41.75530814876749,32.197842846795254,-1,-0.41038373182083987,-0.7423178490098075,0.3319341171889676
2010-03-10,sh.600031,32.2900,32.41,31.58,31.81,2552203,81718741.0000,3,0.171519,1,-1.486500,30.354222,7.210842,3.278389,-74.344484,0,31.834000000000014,32.32,31.57899999999999,-1,-1,1,-1,1,35.541041482788984,37.22805297051589,32.16701850733517,-1,-0.3941298987778268,-0.6726802589634113,0.27855036018558454
