date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600033,7.6500,7.75,7.57,7.67,64939404,496422622.0000,3,7.270706,1,0.656200,19.923883,3.283495,6.889516,-17.814500,0,7.557999999999998,7.358999999999999,7.244500000000002,1,1,1,1,1,82.50825082508258,79.05234932540726,89.42005382443321,1,0.1609605703710244,0.10195853737663925,0.059002032994385153
2010-02-26,sh.600033,7.6600,7.83,7.53,7.67,85997545,661399197.0000,3,9.628405,1,0.000000,19.923883,3.283495,6.889516,-17.814500,0,7.633999999999999,7.425999999999999,7.256000000000002,1,1,1,1,1,79.80198019801985,80.74398137488173,77.91797784429608,-1,0.1702671729675238,0.11562026449481616,0.054646908472707645
2010-03-01,sh.600033,7.6700,7.84,7.59,7.74,73209087,565935334.0000,3,8.196591,1,0.912600,20.105718,3.313462,6.952393,-17.977084,0,7.685999999999998,7.496999999999998,7.286000000000003,1,1,1,1,1,82.36990822369914,81.5600464156005,83.98963183989642,1,0.18120234966885462,0.12873668152962386,0.05246566813923076
2010-03-02,sh.600033,7.7900,7.88,7.58,7.65,56165487,432100000.0000,3,6.288366,1,-1.162800,19.871930,3.274934,6.871551,-17.768048,0,7.669999999999999,7.530999999999999,7.320000000000003,-1,1,1,1,1,77.51238021737738,79.8947562130321,72.74762822606797,-1,0.18052532458107873,0.13909441013991483,0.041430914441163896
2010-03-03,sh.600033,7.6800,7.92,7.68,7.76,70482976,549140074.0000,3,7.891372,1,1.437900,20.157670,3.322024,6.970357,-18.023536,0,7.697999999999999,7.581999999999999,7.359500000000002,1,1,1,1,1,77.06793577293293,78.98340807133644,73.23699117612591,-1,0.1867125519387347,0.1486180384996788,0.0380945134390559
2010-03-04,sh.600033,7.7700,7.77,7.35,7.37,61251963,462509772.0000,3,6.857855,1,-5.025800,19.144592,3.155067,6.620043,-17.117714,0,7.637999999999998,7.598000000000001,7.376000000000003,-1,-1,-1,1,1,49.92702413310277,68.16911337447098,13.442845650366337,-1,0.15832120525953375,0.15055867185164978,0.007762533407883965
2010-03-05,sh.600033,7.4000,7.48,7.2,7.31,42392371,310069427.0000,3,4.746309,1,-0.814100,18.988733,3.129381,6.566149,-16.978357,0,7.565999999999998,7.6,7.387000000000003,-1,-1,-1,-1,1,32.484405458089675,53.15978845470841,-8.866360535147791,-1,0.12948671763042174,0.14634428100740418,-0.016857563376982437
2010-03-08,sh.600033,7.3200,7.63,7.25,7.61,64796902,484845722.0000,3,7.254751,1,4.104000,19.768025,3.257810,6.835621,-17.675143,0,7.539999999999997,7.6129999999999995,7.419500000000004,1,-1,1,-1,1,25.243664717348953,35.88503143618042,3.9609312796860223,-1,0.1293515866659556,0.14294574213911446,-0.01359415547315887
2010-03-09,sh.600033,7.5400,7.61,7.45,7.58,34961528,263638839.0000,3,3.914341,1,-0.394200,19.690096,3.244967,6.808674,-17.605465,0,7.525999999999998,7.597999999999999,7.443500000000005,1,-1,1,-1,1,41.666666666666664,33.13157894736839,58.73684210526322,1,0.12537846027879862,0.1394322857670513,-0.01405382548825268
2010-03-10,sh.600033,7.5600,7.77,7.52,7.66,56912680,434453140.0000,3,6.372023,1,1.055400,19.897907,3.279214,6.880533,-17.791274,0,7.505999999999998,7.6019999999999985,7.461500000000004,1,1,1,-1,1,57.8703703703704,41.59356725146196,90.42397660818727,1,0.1272185639893877,0.1369895414115186,-0.0097709774221309
2010-03-11,sh.600033,7.6800,8.16,7.63,8.09,142881469,1132989561.0000,3,15.997208,1,5.613600,21.014891,3.463296,7.266777,-18.790001,0,7.649999999999997,7.643999999999998,7.5015000000000045,1,1,1,1,1,69.79166666666667,56.44290123456787,96.48919753086426,1,0.16151245078270549,0.14189412328575596,0.019618327496949528
2010-03-12,sh.600033,8.0000,8.12,7.78,7.8,86860072,689188436.0000,3,9.724975,1,-3.584700,20.261576,3.339148,7.006287,-18.116441,0,7.7479999999999976,7.656999999999998,7.5415000000000045,1,1,1,1,1,73.0324074074074,66.89814814814811,85.30092592592601,1,0.16340637974290928,0.14619657457718663,0.017209805165722653
2010-03-15,sh.600033,7.8500,8.1,7.73,7.93,69226300,548508500.0000,3,7.750673,1,1.666700,20.599269,3.394800,7.123059,-18.418382,0,7.811999999999998,7.675999999999999,7.586500000000005,1,1,1,1,1,77.0833333333333,73.30246913580241,84.64506172839506,1,0.17339841662349098,0.1516369429864475,0.021761473637043477
2010-03-16,sh.600033,7.9300,7.94,7.29,7.45,128385205,970275750.0000,3,14.374186,1,-6.053000,19.352403,3.189314,6.691902,-17.303524,0,7.785999999999999,7.655999999999999,7.593500000000004,-1,-1,-1,1,1,54.861111111111086,68.32561728395054,27.932098765432187,-1,0.14096028692453455,0.1495016117740649,-0.008541324849530352
2010-03-17,sh.600033,7.5700,7.74,7.51,7.63,129554515,987697008.0000,3,14.505104,1,2.416100,21.141369,2.126561,6.958735,48.947921,0,7.7799999999999985,7.642999999999998,7.612500000000004,-1,-1,1,1,1,48.958333333333314,60.300925925925846,26.273148148148252,-1,0.12829838716695274,0.14526096685264248,-0.016962579685689733
2010-03-18,sh.600033,7.6100,7.65,7.49,7.56,57556891,435733300.0000,3,6.444150,1,-0.917400,20.947411,2.107052,6.894893,48.498857,0,7.673999999999998,7.661999999999997,7.630000000000004,-1,-1,-1,1,1,34.96642246642244,46.261955636955555,12.37535612535622,-1,0.11133195986779931,0.13847516545567384,-0.02714320558787453
2010-03-19,sh.600033,7.5800,7.6,7.48,7.58,47744730,359313043.0000,3,5.345567,1,0.264600,21.002828,2.112626,6.913134,48.627161,0,7.629999999999998,7.688999999999997,7.644500000000005,-1,-1,-1,-1,-1,37.39697802197799,40.44057794057786,31.309778184778267,-1,0.09836587625885773,0.13045330761631063,-0.0320874313574529
2010-03-22,sh.600033,7.5800,7.6,7.5,7.54,36324571,273591914.0000,3,4.066950,1,-0.527700,20.891995,2.101477,6.876653,48.370553,0,7.551999999999998,7.681999999999998,7.647500000000005,-1,-1,-1,-1,-1,32.04496652772513,34.80278900537513,26.52932157242512,-1,0.08389540190702238,0.12114172647445298,-0.0372463245674306
2010-03-23,sh.600033,7.5400,7.65,7.5,7.63,49899374,378959210.0000,3,5.586803,1,1.193600,21.141369,2.126561,6.958735,48.947921,0,7.587999999999998,7.686999999999998,7.642500000000005,1,-1,-1,-1,-1,33.71647509578543,34.38613988182946,32.377145523697365,-1,0.07878154990023312,0.11266969115960901,-0.03388814125937589
2010-03-24,sh.600033,7.6200,7.83,7.57,7.75,59752432,462412552.0000,3,6.689966,1,1.572700,21.473867,2.160007,7.068178,49.717744,0,7.611999999999997,7.695999999999998,7.649000000000005,1,1,1,-1,-1,41.079259567003646,35.61356706350468,52.010644574001574,1,0.0834498248248261,0.10682571789265242,-0.023375893067826323
2010-03-25,sh.600033,7.7100,7.75,7.54,7.64,46618483,356148420.0000,3,5.219470,1,-1.419400,21.169077,2.129348,6.967855,49.012073,0,7.6279999999999974,7.650999999999998,7.647500000000005,1,-1,-1,-1,-1,45.90400768677092,40.23324744985327,57.24552816060621,1,0.07738138124922411,0.10093685056396676,-0.023555469314742644
2010-03-26,sh.600033,7.6000,7.72,7.56,7.68,37017041,283879381.0000,3,4.144479,1,0.523600,21.279910,2.140497,7.004336,49.268680,0,7.647999999999998,7.6389999999999985,7.648000000000006,1,1,1,1,-1,52.877187763399256,46.620151672391216,65.39125994541533,1,0.0749359467526789,0.09573666980170918,-0.020800723049030287
2010-03-29,sh.600033,7.6800,7.77,7.63,7.75,46275605,356584827.0000,3,5.181081,1,0.911500,21.473867,2.160007,7.068178,49.717744,0,7.689999999999998,7.620999999999998,7.648500000000006,1,1,1,1,1,60.11757789535562,52.966257781841875,74.42021812238312,1,0.0777500827254407,0.09213935238645549,-0.01438926966101478
2010-03-30,sh.600033,7.7600,7.76,7.66,7.69,31505943,242316006.0000,3,3.527449,1,-0.774200,21.307618,2.143284,7.013456,49.332832,0,7.701999999999998,7.644999999999998,7.650500000000005,-1,1,1,1,1,65.7142857142857,59.56968379101347,78.00348956083015,1,0.07428252449640294,0.08856798680844498,-0.014285462312042044
2010-03-31,sh.600033,7.6800,7.69,7.52,7.56,37924172,287878484.0000,3,4.246043,1,-1.690500,20.947411,2.107052,6.894893,48.498857,0,7.663999999999999,7.637999999999998,7.640500000000006,-1,-1,-1,1,1,53.333333333333265,59.721732314324804,40.55653537135019,-1,0.06034888173010433,0.08292416579277685,-0.02257528406267252
2010-04-01,sh.600033,7.5800,7.62,7.56,7.6,34840776,264299222.0000,3,3.900822,1,0.529100,21.058244,2.118200,6.931374,48.755465,0,7.655999999999999,7.641999999999998,7.6520000000000055,-1,-1,-1,1,1,37.72005772005763,52.25589225589214,8.648388648388604,-1,0.0519353566940568,0.07672640397303285,-0.024791047278976047
2010-04-02,sh.600033,7.6300,7.67,7.54,7.64,35686631,271350746.0000,3,3.995525,1,0.526300,21.169077,2.129348,6.967855,49.012073,0,7.647999999999999,7.647999999999998,7.668500000000004,-1,-1,-1,1,-1,31.861471861471717,40.971620971620816,13.641173641173523,-1,0.0479425908487876,0.0709696413481838,-0.0230270504993962
2010-04-06,sh.600033,7.6800,7.78,7.61,7.74,48718521,375624152.0000,3,5.454593,1,1.308900,21.446159,2.157219,7.059058,49.653592,0,7.645999999999999,7.667999999999997,7.675000000000004,1,1,1,-1,-1,47.89833822091882,39.15995593414933,65.37510279445782,1,0.05224520916547082,0.0672247549116412,-0.014979545746170386
2010-04-07,sh.600033,7.7400,7.77,7.65,7.69,25287906,194516382.0000,3,2.831269,1,-0.646000,21.307618,2.143284,7.013456,49.332832,0,7.645999999999999,7.673999999999997,7.680500000000004,1,1,1,-1,-1,59.5921999147806,46.45066999905698,85.87525974622785,1,0.05103221543449088,0.06398624701621114,-0.01295403158172026
2010-04-08,sh.600033,7.6500,7.76,7.61,7.72,33950905,260633097.0000,3,3.801191,1,0.390100,21.390743,2.151645,7.040817,49.525288,0,7.678,7.670999999999997,7.683500000000004,1,1,1,1,-1,71.0918114143921,59.52744985003044,94.22053454311539,1,0.05189346290526764,0.06156769019402244,-0.009674227288754798
2010-04-09,sh.600033,7.7000,7.87,7.66,7.83,56148282,436755306.0000,3,6.286440,1,1.424900,21.695533,2.182303,7.141140,50.230959,0,7.723999999999999,7.689999999999996,7.670500000000004,1,1,1,1,1,76.95970695970696,69.21457276295983,92.44997535320121,1,0.0607517797224828,0.06140450809971451,-0.0006527283772317094
2010-04-12,sh.600033,7.8400,7.94,7.76,7.82,43851370,343702210.0000,3,4.909660,1,-0.127700,21.667825,2.179516,7.132019,50.166807,0,7.76,7.703999999999996,7.6715000000000035,1,1,1,1,1,78.97435897435895,75.67529244948595,85.57249202410495,1,0.0662020076593608,0.06236400801164377,0.0038379996477170275
2010-04-13,sh.600033,7.8100,7.85,7.48,7.68,34541280,265636056.0000,3,3.867290,1,-1.790300,21.279910,2.140497,7.004336,49.268680,0,7.747999999999999,7.696999999999997,7.659000000000003,-1,-1,1,1,1,67.8260869565217,74.58671763019582,54.30482560917349,-1,0.05854959926051251,0.06160112626141752,-0.0030515270009050105
2010-04-14,sh.600033,7.6600,7.7,7.61,7.67,21640284,165579274.0000,3,2.422876,1,-0.130200,21.252202,2.137710,6.995216,49.204528,0,7.743999999999998,7.694999999999998,7.6700000000000035,-1,-1,-1,1,1,52.07039337474114,66.29027976854054,23.630620587142317,-1,0.051089169896622266,0.059498734988458465,-0.0084095650918362
2010-04-15,sh.600033,7.6800,7.69,7.51,7.56,24207662,183630986.0000,3,2.710324,1,-1.434200,20.947411,2.107052,6.894893,48.498857,0,7.711999999999999,7.694999999999998,7.666500000000004,-1,-1,-1,1,1,34.057971014492615,51.318150448585094,-0.46238785369233426,-1,0.035886962618398854,0.05477638051444654,-0.018889417896047686
2010-04-16,sh.600033,7.5800,7.62,7.52,7.56,13320007,100848096.0000,3,1.491327,1,0.000000,20.947411,2.107052,6.894893,48.498857,0,7.6579999999999995,7.690999999999998,7.666500000000004,-1,-1,-1,-1,-1,25.362318840579565,37.163561076604374,1.7598343685299511,-1,0.02356743312556464,0.04853459103667016,-0.02496715791110552
2010-04-19,sh.600033,7.5400,7.54,7.14,7.15,34075621,249705381.0000,3,3.815154,1,-5.423300,19.811374,1.992780,6.520964,45.868628,0,7.523999999999999,7.641999999999999,7.645000000000003,-1,-1,-1,-1,-1,12.010869565217313,23.81038647342977,-11.588164251207601,-1,-0.019059747338912914,0.03501572336155355,-0.05407547070046646
2010-04-20,sh.600033,7.1300,7.21,7.02,7.14,21134787,150384350.0000,3,2.366280,1,-0.139900,19.783666,1.989993,6.511844,45.804476,0,7.4159999999999995,7.581999999999999,7.625000000000003,-1,-1,-1,-1,-1,10.561594202898531,15.978260869565075,-0.27173913043455755,-1,-0.05303762665052503,0.017405053359137834,-0.07044268000966286
2010-04-21,sh.600033,7.1600,7.25,7.09,7.23,24911001,178622338.0000,3,2.789070,1,1.260500,20.033040,2.015077,6.593926,46.381843,0,7.328,7.536,7.605000000000002,-1,-1,-1,-1,-1,12.373188405797166,11.648550724637607,13.822463768116283,1,-0.07187456768782141,-0.00045087085025401555,-0.0714236968375674
2010-04-22,sh.600033,7.2200,7.22,7.05,7.08,23429526,166343193.0000,3,2.623202,1,-2.074700,19.617417,1.973271,6.457122,45.419565,0,7.232000000000001,7.4719999999999995,7.571500000000003,-1,-1,-1,-1,-1,14.130434782608747,12.355072463768083,17.681159420290076,1,-0.09777958339866277,-0.01991661335993577,-0.077862970038727
2010-04-23,sh.600033,7.1200,7.16,7.06,7.1,14893576,105897541.0000,3,1.667506,1,0.282500,19.672833,1.978845,6.475363,45.547868,0,7.140000000000001,7.398999999999999,7.544500000000004,-1,-1,-1,-1,-1,12.995460101274718,13.166361096560145,12.653658110703866,-1,-0.11536579703651739,-0.039006450095252096,-0.0763593469412653
2010-04-26,sh.600033,7.0800,7.14,7.04,7.07,12859285,91186792.0000,3,1.439743,1,-0.422500,19.589709,1.970483,6.448002,45.355413,0,7.1240000000000006,7.323999999999998,7.514000000000003,-1,-1,-1,-1,-1,7.837744841257678,11.654546575046984,0.2041413736790645,-1,-0.1302226220002316,-0.057249684476247995,-0.07297293752398361
2010-04-27,sh.600033,7.0700,7.07,6.73,6.86,22925981,157606970.0000,3,2.566825,1,-2.970300,19.016749,1.857730,6.308537,-194.386812,0,7.0680000000000005,7.241999999999997,7.469500000000004,-1,-1,-1,-1,-1,10.177720686668286,10.336975209733497,9.859211640537861,-1,-0.1571307028464437,-0.07722588815028714,-0.07990481469615657
2010-04-28,sh.600033,6.7800,6.89,6.73,6.81,12494846,85083428.0000,3,1.398940,1,-0.728900,18.878142,1.844189,6.262556,-192.969998,0,6.984,7.155999999999997,7.425500000000004,-1,-1,-1,-1,-1,9.961123962693703,9.325529830206493,11.232312227668121,1,-0.1804104732775622,-0.09786280517574215,-0.08254766810182006
2010-04-29,sh.600033,6.8500,6.88,6.7,6.71,12127934,82553098.0000,3,1.357860,1,-1.468400,18.600930,1.817109,6.170595,-190.136371,0,6.910000000000001,7.070999999999996,7.3830000000000044,-1,-1,-1,-1,-1,7.906968967362197,9.348604538908,5.023697824270588,-1,-0.2045708578229961,-0.11920441570519294,-0.08536644211780317
2010-04-30,sh.600033,6.7100,6.72,6.51,6.66,13577625,89624435.0000,3,1.520170,1,-0.745200,18.462324,1.803568,6.124614,-188.719558,0,6.822,6.980999999999996,7.336000000000004,-1,-1,-1,-1,-1,10.149836835230081,9.339309921761933,11.770890662166376,1,-0.22515724619536837,-0.14039498180322801,-0.08476226439214035
2010-05-04,sh.600033,6.5500,6.65,6.49,6.61,9844719,64970377.0000,3,1.102228,1,-0.750800,18.323718,1.790028,6.078634,-187.302744,0,6.7299999999999995,6.926999999999997,7.284500000000006,-1,-1,-1,-1,-1,12.416740048319019,10.157848616970371,16.934522911016312,1,-0.24270889239941607,-0.16085776392246562,-0.08185112847695045
2010-05-05,sh.600033,6.5600,6.84,6.54,6.8,15505772,104223194.0000,3,1.736048,1,2.874400,18.850421,1.841481,6.253360,-192.686636,0,6.717999999999999,6.892999999999996,7.237500000000006,1,-1,-1,-1,-1,26.17516579304613,16.247247558865016,46.031002261408354,1,-0.2385375737000297,-0.17639372587797844,-0.06214384782205126
2010-05-06,sh.600033,6.7800,6.8,6.54,6.55,12404806,82959615.0000,3,1.388859,1,-3.676500,18.157391,1.773780,6.023457,-185.602568,0,6.6659999999999995,6.824999999999996,7.1805000000000065,-1,-1,-1,-1,-1,22.40348366315501,20.33179650150666,26.546857986451712,1,-0.2524940895486578,-0.1916137986121143,-0.06088029093654351
2010-05-07,sh.600033,6.4000,6.62,6.4,6.51,11603949,75644770.0000,3,1.299194,1,-0.610700,18.046506,1.762948,5.986673,-184.469117,0,6.6259999999999994,6.767999999999996,7.120000000000006,-1,-1,-1,-1,-1,22.095280723373097,23.557976726524686,19.169888717069924,-1,-0.2637421394067152,-0.2060394667710345,-0.05770267263568071
2010-05-10,sh.600033,6.4900,6.63,6.43,6.59,10512932,68759930.0000,3,1.177043,1,1.228900,18.268276,1.784612,6.060241,-186.736019,0,6.611999999999999,6.716999999999996,7.058000000000005,-1,-1,-1,-1,-1,17.392765900228532,20.630510095585485,10.917277509514626,-1,-0.2631673392737781,-0.21746504127158323,-0.045702298002194885
