date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600036,15.5500,16.05,15.53,15.86,70446388,1118873396.0000,3,0.449881,1,1.993600,20.007595,3.465346,5.990894,-13.154966,0,15.675999999999993,15.538999999999998,15.644000000000002,1,1,1,1,1,57.87020579057552,56.000435924621065,61.60974552248443,1,-0.30290585877697396,-0.43505544123558315,0.1321495824586092
2010-02-26,sh.600036,15.8000,16.03,15.71,15.9,49214521,783666867.0000,3,0.314291,1,0.252200,20.058056,3.474086,6.006004,-13.188143,0,15.699999999999994,15.581,15.605500000000001,1,1,1,1,1,72.82597094375235,61.07146800936158,96.33497681253391,1,-0.2600158883693684,-0.4000475306623402,0.14003164229297183
2010-03-01,sh.600036,15.9500,16.35,15.9,16.3,81300926,1318204853.0000,3,0.519200,1,2.515700,20.562661,3.561484,6.157098,-13.519920,0,15.813999999999993,15.698000000000002,15.609,1,1,1,1,1,86.70236607951774,72.46618093794855,115.17473636265615,1,-0.1915406592651827,-0.35834615638290873,0.16680549711772602
2010-03-02,sh.600036,16.4000,16.55,16.3,16.46,109780837,1805331400.0000,3,0.701077,1,0.981600,20.764503,3.596444,6.217536,-13.652631,0,16.013999999999992,15.813000000000002,15.627500000000001,1,1,1,1,1,91.00935347928872,83.51256350085295,106.00293343616025,1,-0.12294564319477885,-0.31126605374528277,0.1883204105505039
2010-03-03,sh.600036,16.4600,16.5,16.25,16.49,70933393,1161657569.0000,3,0.452991,1,0.182300,20.802348,3.602999,6.228868,-13.677515,0,16.20199999999999,15.909000000000002,15.680000000000001,1,1,1,1,1,94.84702093397739,90.85291349759463,102.83523580674293,1,-0.06540885689238785,-0.26209461437470377,0.19668575748231593
2010-03-04,sh.600036,16.5000,16.56,16.01,16.12,85453648,1390873694.0000,3,0.545720,1,-2.243800,20.335588,3.522155,6.089106,-13.370621,0,16.253999999999994,15.965000000000003,15.729500000000002,-1,1,1,1,1,85.5119825708061,90.45611899469075,75.6237097230368,-1,-0.04910044760256582,-0.21949578102027617,0.17039533341771035
2010-03-05,sh.600036,16.1200,16.12,16.12,16.12,0,0.0000,3,,0,0.000000,20.335588,3.522155,6.089106,-13.370621,0,16.297999999999995,15.999000000000004,15.777000000000001,-1,1,1,1,1,76.94989106753816,85.76963152410723,59.310410154400046,-1,-0.03576365459655051,-0.18274935573553103,0.14698570113898052
2010-03-08,sh.600036,16.1200,16.12,16.12,16.12,0,0.0000,3,,0,0.000000,20.335588,3.522155,6.089106,-13.370621,0,16.261999999999993,16.038000000000004,15.8185,-1,1,1,1,1,67.64705882352955,76.70297748729128,49.53522149600607,-1,-0.02490703723176324,-0.15118089203477747,0.12627385480301423
2010-03-09,sh.600036,16.1200,16.12,16.12,16.12,0,0.0000,3,,0,0.000000,20.335588,3.522155,6.089106,-13.370621,0,16.193999999999996,16.104000000000006,15.843,-1,1,1,1,1,64.19189034837251,69.59628007981343,53.38311088549068,-1,-0.01611729955585517,-0.12416817353899301,0.10805087398313784
2010-03-10,sh.600036,16.1200,16.12,16.12,16.12,0,0.0000,3,,0,0.000000,20.335588,3.522155,6.089106,-13.370621,0,16.119999999999997,16.161000000000005,15.8495,1,-1,1,-1,1,57.72130211307839,63.18675042832684,46.79040548258148,-1,-0.009047080014266129,-0.10114395483404763,0.0920968748197815
2010-03-11,sh.600036,16.1200,16.12,16.12,16.12,0,0.0000,3,,0,0.000000,20.335588,3.522155,6.089106,-13.370621,0,16.119999999999997,16.187000000000005,15.863,1,-1,1,-1,1,46.283393616346366,56.065528692599116,26.719123463840873,-1,-0.003404633592630546,-0.08159609058576421,0.07819145699313367
2010-03-12,sh.600036,16.1200,16.12,16.12,16.12,0,0.0000,3,,0,0.000000,20.335588,3.522155,6.089106,-13.370621,0,16.119999999999997,16.209000000000007,15.895,1,-1,1,-1,1,33.85620915032688,45.953634959917245,9.661357531146152,-1,0.0010548857815031454,-0.06506589531231075,0.06612078109381389
2010-03-15,sh.600036,15.3100,15.38,14.8,14.89,65556181,985495936.0000,3,0.371084,1,-2.552400,20.755940,3.594961,6.214972,-13.647001,0,15.873999999999995,16.068000000000005,15.883,-1,-1,-1,-1,-1,19.48232323232327,33.2073086663322,-7.96764763569459,-1,-0.09358286839296781,-0.07076928992844216,-0.022813578464525655
2010-03-16,sh.600036,14.8900,15.4,14.8,15.37,65194813,986746175.0000,3,0.369038,1,3.223600,21.425037,3.710849,6.415320,-14.086931,0,15.723999999999995,15.959000000000007,15.886,-1,-1,-1,-1,-1,19.166666666666632,24.168399683105623,9.163200633788655,-1,-0.12837218726592425,-0.08228986939593858,-0.04608231786998568
