date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600048,19.5500,20.04,19.41,19.96,37909065,751399975.0000,3,1.189100,1,3.099200,19.962805,2.800262,3.056285,7.199482,0,19.384000000000004,19.167000000000005,19.319,1,1,1,1,1,68.39370610557052,52.262144635025976,100.6568290466596,1,-0.4795607827582451,-0.7271773784043769,0.2476165956461318
2010-02-26,sh.600048,20.0000,20.1,19.8,19.91,16246219,324118882.0000,3,0.509598,1,-0.250500,19.912798,2.793247,3.048629,7.181447,0,19.472,19.251000000000005,19.315,1,1,1,1,1,88.54083416583417,68.59308182401402,128.43633884947448,1,-0.3993127588430454,-0.6616044544921106,0.2622916956490652
2010-03-01,sh.600048,19.8500,20.06,19.55,19.83,22070727,437151395.0000,3,0.692296,1,-0.401800,19.832787,2.782024,3.036380,7.152591,0,19.610000000000003,19.370000000000005,19.31,1,1,1,1,1,88.68506493506487,81.87320173548986,102.3087913342149,1,-0.33827156906511746,-0.596937877406712,0.25866630834159454
2010-03-02,sh.600048,19.8300,19.83,19.83,19.83,0,0.0000,3,,0,0.000000,19.832787,2.782024,3.036380,7.152591,0,19.778000000000002,19.489000000000004,19.353,1,1,1,1,1,84.79166666666652,87.33918858918851,79.69662282162253,-1,-0.28659232842354854,-0.5348687676100793,0.24827643918653075
2010-03-03,sh.600048,20.0200,20.1,19.48,19.66,22505266,444652776.0000,3,0.705927,1,-0.857300,19.662763,2.758174,3.010349,7.091273,0,19.838,19.550000000000004,19.387500000000003,-1,1,1,1,1,79.58333333333319,84.35335497835486,70.04329004328983,-1,-0.25639813899299213,-0.47917464188666187,0.22277650289366974
2010-03-04,sh.600048,19.7400,20.12,19.11,19.18,25253555,497356884.0000,3,0.792133,1,-2.441500,19.182695,2.690833,2.936851,6.918139,0,19.682000000000006,19.533000000000005,19.387000000000004,-1,-1,-1,1,1,65.86676954732499,76.74725651577491,44.10579561042516,-1,-0.26811040494918714,-0.43696179449916694,0.1688513895499798
2010-03-05,sh.600048,19.3100,19.45,18.95,19.12,14436362,276478808.0000,3,0.452828,1,-0.312800,19.122687,2.682415,2.927664,6.896498,0,19.524000000000008,19.498000000000005,19.390000000000004,-1,-1,-1,1,1,50.91563786008226,65.45524691358015,21.83641975308649,-1,-0.279017617251629,-0.40537295904965936,0.12635534179803037
2010-03-08,sh.600048,19.1800,19.52,19.03,19.43,14809975,286206882.0000,3,0.464547,1,1.621300,19.432731,2.725906,2.975132,7.008313,0,19.444000000000006,19.527000000000005,19.387500000000003,-1,-1,1,-1,1,44.220235561231675,53.66754765621298,25.325611371269062,-1,-0.2596541212805903,-0.37622919149584555,0.11657507021525526
2010-03-09,sh.600048,19.5700,20.6,19.33,20.28,57644689,1162363902.0000,3,1.808151,1,4.374700,20.282850,2.845156,3.105284,7.314904,0,19.534000000000006,19.656000000000002,19.433000000000003,1,1,1,-1,1,57.097152882593456,50.74434210130247,69.80277444517542,1,-0.17371800197244625,-0.33572695359116567,0.16200895161871942
2010-03-10,sh.600048,20.2000,20.34,19.87,19.91,23629088,474643242.0000,3,0.741178,1,-1.824500,19.912798,2.793247,3.048629,7.181447,0,19.584000000000007,19.711000000000006,19.434000000000005,1,1,1,-1,1,63.73389063044229,55.017093024755816,81.16748584181524,1,-0.13392511075413083,-0.2953665850237587,0.16144147426962785
