date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600050,6.6000,6.67,6.58,6.64,109704626,727750218.0000,3,0.517558,1,0.758700,7.516645,1.980537,0.647676,-39.196122,0,6.570000000000005,6.510999999999998,6.706,1,1,-1,1,-1,68.54166666666669,53.92136202307015,97.78227595385975,1,-0.23283409708674618,-0.283549255776274,0.050715158689527806
2010-02-26,sh.600050,6.6300,6.77,6.58,6.72,133551821,891938899.0000,3,0.630063,1,1.204800,7.607207,2.004398,0.655480,-39.668365,0,6.590000000000005,6.534999999999998,6.678,1,1,1,1,-1,84.26816239316238,67.57912176390441,117.64624365167833,1,-0.20787804340313176,-0.2684150133016455,0.06053696989851376
2010-03-01,sh.600050,6.7200,6.82,6.68,6.75,101502753,685799905.0000,3,0.478863,1,0.446400,7.641168,2.013347,0.658406,-39.845456,0,6.638000000000005,6.572999999999999,6.665000000000001,1,1,1,1,-1,87.17513913734842,79.99498939905918,101.53543861392691,1,-0.18356343674613207,-0.2514446979905428,0.06788126124441074
2010-03-02,sh.600050,6.7600,6.79,6.68,6.72,82024961,551029212.0000,3,0.386972,1,-0.444400,7.607207,2.004398,0.655480,-39.668365,0,6.684000000000005,6.605999999999999,6.655500000000001,1,1,1,1,1,82.54820115285229,84.66383422778772,78.31693500298141,-1,-0.16481480262174664,-0.23411871891678357,0.06930391629503693
2010-03-03,sh.600050,6.7200,6.76,6.61,6.74,90777840,607639742.0000,3,0.428266,1,0.297600,7.629848,2.010364,0.657431,-39.786425,0,6.714000000000004,6.631999999999998,6.644500000000001,1,1,1,1,1,80.62015503875965,83.44783177632013,74.96480156363867,-1,-0.14665202884769268,-0.2166253809029654,0.06997335205527272
2010-03-04,sh.600050,6.7300,6.79,6.52,6.54,105721645,702995947.0000,3,0.498767,1,-2.967400,7.403443,1.950709,0.637922,-38.605819,0,6.694000000000004,6.631999999999998,6.621,-1,-1,-1,1,1,64.34108527131781,75.83648048764326,41.35029483866691,-1,-0.14670510319739183,-0.2026413253618507,0.05593622216445887
2010-03-05,sh.600050,6.5600,6.59,6.48,6.53,97151578,633244381.0000,3,0.458336,1,-0.152900,7.392123,1.947726,0.636947,-38.546789,0,6.656000000000004,6.6229999999999976,6.596000000000001,-1,-1,-1,1,1,49.61240310077523,64.8578811369509,19.121447028423916,-1,-0.145872553434935,-0.19128757097646756,0.04541501754153257
2010-03-08,sh.600050,6.5500,6.56,6.49,6.52,82457399,537887644.0000,3,0.389012,1,-0.153100,7.380802,1.944744,0.635971,-38.487759,0,6.610000000000005,6.623999999999998,6.585000000000001,-1,-1,-1,-1,1,30.172927847346468,48.04213873981317,-5.565493937586936,-1,-0.14435562637392252,-0.18190118205595857,0.03754555568203605
2010-03-09,sh.600050,6.5000,6.56,6.42,6.54,78347262,509758870.0000,3,0.369622,1,0.306700,7.403443,1.950709,0.637922,-38.605819,0,6.574000000000005,6.628999999999998,6.578500000000001,-1,-1,-1,-1,-1,28.54502087060227,36.11011727290799,13.414828065990818,-1,-0.13992663079764256,-0.17350627180429537,0.03357964100665281
2010-03-10,sh.600050,6.5500,6.6,6.49,6.52,70782951,462826229.0000,3,0.333935,1,-0.305800,7.380802,1.944744,0.635971,-38.487759,0,6.530000000000004,6.621999999999997,6.567000000000002,-1,-1,-1,-1,-1,26.02564102564096,28.247863247863233,21.581196581196416,-1,-0.13645745613477178,-0.16609650867039066,0.02963905253561888
