date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600059,9.7800,10.0,9.73,9.98,16077818,158988730.0000,3,4.839999,1,2.359000,82.706214,4.269297,9.272724,173.368675,0,9.758000000000001,9.624999999999998,9.478000000000002,1,1,1,1,1,71.36844636844643,66.12492445825784,81.85549018882361,1,-0.048970171832577236,-0.17578986233680657,0.12681969050422934
2010-02-26,sh.600059,10.0400,10.26,9.93,10.01,21450919,216586040.0000,3,6.457495,1,0.300600,82.954829,4.282131,9.300598,173.889823,0,9.790000000000001,9.690999999999999,9.502500000000001,1,1,1,1,1,81.04686318972036,71.11812349907592,100.90434257100924,1,-0.015006656891189962,-0.14363322124768324,0.12862656435649328
2010-03-01,sh.600059,10.0000,10.13,9.98,10.01,11229811,112963647.0000,3,3.380575,1,0.000000,82.954829,4.282131,9.300598,173.889823,0,9.860000000000001,9.754000000000001,9.531,1,1,1,1,1,81.79874288896849,78.07135081571177,89.25352703548194,1,0.01177395062005182,-0.11255178687413622,0.12432573749418804
2010-03-02,sh.600059,10.0700,10.34,10.0,10.26,19443671,198599442.0000,3,5.853241,1,2.497500,85.026628,4.389077,9.532880,178.232726,0,10.001999999999999,9.843,9.583499999999999,1,1,1,1,1,80.13567205114035,80.99375937660973,78.41949740020158,-1,0.05256475193945853,-0.07952847911141728,0.1320932310508758
2010-03-03,sh.600059,10.2700,10.39,10.05,10.28,15328097,157063237.0000,3,4.614306,1,0.194900,85.192372,4.397633,9.551463,178.580158,0,10.108,9.925,9.647499999999999,1,1,1,1,1,85.24401168328946,82.3928088744661,90.94641730093619,1,0.08551977004509581,-0.04651882928011466,0.13203859932521048
2010-03-04,sh.600059,10.2800,10.29,9.95,10.16,16541624,167634294.0000,3,4.979621,1,-1.167300,84.197909,4.346298,9.439967,176.495565,0,10.144,9.950999999999999,9.699499999999999,1,1,1,1,1,86.91717607575208,84.09895327006063,92.55362168713498,1,0.10079199482820123,-0.017056664458451477,0.1178486592866527
2010-03-05,sh.600059,10.1000,10.64,10.08,10.49,28117105,292168376.0000,3,8.464255,1,3.248000,86.932683,4.487467,9.746580,182.228196,0,10.24,10.014999999999999,9.76,1,1,1,1,1,85.74677434326553,85.96932070076902,85.30168162825854,-1,0.13793357270865947,0.01394138297497071,0.12399218973368875
2010-03-08,sh.600059,10.5000,10.6,10.37,10.46,15108808,158384893.0000,3,4.548292,1,-0.286000,86.684067,4.474634,9.718706,181.707048,0,10.330000000000002,10.094999999999999,9.807500000000001,1,1,1,1,1,84.09981926493793,85.58792322798519,81.12361133884343,-1,0.16306804457843604,0.043766715295663776,0.11930132928277226
2010-03-09,sh.600059,10.4700,10.6,10.24,10.43,11596593,121047020.0000,3,3.490990,1,-0.286800,86.435452,4.461800,9.690833,181.185900,0,10.364,10.182999999999998,9.863000000000001,1,1,1,1,1,83.50627700472899,84.45095687097749,81.61691727223197,-1,0.1785088069313563,0.07071513362280228,0.10779367330855401
2010-03-10,sh.600059,10.4300,10.49,10.05,10.13,12255267,125555370.0000,3,3.689274,1,-2.876300,83.949293,4.333465,9.412093,175.974416,0,10.334000000000001,10.220999999999998,9.897000000000002,-1,-1,1,1,1,63.32201352913865,76.97603659960185,36.01396738821225,-1,0.16464035798357202,0.08950017849495623,0.07514017948861579
