date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600061,11.3300,11.51,11.19,11.36,5234590,59287650.0000,3,1.219948,1,0.264800,-828.317356,9.153013,4.144777,-456.840020,0,11.240000000000006,11.059,10.790000000000001,1,1,1,1,1,86.66011135508911,88.42922130079467,83.12189146367803,-1,-0.036820465037815,-0.21558512868006652,0.17876466364225152
2010-02-26,sh.600061,11.3500,11.48,11.21,11.33,5235216,59253138.0000,3,1.220094,1,-0.264100,-826.129898,9.128841,4.133831,-455.633576,0,11.266000000000005,11.105999999999998,10.807,1,1,1,1,1,84.75588991052905,86.64095458508417,80.9857605614188,-1,-0.009593320685496565,-0.17438676708115253,0.16479344639565596
2010-03-01,sh.600061,11.3500,11.46,11.18,11.35,5851651,66149218.0000,3,1.363758,1,0.176500,-827.588204,9.144955,4.141128,-456.437872,0,11.304000000000006,11.160999999999998,10.831500000000002,1,1,1,1,1,83.04575872671366,84.82058666411058,79.49610285191983,-1,0.013443254755044265,-0.13682076271391316,0.15026401746895743
2010-03-02,sh.600061,11.3400,11.34,11.1,11.16,5553677,62035255.0000,3,1.294313,1,-1.674000,-813.734304,8.991868,4.071805,-448.797062,0,11.306000000000006,11.216999999999999,10.880500000000001,-1,-1,1,1,1,69.07471484186212,78.95878782636825,49.30656887284985,-1,0.016181959105837862,-0.10622021834996295,0.12240217745580081
2010-03-03,sh.600061,11.1800,11.28,11.06,11.24,4538307,50668212.0000,3,1.057676,1,0.716800,-819.567525,9.056326,4.100994,-452.014245,0,11.288000000000007,11.241999999999999,10.941500000000001,-1,-1,1,1,1,59.188853280742855,70.43644228310619,36.693675276016194,-1,0.0245250242341708,-0.0800711698331362,0.104596194067307
2010-03-04,sh.600061,11.1900,11.29,10.7,10.71,6669454,73383448.0000,3,1.554351,1,-4.715300,-780.922437,8.629293,3.907620,-430.700406,0,11.158000000000007,11.198999999999998,10.964000000000002,-1,-1,-1,-1,1,31.881077668873747,53.38154859715956,-11.119864187697871,-1,-0.011497076012680907,-0.06635635106904514,0.05485927505636423
2010-03-05,sh.600061,10.5300,10.83,10.53,10.62,4680850,49983924.0000,3,1.090896,1,-0.840300,-774.360064,8.556778,3.874782,-427.081075,0,11.016000000000007,11.140999999999998,10.972500000000002,-1,-1,-1,-1,1,20.734651885445615,37.26819427835405,-12.33243290037126,-1,-0.046767985596252615,-0.062438677974486635,0.01567069237823402
2010-03-08,sh.600061,10.6500,10.85,10.65,10.71,3013396,32392204.0000,3,0.702288,1,0.847500,-780.922437,8.629293,3.907620,-430.700406,0,10.888000000000007,11.095999999999998,10.979500000000003,-1,-1,-1,-1,-1,9.595196103132698,20.73697521915067,-12.688362128903243,-1,-0.06668943343983358,-0.06328882906755602,-0.0034006043722775575
2010-03-09,sh.600061,10.7100,11.77,10.71,11.54,21342589,245160446.0000,3,4.974001,1,7.749800,-841.442103,9.298043,4.210451,-464.078682,0,10.964000000000006,11.134999999999996,11.030500000000002,1,1,1,-1,-1,36.33421110379637,22.221353030791544,64.55992724980601,1,-0.015326585642755575,-0.05369638038259593,0.038369794739840354
2010-03-10,sh.600061,11.3500,11.49,10.99,11.14,10096080,113235869.0000,3,2.352944,1,-3.466200,-812.275999,8.975754,4.064508,-447.992766,0,10.944000000000006,11.115999999999996,11.055000000000001,1,1,1,-1,-1,49.67083607636607,31.866747761098363,85.27901270690148,1,-0.00681920818757753,-0.044320945943592246,0.037501737756014716
2010-03-11,sh.600061,11.0300,11.35,11.02,11.28,6501130,73087038.0000,3,1.515122,1,1.256700,-822.484135,9.088555,4.115588,-453.622836,0,11.058000000000005,11.107999999999997,11.0835,1,1,1,-1,-1,63.709677419354826,49.90490819983907,91.31921585838634,1,0.011091918971750658,-0.03323837296052366,0.04433029193227432
2010-03-12,sh.600061,11.2500,11.44,11.05,11.19,6136994,69042457.0000,3,1.430258,1,-0.797900,1082.090213,8.776249,3.876326,-165.227663,0,11.172000000000006,11.093999999999998,11.1,1,1,1,1,1,54.30107526881721,55.893862921512685,51.115499963426245,-1,0.017818962541346295,-0.02302690586014967,0.04084586840149597
2010-03-15,sh.600061,11.0600,11.29,10.7,10.86,5357452,58450348.0000,3,1.248582,1,-2.949100,1050.178706,8.517432,3.762011,-160.354998,0,11.202000000000005,11.044999999999998,11.103,-1,-1,-1,1,1,46.77419354838707,54.92831541218635,30.465949820788495,-1,-0.0034384131524607398,-0.019109207318611883,0.015670794166151143
2010-03-16,sh.600061,10.7700,10.98,10.7,10.87,3503480,37908240.0000,3,0.816504,1,0.092100,1051.145721,8.525275,3.765475,-160.502654,0,11.068000000000005,11.015999999999998,11.1165,-1,-1,-1,1,-1,35.75268817204298,45.60931899641574,16.039426523297465,-1,-0.019256147235616083,-0.01913859530201272,-0.00011755193360336175
2010-03-17,sh.600061,10.8700,11.42,10.85,11.26,7848845,88095995.0000,3,1.829214,1,3.587900,1088.859321,8.831150,3.900575,-166.261259,0,11.092000000000004,11.017999999999999,11.129999999999999,1,1,1,1,-1,37.63440860215051,40.053763440860166,32.7956989247312,-1,-0.0003184044547754894,-0.015374557132565275,0.015056152677789786
2010-03-18,sh.600061,11.3200,12.28,11.21,11.68,22856506,269102211.0000,3,5.326827,1,3.730000,1129.473967,9.160553,4.046067,-172.462834,0,11.172000000000004,11.115,11.157,1,1,1,1,1,49.8268355432416,41.07131077247834,67.33788508476812,1,0.04802676045277465,-0.002694293615497289,0.050721054068271945
2010-03-19,sh.600061,11.5800,12.05,11.58,11.98,18370764,219097989.0000,3,4.281402,1,2.568500,1158.484428,9.395841,4.149990,-176.892530,0,11.330000000000004,11.251000000000001,11.196,1,1,1,1,1,67.69127000628777,51.7175047172266,99.63880058441009,1,0.1092883368281754,0.01970223247323725,0.08958610435493815
2010-03-22,sh.600061,11.9800,12.15,11.88,12.08,9122012,109563177.0000,3,2.125932,1,0.834700,1168.154582,9.474271,4.184631,-178.369095,0,11.574000000000003,11.388000000000002,11.242,1,1,1,1,1,77.18153814294219,64.89988123082384,101.74485196717887,1,0.16401705522111598,0.048565197022813006,0.11545185819830298
2010-03-23,sh.600061,12.0600,12.19,11.87,12.03,10073910,121082265.0000,3,2.347777,1,-0.413900,1163.319505,9.435056,4.167311,-177.630812,0,11.806000000000004,11.437000000000001,11.286,1,1,1,1,1,84.17721518987341,76.3500077797011,99.83163001021802,1,0.20103793652360658,0.07905974492297171,0.12197819160063486
2010-03-24,sh.600061,11.9500,13.23,11.94,12.83,25731220,329320730.0000,3,5.996794,1,6.650000,1240.680736,10.062491,4.444438,-189.443335,0,12.120000000000005,11.606,11.361,1,1,1,1,1,85.23623688731006,82.1983300733752,91.31205051517978,1,0.29156953370905114,0.1215617026801876,0.17000783102886355
2010-03-25,sh.600061,12.0000,12.4,11.55,11.55,49635147,583120674.0000,3,11.567728,1,-9.976600,1116.902767,9.058595,4.001034,-170.543299,0,12.094000000000005,11.633,11.370500000000002,-1,-1,1,1,1,67.32125881823181,78.91157029847174,44.14063585775196,-1,0.2570678559060884,0.14866293332536776,0.10840492258072063
2010-03-26,sh.600061,11.2300,11.64,11.02,11.45,19798325,223172699.0000,3,4.614102,1,-0.865800,1107.232613,8.980166,3.966393,-169.066733,0,11.988000000000005,11.659,11.3765,-1,-1,1,1,1,49.14361001317519,67.233701906239,12.963426227047563,-1,0.21912987066552247,0.1627563207933987,0.056373549872123785
2010-03-29,sh.600061,11.4100,11.44,11.2,11.35,11535125,130217576.0000,3,2.688321,1,-0.873400,1097.562459,8.901736,3.931752,-167.590168,0,11.842000000000006,11.708,11.3765,-1,-1,-1,1,1,28.083170026904003,48.18267961943698,-12.11584915816195,-1,0.1789319634751596,0.16599144932975088,0.012940514145408727
2010-03-30,sh.600061,11.3600,11.54,11.3,11.4,7930695,90490408.0000,3,1.848290,1,0.440500,1102.397536,8.940951,3.949072,-168.328451,0,11.716000000000005,11.761,11.3885,-1,-1,1,-1,1,22.615747423931523,33.28084248800355,1.28555729578747,-1,0.1493873699388324,0.16267063345156718,-0.013283263512734789
