date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600073,10.4300,10.97,10.38,10.76,13264347,142409315.0000,3,3.721758,1,3.362200,155.604259,4.603432,2.295722,79.970494,0,10.348,10.221,10.048,1,1,1,1,1,77.18509560614825,72.00324042429307,87.54880596985862,1,-0.12095081161632137,-0.3009891154966115,0.18003830388029013
2010-02-26,sh.600073,10.7000,10.85,10.58,10.7,6829877,73174869.0000,3,1.916352,1,-0.557600,154.736577,4.577762,2.282921,79.524562,0,10.464000000000002,10.334000000000001,10.027,1,1,1,1,1,79.70515722809297,76.2380143596947,86.63944296488953,1,-0.07367037303147228,-0.25552536700358364,0.18185499397211136
2010-03-01,sh.600073,10.7800,11.15,10.75,10.93,10103694,111004892.0000,3,2.834931,1,2.149500,158.062691,4.676163,2.331993,81.233968,0,10.610000000000001,10.374,10.043000000000001,1,1,1,1,1,81.07373615572699,79.32132966332273,84.57854914053553,1,-0.01744016760993361,-0.20790832712485363,0.19046815951492002
2010-03-02,sh.600073,10.9900,11.34,10.9,11.24,15804951,176502687.0000,3,4.434610,1,2.836200,162.545713,4.808789,2.398134,83.537951,0,10.808000000000002,10.477,10.104000000000001,1,1,1,1,1,83.68573602800086,81.48820980394026,88.08078847612205,1,0.05154292971588603,-0.1560180757567057,0.20756100547259174
2010-03-03,sh.600073,11.3000,11.43,11.14,11.28,12598434,142285190.0000,3,3.534914,1,0.355900,163.124167,4.825902,2.406668,83.835239,0,10.982000000000003,10.587,10.180000000000001,1,1,1,1,1,88.71681031033295,84.49209416468693,97.16624260162496,1,0.10819301531627623,-0.10317585754210931,0.21136887285838554
2010-03-04,sh.600073,11.2800,11.35,10.61,10.65,10258755,112537554.0000,3,2.878439,1,-5.585100,154.013509,4.556371,2.272253,79.152952,0,10.960000000000003,10.654,10.224,-1,-1,1,1,1,77.38582536766133,83.26279056866504,65.63189496565391,-1,0.10108760642408754,-0.06232316474886994,0.1634107711729575
2010-03-05,sh.600073,10.6000,11.72,10.6,11.72,20143588,232503726.0000,3,5.651961,1,10.046900,169.487167,5.014147,2.500545,87.105408,0,11.164000000000001,10.814,10.321000000000002,1,1,1,1,1,79.66893039049238,81.92385535616222,75.15908045915268,-1,0.1797248204666868,-0.013913567705758585,0.19363838817244539
2010-03-08,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.322000000000001,10.966,10.4425,1,1,1,1,1,82.89473684210527,79.98316420008632,88.7178821261432,1,0.23928702724688122,0.03672655128476938,0.20256047596211185
2010-03-09,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.418000000000001,11.113,10.5645,1,1,1,1,1,100.0,87.52122241086589,124.95755517826822,1,0.2832256561801163,0.08602637226383877,0.19719928391627753
2010-03-10,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.506,11.244,10.677000000000001,1,1,1,1,1,100.0,94.29824561403508,111.40350877192984,1,0.31442286510296213,0.13170567083166346,0.18271719427129868
2010-03-11,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.72,11.34,10.7805,1,1,1,1,1,100.0,100.0,100.0,1,0.3352819562521674,0.17242092791576424,0.16286102833640315
2010-03-12,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.72,11.441999999999998,10.888000000000002,1,1,1,1,1,100.0,100.0,100.0,1,0.3478036720385571,0.20749747674032282,0.1403061952982343
2010-03-15,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.72,11.520999999999997,10.947500000000002,1,1,1,1,1,100.0,100.0,100.0,1,0.3536505585146337,0.236728093095185,0.11692246541944867
2010-03-16,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.72,11.568999999999999,11.023,1,1,1,1,1,100.0,100.0,100.0,1,0.354201246682333,0.2602227238126146,0.09397852286971842
2010-03-17,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,169.487167,5.014147,2.500545,87.105408,0,11.72,11.612999999999998,11.1,1,1,1,1,1,100.0,100.0,100.0,1,0.3505962160822982,0.2782974222665513,0.07229879381574689
2010-03-18,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082996,5.014147,2.106322,87.105408,0,11.72,11.719999999999997,11.187000000000001,1,1,1,1,1,66.66666666666667,88.8888888888889,22.2222222222222,-1,0.3437763634346087,0.29139321050016276,0.05238315293444595
2010-03-19,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082996,5.014147,2.106322,87.105408,0,11.72,11.719999999999997,11.267,1,1,1,1,1,33.333333333333336,66.66666666666667,-33.33333333333334,-1,0.33451549468289166,0.30001766733670854,0.03449782734618312
2010-03-22,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082996,5.014147,2.106322,87.105408,0,11.72,11.719999999999997,11.343,1,1,1,1,1,0.0,33.33333333333334,-66.66666666666669,-1,0.32344768589242534,0.3047036710478519,0.018744014844573442
2010-03-23,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082996,5.014147,2.106322,87.105408,0,11.72,11.719999999999997,11.416500000000001,1,1,1,1,1,0.0,11.11111111111112,-22.22222222222224,-1,0.31109031221451033,0.3059809992811836,0.005109312933326726
2010-03-24,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082996,5.014147,2.106322,87.105408,0,11.72,11.719999999999997,11.482000000000001,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.2978634204473174,0.3043574835144104,-0.006494063067092992
2010-03-25,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.530000000000001,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.28410601612319475,0.30030719003616724,-0.01620117391297249
2010-03-26,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.581000000000001,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.27008974759434423,0.2942637015478026,-0.024173953953458394
2010-03-29,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.620500000000002,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.25603039478576584,0.28661704019539525,-0.03058664540962941
2010-03-30,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.6445,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.24209750703219868,0.27771313356275595,-0.035615626530557276
2010-03-31,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.666500000000001,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.22842248093430761,0.2678550030370663,-0.03943252210275866
2010-04-01,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.72,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.21510532395237725,0.25730506722012847,-0.04219974326775122
2010-04-02,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.72,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.20222031122918693,0.24628811602194017,-0.04406780479275324
2010-04-06,sh.600073,11.7200,11.72,11.72,11.72,0,0.0000,3,,0,0.000000,-61.082986,5.496300,2.106322,106.035616,0,11.72,11.719999999999997,11.72,1,1,1,1,1,0.0,7.105427357601002e-15,-1.4210854715202004e-14,-1,0.18982071081951624,0.2349946349814554,-0.04517392416193916
2010-04-07,sh.600073,11.1000,11.25,10.84,11.06,39760775,440242557.0000,3,11.156222,1,-5.631400,-57.643159,5.186781,1.987706,100.064327,0,11.588000000000001,11.653999999999998,11.687000000000001,-1,-1,-1,-1,-1,8.33333333333335,2.7777777777777906,19.444444444444468,1,0.12529315254049145,0.2130543384932626,-0.08776118595277116
2010-04-08,sh.600073,10.9000,11.06,10.82,10.87,16826914,183935189.0000,3,4.721356,1,-1.717900,-56.652906,5.097678,1.953560,98.345320,0,11.418000000000001,11.568999999999999,11.6445,-1,-1,-1,-1,-1,10.185185185185162,6.172839506172845,18.209876543209795,1,0.05815283591116405,0.1820740379768429,-0.12392120206567886
2010-04-09,sh.600073,10.8600,11.16,10.77,10.95,17985020,197971055.0000,3,5.046302,1,0.736000,-57.069854,5.135195,1.967937,99.069112,0,11.264000000000001,11.491999999999999,11.606,-1,-1,-1,-1,-1,16.500974658869357,11.67316439246263,26.156595191682815,1,0.011269079738202237,0.14791304632911478,-0.13664396659091255
2010-04-12,sh.600073,10.9300,11.15,10.84,11.04,12707978,140171123.0000,3,3.565650,1,0.821900,-57.538922,5.177402,1.984112,99.883379,0,11.128000000000002,11.423999999999998,11.572,-1,-1,-1,-1,-1,17.641325536062297,14.775828460038944,23.372319688109002,1,-0.01841214324332796,0.11464800841462623,-0.1330601516579542
2010-04-13,sh.600073,10.9900,11.08,10.18,10.53,14727121,156324448.0000,3,4.132189,1,-4.619600,-54.880874,4.938229,1.892455,95.269201,0,10.890000000000002,11.304999999999998,11.5125,-1,-1,-1,-1,-1,23.365231259968045,19.16917715163324,31.75733947663766,1,-0.08214059836283738,0.0752902870591335,-0.15743088542197087
2010-04-14,sh.600073,10.5500,10.6,10.37,10.59,5912678,62164854.0000,3,1.659001,1,0.569800,-55.193585,4.966367,1.903238,95.812045,0,10.796000000000001,11.191999999999998,11.456,-1,-1,-1,-1,-1,25.923900660742728,22.310152485591033,33.151397011046114,1,-0.12634789968595328,0.034962649710116145,-0.16131054939606942
2010-04-15,sh.600073,10.5100,10.76,10.51,10.6,5608068,59618916.0000,3,1.573532,1,0.094400,-55.245704,4.971056,1.905035,95.902520,0,10.742,11.079999999999998,11.4,-1,-1,-1,-1,-1,25.54112554112552,24.94341915394544,26.736538315485674,1,-0.1587456668230267,-0.0037790135965124275,-0.1549666532265143
2010-04-16,sh.600073,10.6000,10.87,10.46,10.74,7262400,77875582.0000,3,2.037710,1,1.320800,-55.975364,5.036712,1.930196,97.169157,0,10.700000000000001,10.981999999999998,11.351,1,-1,-1,-1,-1,30.08658008658008,27.18386876281612,35.892002734108,1,-0.17115137421733806,-0.037253485720677555,-0.1338978884966605
2010-04-19,sh.600073,10.6300,10.88,10.15,10.17,8406502,89240839.0000,3,2.358727,1,-5.307300,-53.004605,4.769400,1.827755,92.012134,0,10.526000000000002,10.826999999999998,11.2735,-1,-1,-1,-1,-1,21.818181818181802,25.815295815295812,13.823953823953786,-1,-0.22439058799673006,-0.07468090617588806,-0.149709681820842
2010-04-20,sh.600073,10.1700,10.17,10.17,10.17,0,0.0000,3,,0,0.000000,-53.004605,4.769400,1.827755,92.012134,0,10.454000000000002,10.671999999999999,11.196,-1,-1,-1,-1,-1,13.387338733873365,21.76403354621176,-3.3660508908034217,-1,-0.26354506502620545,-0.11245373794595154,-0.1510913270802539
2010-04-21,sh.600073,10.3700,10.9,10.3,10.86,11262408,120379692.0000,3,3.160047,1,6.784700,-56.600787,5.092988,1.951762,98.254845,0,10.508000000000001,10.651999999999997,11.153,1,1,-1,-1,-1,24.698469846984647,19.96799679967995,34.15941594159404,1,-0.2361755519863209,-0.13719810075402541,-0.09897745123229548
2010-04-22,sh.600073,10.8000,11.05,10.68,11.0,12554723,137402169.0000,3,3.522650,1,1.289100,-57.643596,5.168417,1.969552,41.692294,0,10.588000000000001,10.664999999999997,11.117,1,1,-1,-1,-1,52.42574257425738,30.170517051705144,96.93619361936183,1,-0.20087265086405992,-0.14993301077603233,-0.05093964008802759
