date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600077,11.2200,11.22,11.22,11.22,0,0.0000,3,,0,0.000000,-45.919712,6.129221,3.523242,-59.397352,0,11.108,10.954,10.751,1,1,1,1,1,63.60398860398862,61.64665216636541,67.51866147923502,1,-0.12586742014547703,-0.30868459126279624,0.1828171711173192
2010-02-26,sh.600077,11.2200,11.22,11.22,11.22,0,0.0000,3,,0,0.000000,-68.221131,6.331093,3.435063,29.775663,0,11.162,11.016000000000002,10.7685,1,1,1,1,1,61.22463955797292,62.50355777237498,58.6668031291688,-1,-0.09407589414327511,-0.26576285183889203,0.17168695769561693
2010-03-01,sh.600077,10.9000,11.7,10.7,11.3,16568698,186335913.0000,3,12.626474,1,0.713000,-68.707556,6.376234,3.459556,29.987967,1,11.224,11.062000000000001,10.804499999999999,1,1,1,1,1,59.429767763101154,61.41946530835421,55.45037267259504,-1,-0.06171414705729639,-0.22495311088257292,0.16323896382527653
2010-03-02,sh.600077,11.2400,11.4,11.15,11.28,3888867,43826136.0000,3,2.963581,1,-0.177000,-68.585950,6.364949,3.453433,29.934891,1,11.248000000000001,11.108,10.8865,1,1,1,1,1,59.23983423983427,59.964747186969426,57.790008345563976,-1,-0.03725164837674377,-0.18741281838140708,0.1501611700046633
2010-03-03,sh.600077,11.2100,11.44,11.15,11.4,6397404,72163060.0000,3,4.875256,1,1.063800,-69.315588,6.432661,3.490171,30.253347,1,11.284000000000002,11.151000000000002,10.958,1,1,1,1,1,63.91402714932132,60.861209717418895,70.01966201312617,1,-0.008088703275152653,-0.1515479953601562,0.14345929208500355
2010-03-04,sh.600077,11.4800,11.76,11.41,11.5,6311743,73085466.0000,3,4.809977,1,0.877200,-69.923619,6.489088,3.520787,30.518727,1,11.340000000000002,11.224000000000002,10.9855,1,1,1,1,1,68.5584393409033,63.90410024335295,77.86711753600402,1,0.02282914491868837,-0.11667256730438728,0.13950171222307567
2010-03-05,sh.600077,11.6100,11.99,11.55,11.81,6932344,81615577.0000,3,5.282917,1,2.695700,-71.808517,6.664011,3.615695,31.341406,1,11.458000000000002,11.310000000000002,11.032,1,1,1,1,1,77.36881501174412,69.94709383398957,92.21225736725322,1,0.07152171378943528,-0.07903371108562277,0.15055542487505805
2010-03-08,sh.600077,11.9400,12.2,11.74,12.17,6554168,78841863.0000,3,4.994721,1,3.048300,-73.997430,6.867148,3.725911,32.296775,1,11.632000000000001,11.428000000000003,11.099,1,1,1,1,1,86.50606991370489,77.47777475545075,104.56266023021317,1,0.1375740487874335,-0.035712159111011506,0.173286207898445
2010-03-09,sh.600077,12.1800,12.21,11.85,12.03,6217794,74750054.0000,3,4.738381,1,-1.150400,-73.146186,6.788150,3.683049,31.925242,1,11.782000000000002,11.515000000000004,11.183,1,1,1,1,1,90.70866060886082,84.86118184476993,102.4036181370426,1,0.17658856710452575,0.00674798613209595,0.1698405809724298
2010-03-10,sh.600077,12.0100,12.63,12.01,12.61,12936484,162588588.0000,3,9.858480,1,4.821300,-76.672769,7.115426,3.860619,33.464448,1,12.024000000000003,11.654000000000003,11.285999999999998,1,1,1,1,1,95.01440025620785,90.74304359292451,103.55711358277452,1,0.25141089835461905,0.05568056857660057,0.19573032977801846
2010-03-11,sh.600077,12.5000,13.2,12.41,12.81,10689009,136656333.0000,3,8.145751,1,1.586000,-77.888832,7.228280,3.921850,33.995208,1,12.286000000000003,11.813000000000004,11.383499999999998,1,1,1,1,1,90.4810669228745,92.06804259598105,87.3071155766614,-1,0.32312171744395535,0.10916879835007152,0.2139529190938838
2010-03-12,sh.600077,12.8000,13.26,12.8,12.92,6587455,86107507.0000,3,5.020088,1,0.858700,-78.557666,7.290349,3.955527,34.287127,1,12.508000000000003,11.983000000000004,11.499499999999998,1,1,1,1,1,89.08332883137291,91.52626533681841,84.1974558204819,-1,0.3843980376143019,0.1642146462029176,0.22018339141138432
2010-03-15,sh.600077,13.0100,13.15,12.62,12.88,5880579,75670970.0000,3,4.481401,1,-0.309600,-78.314454,7.267778,3.943281,34.180974,1,12.650000000000002,12.141000000000004,11.601499999999998,1,1,1,1,1,83.42559241706164,87.66332939043633,74.95011847031225,-1,0.4248350629601365,0.21633872955436137,0.20849633340577514
2010-03-16,sh.600077,12.8800,13.05,12.53,12.58,6186652,78785812.0000,3,4.714649,1,-2.329200,-76.490359,7.098498,3.851435,33.384834,1,12.760000000000002,12.271000000000004,11.689499999999999,-1,1,1,1,1,76.37334016480938,82.96075380441462,63.19851288559889,-1,0.4277434439238519,0.25861967242825945,0.16912377149559243
2010-03-17,sh.600077,12.6000,12.93,12.6,12.88,6093230,77774860.0000,3,4.643455,1,2.384700,-78.314454,7.267778,3.943281,34.180974,1,12.814000000000002,12.419000000000002,11.784999999999998,1,1,1,1,1,74.33718078267844,78.04537112151647,66.9208001050024,-1,0.4490791447481435,0.29671156689223627,0.1523675778559072
2010-03-18,sh.600077,13.0000,13.1,12.81,12.99,4573485,59124306.0000,3,3.485306,1,0.854000,-78.983288,7.329848,3.976958,34.472893,1,12.85,12.568000000000001,11.895999999999997,1,1,1,1,1,74.41928770876142,75.04326955208306,73.17132402211811,-1,0.4694523673911277,0.33125972699201456,0.13819264039911316
2010-03-19,sh.600077,12.9900,12.99,12.99,12.99,0,0.0000,3,,0,0.000000,-78.983288,7.329848,3.976958,34.472893,1,12.863999999999999,12.686000000000002,11.998,1,1,1,1,1,80.28856123760941,76.3483432430164,88.16899722679543,1,0.4800644094345934,0.3610206634805303,0.11904374595406308
2010-03-22,sh.600077,13.1000,13.61,13.1,13.22,5350439,71805445.0000,3,4.077398,1,1.770600,-80.381761,7.459630,4.047374,35.083267,1,12.931999999999999,12.791,12.109499999999999,1,1,1,1,1,79.57096864501682,78.09293919712918,82.52702754079209,1,0.5012554462557173,0.3890676200355677,0.11218782622014956
2010-03-23,sh.600077,13.2200,13.4,12.98,13.19,3910090,51420059.0000,3,2.979754,1,-0.226900,-80.199351,7.442702,4.038189,35.003653,1,13.053999999999998,12.907000000000002,12.210999999999999,1,1,1,1,1,73.8253546099291,77.89496149751841,65.68614083475046,-1,0.5097526352608064,0.41320462308061545,0.09654801218019093
2010-03-24,sh.600077,13.2100,13.4,12.9,13.03,3517788,46041014.0000,3,2.680793,1,-1.213000,-79.226501,7.352419,3.989205,34.579045,1,13.083999999999998,12.949000000000002,12.301499999999999,-1,1,1,1,1,62.3070987654321,71.9011406734593,43.119014949377714,-1,0.49783729746979866,0.4301311579584521,0.06770613951134657
2010-03-25,sh.600077,13.0100,13.25,12.87,13.0,2280877,29683269.0000,3,1.738183,1,-0.230200,-79.044091,7.335491,3.980020,34.499431,1,13.085999999999995,12.968,12.3905,-1,1,1,1,1,51.60493827160494,62.57913054898867,29.656553716837465,-1,0.4804353969501225,0.4401920057567862,0.04024339119333631
2010-03-26,sh.600077,13.0900,13.23,12.88,12.96,4375802,56924013.0000,3,3.334658,1,-0.307700,-78.800879,7.312920,3.967774,34.393279,1,13.079999999999995,12.972,12.4775,-1,-1,1,1,1,43.20987654320993,52.37397119341562,24.88168724279855,-1,0.4581354988569277,0.4437807043768145,0.014354794480113231
