date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600079,14.3900,14.8,14.35,14.4,11364937,165684193.0000,3,3.494268,1,0.069500,35.911740,3.953882,5.399623,13.070889,0,13.988000000000003,13.645,13.704499999999992,1,1,1,1,1,89.83149940707644,80.86317093154686,107.7681563581356,1,-0.2115198776874223,-0.4428484764248473,0.231328598737425
2010-02-26,sh.600079,14.3000,15.07,14.2,14.83,10811814,160501867.0000,3,3.324204,1,2.986100,36.984105,4.071949,5.560862,13.461201,0,14.228000000000003,13.793000000000001,13.74099999999999,1,1,1,1,1,86.61446755803281,86.97793014675817,85.88754238058212,-1,-0.11677707847886154,-0.37763419683565014,0.2608571183567886
2010-03-01,sh.600079,14.8000,15.52,14.75,15.4,12010050,183426346.0000,3,3.692614,1,3.843600,38.405611,4.228457,5.774597,13.978590,0,14.578000000000003,14.012,13.80799999999999,1,1,1,1,1,86.44305647753082,87.62967448088001,84.06982047083241,-1,0.004252488746978145,-0.30125685971912447,0.3055093484661026
2010-03-02,sh.600079,15.3500,15.48,15.09,15.42,7601046,115990867.0000,3,2.337020,1,0.129900,38.455489,4.233948,5.782096,13.996744,0,14.888000000000002,14.232999999999999,13.918499999999991,1,1,1,1,1,92.82420542833923,88.62724315463429,101.21812997574912,1,0.10062320393819846,-0.22088084698765986,0.3215040509258583
2010-03-03,sh.600079,15.4100,15.62,15.15,15.6,9765718,150487042.0000,3,3.002571,1,1.167300,38.904386,4.283372,5.849592,14.160130,0,15.13,14.466999999999999,14.027499999999993,1,1,1,1,1,96.58070513087887,91.94932234558297,105.84347070147066,1,0.18933959670695089,-0.1388367582487377,0.3281763549556886
2010-03-04,sh.600079,15.6200,15.81,14.89,15.22,14721344,226946540.0000,3,4.526230,1,-2.435900,37.956715,4.179033,5.707102,13.815204,0,15.294000000000002,14.641,14.107999999999993,-1,1,1,1,1,89.97029237073347,93.1250676433172,83.66074182556602,-1,0.2263756355234161,-0.06579427949430694,0.29216991501772305
2010-03-05,sh.600079,15.3200,15.44,15.0,15.24,6285191,96102332.0000,3,1.932447,1,0.131400,38.006592,4.184525,5.714601,13.833358,0,15.376000000000001,14.802000000000001,14.175999999999993,-1,1,1,1,1,83.44908739751611,90.00002829970948,70.34720559312936,-1,0.2544081373252247,-0.0017537961304006089,0.2561619334556253
2010-03-08,sh.600079,15.2600,15.52,15.18,15.4,5475021,84162849.0000,3,1.683352,1,1.049900,38.405611,4.228457,5.774597,13.978590,0,15.376000000000001,14.977,14.241999999999994,1,1,1,1,1,76.67232696187284,83.36390224337414,63.28917639887024,-1,0.2862352183685193,0.05584400676938337,0.23039121159913592
2010-03-09,sh.600079,15.4200,15.46,15.22,15.32,3122878,47991833.0000,3,0.960161,1,-0.519500,38.206102,4.206491,5.744599,13.905974,0,15.356,15.122,14.310499999999994,-1,1,1,1,1,74.79070474776981,78.30403970238625,67.76403483853693,-1,0.30152725943242764,0.10498065730199223,0.1965466021304354
2010-03-10,sh.600079,15.3100,15.47,14.79,14.81,6279240,94310014.0000,3,1.930617,1,-3.329000,36.934228,4.066458,5.553362,13.443047,0,15.197999999999999,15.163999999999998,14.369499999999993,-1,-1,1,1,1,62.06996427766874,71.17766532910379,43.854562174798644,-1,0.2693882345174572,0.13786217274508522,0.13152606177237197
2010-03-11,sh.600079,14.8500,14.91,14.4,14.76,4359956,64078144.0000,3,1.340514,1,-0.337600,36.809534,4.052729,5.534614,13.397662,0,15.106,15.199999999999998,14.422499999999994,-1,-1,1,-1,1,44.328443680895134,60.39637090211122,12.192589238462958,-1,0.23714953141293726,0.15771964447865564,0.07942988693428163
2010-03-12,sh.600079,14.7600,14.96,14.5,14.64,6972937,102689834.0000,3,2.143902,1,-0.813000,36.510270,4.019780,5.489617,13.288738,0,14.986,15.180999999999994,14.486999999999991,-1,-1,1,-1,1,26.813796749041916,44.4040682358686,-8.366746224611447,-1,0.199616079904688,0.1660989315638621,0.03351714834082589
2010-03-15,sh.600079,14.6400,14.81,14.44,14.56,3209616,46804256.0000,3,0.986830,1,-0.546400,36.310760,3.997814,5.459619,13.216122,0,14.818000000000001,15.096999999999994,14.554499999999994,-1,-1,1,-1,1,17.966903073286066,29.70304783440771,-5.505386448957218,-1,0.16155293607452492,0.16518973246599467,-0.003636796391469743
2010-03-16,sh.600079,14.6500,14.76,14.48,14.59,3133575,45810574.0000,3,0.963450,1,0.206000,36.385576,4.006051,5.470868,13.243353,0,14.672,15.013999999999996,14.623499999999993,-1,-1,-1,-1,1,13.947990543735242,19.576230122021077,2.6915113871635725,-1,0.1322834879332344,0.15860848355944263,-0.026324995626208214
2010-03-17,sh.600079,14.7800,15.29,14.74,15.19,8501877,127922444.0000,3,2.613990,1,4.112400,37.881898,4.170796,5.695853,13.787973,0,14.748,14.972999999999995,14.719999999999994,1,1,1,-1,1,31.78613644039176,21.233676685804358,52.89105594956657,1,0.1557073278460912,0.15802825241677235,-0.0023209245706811432
