date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600080,5.7000,5.96,5.67,5.96,15395938,90949751.0000,3,5.042956,1,4.929600,-31.401247,2.812496,3.619285,-77.622579,1,5.68,5.598,5.5325,1,1,1,1,1,91.89189189189189,87.31765953988173,101.04035659591221,1,-0.09461879735633794,-0.20169581790224772,0.10707702054590978
2010-02-26,sh.600080,5.9800,6.02,5.95,5.99,14960213,89559055.0000,3,4.900234,1,0.503400,-31.559307,2.826653,3.637502,-78.013297,1,5.76,5.651,5.542499999999999,1,1,1,1,1,98.27586206896554,92.37379141593699,110.08000337502264,1,-0.057877907320619926,-0.17293223578592215,0.11505432846530222
2010-03-01,sh.600080,6.0100,6.1,5.98,6.02,11074194,66704700.0000,3,3.627364,1,0.500800,-31.717367,2.840810,3.655720,-78.404014,1,5.845999999999999,5.700999999999999,5.562999999999999,1,1,1,1,1,94.2354580285615,94.80107066313963,93.10423275940525,-1,-0.026039570029722903,-0.1435537026346823,0.11751413260495941
2010-03-02,sh.600080,6.0100,6.23,5.97,6.0,11496962,69642429.0000,3,3.765843,1,-0.332200,-31.611994,2.831372,3.643575,-78.143536,1,5.93,5.751999999999999,5.594999999999999,1,1,1,1,1,84.5308166783505,92.3473789252925,68.89769218446651,-1,-0.002393698134806499,-0.11532170173470715,0.11292800359990066
2010-03-03,sh.600080,6.0300,6.18,6.0,6.08,8319941,50511850.0000,3,2.725206,1,1.333300,-32.033487,2.869123,3.692156,-79.185450,1,6.01,5.805999999999999,5.6324999999999985,1,1,1,1,1,79.92584068533431,86.23070513074877,67.31611179450536,-1,0.022541314867020823,-0.08774909841436156,0.11029041328138238
2010-03-04,sh.600080,6.0800,6.08,5.79,5.83,8396680,49724798.0000,3,2.750342,1,-4.111800,-30.716321,2.751149,3.540340,-75.929469,1,5.983999999999999,5.831999999999999,5.657499999999999,-1,-1,1,1,1,67.08860759493665,77.18175498620717,46.90231281239559,-1,0.021877392690480058,-0.06582380019339323,0.08770119288387329
2010-03-05,sh.600080,5.8100,6.0,5.8,5.9,4400972,25871599.0000,3,1.441543,1,1.200700,-31.085127,2.784182,3.582849,-76.841143,1,5.965999999999998,5.862999999999999,5.679999999999999,-1,1,1,1,1,62.86919831223624,69.96121553083574,48.68516387503723,-1,0.026691956310678222,-0.04732064889257894,0.07401260520325717
2010-03-08,sh.600080,5.9100,5.98,5.86,5.91,3298631,19581488.0000,3,1.080470,1,0.169500,-31.137814,2.788901,3.588921,-76.971383,1,5.943999999999998,5.894999999999999,5.7029999999999985,-1,1,1,1,1,54.58644009016817,61.51474866578037,40.72982293894377,-1,0.030957589274529518,-0.03166500125915725,0.06262259053368677
2010-03-09,sh.600080,5.9000,5.95,5.84,5.92,2917063,17182736.0000,3,0.955487,1,0.169200,-31.190500,2.793620,3.594994,-77.101622,1,5.927999999999999,5.928999999999999,5.728999999999998,-1,-1,1,-1,1,53.011696268588906,56.82244489033112,45.39019902510448,-1,0.03474453716045822,-0.018383093575234155,0.05312763073569238
2010-03-10,sh.600080,5.9300,5.99,5.79,5.82,4056031,23838153.0000,3,1.328557,1,-1.689200,-30.663634,2.746431,3.534268,-75.799230,1,5.8759999999999994,5.943,5.748999999999998,-1,-1,1,-1,1,35.87514084089426,47.82442573321712,11.976571056248545,-1,0.02933836200373019,-0.008838802459441285,0.03817716446317147
2010-03-11,sh.600080,5.8500,5.89,5.75,5.82,2934878,17083461.0000,3,0.961323,1,0.000000,-30.663634,2.746431,3.534268,-75.799230,1,5.874,5.928999999999999,5.763499999999998,-1,-1,1,-1,1,22.014790764790778,36.96720929142466,-7.890046288476981,-1,0.024768414379470194,-0.0021173590916589895,0.026885773471129183
2010-03-12,sh.600080,5.8300,5.88,5.75,5.76,2937758,17025095.0000,3,0.962266,1,-1.030900,-30.347514,2.718117,3.497832,-75.017794,1,5.845999999999999,5.905999999999999,5.778499999999998,-1,-1,-1,-1,1,7.82828282828284,21.9060714779893,-20.32729447113008,-1,0.016119385165255906,0.0015299897597239897,0.014589395405531917
2010-03-15,sh.600080,5.7500,5.77,5.55,5.59,3242399,18183932.0000,3,1.062051,1,-2.951400,-29.451841,2.637895,3.394597,-72.803727,1,5.781999999999999,5.8629999999999995,5.781999999999998,-1,-1,-1,-1,1,7.671957671957668,12.505010421677104,-1.9941478274812034,-1,-0.00440187003294934,0.0003436178011893237,-0.004745487834138664
2010-03-16,sh.600080,5.6000,5.66,5.55,5.61,1799173,10090668.0000,3,0.589321,1,0.357800,-29.557214,2.647333,3.406743,-73.064206,1,5.719999999999999,5.824,5.7879999999999985,-1,-1,-1,-1,-1,6.584431466506949,7.361557322249161,5.030179755022525,-1,-0.01883417117076913,-0.0034919399932023675,-0.015342231177566765
2010-03-17,sh.600080,5.6600,5.76,5.61,5.75,3560498,20265165.0000,3,1.166245,1,2.495500,-30.294827,2.713398,3.491759,-74.887555,1,5.705999999999999,5.7909999999999995,5.798499999999999,1,-1,-1,-1,-1,20.704801836877344,11.653730325113996,38.806944860404045,1,-0.01875880401469221,-0.006545312797500336,-0.012213491217191874
2010-03-18,sh.600080,5.7900,5.92,5.75,5.77,2659493,15459501.0000,3,0.871120,1,0.347800,-30.400201,2.722836,3.503905,-75.148034,1,5.695999999999999,5.784999999999999,5.808499999999999,1,-1,-1,-1,-1,35.25506638714186,20.848099896842058,64.06899936774147,1,-0.016890538533268717,-0.008614357944654013,-0.008276180588614705
