date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600081,10.0000,10.36,10.0,10.27,5282902,54043811.0000,3,1.684814,1,1.884900,-45.742671,9.546300,2.982183,-3589.244549,0,10.034000000000002,10.11,10.075000000000001,1,1,1,-1,-1,54.68604108309987,46.36826953003421,71.3215841892312,1,0.10214217881431864,0.14050839052642575,-0.03836621171210711
2010-02-26,sh.600081,10.3100,10.53,10.18,10.45,5566802,57725761.0000,3,1.775355,1,1.752700,-46.544393,9.713615,3.034452,-3652.152437,0,10.100000000000003,10.142999999999999,10.066500000000001,1,1,1,-1,1,74.46778711484593,56.782601929660736,109.83815748521634,1,0.12406319581302228,0.13721935158374504,-0.013156155770722766
2010-03-01,sh.600081,10.4900,10.78,10.38,10.43,6239353,65813697.0000,3,1.989843,1,-0.191400,-46.455313,9.695025,3.028644,-3645.162672,0,10.216000000000003,10.166,10.063,1,1,1,1,1,80.96961861667744,70.04114893820775,102.82655797361679,1,0.13822851459191554,0.13742118418537913,0.0008073304065364106
2010-03-02,sh.600081,10.5000,10.63,10.17,10.32,4758756,49128000.0000,3,1.517654,1,-1.054700,-45.965372,9.592776,2.996702,-3606.718962,0,10.310000000000002,10.175,10.0825,1,1,1,1,1,76.69108669108671,77.37616414087005,75.32093179152005,-1,0.1389765163179213,0.13773225061188757,0.0012442657060337259
2010-03-03,sh.600081,10.3000,10.48,10.13,10.25,6165792,63291757.0000,3,1.966383,1,-0.678300,-45.653591,9.527709,2.976376,-3582.254783,0,10.344000000000003,10.174,10.1105,-1,1,1,1,1,65.64102564102568,74.4339103162633,48.05525629055043,-1,0.13239473400846258,0.13666474729120257,-0.004270013282739987
2010-03-04,sh.600081,10.4000,10.52,9.75,9.79,5791703,59154205.0000,3,1.847080,1,-4.487800,-43.604747,9.100124,2.842802,-3421.490178,0,10.248000000000003,10.141,10.1085,-1,-1,-1,1,1,49.23076923076923,63.85429385429389,19.983719983719922,-1,0.08903413836420171,0.1271386255058024,-0.038104487141600696
2010-03-05,sh.600081,9.9400,10.12,9.81,9.96,4286037,42712208.0000,3,1.366895,1,1.736500,-44.361929,9.258144,2.892166,-3480.903184,0,10.150000000000004,10.125,10.111,-1,-1,-1,1,1,40.00000000000001,51.62393162393166,16.752136752136707,-1,0.06760878122566005,0.11523265664977393,-0.04762387542411388
2010-03-08,sh.600081,10.0300,10.1,9.9,10.0,3255044,32529638.0000,3,1.038093,1,0.401600,-44.540089,9.295326,2.903781,-3494.882715,0,10.064000000000004,10.14,10.127500000000001,-1,-1,-1,-1,-1,30.580894032221465,39.93722108766359,11.86823992133722,-1,0.05324294550485753,0.10283471442079065,-0.049591768915933115
2010-03-09,sh.600081,10.0000,10.0,9.79,9.9,3605442,35572281.0000,3,1.149841,1,-1.000000,-44.094688,9.202373,2.874744,-3459.933888,0,9.980000000000004,10.145000000000001,10.131,-1,-1,-1,-1,-1,27.48654501554239,32.689146349254635,17.0813423481179,-1,0.03340369591727921,0.08894851072008836,-0.05554481480280915
2010-03-10,sh.600081,9.9000,10.65,9.9,10.35,10984268,114044923.0000,3,3.503083,1,4.545500,-46.098992,9.620662,3.005414,-3617.203610,0,10.000000000000004,10.172,10.145,1,1,1,-1,-1,34.5963284360054,30.88792249458977,42.01314031883667,1,0.0533768913011734,0.08183418683630536,-0.02845729553513196
2010-03-11,sh.600081,10.3900,11.1,10.15,10.93,14263853,151567411.0000,3,4.549003,1,5.603900,-48.682317,10.159791,3.173833,-3819.906808,0,10.228000000000005,10.238000000000003,10.174000000000001,1,1,1,-1,1,53.407647129329995,38.49684019362595,83.22926100073808,1,0.11468492880933923,0.08840433523091214,0.02628059357842709
2010-03-12,sh.600081,11.0200,11.15,10.73,10.96,11359648,123960775.0000,3,3.622799,1,0.274500,-48.815938,10.187677,3.182544,-3830.391456,0,10.428000000000004,10.289000000000001,10.216000000000001,1,1,1,1,1,77.36280200681496,55.1222591907168,121.8438876390113,1,0.1638045031669133,0.10348436881811238,0.06032013434880093
2010-03-15,sh.600081,10.9600,11.1,10.4,10.45,6563046,70071768.0000,3,2.093075,1,-4.653300,-46.544393,9.713615,3.034452,-3652.152437,0,10.518000000000004,10.291,10.2285,-1,1,1,1,1,74.61199294532626,68.46081402715708,86.91435078166461,1,0.15973802150213956,0.11473509935491781,0.04500292214722175
2010-03-16,sh.600081,10.5000,10.65,10.0,10.41,6543916,67024698.0000,3,2.086974,1,-0.382800,-46.366233,9.676434,3.022836,-3638.172907,0,10.620000000000005,10.3,10.2375,-1,1,1,1,1,61.190476190476176,71.05509038087247,41.461247809683584,-1,0.1515407720895432,0.12209623390184289,0.029444538187700306
2010-03-17,sh.600081,10.4200,10.68,10.19,10.66,6008240,63059297.0000,3,1.916137,1,2.401500,-47.479735,9.908817,3.095431,-3725.544974,0,10.682000000000006,10.341,10.257500000000002,-1,1,1,1,1,53.70448179271707,63.168983642839855,34.77547809247149,-1,0.16333448526098948,0.1303438841736722,0.03299060108731727
2010-03-18,sh.600081,10.6700,11.62,10.6,11.16,12242114,136942279.0000,3,3.904233,1,4.690400,-49.706739,10.373584,3.240620,-3900.289110,0,10.728000000000005,10.478,10.309500000000002,1,1,1,1,1,61.99227778543113,58.9624119228748,68.05200951054378,1,0.21059925215872077,0.14639495777068193,0.06420429438803885
2010-03-19,sh.600081,11.1100,11.4,10.82,11.16,6835405,76033785.0000,3,2.179935,1,0.000000,-49.706739,10.373584,3.240620,-3900.289110,0,10.768000000000006,10.597999999999999,10.361500000000001,1,1,1,1,1,71.23245473052613,62.30973810289146,89.07788798579548,1,0.2452300609571303,0.1661619784079716,0.0790680825491587
2010-03-22,sh.600081,11.1300,12.28,11.02,12.28,15343640,181553738.0000,3,4.893367,1,10.035800,-54.695229,11.414660,3.565843,-4291.715974,0,11.134000000000006,10.825999999999999,10.483,1,1,1,1,1,83.24225865209475,72.15566372268403,105.4154485109162,1,0.35891254578828224,0.20471209188403372,0.15420045390424852
2010-03-23,sh.600081,12.3500,12.64,12.02,12.35,13060468,160929701.0000,3,4.165221,1,0.570000,127.549708,11.479727,3.001951,-4316.180153,0,11.522000000000007,11.070999999999998,10.608,1,1,1,1,1,87.9595131644312,80.81140884901738,102.25572179525884,1,0.44947389378091174,0.25366445226340933,0.1958094415175024
2010-03-24,sh.600081,12.2000,12.52,12.01,12.14,8169512,100021344.0000,3,2.605406,1,-1.700400,125.380846,11.284526,2.950906,-4242.787616,0,11.818000000000007,11.249999999999998,10.711000000000002,1,1,1,1,1,90.0252525252525,87.07567478059282,95.92440801457187,1,0.4985521704841869,0.30264199590756485,0.19591017457662202
2010-03-25,sh.600081,12.1300,12.13,11.58,11.86,7339937,87033219.0000,3,2.340840,1,-2.306400,122.489031,11.024256,2.882845,-4144.930900,0,11.958000000000007,11.343,10.7905,-1,1,1,1,1,80.17676767676764,86.0538444554838,68.42261411933532,-1,0.5089861232234014,0.34391082137073214,0.16507530185266928
2010-03-26,sh.600081,11.7000,12.14,11.65,12.08,5610891,67071322.0000,3,1.789415,1,1.855000,124.761172,11.228754,2.936322,-4221.818320,0,12.142000000000007,11.455,10.872000000000002,-1,1,1,1,1,76.76767676767673,82.32323232323232,65.65656565656556,-1,0.5289103184097002,0.3809107207785257,0.14799959763117443
2010-03-29,sh.600081,12.0800,12.59,11.68,12.26,5882316,70703129.0000,3,1.875978,1,1.490100,126.620196,11.396069,2.980075,-4284.726209,0,12.138000000000007,11.636,10.9635,1,1,1,1,1,77.91074005359715,78.28506149934721,77.16209716209704,-1,0.5528519491863175,0.4152989664600841,0.13755298272623345
2010-03-30,sh.600081,12.2000,12.88,11.98,12.64,10272129,129555708.0000,3,3.275969,1,3.099500,130.544802,11.749292,3.072442,-4417.531752,0,12.196000000000007,11.859,11.079500000000001,1,1,1,1,1,84.25045297225745,79.6429565978438,93.46544572108473,1,0.5956227203168716,0.4513637172314416,0.14425900308543
2010-03-31,sh.600081,12.5000,12.95,12.31,12.5,6443159,81358401.0000,3,2.054841,1,-1.107600,129.098894,10.873895,3.038412,1207.966376,0,12.268000000000006,12.043000000000001,11.192000000000002,1,1,1,1,1,84.27890652183778,82.14669984923081,88.54331986705174,1,0.6111767692617001,0.4833263276374933,0.12785044162420678
2010-04-01,sh.600081,12.5000,12.97,12.44,12.89,8544459,108831915.0000,3,2.724984,1,3.120000,133.126780,11.213160,3.133211,1245.654927,0,12.474000000000007,12.216000000000001,11.347000000000003,1,1,1,1,1,88.08145318152731,85.53693755854086,93.17048442750021,1,0.6475091236285984,0.5161628868357143,0.13134623679288404
