date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600084,10.3800,10.46,10.29,10.36,3038072,31556602.0000,3,1.030964,1,0.387600,-28.434973,7.767150,18.435961,8.449312,1,10.181999999999999,10.011000000000001,9.844500000000002,1,1,1,1,1,92.63072318627862,89.35899491455035,99.17417972973516,1,-0.18092695700351769,-0.389099485432544,0.20817252842902634
2010-02-26,sh.600084,10.4000,10.42,10.24,10.31,3641995,37486019.0000,3,1.235904,1,-0.482600,-28.297739,7.729664,18.346984,8.408533,1,10.27,10.054000000000002,9.848500000000003,1,1,1,1,1,87.04351204351197,90.60551930922288,79.91949751209015,-1,-0.14421513158853294,-0.34012261466374183,0.1959074830752089
2010-03-01,sh.600084,10.3300,10.55,10.26,10.39,3814280,39768868.0000,3,1.294369,1,0.775900,-28.517314,7.789642,18.489347,8.473779,1,10.334,10.106000000000002,9.862500000000002,1,1,1,1,1,83.0417295123177,87.5719882473694,73.98121204221428,-1,-0.10742706174387529,-0.2935835040797685,0.18615644233589324
2010-03-02,sh.600084,10.4400,10.53,10.3,10.44,2932279,30552880.0000,3,0.995063,1,0.481200,-28.654548,7.827128,18.578323,8.514557,1,10.363999999999999,10.170000000000002,9.893000000000002,1,1,1,1,1,82.55332902391721,84.21285685991562,79.2342733519204,-1,-0.07339165589129237,-0.2495451344420733,0.17615347855078092
2010-03-03,sh.600084,10.4400,10.5,10.18,10.28,5083993,52188999.0000,3,1.725243,1,-1.532600,-28.215398,7.707172,18.293598,8.384066,1,10.355999999999998,10.212000000000002,9.936500000000002,-1,1,1,1,1,76.96358543417358,80.85288132346949,69.18499365558176,-1,-0.05865290024164871,-0.21136668760198837,0.15271378736033966
2010-03-04,sh.600084,10.2900,10.36,9.77,9.77,7035426,70366737.0000,3,2.387458,1,-4.961100,-26.815607,7.324812,17.386036,7.968125,1,10.238,10.21,9.950500000000002,-1,-1,-1,1,1,49.90476190476181,69.8072254542842,10.099834805717052,-1,-0.0871207936757834,-0.1865175088167474,0.09939671514096399
2010-03-05,sh.600084,9.7700,9.89,9.68,9.7,3209915,31390246.0000,3,1.089278,1,-0.716500,-26.623479,7.272331,17.261469,7.911035,1,10.116,10.193000000000001,9.954500000000001,-1,-1,-1,-1,1,22.099616858237482,49.65598806572427,-33.0131255567361,-1,-0.11401591481448392,-0.1720171900162947,0.05800127520181078
2010-03-08,sh.600084,9.6800,9.93,9.6,9.8,3172748,31076282.0000,3,1.076666,1,1.030900,-26.897948,7.347304,17.439422,7.992592,1,9.998,10.166,9.978500000000002,-1,-1,-1,-1,1,7.783827384553361,26.596068715850866,-29.84065527804165,-1,-0.12581105627854328,-0.1627759632687444,0.036964906990201135
2010-03-09,sh.600084,9.8000,9.94,9.69,9.85,1723201,16903575.0000,3,0.584765,1,0.510200,-27.035182,7.384790,17.528399,8.033371,1,9.879999999999999,10.122,10.002000000000002,-1,-1,-1,-1,-1,16.555757209114756,15.479733817301849,18.707803992740565,1,-0.12962991575860627,-0.15614675376671677,0.0265168380081105
2010-03-10,sh.600084,9.8500,9.85,9.85,9.85,0,0.0000,3,,0,0.000000,-35.268959,7.507729,23.061646,9.260061,1,9.794,10.075,10.013500000000002,1,-1,-1,-1,-1,24.561403508771956,16.300329367480007,41.08355179135585,1,-0.13114463568448365,-0.15114633015027015,0.020001694465786507
