date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600088,20.0500,20.37,19.92,20.22,5322761,107652330.0000,3,4.439829,1,0.447100,87.411402,5.602522,4.699946,125.752417,0,19.564,19.419999999999995,18.649999999999995,1,1,1,1,1,83.45765141210713,77.01943749725768,96.33407924180602,1,0.6063847344511331,0.4573602477736915,0.14902448667744156
2010-02-26,sh.600088,20.1300,20.8,20.02,20.07,4204153,85581712.0000,3,3.506774,1,-0.741800,86.762950,5.560961,4.665080,124.819535,0,19.764,19.503999999999994,18.798999999999996,1,1,1,1,1,80.25494309873481,79.92178883606626,80.92125162407191,1,0.6317172539348483,0.49223164900592287,0.13948560492892548
2010-03-01,sh.600088,20.1300,20.4,19.88,20.12,3907991,78755348.0000,3,3.259739,1,0.249100,86.979100,5.574814,4.676702,125.130496,0,19.997999999999998,19.553999999999995,18.948499999999996,1,1,1,1,1,76.61071905397672,80.10777118827288,69.61661478538443,-1,0.648354216448471,0.5234561624944325,0.12489805395403852
2010-03-02,sh.600088,20.2200,20.73,20.04,20.6,7255627,147657857.0000,3,6.052074,1,2.385700,89.054149,5.707812,4.788274,128.115717,0,20.227999999999998,19.71099999999999,19.134499999999996,1,1,1,1,1,78.09523809523809,78.32030008264987,77.64511412041455,-1,0.6922908199397924,0.5572230939835044,0.1350677259562879
2010-03-03,sh.600088,20.4700,20.87,20.22,20.78,6037264,124120543.0000,3,5.035811,1,0.873800,89.832292,5.757686,4.830113,129.235174,0,20.357999999999997,19.84999999999999,19.318499999999993,1,1,1,1,1,86.83673469387757,80.51423061436412,99.48174285290446,1,0.7331837050690027,0.5924152162006041,0.14076848886839854
2010-03-04,sh.600088,20.6900,21.08,19.91,20.0,5747008,118186475.0000,3,4.793702,1,-3.753600,86.460338,5.541565,4.648809,124.384191,0,20.314,19.938999999999993,19.448499999999996,-1,1,1,1,1,82.9016221873365,82.61119832548405,83.48246991104139,1,0.6946446982036427,0.6128611126012118,0.08178358560243093
2010-03-05,sh.600088,20.3000,20.34,19.5,19.65,4041440,80110369.0000,3,3.371052,1,-1.750000,84.947282,5.444588,4.567455,122.207467,0,20.23,19.996999999999993,19.556499999999993,-1,-1,1,1,1,68.16239316239316,79.30025001453575,45.88667945810798,-1,0.6286139127882855,0.6160116726386266,0.012602240149658939
2010-03-08,sh.600088,19.9800,20.19,19.7,19.99,2852126,57039720.0000,3,2.379019,1,1.730300,86.417108,5.538794,4.646485,124.321999,0,20.204,20.100999999999996,19.593999999999994,-1,-1,1,1,1,50.42925824175822,67.16442453049596,16.95892566428273,-1,0.5968392072601496,0.6121771795629312,-0.015337972302781555
2010-03-09,sh.600088,19.9300,19.95,19.5,19.66,3037686,59695816.0000,3,2.533799,1,-1.650800,84.990513,5.447358,4.569780,122.269660,0,20.016,20.121999999999996,19.650999999999996,-1,-1,1,-1,1,33.65826552139841,50.74997230851661,-0.5251480528379915,-1,0.538818122219471,0.5975053680942392,-0.058687245874768146
2010-03-10,sh.600088,19.6600,19.85,19.0,19.23,2399693,46472435.0000,3,2.001635,1,-2.187200,83.131615,5.328215,4.469830,119.595399,0,19.705999999999996,20.031999999999996,19.708999999999996,-1,-1,-1,-1,-1,21.471147084280002,35.186223615812224,-5.959005978784447,-1,0.45291763539592367,0.5685878215545761,-0.11567018615865243
2010-03-11,sh.600088,19.2300,19.33,18.71,18.98,2051591,39050098.0000,3,1.711276,1,-1.300100,82.050861,5.258945,4.411720,118.040597,0,19.502,19.907999999999994,19.663999999999998,-1,-1,-1,-1,-1,10.858893216488172,21.99610194072221,-11.415524231979902,-1,0.360512209703451,0.5269726991843511,-0.1664604894809001
2010-03-12,sh.600088,19.0500,19.29,18.86,18.95,1783144,33938675.0000,3,1.487359,1,-0.158100,81.921171,5.250633,4.404747,117.854021,0,19.362,19.795999999999996,19.65,-1,-1,-1,-1,-1,10.858893216488148,14.396311172418786,3.7840573046268737,-1,0.281613232768283,0.4779008059011375,-0.1962875731328545
2010-03-15,sh.600088,18.7000,19.12,18.62,18.83,1462418,27583295.0000,3,1.219834,1,-0.633200,81.402409,5.217383,4.376854,117.107716,0,19.13,19.666999999999994,19.610499999999995,-1,-1,-1,-1,-1,10.018524235875221,10.578770222950526,8.898032261724612,-1,0.20701587781601916,0.4237238202841138,-0.21670794246809466
2010-03-16,sh.600088,18.8000,19.19,18.8,19.17,1656912,31496369.0000,3,1.382066,1,1.805600,82.872234,5.311590,4.455884,119.222247,0,19.032,19.523999999999994,19.6175,1,-1,-1,-1,-1,13.673630407190117,11.51701595318451,17.986859315201333,1,0.17333400851933334,0.37364585793115773,-0.2003118494118244
2010-03-17,sh.600088,19.1700,19.83,19.17,19.67,3245061,63292654.0000,3,2.706775,1,2.608200,85.033743,5.450129,4.572104,122.331852,0,19.119999999999997,19.412999999999993,19.6315,1,1,1,-1,-1,30.646940190332145,18.11303161113251,55.71475734873142,1,0.18485580313281957,0.3358878469714901,-0.15103204383867053
2010-03-18,sh.600088,19.7300,20.23,19.56,19.71,3077458,61145048.0000,3,2.566974,1,0.203400,85.206663,5.461212,4.581402,122.580620,0,19.266,19.383999999999993,19.661499999999997,1,1,1,-1,-1,50.368699519726725,31.56309003908301,87.97991848101415,1,0.1949671145464329,0.30770370048647866,-0.11273658594004576
2010-03-19,sh.600088,19.6000,20.1,19.46,19.9,2474980,48986365.0000,3,2.064434,1,0.964000,86.028037,5.513857,4.625565,123.762270,0,19.455999999999996,19.408999999999995,19.702999999999996,1,1,1,1,-1,69.41716019066878,50.1442666335759,107.96294730485455,1,0.21582392987565768,0.28932774636431446,-0.07350381648865678
