date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600095,6.8700,6.94,6.8,6.9,10537694,72490034.0000,3,2.916899,1,0.436700,-78.605163,3.780605,7.696260,48.038724,0,6.732000000000006,6.651000000000002,6.6260000000000066,1,1,1,1,1,77.52192982456148,76.31314094414785,79.93950758538875,1,-0.038937602871596866,-0.11275637575946244,0.07381877288786558
2010-02-26,sh.600095,6.8700,7.05,6.85,6.93,10011787,69559931.0000,3,2.771325,1,0.434800,-78.946925,3.797043,7.729722,48.247588,0,6.820000000000006,6.686000000000002,6.622000000000005,1,1,1,1,1,81.20090337784767,78.8992205258984,85.80426908174618,1,-0.016648465134896817,-0.09353479363454932,0.0768863284996525
2010-03-01,sh.600095,6.9500,7.15,6.91,7.07,17295744,122070659.0000,3,4.787569,1,2.020200,-80.541812,3.873751,7.885878,49.222286,0,6.914000000000006,6.735000000000002,6.619500000000005,1,1,1,1,1,84.31664728306522,81.01316016182479,90.92362152554611,1,0.01217235178285847,-0.07239336455106776,0.08456571633392623
2010-03-02,sh.600095,7.0500,7.2,6.97,7.02,11946167,84545696.0000,3,3.306773,1,-0.707200,-79.972210,3.846355,7.830108,48.874180,0,6.9580000000000055,6.778000000000001,6.638000000000005,1,1,1,1,1,83.24957411233346,82.92237492441545,83.9039724881695,1,0.030625443649671347,-0.05178960291091994,0.08241504656059129
2010-03-03,sh.600095,7.0100,7.72,6.99,7.72,40834446,306913243.0000,3,11.303228,1,9.971500,-87.946646,4.229895,8.610888,53.747673,0,7.128000000000005,6.889000000000001,6.7000000000000055,1,1,1,1,1,89.21972336606483,85.59531492048784,96.46854025721879,1,0.10057444219318956,-0.021316793890098037,0.1218912360832876
2010-03-04,sh.600095,7.7500,7.75,7.08,7.1,42664656,314564950.0000,3,11.809842,1,-8.031100,-80.883574,3.890188,7.919340,49.431150,0,7.168000000000006,6.950000000000001,6.728000000000006,-1,1,1,1,1,75.75584349593494,82.74171365811107,61.7841031715827,-1,0.10477295168234857,0.0039011552243912867,0.10087179645795728
2010-03-05,sh.600095,7.1000,7.19,6.87,6.97,20518316,144090829.0000,3,5.679597,1,-1.831000,-79.402607,3.818959,7.774338,48.526073,0,7.176000000000006,6.998000000000002,6.750500000000005,-1,-1,1,1,1,59.64949324324325,74.87502003508101,29.198439659567725,-1,0.09649801807206249,0.02242052779392553,0.07407749027813695
2010-03-08,sh.600095,6.7800,7.11,6.78,7.02,13011668,91495645.0000,3,3.601711,1,0.717400,-79.972210,3.846355,7.830108,48.874180,0,7.166000000000006,7.040000000000002,6.781000000000006,-1,-1,1,1,1,37.727571321321314,57.71096935349984,-2.2392247430357344,-1,0.09290371945349474,0.03651716612583937,0.05638655332765537
2010-03-09,sh.600095,7.0000,7.1,6.91,7.0,8612954,60455804.0000,3,2.384119,1,-0.284900,-79.744368,3.835397,7.807800,48.734937,0,7.162000000000006,7.060000000000002,6.814000000000005,-1,-1,1,1,1,28.881458778365992,42.08617444764352,2.4720274398109296,-1,0.08743350008620077,0.04670043291791165,0.04073306716828912
2010-03-10,sh.600095,7.1300,7.57,7.09,7.37,37849571,277011003.0000,3,10.476996,1,5.285700,-83.959428,4.038125,8.220498,51.310927,0,7.092000000000006,7.110000000000002,6.8600000000000065,1,1,1,-1,1,39.24646295780317,35.28516435249683,47.16906016841584,1,0.1116669920339195,0.05969374474111322,0.05197324729280628
2010-03-11,sh.600095,7.2600,7.7,7.17,7.46,29965194,222198988.0000,3,8.294552,1,1.221200,-84.984713,4.087437,8.320884,51.937519,0,7.164000000000006,7.166000000000001,6.908500000000006,1,1,1,-1,1,51.20274914089348,39.77689029235422,74.05446683797202,1,0.13656027498972279,0.07506705079083513,0.061493224198887655
2010-03-12,sh.600095,7.4200,7.46,7.05,7.08,17788668,128455784.0000,3,4.924014,1,-5.093800,-80.655733,3.879230,7.897032,49.291908,0,7.186000000000005,7.181000000000002,6.933500000000007,-1,-1,1,1,1,53.95189003436428,48.13370071102031,65.58826868105223,1,0.12419392659339046,0.08489242595134619,0.03930150064204427
2010-03-15,sh.600095,7.1100,7.12,6.84,6.94,9808700,67941081.0000,3,2.715109,1,-1.977400,-79.060845,3.802522,7.740876,48.317209,0,7.170000000000006,7.168000000000001,6.951500000000006,-1,-1,-1,1,1,39.175257731958794,48.10996563573885,21.305841924398678,-1,0.10192178552397468,0.08829829786587189,0.013623487658102798
2010-03-16,sh.600095,6.9000,7.08,6.9,7.06,5459829,38179740.0000,3,1.511315,1,1.729100,-80.427892,3.868271,7.874724,49.152665,0,7.182000000000007,7.1720000000000015,6.975000000000006,-1,-1,1,1,1,25.429553264604824,39.518900343642635,-2.749140893470795,-1,0.09288325009324705,0.08921528831134692,0.0036679617819001253
2010-03-17,sh.600095,7.0800,7.24,7.02,7.19,8500474,60908618.0000,3,2.352984,1,1.841400,-81.908858,3.939500,8.019726,50.057742,0,7.146000000000006,7.1190000000000015,7.004000000000005,1,1,1,1,1,29.975347377857485,31.526719458140366,26.87260321729172,-1,0.09511364825899271,0.09039496030087608,0.004718687958116627
2010-03-18,sh.600095,7.1900,7.19,7.19,7.19,0,0.0000,3,,0,0.000000,-81.908858,3.939500,8.019726,50.057742,0,7.092000000000006,7.128000000000002,7.039000000000004,1,1,1,-1,1,39.332138054684016,31.579012899048774,54.83838836595451,1,0.09577719498988824,0.09147140723867851,0.004305787751209725
