date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600100,21.0200,21.3,20.8,21.07,24612323,518752797.0000,3,2.519249,1,0.381100,80.966800,2.840616,1.496063,28.774046,0,20.488,20.410999999999998,20.216,1,1,1,1,1,69.56521739130437,55.738688390009806,97.2182753938935,1,-0.058140501868031436,-0.24340903454165325,0.1852685326736218
2010-02-26,sh.600100,21.1000,21.68,20.88,21.38,27364647,586836592.0000,3,2.800969,1,1.471300,82.158053,2.882410,1.518074,29.197395,0,20.727999999999998,20.421,20.301,1,1,1,1,1,81.4433426561573,68.13354072877564,108.0629465109206,1,0.02722619635925483,-0.18928198836147164,0.21650818472072647
2010-03-01,sh.600100,21.3800,22.1,21.35,21.74,26343941,574147151.0000,3,2.696493,1,1.683800,83.541444,2.930944,1.543636,29.689026,0,21.127999999999997,20.522,20.3935,1,1,1,1,1,84.72836681074664,78.5789756194028,97.0271491934343,1,0.12251661580958739,-0.12692226752725982,0.24943888333684722
2010-03-02,sh.600100,21.6700,22.25,21.46,21.55,29127421,635766665.0000,3,2.981402,1,-0.874000,82.811321,2.905329,1.530145,29.429554,0,21.345999999999997,20.696,20.519,1,1,1,1,1,82.98245614035083,83.05138853575163,82.84459134954923,-1,0.18062145593950873,-0.06541352283390611,0.24603497877341485
2010-03-03,sh.600100,21.5000,22.0,21.5,21.88,23148583,504397640.0000,3,2.369425,1,1.531300,84.079430,2.949819,1.553576,29.880215,0,21.523999999999994,20.886000000000003,20.634999999999998,1,1,1,1,1,83.04093567251458,83.58391954120405,81.95496793513561,-1,0.25041161323857253,-0.0022484956194103872,0.2526601088579829
2010-03-04,sh.600100,21.9100,21.91,20.61,20.68,33781522,714431390.0000,3,3.457783,1,-5.484500,79.468127,2.788037,1.468371,28.241447,0,21.445999999999998,20.967000000000002,20.6475,-1,-1,1,1,1,69.12280701754385,78.38206627680312,50.60428849902533,-1,0.20651032208269626,0.03950326792101094,0.16700705416168532
2010-03-05,sh.600100,20.6800,20.86,20.14,20.36,19902244,407676130.0000,3,2.037139,1,-1.547400,78.238446,2.744896,1.445650,27.804442,0,21.241999999999997,20.985000000000003,20.643,-1,-1,-1,1,1,55.204678362573084,69.12280701754385,27.36842105263156,-1,0.14423426408783513,0.06044946715437578,0.08378479693345935
2010-03-08,sh.600100,20.3800,20.76,20.33,20.5,14654554,300418813.0000,3,1.500000,1,0.687600,78.776431,2.763770,1.455590,27.995631,0,20.994,21.061,20.6615,-1,-1,-1,-1,1,31.886034200825907,52.07117319364763,-8.484243784817536,-1,0.10496687660937809,0.06935294904537624,0.03561392756400185
2010-03-09,sh.600100,20.4500,20.63,20.0,20.25,21086001,426539817.0000,3,2.158305,1,-1.219500,77.815743,2.730066,1.437839,27.654221,0,20.734,21.04,20.661,-1,-1,-1,-1,1,20.618977670611475,35.9032300780035,-9.949527144172578,-1,0.05306260577458488,0.06609488039121797,-0.013032274616633088
2010-03-10,sh.600100,20.3900,20.75,20.03,20.27,15071007,307512297.0000,3,1.542627,1,0.098800,77.892598,2.732762,1.439259,27.681534,0,20.412,20.968,20.672,-1,-1,-1,-1,-1,13.390907495172868,21.965306455536762,-3.757890425554919,-1,0.013387606051885825,0.05555342552335154,-0.042165819471465714
