date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600107,13.4600,13.79,13.46,13.77,7950984,108493624.0000,3,2.958932,1,2.455400,357.452441,10.894269,13.927000,31.569380,0,13.800000000000006,13.884999999999994,13.635999999999996,-1,-1,1,-1,1,27.72435897435895,35.96874378851121,11.235589346054425,-1,-0.3620080305040769,-0.5166732932076837,0.1546652627036068
2010-02-26,sh.600107,13.7500,13.86,13.59,13.65,6276079,86039174.0000,3,2.335622,1,-0.871500,354.337387,10.799330,13.805632,31.294265,0,13.614000000000008,13.873999999999992,13.617999999999995,1,-1,1,-1,-1,33.653846153846146,30.7416517590936,39.47823494335124,1,-0.34115872770053457,-0.4815703801062539,0.14041165240571934
2010-03-01,sh.600107,13.5600,14.2,13.5,14.19,11535042,160176927.0000,3,4.292727,1,3.956000,368.355129,11.226556,14.351789,32.532280,0,13.666000000000007,13.904999999999992,13.641499999999994,1,1,1,-1,1,45.67307692307691,35.683760683760674,65.6517094017094,1,-0.27785903202595996,-0.4408281104901951,0.16296907846423514
2010-03-02,sh.600107,14.1300,14.28,13.78,13.84,8806416,123174970.0000,3,3.277278,1,-2.466500,359.269555,10.949650,13.997798,31.729863,0,13.77800000000001,13.905999999999992,13.673499999999994,1,-1,1,-1,1,46.79487179487179,42.04059829059829,56.30341880341878,1,-0.2530189965883185,-0.40326628770981976,0.15024729112150126
2010-03-03,sh.600107,13.8200,14.13,13.82,14.04,7344363,102694932.0000,3,2.733180,1,1.445100,364.461312,11.107882,14.200078,32.188387,0,13.898000000000007,13.890999999999991,13.732499999999993,1,1,1,1,1,53.04487179487177,48.5042735042735,62.126068376068304,1,-0.21471960703930293,-0.3655569515757164,0.15083734453641345
2010-03-04,sh.600107,14.0000,14.48,13.95,14.27,21928851,312388660.0000,3,8.160749,1,1.638200,370.431832,11.289849,14.432701,32.715690,0,13.998000000000008,13.898999999999992,13.790999999999991,1,1,1,1,1,56.75647881530233,52.19874080168197,65.87195484254305,1,-0.16391843736939826,-0.32522924873445275,0.16131081136505449
2010-03-05,sh.600107,14.3400,15.0,14.13,14.65,30156118,441270871.0000,3,11.222499,1,2.662900,380.296170,11.590490,14.817033,33.586886,0,14.198000000000008,13.905999999999992,13.869499999999992,1,1,1,1,1,69.73724804607157,59.846199552081906,89.51934503405091,1,-0.09193554446711616,-0.2785705078809854,0.18663496341386926
2010-03-08,sh.600107,14.5000,14.75,14.2,14.56,13167705,190244179.0000,3,4.900318,1,-0.614300,377.959879,11.519285,14.726007,33.380550,0,14.27200000000001,13.96899999999999,13.92649999999999,1,1,1,1,1,77.60049590931946,68.03140759023114,96.7386725474961,1,-0.041670479720687936,-0.23119050224892593,0.189520022528238
2010-03-09,sh.600107,14.4100,14.75,14.31,14.4,9286980,134194625.0000,3,3.456119,1,-1.098900,373.806474,11.392700,14.564183,33.013730,0,14.38400000000001,14.080999999999992,13.987999999999989,1,1,1,1,1,73.88264513264515,73.74012969601209,74.16767600591126,1,-0.01457767423877776,-0.1878679366468963,0.17329026240811854
2010-03-10,sh.600107,14.4000,14.47,13.81,13.97,9596845,135485566.0000,3,3.571434,1,-2.986100,362.644197,11.052501,14.129280,32.027904,0,14.37000000000001,14.133999999999991,14.002499999999989,-1,-1,-1,1,1,56.60273060273064,69.36195721489845,31.084277378395,-1,-0.027486984197523157,-0.15579174615702168,0.12830476195949853
