date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600108,6.3000,6.45,6.22,6.39,74193190,471554401.0000,3,5.148049,1,1.428600,167.988482,6.390665,9.871216,703.291847,0,6.206000000000001,6.159999999999999,5.982999999999999,1,1,1,1,1,78.73941538702663,68.65000972886035,98.91822670335918,1,0.14060914531294255,0.09912025772514028,0.04148888758780227
2010-02-26,sh.600108,6.3600,6.55,6.33,6.37,70795839,454766074.0000,3,4.912316,1,-0.313000,167.462696,6.370663,9.840320,701.090620,0,6.290000000000001,6.159999999999999,6.025999999999999,1,1,1,1,1,78.84490061909415,75.2884424394815,85.95781697831944,1,0.1513498605913668,0.10956617829838558,0.04178368229298121
2010-03-01,sh.600108,6.4000,6.63,6.35,6.59,95513885,620615289.0000,3,6.627429,1,3.453700,173.246337,6.590686,10.180174,725.304111,0,6.388000000000002,6.2,6.068999999999999,1,1,1,1,1,86.77419354838709,81.45283651816926,97.41690760882275,1,0.17559002372299393,0.12277094738330725,0.052819076339686674
2010-03-02,sh.600108,6.5600,6.59,6.41,6.51,60989339,394814383.0000,3,4.231872,1,-1.214000,171.143195,6.510677,10.056591,716.499205,0,6.432000000000002,6.243,6.119999999999999,1,1,1,1,1,85.00000000000001,83.53969805582706,87.92060388834594,1,0.18619881223098655,0.1354565203528431,0.05074229187814344
2010-03-03,sh.600108,6.5000,7.04,6.37,6.86,136758223,922138016.0000,3,9.489253,1,5.376300,180.344442,6.860714,10.597268,755.020668,0,6.544000000000002,6.324,6.1785,1,1,1,1,1,88.2485875706215,86.67426037300284,91.3972419658588,1,0.2203088452531352,0.15242698533290153,0.06788185992023368
2010-03-04,sh.600108,6.8400,6.84,6.44,6.49,97033062,643412701.0000,3,6.732841,1,-5.393600,170.617410,6.490675,10.025695,714.297979,0,6.564000000000003,6.385,6.211499999999999,-1,1,1,1,1,73.2485875706215,82.16572504708098,55.41431261770251,-1,0.21500691847273146,0.16494297196086752,0.05006394651186394
2010-03-05,sh.600108,6.5500,6.63,6.36,6.39,51463218,332604425.0000,3,3.570882,1,-1.540800,167.988482,6.390665,9.871216,703.291847,0,6.568000000000002,6.428999999999999,6.2395,-1,-1,1,1,1,56.58192090395482,72.69303201506592,24.359698681732596,-1,0.20042555796417894,0.1720394891615298,0.028386068802649128
2010-03-08,sh.600108,6.4000,6.47,6.31,6.44,34114336,218810335.0000,3,2.367094,1,0.782500,169.302946,6.440670,9.948455,708.794913,0,6.538000000000002,6.462999999999999,6.2684999999999995,-1,-1,1,1,1,37.85714285714288,55.895883777239725,1.7796610169491913,-1,0.19070596716158938,0.17577278476154173,0.014933182400047651
2010-03-09,sh.600108,6.4000,6.48,6.31,6.38,30949927,197555534.0000,3,2.147525,1,-0.931700,167.725589,6.380664,9.855768,702.191233,0,6.512000000000003,6.4719999999999995,6.291499999999999,-1,-1,1,1,1,27.694541231126625,40.711201664074764,1.6612203652303492,-1,0.1761312909810817,0.17584448600544972,0.0002868049756319935
2010-03-10,sh.600108,6.3500,6.43,6.23,6.25,32034984,202074509.0000,3,2.222814,1,-2.037600,164.307983,6.250650,9.654945,687.883262,0,6.390000000000003,6.4670000000000005,6.3134999999999994,-1,-1,-1,-1,1,16.850919831949664,27.467534640073044,-4.3823097842970995,-1,0.15233482057206782,0.17114255291877334,-0.01880773234670552
2010-03-11,sh.600108,6.2400,6.32,6.18,6.3,28053039,175186697.0000,3,1.946518,1,0.800000,165.622447,6.300656,9.732185,693.386328,0,6.352000000000003,6.458,6.308999999999999,-1,-1,-1,-1,1,11.978273098837809,18.84124472063802,-1.7476701447626155,-1,0.1359434569117628,0.16410273371737122,-0.028159276805608424
2010-03-12,sh.600108,6.2800,6.29,6.06,6.08,29001123,179137062.0000,3,2.012303,1,-3.492100,159.838806,6.080633,9.392331,669.172837,0,6.290000000000004,6.429,6.294499999999998,-1,-1,-1,-1,-1,6.154480167030951,11.661224365939463,-4.8590082307860705,-1,0.10400214969173138,0.15208261691224326,-0.048080467220511874
2010-03-15,sh.600108,6.0800,6.18,6.04,6.11,22720762,138690759.0000,3,1.576527,1,0.493400,160.627484,6.110636,9.438674,672.474677,0,6.224000000000003,6.381,6.290499999999999,-1,-1,-1,-1,-1,7.6647682328746,8.599173832914442,5.795957032794917,-1,0.0801848617023424,0.1377030658702631,-0.057518204167920695
2010-03-16,sh.600108,6.1300,6.16,5.98,6.1,21222853,128729237.0000,3,1.472592,1,-0.163700,160.364591,6.100635,9.423226,671.374063,0,6.168000000000004,6.340000000000001,6.291499999999998,-1,-1,-1,-1,-1,7.664768232874571,7.161338877593362,8.671626943436987,1,0.059813084939118966,0.12212506968403428,-0.06231198474491531
2010-03-17,sh.600108,6.1100,6.22,6.1,6.22,26878170,165645914.0000,3,1.864998,1,1.967200,163.519305,6.220647,9.608601,684.581422,0,6.1620000000000035,6.276000000000001,6.299999999999999,1,-1,-1,-1,-1,19.2921884317233,11.540574965824144,34.79541536352161,1,0.05274331015381151,0.10824871777798972,-0.055505407624178216
2010-03-18,sh.600108,6.2200,6.26,6.14,6.19,23962296,148466981.0000,3,1.662674,1,-0.482300,162.730626,6.190644,9.562258,681.279582,0,6.140000000000003,6.246,6.315499999999998,1,-1,-1,-1,-1,30.95885509838995,19.305270587662594,54.266024119844666,1,0.044210087058156766,0.09544099163402313,-0.05123090457586636
2010-03-19,sh.600108,6.1900,6.3,6.17,6.29,26991870,168223480.0000,3,1.872887,1,1.615500,165.359554,6.290655,9.716737,692.285714,0,6.182000000000004,6.236,6.332499999999999,1,1,-1,-1,-1,46.97435897435894,32.40846750149072,76.10614192009538,1,0.04499790272898885,0.08535237385301628,-0.04035447112402743
2010-03-22,sh.600108,6.3600,6.44,6.27,6.31,26956993,170413250.0000,3,1.870467,1,0.318000,165.885340,6.310657,9.747633,694.486941,0,6.222000000000003,6.223000000000001,6.342999999999999,1,1,-1,-1,-1,58.57971014492747,45.50430807255878,84.73051428966484,1,0.04669778221207466,0.07762145552482795,-0.030923673312753294
2010-03-23,sh.600108,6.3800,6.64,6.37,6.45,72584441,471265674.0000,3,5.036422,1,2.218700,169.565838,6.450671,9.963903,709.895526,0,6.292000000000003,6.23,6.350999999999999,1,1,1,1,-1,68.31708388230122,57.9570510005292,89.03714964584525,1,0.058665519331733584,0.07383026828620907,-0.01516474895447549
2010-03-24,sh.600108,6.4700,6.64,6.38,6.56,64753512,421294513.0000,3,4.493057,1,1.705400,172.457659,6.560683,10.133830,722.002271,0,6.360000000000004,6.261000000000001,6.363999999999999,1,1,1,1,-1,76.94334650856386,67.94671351193084,94.9366125018299,1,0.07614832739606214,0.0742938801081797,0.0018544472878824492
