date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600111,25.4500,25.9,25.25,25.8,14617350,375464989.0000,3,2.964038,1,1.694900,-165.295497,12.776934,9.026951,39.320223,0,25.265999999999995,24.458000000000006,23.788499999999996,1,1,1,1,1,75.89011543446686,73.12000848243008,81.43032933854045,1,-0.6463488644895143,-1.4175163738606815,0.7711675093711672
2010-02-26,sh.600111,25.5000,25.9,25.39,25.54,9683036,247907508.0000,3,1.963481,1,-1.007800,-163.629729,12.648174,8.935982,38.923973,0,25.263999999999992,24.829000000000004,23.827999999999996,1,1,1,1,1,81.64062263725621,76.19063008865517,92.54060773445829,1,-0.5225194377054336,-1.238516986629632,0.7159975489241983
2010-03-01,sh.600111,25.9800,26.28,25.6,26.04,12099414,313784696.0000,3,2.453463,1,1.957700,-166.833130,12.895789,9.110922,39.685993,0,25.45999999999999,25.199000000000005,23.924999999999997,1,1,1,1,1,84.0578384862514,80.52952551932482,91.11446442010455,1,-0.37966140318565067,-1.0667458699408356,0.687084466755185
2010-03-02,sh.600111,26.0500,26.35,25.75,25.86,10086079,262192571.0000,3,2.045208,1,-0.691200,-165.679905,12.806648,9.047944,39.411666,0,25.72199999999999,25.334000000000003,24.051,1,1,1,1,1,80.8433031962444,82.18058810658401,78.16873337556521,-1,-0.2777679413460987,-0.9089502842218883,0.6311823428757896
2010-03-03,sh.600111,26.4100,27.67,26.41,26.82,24870880,677345898.0000,3,5.043201,1,3.712300,-171.830435,13.282069,9.383830,40.874744,0,26.01199999999999,25.603,24.233999999999998,1,1,1,1,1,80.22905258199377,81.71006475482984,77.26702823632164,-1,-0.11819023829407271,-0.7507982750363251,0.6326080367422524
2010-03-04,sh.600111,26.6700,26.67,25.46,25.57,14575381,379980799.0000,3,2.955528,1,-4.660700,-163.821933,12.663031,8.946478,38.969694,0,25.96599999999999,25.616000000000003,24.346999999999998,-1,-1,1,1,1,66.01601601601604,75.69612393141806,46.655800185212,-1,-0.09153317478272172,-0.6189452549856045,0.5274120802028828
2010-03-05,sh.600111,25.5600,25.96,25.19,25.23,7682221,195897881.0000,3,1.557765,1,-1.329700,-161.643620,12.494653,8.827518,38.451521,0,25.90399999999999,25.584,24.4515,-1,-1,1,1,1,51.44144144144146,65.89550334648375,22.53331763135688,-1,-0.09672740508257505,-0.5145016850049986,0.41777427992242355
2010-03-08,sh.600111,25.4000,25.7,25.16,25.25,6874571,173901218.0000,3,1.393993,1,0.079300,-161.771756,12.504558,8.834516,38.482001,0,25.74599999999999,25.602999999999998,24.621499999999997,-1,-1,1,1,1,36.937926937926946,51.465128131794806,7.883524550191225,-1,-0.09809921053023629,-0.4312211901100461,0.3331219795798098
2010-03-09,sh.600111,25.1600,25.7,24.7,25.58,7794396,196980299.0000,3,1.580511,1,1.306900,-163.886001,12.667984,8.949977,38.984934,0,25.68999999999999,25.705999999999996,24.797499999999996,-1,-1,1,-1,1,32.40005573338906,40.259808037585806,16.680551124995574,-1,-0.07173126083218762,-0.3593232042544744,0.2875919434222868
2010-03-10,sh.600111,25.3200,25.99,25.27,25.62,7866319,202200260.0000,3,1.595095,1,0.156400,-164.142273,12.687793,8.963972,39.045896,0,25.449999999999996,25.730999999999995,24.930999999999997,1,-1,1,-1,1,31.374181374181372,33.57072134849911,26.981101425545887,-1,-0.047064277327084625,-0.29687141886899643,0.2498071415419118
