date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600115,6.4900,6.78,6.49,6.77,73957056,496264495.0000,3,4.104279,1,4.798800,-7.313332,-22.612632,1.952255,-42.148024,1,6.3100000000000005,6.147999999999996,6.2170000000000005,1,1,1,1,1,94.21865715983358,87.1551982065123,108.34557506647616,1,-0.0015018015161167853,-0.07625471729533394,0.07475291577921715
2010-02-26,sh.600115,6.7500,7.1,6.65,6.81,58635244,404864161.0000,3,3.253988,1,0.590800,-7.356542,-22.746237,1.963790,-42.397052,1,6.464,6.245999999999997,6.219,1,1,1,1,1,91.1186303429926,91.07202512720467,91.21184077456846,1,0.041422660663474,-0.05271924170357235,0.09414190236704635
2010-03-01,sh.600115,6.7900,6.95,6.75,6.86,23446480,161398148.0000,3,1.301173,1,0.734200,-7.410555,-22.913243,1.978208,-42.708338,1,6.610000000000001,6.328999999999996,6.237500000000001,1,1,1,1,1,83.97577320013546,89.77102023432055,72.38527913176532,-1,0.07856948817553544,-0.026461495727750795,0.10503098390328623
2010-03-02,sh.600115,6.8500,6.94,6.77,6.8,24248724,165432271.0000,3,1.345693,1,-0.874600,-7.345740,-22.712836,1.960906,-42.334795,1,6.74,6.404999999999997,6.2635000000000005,1,1,1,1,1,75.37399915718498,83.48946756677101,59.143062338012925,-1,0.10199142439523534,-0.0007709117031535657,0.1027623360983889
2010-03-03,sh.600115,6.8000,7.04,6.78,6.94,37703564,260884121.0000,3,2.092376,1,2.058800,-7.496975,-23.180453,2.001278,-43.206394,1,6.836,6.495999999999997,6.293000000000001,1,1,1,1,1,79.16666666666667,79.50547967466237,78.48904065067526,-1,0.1303477399588724,0.02545281862925163,0.10489492132962076
2010-03-04,sh.600115,6.9400,6.97,6.59,6.75,41960963,283814930.0000,3,2.328642,1,-2.737800,-7.291727,-22.545830,1.946488,-42.023510,1,6.831999999999999,6.570999999999996,6.304500000000001,-1,1,1,1,1,75.70346320346319,76.74804300910495,73.61430359217968,-1,0.13592208702486896,0.0475466723083751,0.08837541471649386
2010-03-05,sh.600115,6.7300,6.82,6.63,6.79,22981483,154640335.0000,3,1.275367,1,0.592600,-7.334937,-22.679435,1.958023,-42.272538,1,6.828,6.645999999999996,6.3210000000000015,-1,1,1,1,1,74.97471375976049,76.61494787663013,71.6942455260212,-1,0.14193136649794358,0.0664236111462888,0.07550775535165478
2010-03-08,sh.600115,6.8200,7.13,6.82,7.05,39278326,276737811.0000,3,2.179768,1,3.829200,-7.615804,-23.547867,2.032998,-43.891222,1,6.866,6.737999999999997,6.358000000000001,1,1,1,1,1,77.17251595756267,75.95023097359545,79.6170859254971,1,0.16576278071191464,0.08629144505941397,0.07947133565250067
2010-03-09,sh.600115,6.9900,7.13,6.91,6.98,26670311,187274169.0000,3,1.480081,1,-0.992900,-7.540186,-23.314058,2.012813,-43.455422,1,6.901999999999999,6.820999999999996,6.4075000000000015,1,1,1,1,1,79.96607656362329,77.37110209364882,85.15602550357224,1,0.17696103651246897,0.10442536335002497,0.072535673162444
2010-03-10,sh.600115,6.9600,6.99,6.76,6.78,26495096,181017861.0000,3,1.470357,1,-2.865300,-7.324134,-22.646033,1.955139,-42.210281,1,6.869999999999999,6.852999999999996,6.454000000000002,-1,-1,1,1,1,68.01845916429251,75.05235056182615,53.95067636922525,-1,0.16776353280620793,0.11709299724126157,0.050670535564946356
