date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600117,9.5200,9.75,9.45,9.74,9842563,94443818.0000,3,2.423033,1,2.310900,-28.602312,2.996812,1.428732,22.173783,0,9.503999999999998,9.400999999999998,9.374,1,1,1,1,1,65.46757164404221,53.23026646556053,89.94218200100556,1,-0.2702868713109101,-0.4349044494857949,0.16461757817488476
2010-02-26,sh.600117,9.7600,9.76,9.51,9.53,6528014,62583070.0000,3,1.607061,1,-2.156100,-27.985630,2.932199,1.397927,21.695704,0,9.505999999999997,9.419999999999998,9.376000000000001,1,1,1,1,1,77.87101787101784,64.38083702789582,104.85137955726188,1,-0.24333339526126352,-0.3965902386408886,0.15325684337962509
2010-03-01,sh.600117,9.5100,9.78,9.51,9.71,7060848,68149547.0000,3,1.738233,1,1.888800,-28.514215,2.987582,1.424331,22.105486,0,9.557999999999996,9.475999999999996,9.397000000000002,1,1,1,1,1,84.4396453219983,75.92607827901945,101.46677940795601,1,-0.2050839949914689,-0.35828898991100466,0.15320499491953576
2010-03-02,sh.600117,9.7100,9.75,9.49,9.56,6509758,62271254.0000,3,1.602566,1,-1.544800,-28.073727,2.941430,1.402328,21.764001,0,9.611999999999998,9.512999999999996,9.418000000000001,-1,1,1,1,1,74.16815210932866,78.82627176744826,64.85191279308944,-1,-0.18474518856936228,-0.3235802296426762,0.1388350410733139
2010-03-03,sh.600117,9.5800,9.9,9.56,9.86,12472249,121874397.0000,3,3.070407,1,3.138100,-28.954702,3.033734,1.446334,22.446972,0,9.679999999999998,9.567999999999996,9.457500000000001,1,1,1,1,1,84.1176470588236,80.90848149671685,90.53597818303709,1,-0.14277324406692138,-0.2874188325275252,0.14464558846060382
2010-03-04,sh.600117,9.8900,9.98,9.55,9.58,11420688,112036402.0000,3,2.811535,1,-2.839800,-28.132459,2.947584,1.405262,21.809532,0,9.647999999999998,9.575999999999997,9.480000000000002,-1,1,1,1,1,72.39750445632798,76.89443454149341,63.40364428599713,-1,-0.13059837878362046,-0.25605474177874427,0.1254563629951238
2010-03-05,sh.600117,9.6600,10.17,9.59,9.87,13734745,136165525.0000,3,3.381207,1,3.027100,-28.984068,3.036811,1.447801,22.469737,0,9.715999999999998,9.610999999999997,9.510500000000004,1,1,1,1,1,73.83602378929474,76.7837251014821,67.94062116492,-1,-0.09643746292025313,-0.22413128600704604,0.12769382308679292
2010-03-08,sh.600117,9.9600,10.05,9.77,9.99,9175063,91006942.0000,3,2.258709,1,1.215800,-29.336458,3.073733,1.465403,22.742926,0,9.771999999999997,9.664999999999996,9.543500000000003,1,1,1,1,1,69.73345968673068,71.98899597745113,65.22238710528981,-1,-0.05900156060085848,-0.19110534092580853,0.13210378032495004
2010-03-09,sh.600117,9.9100,10.17,9.75,9.99,10953767,109529347.0000,3,2.696588,1,0.000000,-29.336458,3.073733,1.465403,22.742926,0,9.857999999999997,9.734999999999996,9.565000000000003,1,1,1,1,1,76.55164150491252,73.37370832697933,82.9075078607789,1,-0.02899905524405888,-0.15868408378945859,0.1296850285453997
2010-03-10,sh.600117,10.0000,10.38,9.95,10.3,21562561,220380871.0000,3,5.308252,1,3.103100,-30.246798,3.169114,1.510876,23.448662,0,9.945999999999998,9.812999999999995,9.595500000000005,1,1,1,1,1,82.90118121578796,76.39542746914373,95.9126887090764,1,0.01956699943997542,-0.12303386714357178,0.1426008665835472
