date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600121,11.1900,11.36,11.11,11.34,6722393,75872428.0000,3,1.068505,1,2.162200,61.154680,4.352951,1.406104,1647.158403,0,11.11,11.021999999999995,11.119999999999996,1,1,1,1,-1,67.80412569886248,60.81375003069479,81.78487703519784,1,-0.535124081529645,-0.7517840080130053,0.2166599264833603
2010-02-26,sh.600121,11.3400,11.34,11.34,11.34,0,0.0000,3,,0,0.000000,61.154680,4.352951,1.406104,1647.158403,0,11.15,11.085999999999995,11.090999999999998,1,1,1,1,1,88.7218045112782,71.36537926011607,123.43465501360242,1,-0.4775316697461598,-0.6969335403596362,0.21940187061347638
2010-03-01,sh.600121,11.2900,11.54,11.15,11.45,6931770,78867072.0000,3,1.101785,1,0.970000,61.747891,4.395175,1.419744,1663.136130,0,11.219999999999999,11.140999999999995,11.076999999999996,1,1,1,1,1,95.05412467338562,83.86001829450878,117.4423374311393,1,-0.4181925246765221,-0.6411853372230134,0.22299281254649128
2010-03-02,sh.600121,11.3800,11.52,11.23,11.36,5296028,59985705.0000,3,0.841788,1,-0.786000,61.262536,4.360628,1.408584,1650.063444,0,11.318,11.181999999999995,11.087999999999997,1,1,1,1,1,89.54833893243749,91.10808937236713,86.42883805257819,-1,-0.3741155019048499,-0.5877713701593807,0.21365586825453087
2010-03-03,sh.600121,11.4800,11.92,11.31,11.8,9473023,109941573.0000,3,1.505710,1,3.873200,63.635381,4.529525,1.463142,1713.974352,0,11.457999999999998,11.251999999999995,11.121499999999997,1,1,1,1,1,87.3952288845906,90.66589749680459,80.85389166016259,-1,-0.30021908233268846,-0.5302609125940423,0.23004183026135383
2010-03-04,sh.600121,11.8000,11.97,11.3,11.35,7879478,92125076.0000,3,1.252420,1,-3.813600,61.208608,4.356789,1.407344,1648.610924,0,11.459999999999997,11.284999999999995,11.128999999999998,-1,1,1,1,1,75.50156009544112,84.1483759708231,58.207928344677185,-1,-0.27479916292620565,-0.479168562660475,0.20436939973426932
2010-03-05,sh.600121,11.3600,11.57,11.15,11.22,4414875,50135777.0000,3,0.701732,1,-1.145400,60.507540,4.306888,1.391225,1629.728155,0,11.435999999999998,11.292999999999996,11.127499999999998,-1,-1,1,1,1,63.63636363636363,75.5110508721318,39.8869891648273,-1,-0.26212202763136894,-0.4357592556546538,0.17363722802328485
2010-03-08,sh.600121,11.3000,11.41,11.23,11.3,2946579,33339967.0000,3,0.468350,1,0.713000,60.938967,4.337596,1.401145,1641.348320,0,11.405999999999997,11.312999999999995,11.162499999999998,-1,-1,1,1,1,49.618320610687014,62.91874811416394,23.017465603733157,-1,-0.2428208871282198,-0.39717158194936697,0.15435069482114716
2010-03-09,sh.600121,11.3200,12.43,11.18,12.43,17821990,217514609.0000,3,2.832754,1,10.000000,67.032863,4.771356,1.541259,1805.483153,0,11.619999999999997,11.468999999999994,11.2555,1,1,1,1,1,64.7034787615386,59.31938766952976,75.4716609455563,1,-0.13478927121118467,-0.3446951198017305,0.20990584859054584
2010-03-10,sh.600121,12.3000,12.3,11.78,11.87,19463476,232820917.0000,3,3.093664,1,-4.505200,64.012879,4.556396,1.471822,1724.141997,0,11.633999999999997,11.545999999999996,11.278,1,1,1,1,1,68.368320610687,60.896706660970885,83.31154851011921,1,-0.09328542089201441,-0.2944131800197873,0.20112775912777286
2010-03-11,sh.600121,11.7600,12.06,11.65,11.8,9017760,106871982.0000,3,1.433347,1,-0.589700,63.635381,4.529525,1.463142,1713.974352,0,11.723999999999995,11.591999999999995,11.307,1,1,1,1,1,69.01041666666664,67.36073867963076,72.30977264073843,1,-0.06528912311041957,-0.24858836863791373,0.18329924552749416
2010-03-12,sh.600121,11.7100,11.87,11.4,11.45,6200219,71954398.0000,3,0.985507,1,-2.966100,61.747891,4.395175,1.419744,1663.136130,0,11.769999999999996,11.602999999999994,11.3445,-1,-1,1,1,1,43.48958333333329,60.28944020356232,9.889869592875243,-1,-0.07053089410078783,-0.21297687373048854,0.1424459796297007
2010-03-15,sh.600121,11.5500,11.89,11.45,11.7,7922967,92439062.0000,3,1.259333,1,2.183400,63.096098,4.491140,1.450743,1699.449146,0,11.849999999999998,11.627999999999995,11.3845,-1,1,1,1,1,39.062499999999964,50.520833333333314,16.145833333333258,-1,-0.05389090391830287,-0.18115967976805142,0.12726877584974855
2010-03-16,sh.600121,11.6200,11.76,11.2,11.47,5328293,61062491.0000,3,0.846917,1,-1.965800,61.855747,4.402852,1.422224,1666.041171,0,11.657999999999998,11.638999999999994,11.4105,-1,-1,1,1,1,30.468749999999954,37.673611111111086,16.059027777777686,-1,-0.058587311565437616,-0.15664520612752866,0.09805789456209105
2010-03-17,sh.600121,11.5900,11.88,11.48,11.8,6350275,74513958.0000,3,1.009358,1,2.877100,63.635381,4.529525,1.463142,1713.974352,0,11.643999999999997,11.638999999999994,11.445500000000001,1,1,1,1,1,39.58333333333332,36.371527777777764,46.00694444444444,1,-0.03527438523124893,-0.1323710419482727,0.09709665671702378
2010-03-18,sh.600121,11.7800,12.58,11.7,12.19,16559778,201180680.0000,3,2.632129,1,3.305100,65.738584,4.679230,1.511500,1770.622657,0,11.721999999999998,11.722999999999995,11.504000000000001,1,1,1,-1,1,49.308035714285715,39.78670634920635,68.35069444444444,1,0.014503826400735775,-0.102996068278471,0.11749989467920678
2010-03-19,sh.600121,12.0500,12.49,11.92,12.39,16087329,197102811.0000,3,2.557035,1,1.640700,66.817150,4.756002,1.536299,1799.673070,0,11.909999999999997,11.839999999999995,11.5665,1,1,1,1,1,69.78422619047619,52.89186507936509,103.56894841269838,1,0.06929297994259542,-0.06853825863425772,0.13783123857685314
2010-03-22,sh.600121,12.4200,12.62,12.27,12.41,10953395,136126085.0000,3,1.741011,1,0.161400,66.925007,4.763679,1.538779,1802.578111,0,12.051999999999996,11.950999999999995,11.632,1,1,1,1,1,81.26089872568747,66.78438687681647,110.21392242342947,1,0.11302473294613158,-0.03222566031817986,0.14525039326431144
2010-03-23,sh.600121,12.4000,12.68,12.22,12.38,11105166,138390646.0000,3,1.765134,1,-0.241700,66.763222,4.752163,1.535059,1798.220549,0,12.233999999999996,11.945999999999994,11.7075,1,1,1,1,1,83.78985625464503,78.27832705693625,94.8129146500626,1,0.14360630885549952,0.002940733516556014,0.1406655753389435
2010-03-24,sh.600121,12.3500,12.57,12.16,12.19,8173732,100489985.0000,3,1.299191,1,-1.534700,65.738584,4.679230,1.511500,1770.622657,0,12.311999999999994,11.977999999999994,11.761999999999999,-1,1,1,1,1,77.27762974241851,80.77612824091703,70.28063274542146,-1,0.1507729987120623,0.03250718655565727,0.11826581215640503
2010-03-25,sh.600121,12.1600,12.16,11.8,11.85,6910282,82561966.0000,3,1.098370,1,-2.789200,63.905022,4.548718,1.469342,1721.236956,0,12.243999999999996,11.982999999999993,11.787499999999998,-1,-1,1,1,1,63.51351351351354,74.86033317019239,40.81987420015582,-1,0.12754720872831982,0.05151519099018978,0.07603201773813004
2010-03-26,sh.600121,11.8100,12.1,11.7,12.04,5222646,62325180.0000,3,0.830125,1,1.603400,64.929660,4.621651,1.492901,1748.834848,0,12.173999999999996,12.041999999999993,11.822499999999998,-1,-1,1,1,1,55.85585585585584,65.54899970392933,36.46956815970887,-1,0.1230535304364615,0.06582285887944413,0.057230671557017374
2010-03-29,sh.600121,12.1400,12.54,12.14,12.38,11933591,148235690.0000,3,1.896810,1,2.823900,66.763222,4.752163,1.535059,1798.220549,0,12.167999999999996,12.109999999999992,11.868999999999998,1,1,1,1,1,58.558558558558566,59.30930930930935,57.05705705705701,-1,0.14525303000339385,0.08170889310423407,0.06354413689915978
2010-03-30,sh.600121,12.3800,12.48,12.21,12.4,6830337,84319907.0000,3,1.085662,1,0.161600,66.871078,4.759840,1.537539,1801.125591,0,12.171999999999995,12.202999999999992,11.921,1,1,1,-1,1,67.72844272844276,60.71428571428575,81.75675675675677,1,0.16258593672958455,0.09788430182930416,0.06470163490028039
2010-03-31,sh.600121,12.4500,12.47,12.19,12.23,7222604,89086539.0000,3,1.148012,1,-1.371000,65.954297,4.694584,1.516460,1776.432740,0,12.179999999999996,12.245999999999993,11.942499999999999,1,-1,1,-1,1,66.83673469387763,64.37457866029301,71.76104676104686,1,0.16075176465774454,0.11045779439499223,0.05029397026275231
2010-04-01,sh.600121,12.3100,12.54,12.29,12.33,8357958,103580013.0000,3,1.328473,1,0.817700,66.493580,4.732970,1.528860,1790.957946,0,12.275999999999994,12.259999999999994,11.991499999999998,1,1,1,1,1,63.265306122449054,65.94349451492317,57.90892933750081,-1,0.16546001429196977,0.12145823837438774,0.04400177591758203
2010-04-02,sh.600121,12.3000,12.74,12.28,12.67,17262977,217121072.0000,3,2.743901,1,2.757500,68.327142,4.863482,1.571018,1840.343648,0,12.401999999999996,12.287999999999993,12.063999999999998,1,1,1,1,1,70.5455259026688,66.88252223966519,77.87153322867601,1,0.19438573677699544,0.13604373805490927,0.058341998722086175
2010-04-06,sh.600121,12.7200,12.99,12.48,12.64,13232256,168577169.0000,3,2.103229,1,-0.236800,68.165357,4.851966,1.567298,1835.986086,0,12.453999999999995,12.310999999999995,12.130999999999997,1,1,1,1,1,76.80772070306956,70.20618424272915,90.0107936237504,1,0.21243995539885852,0.1513229815236991,0.06111697387515941
2010-04-07,sh.600121,12.6500,12.67,12.41,12.48,6662852,83210205.0000,3,1.059041,1,-1.265800,67.302505,4.790549,1.547459,1812.745756,0,12.469999999999995,12.320999999999994,12.133499999999996,1,1,1,1,1,75.53418803418806,74.29581154664216,78.01094100927989,1,0.2114004975624404,0.16333848473144735,0.04806201283099304
