date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600143,9.6500,9.85,9.62,9.79,12300741,120140157.0000,3,1.864409,1,1.556000,100.130665,4.681296,2.263425,-81.784291,0,9.573999999999996,9.344,9.370999999999999,1,1,1,1,1,90.73151975391711,87.20402333127167,97.78651259920801,1,-0.31973643984947664,-0.5299889533606998,0.2102525135112232
2010-02-26,sh.600143,9.7700,9.84,9.66,9.8,9073713,88692759.0000,3,1.375292,1,0.102100,100.232944,4.686078,2.265737,-81.867830,0,9.619999999999996,9.431,9.355500000000001,1,1,1,1,1,95.78006344323758,90.91409116435834,105.51200800099608,1,-0.2693957795943618,-0.47787031860743223,0.20847453901307045
2010-03-01,sh.600143,9.7600,10.1,9.72,9.97,15251523,152721501.0000,3,2.311656,1,1.734700,101.971679,4.767367,2.305041,-83.287986,0,9.729999999999995,9.535,9.3575,1,1,1,1,1,92.19176343676638,92.90111554464035,90.77305922101843,-1,-0.21332380042474952,-0.42496101497089567,0.21163721454614615
2010-03-02,sh.600143,9.9800,10.04,9.8,9.86,8497276,83913266.0000,3,1.287922,1,-1.103300,100.846615,4.714768,2.279609,-82.369061,0,9.811999999999994,9.617,9.367500000000001,1,1,1,1,1,85.80017767624857,91.25733485208417,74.88586332457737,-1,-0.17573665092804625,-0.3751161421623258,0.19937949123427956
2010-03-03,sh.600143,9.8600,10.07,9.74,10.01,12410751,123441357.0000,3,1.881083,1,1.521300,102.380793,4.786494,2.314289,-83.622140,0,9.885999999999994,9.685,9.395,1,1,1,1,1,84.29330065359481,87.42841392220326,78.0230741163779,-1,-0.13231952068501052,-0.32655681786686275,0.19423729718185223
2010-03-04,sh.600143,10.1000,10.16,9.6,9.61,12996793,128506860.0000,3,1.969909,1,-3.996000,98.289652,4.595225,2.221810,-80.280596,0,9.849999999999994,9.712,9.3995,-1,-1,1,1,1,70.5678104575163,80.22042959578657,51.26257218097575,-1,-0.1287041676947691,-0.286986287832444,0.1582821201376749
2010-03-05,sh.600143,9.6200,9.82,9.58,9.66,7303005,70872640.0000,3,1.106908,1,0.520300,98.801045,4.619134,2.233370,-80.698289,0,9.821999999999994,9.721,9.413,-1,-1,1,1,1,62.561274509803894,72.47412854030502,42.73556644880165,-1,-0.12041630802782954,-0.2536722918715211,0.13325598384369158
2010-03-08,sh.600143,9.6900,9.87,9.64,9.83,6577003,64418828.0000,3,0.996869,1,1.759800,100.539779,4.700423,2.272673,-82.118446,0,9.793999999999993,9.762,9.46,1,1,1,1,1,52.89557683538527,62.008220600901836,34.67028930435214,-1,-0.09898945150213301,-0.2227357237976435,0.1237462722955105
2010-03-09,sh.600143,9.8300,9.93,9.63,9.88,7150023,70215391.0000,3,1.083721,1,0.508600,101.051172,4.724331,2.284233,-82.536139,0,9.797999999999995,9.805,9.511500000000002,1,1,1,-1,1,54.77747902154716,56.74477678891213,50.84288348681723,-1,-0.07708533939223194,-0.19360564691656118,0.11652030752432924
2010-03-10,sh.600143,9.8000,9.91,9.68,9.76,6854085,67101190.0000,3,1.038866,1,-1.214600,99.823830,4.666951,2.256489,-81.533675,0,9.747999999999994,9.817,9.546000000000001,1,-1,1,-1,1,48.12884255546646,51.933966137466314,40.51859539146676,-1,-0.06861818216205684,-0.1686081539656603,0.09998997180360347
2010-03-11,sh.600143,9.7600,9.83,9.53,9.71,6249727,60409861.0000,3,0.947264,1,-0.512300,99.312437,4.643042,2.244929,-81.115982,0,9.767999999999995,9.809000000000001,9.576500000000001,-1,-1,1,-1,1,37.11001642036133,46.672112665791666,17.98582392950067,-1,-0.06519099992004307,-0.14792472315653687,0.0827337232364938
2010-03-12,sh.600143,9.7000,9.7,9.35,9.45,14823847,140890811.0000,3,2.246833,1,-2.677700,96.653196,4.518718,2.184818,-78.943979,0,9.725999999999996,9.774000000000001,9.602500000000001,-1,-1,-1,-1,1,23.983863447465012,36.40757414109762,-0.8635579398002022,-1,-0.08250370899060222,-0.13484052032334995,0.05233681133274773
2010-03-15,sh.600143,9.4600,9.47,9.1,9.19,12207084,112866003.0000,3,1.850214,1,-2.751300,93.993955,4.394393,2.124707,-76.771975,0,9.597999999999995,9.696000000000002,9.6155,-1,-1,-1,-1,-1,16.469224540503408,25.85436813610993,-2.301062650709632,-1,-0.11586832482661791,-0.13104608122400355,0.015177756397385639
2010-03-16,sh.600143,9.1900,9.25,9.12,9.24,6064454,55773760.0000,3,0.919182,1,0.544100,94.505347,4.418302,2.136267,-77.189668,0,9.469999999999995,9.634,9.6255,-1,-1,-1,-1,-1,11.347930739964275,17.267006242644246,-0.49022026539567065,-1,-0.13669965262034367,-0.13217679550327158,-0.004522857117072093
2010-03-17,sh.600143,9.2500,9.53,9.21,9.51,6853222,64364868.0000,3,1.038735,1,2.922100,97.266867,4.547408,2.198690,-79.445210,0,9.419999999999996,9.584,9.6345,1,-1,-1,-1,-1,23.698567856331,17.171907712266243,36.751888144460516,1,-0.1299242011468209,-0.13172627663198144,0.001802075485160537
2010-03-18,sh.600143,9.4900,9.62,9.48,9.54,4864889,46430468.0000,3,0.737366,1,0.315500,97.573703,4.561753,2.205626,-79.695826,0,9.385999999999996,9.577000000000002,9.644499999999999,1,-1,-1,-1,-1,38.539061908009394,24.52852016810157,66.56014538782506,1,-0.12074201892515113,-0.12952942509061538,0.008787406165464251
2010-03-19,sh.600143,9.5300,9.8,9.46,9.74,8793957,85237412.0000,3,1.332890,1,2.096400,99.619273,4.657387,2.251865,-81.366598,0,9.443999999999996,9.585,9.653,1,1,1,-1,-1,59.83935742971888,40.69232906468644,98.13341415978375,1,-0.09621760813694635,-0.12286706169988157,0.026649453562935216
2010-03-22,sh.600143,9.7500,9.8,9.65,9.76,5775877,56113373.0000,3,0.875443,1,0.205300,99.823830,4.666951,2.256489,-81.533675,0,9.557999999999996,9.578000000000001,9.67,1,1,1,-1,-1,70.53398780306411,56.304135713597475,98.99369198199736,1,-0.074311387626107,-0.11315592688512666,0.03884453925901965
2010-03-23,sh.600143,9.7700,9.77,9.55,9.59,5624379,54185596.0000,3,0.852481,1,-1.741800,98.085095,4.585662,2.217186,-80.113519,0,9.627999999999995,9.549000000000003,9.677000000000001,-1,1,-1,1,-1,75.2377342958847,68.53702650955591,88.63914986854229,1,-0.06986279448939747,-0.10449730040598082,0.03463450591658335
2010-03-24,sh.600143,9.5900,9.73,9.59,9.61,5571764,53762908.0000,3,0.844506,1,0.208600,98.289652,4.595225,2.221810,-80.280596,0,9.647999999999994,9.534000000000002,9.675500000000003,-1,1,-1,1,-1,73.82063733661901,73.19745314518929,75.06700571947846,1,-0.06398583069864827,-0.09639500646451431,0.032409175765866036
2010-03-25,sh.600143,9.6100,9.61,9.4,9.45,7113294,67313476.0000,3,1.078154,1,-1.664900,96.653196,4.518718,2.184818,-78.943979,0,9.629999999999995,9.508000000000003,9.658500000000002,-1,-1,-1,1,-1,63.32681017612515,70.79506060287629,48.39030932262287,-1,-0.07141572139594032,-0.09139914945079951,0.019983428054859184
2010-03-26,sh.600143,9.4000,9.61,9.35,9.56,6685348,63708280.0000,3,1.013290,1,1.164000,97.778260,4.571317,2.210250,-79.862903,0,9.593999999999996,9.519000000000002,9.646500000000001,-1,1,-1,1,-1,62.52100840336127,66.55615197203515,54.45072126601352,-1,-0.06764807768132997,-0.0866489350969056,0.01900085741557564
