date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600145,8.5900,8.65,8.45,8.61,8074131,69014030.0000,3,3.465546,1,0.701800,-20.758243,14.709418,37.536336,-662.291036,0,8.409999999999997,8.19,8.122,1,1,1,1,1,96.28569655792887,89.64968009275499,109.55772948827664,1,-0.010210811204066417,-0.13848319906064413,0.1282723878565777
2010-02-26,sh.600145,8.6100,8.9,8.55,8.69,8884446,77817615.0000,3,3.813346,1,0.929200,-20.951118,14.846091,37.885106,-668.444728,0,8.537999999999997,8.255999999999998,8.139,1,1,1,1,1,91.61806417421724,93.51923503035243,87.81572246194685,-1,0.024679995713166036,-0.10585056010588209,0.13053055581904813
2010-03-01,sh.600145,8.7500,9.14,8.6,8.97,13701335,122381150.0000,3,5.880832,1,3.222100,-21.626183,15.324446,39.105800,-689.982648,0,8.663999999999996,8.362999999999998,8.183499999999999,1,1,1,1,1,87.65264974368654,91.85213682527758,79.25367558050445,-1,0.0740710268225282,-0.06986624272020003,0.14393726954272823
2010-03-02,sh.600145,8.9900,9.0,8.66,8.98,14870471,131529508.0000,3,6.382644,1,0.111500,-21.650293,15.341530,39.149396,-690.751859,0,8.759999999999996,8.462999999999997,8.2435,1,1,1,1,1,85.0508498684304,88.1071879287781,78.938173747735,-1,0.11272131014954923,-0.03334873214625018,0.1460700422957994
2010-03-03,sh.600145,8.9000,9.04,8.74,8.85,8390905,74396840.0000,3,3.601511,1,-1.447700,-21.336870,15.119437,38.582645,-680.752110,0,8.819999999999997,8.553999999999998,8.295499999999999,1,1,1,1,1,83.48388750080083,85.39579570430597,79.66007109379055,-1,0.13134792745534085,-0.0004094002259319718,0.13175732768127282
2010-03-04,sh.600145,8.8500,8.9,8.39,8.41,10014591,86480246.0000,3,4.298423,1,-4.971800,-20.276053,14.367736,36.664412,-646.906808,0,8.779999999999998,8.594999999999997,8.314999999999998,-1,-1,1,1,1,64.92067751591466,77.81847162838201,39.12508929097996,-1,0.10934487346466071,0.021541454512186566,0.08780341895247415
2010-03-05,sh.600145,8.3300,8.53,8.31,8.47,5006659,42303101.0000,3,2.148938,1,0.713400,-20.420710,14.470241,36.925989,-651.522076,0,8.735999999999999,8.636999999999997,8.336999999999998,-1,-1,1,1,1,43.086052192917286,63.830205736544315,1.597745105663222,-1,0.09564624286267964,0.036362412182285184,0.05928383068039446
2010-03-08,sh.600145,8.5700,8.77,8.55,8.59,5859463,50693279.0000,3,2.514975,1,1.416800,-20.710024,14.675250,37.449144,-660.752613,0,8.66,8.661999999999997,8.364499999999998,-1,-1,1,-1,1,28.986679495516103,45.664469734782735,-4.368900983017156,-1,0.0933963614182467,0.04776920202947749,0.04562715938876921
2010-03-09,sh.600145,8.5900,8.7,8.39,8.69,5927158,50412912.0000,3,2.544031,1,1.164100,-20.951118,14.846091,37.885106,-668.444728,0,8.601999999999999,8.680999999999997,8.393999999999998,1,1,1,-1,1,33.87036518165686,35.31436562336347,30.982364298243624,-1,0.09854649576898211,0.057924660777378414,0.0406218349916037
2010-03-10,sh.600145,8.6500,8.67,8.45,8.48,4280527,36570351.0000,3,1.837271,1,-2.416600,-20.444820,14.487325,36.969586,-652.291288,0,8.527999999999997,8.673999999999998,8.408499999999998,-1,-1,1,-1,1,33.333333333333286,32.06345933683547,35.873081326328915,1,0.08470632757347296,0.06328099413659732,0.021425333436875638
2010-03-11,sh.600145,8.4500,8.56,8.37,8.4,3290818,27735506.0000,3,1.412472,1,-0.943400,-20.251944,14.350652,36.620816,-646.137596,0,8.525999999999998,8.652999999999999,8.421499999999998,-1,-1,-1,-1,1,25.702811244979895,30.968836586656735,15.17076056162621,-1,0.0665158102969503,0.06392795736866792,0.002587852928282383
2010-03-12,sh.600145,8.4900,8.49,8.26,8.27,3930924,32736309.0000,3,1.687215,1,-1.547600,-19.938521,14.128558,36.054065,-636.137848,0,8.485999999999999,8.610999999999999,8.433499999999999,-1,-1,-1,-1,1,10.869117495623525,23.30175402464562,-13.996155562420668,-1,0.04113559521936949,0.05936948493880824,-0.018233889719438748
