date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600149,6.1800,6.32,6.18,6.27,6628843,41414287.0000,3,2.132886,1,1.292400,-129.829525,4.153506,,-280.672061,1,6.132000000000001,6.089000000000001,6.1899999999999995,1,1,1,1,-1,73.26688815060903,61.41029450161606,96.980075448595,1,0.010358632146174607,0.020099616580333546,-0.009740984434158939
2010-02-26,sh.600149,6.2700,6.29,6.2,6.24,4731814,29535595.0000,3,1.522501,1,-0.478500,-129.208331,4.133633,,-279.329132,1,6.168000000000001,6.096000000000002,6.1899999999999995,1,1,1,1,-1,85.16057585825024,73.7615356220007,107.95865633074933,1,0.016414016223897043,0.019362496509046246,-0.0029484802851492027
2010-03-01,sh.600149,6.2700,6.42,6.2,6.37,6353321,40352280.0000,3,2.044234,1,2.083300,-131.900171,4.219751,,-285.148489,1,6.224000000000001,6.128000000000002,6.193999999999999,1,1,1,1,1,86.77782653210467,81.73509684698796,96.8632859023381,1,0.03134157906286639,0.021758313019810273,0.009583266043056114
2010-03-02,sh.600149,6.3700,6.42,6.24,6.31,7256208,45678432.0000,3,2.334746,1,-0.941900,-130.657783,4.180004,,-282.462632,1,6.276000000000001,6.162000000000002,6.205499999999999,1,1,1,1,1,82.85237708463644,84.9302598249971,78.69661160391516,-1,0.037893469275017466,0.024985344270851712,0.012908125004165754
2010-03-03,sh.600149,6.3000,6.37,6.25,6.31,8177622,51522946.0000,3,2.631219,1,0.000000,-130.657783,4.180004,,-282.462632,1,6.3,6.1910000000000025,6.202499999999999,1,1,1,1,1,80.90577932408517,83.51199431360874,75.69334934503803,-1,0.04259488218453811,0.028507251853588992,0.014087630330949116
2010-03-04,sh.600149,6.3300,6.37,6.03,6.06,7215209,44836048.0000,3,2.321554,1,-3.962000,-125.481167,4.014394,,-271.271561,1,6.258,6.195000000000003,6.1754999999999995,-1,-1,-1,1,1,57.3837667454688,73.71397438473012,24.723351466946156,-1,0.025849893641460397,0.027975780211163273,-0.0021258865697028756
2010-03-05,sh.600149,6.0900,6.14,6.03,6.09,3997143,24349970.0000,3,1.286114,1,0.495000,-126.102361,4.034267,,-272.614490,1,6.228,6.198000000000003,6.147499999999999,-1,-1,-1,1,1,40.7407407407407,59.67676227009821,2.868697682025669,-1,0.01482917733401834,0.025346459635734286,-0.010517282301715947
2010-03-08,sh.600149,6.0900,6.14,6.05,6.1,4569405,27855241.0000,3,1.470244,1,0.164200,-126.309426,4.040891,,-273.062133,1,6.1739999999999995,6.199000000000003,6.1365,-1,-1,-1,-1,1,21.538461538461473,39.887656341556976,-15.159928067729538,-1,0.006823440314410512,0.021641855771469532,-0.01481841545705902
2010-03-09,sh.600149,6.1000,6.17,6.0,6.11,5523558,33508534.0000,3,1.777251,1,0.163900,-126.516490,4.047516,,-273.509775,1,6.1339999999999995,6.205000000000004,6.137499999999999,-1,-1,-1,-1,-1,23.60195360195358,28.627051960385234,13.551756885090263,-1,0.0012711000248097903,0.017567704622137584,-0.016296604597327794
2010-03-10,sh.600149,6.1100,6.14,6.02,6.05,3874645,23541310.0000,3,1.246700,1,-0.982000,-125.274103,4.007769,,-270.823918,1,6.082,6.191000000000003,6.135,-1,-1,-1,-1,-1,18.68131868131864,21.273911273911214,13.496133496133488,-1,-0.007879834390402962,0.012478196819629476,-0.020358031210032438
2010-03-11,sh.600149,6.0100,6.08,5.98,6.01,4808955,28960866.0000,3,1.547322,1,-0.661200,-124.445844,3.981272,,-269.033347,1,6.072,6.165000000000003,6.127,-1,-1,-1,-1,-1,14.971139971139927,19.08480408480403,6.743811743811719,-1,-0.018150454409268768,0.006352466573849826,-0.024502920983118594
2010-03-12,sh.600149,6.0200,6.06,5.88,5.91,4634334,27623983.0000,3,1.491136,1,-1.663900,-122.375198,3.915028,,-264.556919,1,6.036,6.132000000000002,6.113999999999999,-1,-1,-1,-1,-1,8.092833092833034,13.915097248430518,-3.5516952183619317,-1,-0.03396760166724899,-0.001711547074369938,-0.03225605459287906
2010-03-15,sh.600149,5.9500,5.96,5.81,5.85,2336945,13743670.0000,3,0.751932,1,-1.015200,-121.132810,3.875281,,-261.871062,1,5.986,6.080000000000003,6.103999999999999,-1,-1,-1,-1,-1,6.505531505531461,9.856501523168125,-0.19640852974186984,-1,-0.05075918311817684,-0.01152107428313132,-0.039238108835045526
