date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600157,17.8900,19.56,17.89,19.02,7553889,141361181.0000,3,5.641483,1,6.435400,256.866781,13.507317,3.007315,32.385305,0,17.709999999999997,17.31499999999999,17.596,1,1,1,1,1,75.04323165248671,60.27269458940393,104.58430577865225,1,-0.6677664049052936,-1.0768538785231696,0.409087473617876
2010-02-26,sh.600157,18.8100,19.24,18.81,18.84,4449284,84549753.0000,3,3.322866,1,-0.946400,254.435865,13.379487,2.978855,32.078820,0,18.049999999999997,17.487999999999992,17.586,1,1,1,1,1,84.38818565400847,73.7665330953473,105.63149077133082,1,-0.5235938963520184,-0.9662018820889393,0.44260798573692095
2010-03-01,sh.600157,18.7200,19.56,18.72,19.44,6368941,122594244.0000,3,4.756526,1,3.184700,262.538918,13.805586,3.073723,33.100438,0,18.493999999999996,17.720999999999993,17.65,1,1,1,1,1,85.44303797468358,81.62481842705957,93.07947706993158,1,-0.3568080973846115,-0.8443231251480737,0.4875150277634622
2010-03-02,sh.600157,19.3900,19.55,19.01,19.16,3046334,58665827.0000,3,2.275099,1,-1.440300,258.757494,13.606740,3.029451,32.623683,0,18.865999999999996,17.96099999999999,17.7475,1,1,1,1,1,86.91983122362872,85.58368495077356,89.59212376933905,1,-0.24440545605818897,-0.7243395913300967,0.47993413527190776
2010-03-03,sh.600157,19.1500,19.32,18.88,19.27,2264711,43364056.0000,3,1.691358,1,0.574100,260.243053,13.684858,3.046843,32.810980,0,19.145999999999994,18.227999999999994,17.821499999999997,1,1,1,1,1,90.85315177087331,87.73867365639518,97.08210799982959,1,-0.14478053244280886,-0.6084277795526392,0.4636472471098303
2010-03-04,sh.600157,19.2500,19.43,18.33,18.45,3102335,58563893.0000,3,2.316922,1,-4.255300,249.168881,13.102524,2.917190,31.414768,0,19.031999999999996,18.37099999999999,17.835999999999995,-1,1,1,1,1,78.10382304053189,85.29226867834461,63.72693176490645,-1,-0.13049000217499795,-0.5128402240771109,0.382350221902113
2010-03-05,sh.600157,18.4400,19.02,18.44,18.75,3542003,66461121.0000,3,2.645280,1,1.626000,253.220407,13.315573,2.964624,31.925577,0,19.013999999999996,18.531999999999993,17.862499999999994,-1,1,1,1,1,72.09595959595957,80.35097813578824,55.58592251630222,-1,-0.09387502829366667,-0.4290471849204221,0.3351721566267554
2010-03-08,sh.600157,18.9000,19.05,18.5,18.73,1739927,32637021.0000,3,1.299432,1,-0.106700,252.950306,13.301369,2.961462,31.891523,0,18.871999999999996,18.682999999999993,17.949499999999993,-1,1,1,1,1,64.90790255496135,71.70256173048426,51.31858420391552,-1,-0.06571372364824768,-0.3563804926659872,0.2906667690177395
2010-03-09,sh.600157,18.7000,19.85,18.55,19.54,6735258,130840948.0000,3,5.030104,1,4.324600,263.889427,13.876602,3.089534,33.270708,0,18.947999999999997,18.90699999999999,18.072499999999998,1,1,1,1,1,73.65094522657542,70.2182691258321,80.51629742806207,1,0.021714235531476334,-0.2807615470264945,0.3024757825579708
2010-03-10,sh.600157,19.6800,19.71,19.2,19.32,2836862,55128434.0000,3,2.118658,1,-1.125900,260.918308,13.720366,3.054749,32.896115,0,18.958,19.05199999999999,18.131499999999996,1,1,1,-1,1,72.25541093630427,70.27141957261365,76.22339366368553,1,0.07241461112207048,-0.21012631539678148,0.282540926518852
2010-03-11,sh.600157,19.3500,20.65,19.35,20.1,9342948,188896579.0000,3,6.977609,1,4.037300,271.452277,14.274294,3.178077,34.224219,0,19.288,19.15999999999999,18.237499999999997,1,1,1,1,1,75.20278528834397,73.70304715040787,78.20226156421617,1,0.17353411209906255,-0.13339422989761265,0.3069283419966752
2010-03-12,sh.600157,20.0000,20.4,19.85,19.94,6213576,124890877.0000,3,4.640495,1,-0.796000,269.291463,14.160668,3.152779,33.951787,0,19.526,19.26999999999999,18.378999999999998,1,1,1,1,1,70.2737447065941,72.57731364374743,65.66660683228744,-1,0.23801766286907977,-0.05911185134427417,0.29712951421335393
2010-03-15,sh.600157,20.0100,20.55,19.28,20.05,9576810,189223972.0000,3,7.152264,1,0.551700,270.777022,14.238786,3.170172,34.139084,0,19.79,19.33099999999999,18.525999999999996,1,1,1,1,1,73.27586206896558,72.9174640213012,73.99265816429434,1,0.29460144010634437,0.011630806945849531,0.28297063316049487
2010-03-16,sh.600157,19.9900,20.15,19.59,19.91,2030805,40336926.0000,3,1.516669,1,-0.698300,268.886310,14.139363,3.148036,33.900706,0,19.863999999999997,19.405999999999988,18.6835,1,1,1,1,1,70.5459770114943,71.36519459568463,68.90754184311365,-1,0.3244080867725003,0.0741862629111797,0.25022182386132064
2010-03-17,sh.600157,19.9900,20.38,19.85,20.31,3790947,76448249.0000,3,2.831199,1,2.009000,274.288345,14.423428,3.211281,34.581785,0,20.062,19.509999999999987,18.868999999999996,1,1,1,1,1,75.61892130857649,73.14692012967876,80.56292366637194,1,0.37597274627706767,0.13454355958435732,0.24142918669271035
2010-03-18,sh.600157,20.5100,20.6,20.08,20.19,2738470,55588540.0000,3,2.045176,1,-0.590800,272.667735,14.338209,3.192307,34.377461,0,20.080000000000002,19.68399999999999,19.027499999999996,1,1,1,1,1,77.10782801801248,74.4242421126944,82.47499982864866,1,0.4025151690082609,0.18813788146913804,0.21437728753912286
2010-03-19,sh.600157,20.1000,20.5,19.82,20.36,3615357,72992728.0000,3,2.700063,1,0.842000,274.963600,14.458937,3.219187,34.666920,0,20.164,19.844999999999988,19.188499999999998,1,1,1,1,1,83.13683732288384,78.62119554982424,92.16812086900305,1,0.4322847005610946,0.23696724528752935,0.19531745527356523
2010-03-22,sh.600157,20.3600,20.49,20.0,20.23,2767527,55959673.0000,3,2.066877,1,-0.638500,273.207938,14.366615,3.198632,34.445569,0,20.200000000000003,19.994999999999987,19.339,1,1,1,1,1,78.60987003729592,79.61817845939738,76.59325319309298,-1,0.44031171587387163,0.2776361394047978,0.16267557646907382
2010-03-23,sh.600157,20.2300,20.4,19.51,19.75,3695224,73711856.0000,3,2.759710,1,-2.372700,266.725496,14.025737,3.122738,33.628274,0,20.168000000000003,20.015999999999988,19.461499999999997,-1,-1,1,1,1,63.843842764054195,75.1968500414113,41.13782820934,-1,0.4032922923625293,0.3027673699963441,0.10052492236618515
2010-03-24,sh.600157,19.7600,19.95,19.65,19.93,1565553,30988554.0000,3,1.169204,1,0.911400,269.156412,14.153566,3.151198,33.934760,0,20.092000000000002,20.07699999999999,19.5645,-1,-1,1,1,1,51.52782544803683,64.66051274979561,25.262450844519265,-1,0.38405152132244424,0.31902420026156414,0.0650273210608801
2010-03-25,sh.600157,19.9200,20.03,19.37,19.5,2211038,43430598.0000,3,1.651273,1,-2.157600,263.349224,13.848196,3.083209,33.202600,0,19.954,20.01699999999999,19.5885,-1,-1,-1,-1,1,33.40522008405208,49.59229609871434,1.0310680547275695,-1,0.3302981933414948,0.3212789988775503,0.009019194463944502
2010-03-26,sh.600157,19.6000,19.75,19.38,19.58,1416975,27725487.0000,3,1.058242,1,0.410300,264.429631,13.905009,3.095858,33.338816,0,19.798000000000002,19.980999999999987,19.6255,-1,-1,-1,-1,1,27.66075388026589,37.53126647078491,7.919728699227861,-1,0.29080144699355515,0.3151834885007513,-0.02438204150719614
2010-03-29,sh.600157,19.6000,20.72,19.6,20.68,8406230,171914429.0000,3,6.278038,1,5.618000,279.285228,14.686189,3.269783,35.211783,0,19.887999999999998,20.04399999999999,19.6875,1,1,1,-1,1,43.59229147847022,34.886088480929374,61.004697473551914,1,0.344292013849234,0.3210051935704478,0.023286820278786202
2010-03-30,sh.600157,20.5000,21.11,20.35,20.84,5799032,120793451.0000,3,4.330900,1,0.773700,281.446042,14.799815,3.295081,35.484215,0,20.106,20.13699999999999,19.771499999999996,1,1,1,-1,1,66.19765546314459,45.81690027396021,106.95916584151333,1,0.3950405546752016,0.33581226579139856,0.05922828888380305
2010-03-31,sh.600157,20.8400,20.96,20.4,20.71,3436832,70841702.0000,3,2.566735,1,-0.623800,279.690381,14.707494,3.274526,35.262864,0,20.262,20.17699999999999,19.8435,1,1,1,1,1,86.17709663686675,65.32234785949383,127.8865941916126,1,0.41992855042574107,0.35263552271826704,0.06729302770747403
2010-04-01,sh.600157,20.9900,22.78,20.89,22.78,7222426,161760054.0000,3,5.393936,1,9.995200,307.645914,16.177533,3.601821,38.787448,0,20.918,20.43599999999999,20.059999999999995,1,1,1,1,1,87.1647509578544,79.84650101928855,101.80125083498609,1,0.5997703869775783,0.4020624955701293,0.19770789140744904
2010-04-02,sh.600157,23.8900,24.99,23.6,24.41,19773111,478471293.0000,3,14.767184,1,7.155400,329.659208,17.335100,3.859546,41.562845,0,21.884,20.840999999999987,20.342999999999996,1,1,1,1,1,88.89706985178823,87.41297248216976,91.86526459102518,1,0.8638656106352549,0.4944231185831544,0.3694424920521005
2010-04-06,sh.600157,24.2000,25.5,23.78,23.88,8182399,199095320.0000,3,6.110874,1,-2.171200,322.501511,16.958713,3.775746,40.660415,0,22.524,21.20599999999999,20.600499999999997,1,1,1,1,1,87.75076970115663,87.93753017026638,87.37724876293711,-1,1.018653998280044,0.5992692945225323,0.4193847037575117
2010-04-07,sh.600157,23.9500,24.58,23.38,24.53,5376716,129058380.0000,3,4.015501,1,2.721900,331.279818,17.420320,3.878519,41.767168,0,23.262,21.68399999999999,20.849999999999994,1,1,1,1,1,82.47616393715445,86.37466783003309,74.67915615139717,-1,1.1801702108418581,0.7154494777863974,0.4647207330554607
2010-04-08,sh.600157,24.3300,25.44,24.1,24.85,6411932,160473599.0000,3,4.788633,1,1.304500,335.601447,17.647572,3.929115,42.312031,0,24.089999999999996,22.175999999999988,21.126499999999997,1,1,1,1,1,82.37595382543084,84.20096248791396,78.72593650046463,-1,1.3187920843778471,0.8361179991046874,0.4826740852731597
2010-04-09,sh.600157,24.8900,25.19,24.26,24.74,4735944,116511583.0000,3,3.536953,1,-0.442700,334.115887,17.569454,3.911723,42.124735,0,24.481999999999996,22.69999999999999,21.358499999999996,1,1,1,1,1,86.89130391437011,83.91447389231844,92.84496395847347,1,1.4035950669558659,0.9496134126749232,0.4539816542809427
2010-04-12,sh.600157,24.7400,24.74,24.74,24.74,0,0.0000,3,,0,0.000000,334.115887,17.569454,3.911723,42.124735,0,24.547999999999995,23.21599999999999,21.598499999999994,1,1,1,1,1,87.24681582723959,85.50469118901349,90.7310651036918,1,1.4540407647938487,1.0504988830987083,0.4035418816951404
2010-04-13,sh.600157,24.7000,25.6,23.65,25.39,7262561,177204373.0000,3,5.423910,1,2.627300,342.894194,18.031061,4.014497,43.231488,0,24.849999999999998,23.68699999999999,21.865499999999994,1,1,1,1,1,89.44096699197898,87.85969557786287,92.6035098202112,1,1.5288453341564399,1.1461681733102547,0.3826771608461852
2010-04-14,sh.600157,25.5800,27.3,25.58,26.92,7639683,204398414.0000,3,5.705557,1,6.026000,363.556979,19.117612,4.256410,45.836615,0,25.327999999999996,24.294999999999987,22.215999999999994,1,1,1,1,1,91.75867325955171,89.48215202625674,96.31171572614167,1,1.6920814459458633,1.2553508278373764,0.4367306181084869
2010-04-15,sh.600157,27.0000,27.5,26.21,26.53,5656920,152317548.0000,3,4.224767,1,-1.448700,358.289995,18.840648,4.194746,45.172563,0,25.663999999999998,24.87699999999999,22.526999999999994,1,1,1,1,1,88.82987067055497,90.00983697402853,86.46993806360786,-1,1.7695788959695307,1.3581964414638072,0.4113824545057234
2010-04-16,sh.600157,26.3900,26.76,25.6,26.61,2834737,74345845.0000,3,2.117071,1,0.301500,359.370402,18.897461,4.207395,45.308779,0,26.038,25.259999999999984,22.847999999999992,1,1,1,1,1,82.97537726751789,87.85464039920817,73.21685100413731,-1,1.8165118964613534,1.4498595324633166,0.3666523639980368
2010-04-19,sh.600157,25.9000,27.5,24.1,24.87,5703220,146372629.0000,3,4.259345,1,-6.538900,335.871548,17.661776,3.932278,42.346085,0,26.064,25.305999999999987,23.073499999999992,-1,-1,1,1,1,63.673139158576056,78.49279569888294,34.03382607796229,-1,1.6937783567160736,1.498643297313868,0.19513505940220566
