date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600160,9.5600,10.1,9.5,9.99,24976854,247734614.0000,3,4.485786,1,3.846200,752.186816,2.902041,1.521763,-112.109605,0,9.324,9.011,8.865999999999998,1,1,1,1,1,91.48814184312243,87.91074170172323,98.64294212592085,1,-0.0015746969097225616,-0.21797979996326175,0.2164051030535392
2010-02-26,sh.600160,9.9900,10.68,9.92,10.41,27816258,288052612.0000,3,4.995736,1,4.204200,783.810286,3.024049,1.585741,-116.822921,0,9.595999999999998,9.222999999999999,8.923999999999998,1,1,1,1,1,91.16664601315206,89.62237502885858,94.25518798173903,1,0.10004017932585718,-0.15437580410543794,0.2544159834312951
2010-03-01,sh.600160,10.4500,10.66,10.26,10.53,15997458,167160336.0000,3,2.873107,1,1.152700,792.845563,3.058908,1.604020,-118.169583,0,9.917999999999997,9.447,9.001499999999998,1,1,1,1,1,91.62258692321012,91.42579159316155,92.01617758330727,1,0.18808556464631465,-0.08588353035508742,0.2739690950014021
2010-03-02,sh.600160,10.5500,10.75,10.38,10.51,15256661,161265629.0000,3,2.740061,1,-0.189900,791.339684,3.053098,1.600974,-117.945140,0,10.211999999999998,9.612,9.086999999999998,1,1,1,1,1,89.72680098452524,90.83867797362916,87.50304700631739,-1,0.2533281250581112,-0.018041199272447683,0.2713693243305589
2010-03-03,sh.600160,10.5400,10.96,10.54,10.74,23322372,250368785.0000,3,4.188644,1,2.188400,808.657298,3.119912,1.636009,-120.526242,0,10.435999999999998,9.779,9.188999999999998,1,1,1,1,1,90.28110104729986,90.54349631834509,89.7563105052094,-1,0.3199047393401955,0.049547988450080946,0.2703567508901145
2010-03-04,sh.600160,10.7000,10.7,9.93,10.04,23448330,240082917.0000,3,4.211266,1,-6.517700,755.951515,2.916566,1.529379,-112.670714,0,10.445999999999998,9.885,9.255499999999998,-1,1,1,1,1,79.18954248366005,86.3991481718284,64.77033110732336,-1,0.3125798104804023,0.10215435285614521,0.21042545762425707
2010-03-05,sh.600160,10.1000,10.2,9.92,10.05,8620321,86875170.0000,3,1.548190,1,0.099600,756.704455,2.919471,1.530902,-112.782936,0,10.373999999999999,9.985,9.320999999999998,-1,1,1,1,1,69.62962962962955,79.70009105352983,49.48870678182897,-1,0.3040764638183937,0.1425387750485949,0.1615376887697988
2010-03-08,sh.600160,10.1200,10.75,10.12,10.69,20810877,219465272.0000,3,3.737586,1,6.368200,804.892599,3.105387,1.628393,-119.965133,0,10.405999999999997,10.161999999999999,9.432999999999998,1,1,1,1,1,68.17684700407204,72.3320063724539,59.866528267308325,-1,0.3450031698374083,0.1830316540063576,0.1619715158310507
2010-03-09,sh.600160,10.6500,11.01,10.4,10.97,26895875,291320074.0000,3,4.830437,1,2.619300,825.974912,3.186726,1.671045,-123.107344,0,10.497999999999998,10.354999999999999,9.565999999999999,1,1,1,1,1,80.92347442619621,72.90998368663263,96.95045590532337,1,0.39547277518179413,0.2255198782414449,0.16995289694034924
2010-03-10,sh.600160,10.9600,11.12,10.68,10.91,16860645,183134995.0000,3,3.028133,1,-0.546900,821.457274,3.169296,1.661905,-122.434013,0,10.531999999999996,10.483999999999998,9.677499999999998,1,1,1,1,1,88.57162257434437,79.22398133487089,107.26690505329137,1,0.42572135173159253,0.2655601729394744,0.1601611787921181
2010-03-11,sh.600160,10.9100,11.2,10.75,11.18,21090250,232154031.0000,3,3.787760,1,2.474800,841.786647,3.247730,1.703034,-125.464002,0,10.759999999999996,10.602999999999998,9.806999999999999,1,1,1,1,1,92.76283112582784,87.41930937545617,103.44987462657119,1,0.46610731510557635,0.30566960137269483,0.16043771373288152
