date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600162,7.3000,7.59,7.3,7.58,13153222,98346600.0000,3,3.636528,1,3.835600,25.528721,4.774886,3.207716,8.602499,0,7.325999999999995,7.294000000000001,7.298000000000006,1,1,1,1,1,63.26481548263015,58.13656632264641,73.52131380259762,1,-0.2399931253732479,-0.3569296440639051,0.11693651869065719
2010-02-26,sh.600162,7.5800,7.67,7.53,7.56,9687815,73575208.0000,3,2.678432,1,-0.263900,25.461363,4.762288,3.199252,8.579801,0,7.375999999999995,7.333000000000001,7.287500000000006,1,1,1,1,1,81.9056538440147,66.49214901229264,112.7326635074588,1,-0.20307488124496675,-0.32615869150011745,0.1230838102551507
2010-03-01,sh.600162,7.5800,7.62,7.44,7.59,9510004,71699363.0000,3,2.629272,1,0.396800,25.562400,4.781186,3.211948,8.613848,0,7.431999999999995,7.362000000000002,7.282500000000006,1,1,1,1,1,89.9822919301796,78.38425375227484,113.17836828598911,1,-0.16944292494793878,-0.2948155381896817,0.12537261324174293
2010-03-02,sh.600162,7.6000,7.74,7.56,7.69,11291311,86344487.0000,3,3.121757,1,1.317500,25.899191,4.844179,3.254266,8.727337,0,7.543999999999995,7.402000000000001,7.308000000000005,1,1,1,1,1,88.29501142933977,86.72765240117805,91.42972948566322,1,-0.13318492015741334,-0.26248941458322805,0.1293044944258147
2010-03-03,sh.600162,7.6500,7.69,7.52,7.67,8354509,63550238.0000,3,2.309807,1,-0.260100,25.831833,4.831580,3.245802,8.704640,0,7.617999999999995,7.441000000000001,7.336500000000005,1,1,1,1,1,90.61449509210702,89.63059948387549,92.5822863085701,1,-0.10485531617443833,-0.23096259490147011,0.12610727872703179
2010-03-04,sh.600162,7.6800,7.83,7.45,7.58,10334546,79234100.0000,3,2.857236,1,-1.173400,25.528721,4.774886,3.207716,8.602499,0,7.617999999999995,7.472000000000001,7.357500000000006,-1,1,1,1,1,84.55443395202431,87.82131349115707,78.0206748737588,-1,-0.08864431229974912,-0.20249893838112593,0.11385462608137681
2010-03-05,sh.600162,8.1000,8.34,7.78,7.79,42197442,340487727.0000,3,11.666508,1,2.770400,26.235981,4.907172,3.296584,8.840827,0,7.663999999999996,7.520000000000001,7.392500000000005,1,1,1,1,1,73.12509416447557,82.764674402869,53.8459336876887,-1,-0.058181054992801684,-0.17363536170346108,0.1154543067106594
2010-03-08,sh.600162,7.5900,7.87,7.47,7.83,24439729,186428199.0000,3,6.756957,1,0.513500,26.370697,4.932370,3.313511,8.886223,0,7.711999999999996,7.572000000000001,7.4210000000000065,1,1,1,1,1,63.59168015344963,73.75706942331655,43.26090161371579,-1,-0.030459915450403052,-0.14500027245284947,0.11454035700244641
2010-03-09,sh.600162,7.7100,8.05,7.59,7.88,20986684,164730031.0000,3,5.802279,1,0.638600,26.539093,4.963866,3.334670,8.942967,0,7.749999999999996,7.647000000000001,7.459000000000006,1,1,1,1,1,58.88825105243017,65.20167512345184,46.261402910386835,-1,-0.0044053483963821805,-0.116881287641556,0.11247593924517382
2010-03-10,sh.600162,7.8300,7.88,7.6,7.68,11678444,90180983.0000,3,3.228790,1,-2.538100,25.865512,4.837880,3.250034,8.715989,0,7.751999999999995,7.685000000000002,7.480500000000006,-1,-1,1,1,1,48.12539864778669,56.868443284555546,30.63930937424898,-1,0.00010356138550093874,-0.09348431783614461,0.09358787922164555
2010-03-11,sh.600162,7.6300,7.77,7.54,7.61,6552937,49981320.0000,3,1.811719,1,-0.911500,25.629758,4.793784,3.220411,8.636546,0,7.757999999999996,7.688000000000002,7.491000000000007,-1,-1,1,1,1,33.77492877492875,46.92952615838192,7.465734008022423,-1,-0.0019490427612911532,-0.07517726282117392,0.07322822005988276
2010-03-12,sh.600162,7.5900,7.64,7.43,7.45,6401382,48237636.0000,3,1.769818,1,-2.102500,25.090893,4.692995,3.152702,8.454963,0,7.689999999999996,7.677000000000002,7.505000000000007,-1,-1,-1,1,1,15.917785917785908,32.60603778016716,-17.4587178069766,-1,-0.016298529853378874,-0.0634015162276149,0.04710298637423603
2010-03-15,sh.600162,7.4200,7.49,7.28,7.4,5823097,42818211.0000,3,1.609937,1,-0.671100,24.922498,4.661499,3.131543,8.398218,0,7.6039999999999965,7.658000000000003,7.510000000000007,-1,-1,-1,-1,1,10.80248193455742,20.16506554242407,-7.92268528117588,-1,-0.0313438712519849,-0.0569899872324889,0.025646115980504
2010-03-16,sh.600162,7.4000,7.5,7.33,7.45,3530426,26200954.0000,3,0.976072,1,0.675700,25.090893,4.692995,3.152702,8.454963,0,7.517999999999996,7.634000000000003,7.518000000000006,-1,-1,-1,-1,-1,9.852097587946657,12.190788480096707,5.174715803646556,-1,-0.038785732789331284,-0.05334913634385738,0.014563403554526094
2010-03-17,sh.600162,7.4700,7.62,7.44,7.59,8537758,64470371.0000,3,2.360471,1,1.879200,25.562400,4.781186,3.211948,8.613848,0,7.499999999999997,7.626000000000003,7.533500000000006,1,-1,1,-1,-1,18.867924528301874,13.174168016935363,30.2554375510349,1,-0.03300615726686118,-0.049280540528458136,0.016274383261596956
2010-03-18,sh.600162,7.6500,7.74,7.59,7.67,9382309,72054177.0000,3,2.593967,1,1.054000,25.831833,4.831580,3.245802,8.704640,0,7.511999999999998,7.635000000000003,7.553500000000005,1,1,1,-1,-1,31.977456505758354,20.232492874002343,55.46738376927038,1,-0.021720094880118168,-0.04376845139879014,0.02204835651867197
2010-03-19,sh.600162,7.7400,7.84,7.7,7.74,8449664,65498569.0000,3,2.336115,1,0.912600,26.067586,4.875676,3.275425,8.784082,0,7.569999999999998,7.630000000000003,7.5750000000000055,1,1,1,-1,-1,46.54496446949272,32.46344850118436,74.70799640610943,1,-0.00704617027648613,-0.036423995174329336,0.029377824897843206
2010-03-22,sh.600162,7.7500,7.78,7.63,7.73,6752772,51927769.0000,3,1.866968,1,-0.129200,26.033907,4.869376,3.271193,8.772733,0,7.635999999999998,7.620000000000003,7.596000000000005,1,1,1,1,1,61.79653679653677,46.772985923929326,91.84363854175166,1,0.0037330717380568146,-0.028392581791852105,0.03212565352990892
2010-03-23,sh.600162,7.7300,7.8,7.64,7.73,8725424,67521547.0000,3,2.412355,1,0.000000,26.033907,4.869376,3.271193,8.772733,0,7.691999999999998,7.605000000000004,7.626000000000005,1,1,1,1,1,71.69913419913422,60.01354515505462,95.07031228729342,1,0.012135804692607444,-0.020286904494960192,0.032422709187567636
2010-03-24,sh.600162,7.7300,7.77,7.65,7.67,6153769,47273645.0000,3,1.701359,1,-0.776200,25.831833,4.831580,3.245802,8.704640,0,7.707999999999998,7.604000000000004,7.644500000000003,-1,1,1,1,1,75.00000000000001,69.49855699855705,86.00288600288596,1,0.01379451792260955,-0.013470620011446242,0.027265137934055793
2010-03-25,sh.600162,7.6500,7.65,7.42,7.46,6377393,47958837.0000,3,1.763185,1,-2.737900,25.124573,4.699295,3.156934,8.466312,0,7.665999999999999,7.589000000000003,7.638500000000003,-1,-1,-1,1,1,60.7142857142857,69.13780663780669,43.86724386724373,-1,-0.0018152596655376385,-0.011139547942264521,0.009324288276726883
2010-03-26,sh.600162,7.4600,7.58,7.4,7.56,4250109,31879747.0000,3,1.175046,1,1.340500,25.461363,4.762288,3.199252,8.579801,0,7.629999999999998,7.600000000000003,7.638500000000003,-1,-1,-1,1,-1,48.96125116713346,61.558512293806444,23.76672891378749,-1,-0.006047247694250579,-0.010121087892661734,0.004073840198411154
2010-03-29,sh.600162,7.6000,7.8,7.59,7.76,9525124,73289850.0000,3,2.633452,1,2.645500,23.312804,4.426966,2.748365,5.864262,0,7.635999999999998,7.636000000000003,7.647000000000003,1,1,1,-1,-1,53.01969272557502,54.231743202331444,50.595591772062164,-1,0.006660422627347451,-0.006764785788659897,0.013425208416007348
2010-03-30,sh.600162,7.8000,7.83,7.7,7.78,8161609,63395830.0000,3,2.256475,1,0.257700,23.372889,4.438376,2.755448,5.879376,0,7.645999999999998,7.669000000000002,7.651500000000003,1,1,1,-1,-1,71.09328579916813,57.69140989729226,97.89703760291985,1,0.018136113931991105,-0.001784605844529696,0.019920719776520802
2010-03-31,sh.600162,7.7900,7.88,7.68,7.83,12085203,94380687.0000,3,3.341248,1,0.642700,23.523100,4.466900,2.773157,5.917161,0,7.677999999999997,7.693000000000002,7.659500000000004,1,1,1,-1,1,85.92171717171716,70.01156523215349,117.74202105084453,1,0.030908964795378857,0.004754108283452015,0.026154856511926842
2010-04-01,sh.600162,7.8300,8.02,7.8,7.98,14595532,116124026.0000,3,4.035289,1,1.915700,23.973734,4.552473,2.826282,6.030517,0,7.7819999999999965,7.724000000000002,7.679500000000003,1,1,1,1,1,89.83178559791467,82.2822628562667,104.93083108121061,1,0.05252975718355568,0.014309238063472748,0.03822051912008293
2010-04-02,sh.600162,7.9900,8.14,7.97,8.05,14539083,117110820.0000,3,4.019683,1,0.877200,24.184030,4.592407,2.851074,6.083416,0,7.879999999999997,7.755000000000003,7.692500000000004,1,1,1,1,1,90.32318608931514,88.69222961964903,93.58509902864739,1,0.07445454031180176,0.026338298513138552,0.04811624179866321
2010-04-06,sh.600162,8.0500,8.09,7.86,7.89,13161106,104366561.0000,3,3.638707,1,-1.987600,23.703354,4.501129,2.794407,5.962504,0,7.905999999999997,7.771000000000003,7.695500000000003,-1,1,1,1,1,82.53414705027606,87.56303957916866,72.47636199249087,-1,0.07802005939733103,0.03667465068997705,0.04134540870735398
2010-04-07,sh.600162,7.9000,7.92,7.74,7.84,8264184,64583263.0000,3,2.284834,1,-0.633700,23.553142,4.472605,2.776699,5.924719,0,7.9179999999999975,7.782000000000002,7.693500000000003,-1,1,1,1,1,71.17117117117108,81.34283477025411,50.82784397300503,-1,0.0759358357817499,0.04452688770833162,0.03140894807341828
2010-04-08,sh.600162,7.8000,7.88,7.7,7.74,8216583,63741184.0000,3,2.271674,1,-1.275500,23.252720,4.415557,2.741281,5.849148,0,7.899999999999999,7.7890000000000015,7.696500000000003,-1,-1,1,1,1,57.20720720720709,70.30417514288477,31.013271335851726,-1,0.06546032342445063,0.04871357485155542,0.01674674857289521
