date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600165,8.3000,8.44,8.23,8.38,5829351,48749184.0000,3,3.005540,1,0.600200,-95.473702,3.457352,1.141256,50.732131,0,8.2,8.086000000000002,7.789500000000004,1,1,1,1,1,69.87571602459172,62.39506371849597,84.83702063678324,1,0.0490843611241889,-0.08973840322924856,0.13882276435343746
2010-02-26,sh.600165,8.3600,8.51,8.26,8.38,6231394,52315062.0000,3,3.212829,1,0.000000,-95.473702,3.457352,1.141256,50.732131,0,8.258,8.116000000000003,7.8205000000000044,1,1,1,1,1,76.85468890919628,68.4369209854783,93.69022475663226,1,0.0746579363862061,-0.056859135306157625,0.13151707169236374
2010-03-01,sh.600165,8.4500,8.63,8.36,8.61,9488948,81007710.0000,3,4.892383,1,2.744600,-98.094102,3.552243,1.172579,52.124541,0,8.384,8.188000000000002,7.869500000000005,1,1,1,1,1,89.6598556096764,78.79675351448815,111.38605980005289,1,0.11219098895461066,-0.023049110454003964,0.13524009940861462
2010-03-02,sh.600165,8.6100,8.82,8.42,8.77,12359787,106900134.0000,3,6.372551,1,1.858300,-99.916989,3.618255,1.194370,53.093173,0,8.494,8.270000000000001,7.933000000000005,1,1,1,1,1,92.43185838167913,86.31546763351729,104.66463987800282,1,0.15308222969675533,0.012177157576147894,0.14090507212060743
2010-03-03,sh.600165,8.7100,8.83,8.58,8.72,7902451,68767728.0000,3,4.074405,1,-0.570100,-99.347337,3.597626,1.187560,52.790476,0,8.572,8.352,7.999000000000005,1,1,1,1,1,94.41773824727356,92.16981741287638,98.9135799160679,1,0.17938639575174875,0.04561900521126806,0.1337673905404807
2010-03-04,sh.600165,8.6900,8.8,8.2,8.21,7981766,67615100.0000,3,4.115299,1,-5.848600,-93.536885,3.387214,1.118104,49.702959,0,8.538,8.369000000000003,8.038000000000006,-1,-1,1,1,1,76.17433947709178,87.67464536868151,53.1737276939123,-1,0.15726702276632487,0.06794860872227942,0.08931841404404545
2010-03-05,sh.600165,8.2000,8.45,8.1,8.33,4696712,38870642.0000,3,2.421566,1,1.461600,-94.904050,3.436723,1.134447,50.429434,0,8.527999999999999,8.393000000000002,8.081000000000007,-1,-1,1,1,1,62.38532110091747,77.65913294176094,31.837697419230523,-1,0.1477174624755655,0.08390237947293663,0.06381508300262886
2010-03-08,sh.600165,8.2800,8.41,8.25,8.37,3219389,26850434.0000,3,1.659877,1,0.480200,-95.359772,3.453226,1.139894,50.671592,0,8.479999999999999,8.432000000000002,8.137500000000006,-1,-1,1,1,1,44.744669263960446,61.10144328065658,12.031121230568175,-1,0.14174310655003453,0.09547052488835621,0.046272581661678316
2010-03-09,sh.600165,8.3600,8.38,8.21,8.29,2975130,24639055.0000,3,1.533940,1,-0.955800,-94.448328,3.420220,1.128999,50.187276,0,8.383999999999999,8.439000000000002,8.191500000000005,-1,-1,1,-1,1,39.0473796657031,48.72579001019369,19.690558976721917,-1,0.1290652709212008,0.10218947409492513,0.026875796826275666
2010-03-10,sh.600165,8.2900,8.29,8.29,8.29,0,0.0000,3,,0,0.000000,-94.448328,3.420220,1.128999,50.187276,0,8.297999999999998,8.435000000000002,8.242000000000004,-1,-1,1,-1,1,29.680365296803572,37.82413807548905,13.39281973943261,-1,0.11766166442087389,0.10528391216011487,0.012377752260759017
2010-03-11,sh.600165,8.3000,8.43,8.21,8.38,3806505,31665039.0000,3,1.962586,1,1.085600,-95.473702,3.457352,1.141256,50.732131,0,8.331999999999999,8.435000000000002,8.260500000000004,1,-1,1,-1,1,30.13698630136985,32.95491042129219,24.501138061525168,-1,0.11456582839445417,0.10714029540698274,0.0074255329874714365
2010-03-12,sh.600165,8.4200,8.46,8.15,8.17,3629333,30152437.0000,3,1.871239,1,-2.506000,-93.081163,3.370712,1.112657,49.460801,0,8.3,8.414000000000003,8.265000000000004,-1,-1,-1,-1,1,24.65753424657537,28.158295281582948,17.656012176560218,-1,0.09408258560002913,0.10452875344559201,-0.010446167845562876
