date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600167,10.4800,10.83,10.39,10.73,3336871,35371394.0000,3,2.982012,1,2.483300,66.076866,4.604610,9.655404,11.092485,0,10.333999999999998,10.256000000000004,10.205000000000002,1,1,1,1,1,85.17857142857143,75.75396825396825,104.02777777777777,1,-0.18502944981776714,-0.3364069470922932,0.15137749727452604
2010-02-26,sh.600167,10.6200,10.73,10.45,10.5,2406457,25384372.0000,3,2.150542,1,-2.143500,64.660493,4.505909,9.448438,10.854715,0,10.411999999999997,10.304000000000004,10.198500000000001,1,1,1,1,1,87.4345238095238,82.46825396825398,97.36706349206344,1,-0.1553105044618306,-0.30018765856620067,0.14487715410437008
2010-03-01,sh.600167,10.5700,11.13,10.51,11.0,4293703,46656441.0000,3,3.837089,1,4.761900,67.739565,4.720476,9.898364,11.371606,0,10.593999999999998,10.398000000000003,10.2345,1,1,1,1,1,87.94047619047615,86.85119047619047,90.1190476190475,1,-0.09037047030020595,-0.25822422091300173,0.16785375061279578
2010-03-02,sh.600167,11.0100,11.01,10.74,10.92,2197511,23825023.0000,3,1.963817,1,-0.727300,67.246913,4.686145,9.826376,11.288904,0,10.723999999999998,10.450000000000003,10.2805,1,1,1,1,1,83.59523809523803,86.32341269841265,78.1388888888888,-1,-0.044843429628846465,-0.21554806265617069,0.17070463302732422
2010-03-03,sh.600167,10.9200,11.06,10.72,11.04,2711345,29715232.0000,3,2.423007,1,1.098900,67.985890,4.737641,9.934358,11.412957,0,10.837999999999997,10.525000000000002,10.331,1,1,1,1,1,87.20238095238085,86.24603174603168,89.1150793650792,1,0.0009095900382174449,-0.17225653211729305,0.1731661221555105
2010-03-04,sh.600167,11.0600,11.1,10.41,10.48,2525262,27138653.0000,3,2.256713,1,-5.072500,64.537331,4.497326,9.430441,10.834039,0,10.788,10.561000000000003,10.333,-1,-1,1,1,1,71.00970017636675,80.60243974132854,51.82422104644317,-1,-0.007926757402552553,-0.13939057717434494,0.1314638197717924
2010-03-05,sh.600167,10.5200,10.68,10.36,10.53,1174005,12338162.0000,3,1.049155,1,0.477100,64.845238,4.518783,9.475434,10.885728,0,10.794,10.603000000000003,10.347,-1,-1,1,1,1,58.74118165784821,72.31775426219859,31.588036449147438,-1,-0.01077088423047634,-0.11366663858557122,0.10289575435509488
2010-03-08,sh.600167,10.5300,10.71,10.45,10.61,1125290,11937884.0000,3,1.005621,1,0.759700,65.337889,4.553114,9.547422,10.968431,0,10.716,10.655000000000003,10.378,-1,-1,1,1,1,43.55033727885951,57.76707303769148,15.11686576119557,-1,-0.006494677224088363,-0.09223224631327465,0.08573756908918628
2010-03-09,sh.600167,10.5700,11.1,10.42,10.99,3819991,41460356.0000,3,3.413754,1,3.581500,67.677983,4.716184,9.889366,11.361268,0,10.73,10.727000000000002,10.4365,1,1,1,1,1,57.55145961331518,53.28099285000763,66.09239313993028,1,0.027243031139597917,-0.06833719082270014,0.09558022196229805
2010-03-10,sh.600167,10.9800,11.04,10.68,10.71,2247486,24326584.0000,3,2.008477,1,-2.547800,65.953703,4.596027,9.637407,11.071809,0,10.664,10.751000000000001,10.4695,1,-1,1,-1,1,57.88815995001559,52.99665228073008,67.67117528858661,1,0.031029064403002238,-0.04846393977755966,0.0794930041805619
2010-03-11,sh.600167,10.7200,11.1,10.55,11.0,3044044,33051025.0000,3,2.720325,1,2.707700,67.739565,4.720476,9.898364,11.371606,0,10.768,10.778000000000002,10.517,1,1,1,-1,1,70.12987012987011,61.85649656440029,86.67661726080976,1,0.05677562534267366,-0.02741602675351299,0.08419165209618665
2010-03-12,sh.600167,10.9800,11.36,10.92,10.96,7087506,78991057.0000,3,6.333786,1,-0.363600,67.493239,4.703310,9.862370,11.330255,0,10.854000000000001,10.824000000000002,10.564,1,1,1,1,1,62.8571428571429,63.625057645676186,61.321313280076325,-1,0.07310953348238414,-0.007310914706333566,0.0804204481887177
2010-03-15,sh.600167,10.7500,10.81,10.22,10.28,3790417,39534014.0000,3,3.387325,1,-6.204400,63.305702,4.411499,9.250471,10.627283,0,10.788,10.752,10.575,-1,-1,-1,1,1,49.46001367053996,60.81567555251764,26.7486899065846,-1,0.030828583637628526,0.0003169849624588515,0.030511598675169675
2010-03-16,sh.600167,10.3100,10.39,10.15,10.36,1636365,16769911.0000,3,1.462346,1,0.778200,63.798354,4.445830,9.322459,10.709985,0,10.662,10.696000000000002,10.572999999999999,-1,-1,-1,-1,1,27.539509931854408,46.61888881984574,-10.619247844128267,-1,0.003732926823216687,0.0010001733346104186,0.0027327534886062684
2010-03-17,sh.600167,10.4500,10.6,10.3,10.56,1983863,20812535.0000,3,1.772889,1,1.930500,65.029982,4.531657,9.502429,10.916742,0,10.632000000000001,10.648000000000001,10.5865,-1,-1,-1,-1,1,18.834275772074758,31.944599791489697,-7.386372266755124,-1,-0.0015839886504469547,0.000483340937598944,-0.0020673295880458986
2010-03-18,sh.600167,10.5600,10.95,10.49,10.9,3491557,37621143.0000,3,3.120248,1,3.219700,67.123750,4.677562,9.808379,11.268228,0,10.612,10.690000000000001,10.625499999999999,1,1,1,-1,-1,37.74104683195591,28.038277511961684,57.14658547194437,1,0.02139089510836989,0.004664851771753133,0.016726043336616758
2010-03-19,sh.600167,10.9000,11.05,10.73,10.93,2835579,30799448.0000,3,2.534029,1,0.275200,67.308495,4.690436,9.835374,11.299241,0,10.606,10.73,10.6665,1,1,1,-1,-1,53.44352617079891,36.67294959160986,86.98467932917701,1,0.0415405516703089,0.012039991751464287,0.029500559918844614
2010-03-22,sh.600167,10.9800,11.09,10.81,10.94,1879842,20558650.0000,3,1.679930,1,0.091500,67.370076,4.694728,9.844373,11.309579,0,10.738,10.763000000000002,10.709,1,1,1,-1,1,63.911845730027544,51.69880624426079,88.33792470156105,1,0.05765164382943233,0.021162322167057896,0.03648932166237444
2010-03-23,sh.600167,10.9800,11.3,10.94,11.04,4318844,47854487.0000,3,3.859557,1,0.914100,67.985890,4.737641,9.934358,11.412957,0,10.873999999999999,10.768,10.747499999999999,1,1,1,1,1,67.76859504132227,61.70798898071624,79.88980716253434,1,0.07759450356858011,0.032448758447362336,0.04514574512121777
2010-03-24,sh.600167,11.0700,11.4,10.97,11.34,5572420,62592130.0000,3,4.979821,1,2.717400,69.833333,4.866381,10.204313,11.723092,0,11.029999999999998,10.831,10.790999999999999,1,1,1,1,1,78.01432506887046,69.89825528007343,94.24646464646455,1,0.11626660731214677,0.04921232822031922,0.06705427909182755
2010-03-25,sh.600167,11.3000,11.3,10.84,10.93,4062807,44591410.0000,3,3.630748,1,-3.615500,67.308495,4.690436,9.835374,11.299241,0,11.035999999999998,10.824000000000002,10.800999999999998,-1,1,1,1,1,77.05123966942142,74.27805325987138,82.59761248852149,1,0.11253373580283643,0.061876609736822664,0.05065712606601377
2010-03-26,sh.600167,10.9000,11.6,10.9,11.25,5866189,66386352.0000,3,2.780184,1,2.927700,69.279100,4.827759,10.123327,11.630052,0,11.099999999999998,10.853,10.8385,1,1,1,1,1,77.82068965517237,77.62875146448808,78.20456603654097,1,0.1338537511638851,0.07627203802223514,0.05758171314164995
2010-03-29,sh.600167,11.2000,11.4,11.12,11.35,3495690,39376684.0000,3,1.656725,1,0.888900,69.894914,4.870673,10.213312,11.733430,0,11.181999999999999,10.959999999999999,10.855999999999998,1,1,1,1,1,73.01043324491597,75.96078752316993,67.10972468840805,-1,0.15700927600614456,0.09241948561901703,0.06458979038712753
2010-03-30,sh.600167,11.3500,11.41,11.14,11.29,3290676,37135710.0000,3,1.559562,1,-0.528600,69.525426,4.844925,10.159321,11.671403,0,11.232,11.053,10.8745,1,1,1,1,1,76.23445726893999,75.68852672300945,77.32631836080108,1,0.16857546468875562,0.10765068143296475,0.06092478325579087
2010-03-31,sh.600167,11.2300,11.37,11.0,11.09,3428231,38245142.0000,3,1.624754,1,-1.771500,68.293797,4.759098,9.979351,11.464647,0,11.181999999999999,11.106,10.876999999999999,-1,-1,1,1,1,64.74020439537675,71.32836496974424,51.56388324664178,-1,0.1597617895575958,0.11807290305789095,0.04168888649970484
2010-04-01,sh.600167,11.1100,11.44,11.08,11.39,4192667,47376675.0000,3,1.987046,1,2.705100,70.141240,4.887838,10.249306,11.774781,0,11.274,11.155,10.9225,1,1,1,1,1,62.28970131196231,67.75478765875968,51.35952861836756,-1,0.1749674652860893,0.12945181550353063,0.045515649782558676
2010-04-02,sh.600167,11.4400,11.56,11.28,11.37,3331078,37939414.0000,3,1.578710,1,-0.175600,70.018077,4.879255,10.231309,11.754106,0,11.297999999999998,11.199000000000002,10.9645,1,1,1,1,1,61.511291323026,62.847065676788354,58.839742615501294,-1,0.1832913711669768,0.14021972663621987,0.04307164453075693
2010-04-06,sh.600167,11.3400,11.6,11.01,11.51,4127722,46934268.0000,3,1.956266,1,1.231300,70.880217,4.939334,10.357288,11.898835,0,11.329999999999998,11.256000000000002,11.0095,1,1,1,1,1,77.10415278703086,66.96838180733972,97.37569474641313,1,0.19889225046206427,0.15195423140138875,0.04693801906067552
