date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600169,14.5000,14.94,14.43,14.81,7736492,113874457.0000,3,1.586802,1,2.279000,20.680919,3.641494,1.361055,7.259116,0,14.451999999999998,14.295000000000005,14.489499999999992,1,1,1,1,-1,73.99675584153174,65.98183495734325,90.02659760990869,1,-0.6522042246434463,-0.9165984946652033,0.26439427002175697
2010-02-26,sh.600169,14.8100,14.98,14.64,14.89,6060859,89907789.0000,3,1.243120,1,0.540200,20.792632,3.661165,1.368407,7.298328,0,14.523999999999997,14.388000000000005,14.472499999999991,1,1,1,1,1,90.58158944764193,76.69844853070877,118.34787128150825,1,-0.5703656967485582,-0.8473519350818742,0.27698623833331604
2010-03-01,sh.600169,14.8000,15.13,14.76,15.05,5436238,81511203.0000,3,1.115006,1,1.074500,21.016058,3.700506,1.383111,7.376752,0,14.671999999999997,14.505000000000006,14.466499999999991,1,1,1,1,1,91.64390321885583,85.40741616934316,104.11687731788115,1,-0.4869837652440321,-0.7752783011143058,0.28829453587027376
2010-03-02,sh.600169,15.0300,15.08,14.8,14.9,4968466,74062937.0000,3,1.019063,1,-0.996700,20.806596,3.663624,1.369326,7.303229,0,14.825999999999997,14.586000000000007,14.485499999999991,1,1,1,1,1,89.1025641025641,90.44268558968729,86.42232112831775,-1,-0.4280721805582175,-0.7058370770030882,0.2777648964448707
2010-03-03,sh.600169,14.8800,15.25,14.77,15.24,5809158,87470173.0000,3,1.191494,1,2.281900,21.281377,3.747223,1.400572,7.469880,0,14.977999999999994,14.674000000000007,14.52049999999999,1,1,1,1,1,91.42156862745098,90.72267864962363,92.81934858310566,1,-0.34991555802023555,-0.6346527732065177,0.28473721518628214
2010-03-04,sh.600169,15.2500,15.32,14.6,14.69,6002639,90020253.0000,3,1.231178,1,-3.608900,20.513349,3.611989,1.350027,7.200298,0,14.953999999999994,14.703000000000007,14.52349999999999,-1,-1,1,1,1,78.88679157654487,86.47030810218665,63.71975852526131,-1,-0.3285687391312724,-0.5734359663914687,0.24486722726019627
2010-03-05,sh.600169,14.6100,14.84,14.61,14.64,3182388,46830739.0000,3,0.652727,1,-0.340400,20.443528,3.599695,1.345432,7.175790,0,14.903999999999993,14.714000000000004,14.51999999999999,-1,-1,1,1,1,69.21877142465375,79.84237720954987,47.97155985486151,-1,-0.31208825437061805,-0.5211664239872985,0.20907816961668046
2010-03-08,sh.600169,14.7800,14.95,14.64,14.93,4415296,65303789.0000,3,0.905605,1,1.980900,20.848489,3.671000,1.372083,7.317934,0,14.879999999999995,14.776000000000005,14.530999999999992,1,1,1,1,1,60.178155178155144,69.42790605978459,41.678653414896246,-1,-0.2724857292234315,-0.4714302850345251,0.1989445558110936
2010-03-09,sh.600169,14.9100,14.92,14.68,14.89,2417896,35871042.0000,3,0.495925,1,-0.267900,20.792632,3.661165,1.368407,7.298328,0,14.877999999999997,14.852000000000004,14.561499999999992,1,1,1,1,1,58.758600949612195,62.718509184140366,50.838784480555844,-1,-0.24154374252152344,-0.42545297653192476,0.18390923401040132
2010-03-10,sh.600169,14.8100,14.95,14.55,14.68,3263355,48046101.0000,3,0.669334,1,-1.410300,20.499385,3.609530,1.349108,7.195396,0,14.765999999999996,14.872000000000005,14.567999999999993,-1,-1,1,-1,1,46.903789094800295,55.28018174085588,30.151003802689132,-1,-0.2313009467576741,-0.3866225705770746,0.1553216238194005
