date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600183,11.3500,11.5,11.17,11.37,19101653,216381144.0000,3,1.996707,1,0.976900,124.935644,5.140338,3.276178,107.963203,0,10.956,10.718,11.279,1,1,1,1,-1,70.41699541080955,48.83984935511253,113.5712875222036,1,-0.19363461666606163,-0.20855092566998223,0.014916309003920603
2010-02-26,sh.600183,11.3300,11.43,11.2,11.23,11474599,129494789.0000,3,1.199447,1,-1.231300,123.397298,5.077045,3.235838,106.633841,0,11.053999999999998,10.764,11.2825,1,1,-1,1,-1,85.68130570170729,67.95596906280588,121.13197897951011,1,-0.16721278136480677,-0.20028329680894713,0.03307051544414036
2010-03-01,sh.600183,11.2800,11.55,11.28,11.49,14947627,171209034.0000,3,1.562484,1,2.315200,126.254226,5.194590,3.310755,109.102657,0,11.236,10.879999999999999,11.2775,1,1,1,1,-1,88.93708562561714,81.6784622460447,103.45433238476201,1,-0.12386561374855631,-0.18499976019686898,0.061134146448312665
2010-03-02,sh.600183,11.4900,11.68,11.34,11.53,17590884,201796397.0000,3,1.838785,1,0.348100,126.693753,5.212674,3.322281,109.482475,0,11.376000000000001,10.985,11.2665,1,1,1,1,1,88.50849233004085,87.7089612191218,90.10755455187896,1,-0.08530170050222274,-0.16506014825793974,0.079758447755717
2010-03-03,sh.600183,11.5000,11.68,11.26,11.65,26832344,307431801.0000,3,2.804801,1,1.040800,128.012335,5.266925,3.356858,110.621928,0,11.454,11.104,11.275500000000001,1,1,1,1,1,94.27409261576973,90.57322352380929,101.6758307996906,1,-0.044543059633987525,-0.1409567305331493,0.09641367089916178
2010-03-04,sh.600183,11.6500,11.65,10.66,10.82,42696627,472683789.0000,3,4.463103,1,-7.124500,118.892143,4.891685,3.117700,102.740709,0,11.344000000000001,11.15,11.2245,-1,-1,-1,1,1,75.41371158392438,86.06543217657837,54.11027039861639,-1,-0.07831286454196196,-0.12842795733491183,0.05011509279294987
2010-03-05,sh.600183,10.7700,10.84,10.49,10.6,23379085,248333976.0000,3,2.443829,1,-2.033300,116.474743,4.792224,3.054308,100.651711,0,11.218000000000002,11.136,11.125,-1,-1,-1,1,1,53.42789598108752,74.37190006026059,11.539887822741377,-1,-0.12142809215314543,-0.12702798429855855,0.005599892145413121
2010-03-08,sh.600183,10.6200,10.72,10.49,10.66,12123881,128735527.0000,3,1.267316,1,0.566000,117.134034,4.819350,3.071597,101.221438,0,11.052000000000001,11.144,11.0475,-1,-1,-1,-1,1,25.565687267814962,51.469098277609,-26.241134751773117,-1,-0.14903770817725537,-0.1314299290742979,-0.017607779102957466
2010-03-09,sh.600183,10.6700,10.95,10.48,10.9,25810353,276954584.0000,3,2.697971,1,2.251400,119.771198,4.927853,3.140751,103.500345,0,10.926,11.151,10.997,-1,-1,-1,-1,-1,24.22998986828776,34.40785770573013,3.8742541934030186,-1,-0.14982543915708924,-0.13510903109085617,-0.014716408066233061
2010-03-10,sh.600183,10.8100,10.89,10.55,10.6,15370316,164211111.0000,3,1.606668,1,-2.752300,116.474743,4.792224,3.054308,100.651711,0,10.716000000000001,11.084999999999999,10.9315,-1,-1,-1,-1,-1,19.76190476190476,23.185860632669208,12.913993020375862,-1,-0.1726668188232594,-0.14262058863733681,-0.03004623018592259
2010-03-11,sh.600183,10.6000,10.75,10.39,10.61,11982909,126180838.0000,3,1.252580,1,0.094300,116.584624,4.796745,3.057190,100.746666,0,10.674000000000001,11.008999999999999,10.863499999999998,-1,-1,-1,-1,-1,20.684754521963796,21.55888305071882,18.93649746445375,-1,-0.1877970528201356,-0.15165588147389658,-0.03614117134623901
2010-03-12,sh.600183,10.6200,10.67,10.47,10.48,13173933,139043689.0000,3,1.377079,1,-1.225300,115.156161,4.737972,3.019731,99.512258,0,10.65,10.934,10.848999999999998,-1,-1,-1,-1,-1,11.34366925064596,17.26344284483822,-0.4958779377385625,-1,-0.20788145777130573,-0.1629009967333784,-0.04498046103792733
2010-03-15,sh.600183,10.4800,10.64,10.18,10.28,15570759,161180189.0000,3,1.627621,1,-1.908400,31.114983,4.417514,2.718590,133.207885,0,10.574000000000002,10.812999999999999,10.846499999999997,-1,-1,-1,-1,-1,10.232558139534861,14.08699397071492,2.5236864771747456,-1,-0.23720249916870273,-0.17776129722044326,-0.05944120194825947
2010-03-16,sh.600183,10.3100,10.46,10.2,10.45,12286125,127453881.0000,3,1.284276,1,1.653700,31.629531,4.490566,2.763547,135.410739,0,10.484,10.705,10.844999999999997,-1,-1,-1,-1,-1,10.670252597162886,10.748826662447948,10.513104466592761,-1,-0.24391040910491313,-0.19099111959733722,-0.052919289507575906
2010-03-17,sh.600183,10.4900,11.0,10.43,10.9,27804519,299935117.0000,3,2.906423,1,4.306200,32.991568,4.683939,2.882552,141.241823,0,10.544,10.629999999999999,10.866999999999997,1,1,1,-1,-1,37.6129638847409,19.505258207146262,73.82837523993017,1,-0.21048885239846982,-0.19489066615756373,-0.015598186240906087
2010-03-18,sh.600183,11.0000,11.23,10.85,10.92,26585419,293120518.0000,3,2.778989,1,0.183500,33.052103,4.692534,2.887841,141.500983,0,10.606,10.639999999999999,10.894999999999998,1,1,1,-1,-1,58.882805154582165,35.72200721216203,105.20440103942242,1,-0.18030969711679923,-0.19197447234941084,0.011664775232611613
2010-03-19,sh.600183,10.9200,11.73,10.81,11.46,56321556,639828532.0000,3,5.887325,1,4.945100,34.686548,4.924582,3.030646,148.498284,0,10.802,10.725999999999999,10.930999999999997,1,1,1,1,-1,80.28723789542046,58.92766897824789,123.00637572976562,1,-0.11153332534777682,-0.17588624294908403,0.06435291760130721
2010-03-22,sh.600183,11.4600,11.94,11.43,11.85,65472860,767903588.0000,3,6.843916,1,3.403100,35.866980,5.092173,3.133783,153.551891,0,11.116,10.844999999999999,10.994499999999997,1,1,1,1,1,82.6477330912815,73.93925871376142,100.06468184632163,1,-0.025266557433610615,-0.14576230584598934,0.12049574841237873
2010-03-23,sh.600183,11.8100,11.92,11.56,11.76,35381898,416018485.0000,3,3.698490,1,-0.759500,35.594572,5.053498,3.109983,152.385674,0,11.377999999999998,10.931,11.040999999999995,1,1,1,1,1,89.07991202346045,84.0049610033875,99.22981406360634,1,0.035429816942826875,-0.1095238812882261,0.14495369823105297
2010-03-24,sh.600183,11.7600,11.85,11.58,11.68,18953884,221939237.0000,3,1.981261,1,-0.680300,35.352432,5.019120,3.088826,151.349036,0,11.533999999999999,11.038999999999998,11.061999999999996,1,1,1,1,1,89.96212121212125,87.22992210895444,95.42651941845486,1,0.07619843143213956,-0.07237941874415296,0.14857785017629252
2010-03-25,sh.600183,11.6800,11.68,11.24,11.46,20211625,231340468.0000,3,2.112733,1,-1.883600,34.686548,4.924582,3.030646,148.498284,0,11.642,11.123999999999999,11.066499999999996,-1,1,1,1,1,82.57575757575763,87.20593027044647,73.31541218637997,-1,0.0897214378675617,-0.03995924742181003,0.12968068528937174
2010-03-26,sh.600183,11.3900,11.78,11.36,11.77,21609006,251737372.0000,3,2.258802,1,2.705100,35.624840,5.057795,3.112627,152.515253,0,11.703999999999999,11.252999999999997,11.093499999999997,1,1,1,1,1,82.72814350400563,85.08867409729487,78.00708231742715,-1,0.12402326413044129,-0.00716274511135976,0.13118600924180104
2010-03-29,sh.600183,11.8500,11.88,11.54,11.76,20923168,245273964.0000,3,2.187111,1,-0.085000,35.594572,5.053498,3.109983,152.385674,0,11.685999999999998,11.400999999999998,11.106999999999996,1,1,1,1,1,83.67887599447322,82.99425902474553,85.04810993392857,1,0.14868682300727798,0.02400716851236779,0.1246796544949102
2010-03-30,sh.600183,11.7900,12.19,11.75,11.94,45363815,545253540.0000,3,4.741906,1,1.530600,36.139387,5.130847,3.157584,154.718107,0,11.721999999999998,11.549999999999997,11.127499999999996,1,1,1,1,1,86.7311377423871,84.37938574695535,91.43464173325063,1,0.18067466175115499,0.05534066716012523,0.12533399459102976
2010-03-31,sh.600183,11.9400,12.4,11.85,12.16,44836868,545192820.0000,3,4.686824,1,1.842500,36.805272,5.225386,3.215764,157.568860,0,11.817999999999998,11.675999999999997,11.152999999999995,1,1,1,1,1,84.95639618234951,85.12213663973665,84.6249152675752,-1,0.22122724581828201,0.08851798289175658,0.13270926292652543
2010-04-01,sh.600183,12.1500,12.32,12.0,12.18,28056575,341517353.0000,3,2.932770,1,0.164500,36.865807,5.233980,3.221053,157.828019,0,11.961999999999998,11.801999999999996,11.220999999999997,1,1,1,1,1,82.60806703566455,84.76520032013376,78.29380046672614,-1,0.25207354677323046,0.12122909566805136,0.13084445110517912
2010-04-02,sh.600183,12.1700,12.17,11.82,11.96,30538479,365580975.0000,3,3.192205,1,-1.806200,36.199922,5.139442,3.162873,154.977267,0,11.999999999999998,11.851999999999995,11.288999999999998,-1,1,1,1,1,76.00303621774019,81.1891664785848,65.63077569605096,-1,0.25581838601972073,0.14814695373838524,0.1076714322813355
2010-04-06,sh.600183,11.9700,12.17,11.9,12.03,17510741,210515466.0000,3,1.830408,1,0.585300,36.411795,5.169522,3.181385,155.884324,0,12.053999999999998,11.869999999999996,11.357499999999998,-1,1,1,1,1,70.4022988505747,76.33780070132651,58.53129514907104,-1,0.26142111322401185,0.17080178563551057,0.09061932758850128
2010-04-07,sh.600183,11.9600,12.35,11.91,12.17,26109145,318443660.0000,3,2.729204,1,1.163800,36.835540,5.229683,3.218409,157.698440,0,12.1,11.910999999999996,11.420999999999996,1,1,1,1,1,70.11494252873563,72.17342586568356,65.99797585483975,-1,0.2739996474926265,0.19144135800693377,0.08255828948569274
2010-04-08,sh.600183,12.3500,13.22,12.22,12.91,78182453,997063072.0000,3,8.170584,1,6.080500,39.075334,5.547675,3.414105,167.287334,0,12.25,12.033999999999995,11.536499999999997,1,1,1,1,1,77.20306513409959,72.57343550447001,86.46232439335876,1,0.33976346040971706,0.2211057784874904,0.11865768192222664
2010-04-09,sh.600183,12.8300,13.2,12.83,13.19,49351190,643163159.0000,3,5.157526,1,2.168900,39.922824,5.667996,3.488152,170.915564,0,12.452,12.206999999999994,11.665499999999998,1,1,1,1,1,87.24001094690747,78.1860062032476,105.34802043422721,1,0.409752049328695,0.2588350326557313,0.1509170166729637
2010-04-12,sh.600183,13.2600,13.49,13.05,13.2,31771999,421392124.0000,3,3.320384,1,0.075800,39.953091,5.672294,3.490797,171.045144,0,12.7,12.349999999999994,11.801499999999997,1,1,1,1,1,88.29365079365077,84.24557562488599,96.38980113118032,1,0.4607145956403862,0.2992109452526623,0.1615036503877239
2010-04-13,sh.600183,13.2200,13.56,12.25,12.82,36950974,477640290.0000,3,3.861621,1,-2.878800,38.802927,5.509000,3.390304,166.121117,0,12.857999999999999,12.455999999999994,11.928499999999996,-1,1,1,1,1,79.67296113847836,85.06887429301224,68.8811348294106,-1,0.4650788174442422,0.33238451969097826,0.1326942977532639
