date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600188,20.2200,20.55,20.15,20.54,6426108,131137075.0000,3,1.785030,1,1.783900,35.757299,3.666546,4.840626,-57.747172,0,20.379999999999995,20.126,20.196500000000004,1,1,1,1,1,62.924073200146836,64.96533339832398,58.84155280379255,-1,-0.8681647691830392,-1.256886590518714,0.3887218213356749
2010-02-26,sh.600188,20.5400,20.54,20.54,20.54,0,0.0000,3,,0,0.000000,35.757299,3.666546,4.840626,-57.747172,0,20.353999999999996,20.240000000000002,20.179500000000004,1,1,1,1,1,73.01744521390694,65.9544749223211,87.14338579707862,1,-0.7817070915625557,-1.1618506907274824,0.3801435991649267
2010-03-01,sh.600188,20.4900,20.88,20.2,20.81,7503208,154403638.0000,3,2.084224,1,1.314500,36.227332,3.714743,4.904257,-58.506263,0,20.407999999999998,20.35,20.175500000000007,1,1,1,1,1,84.56858521940092,73.50336787781823,106.69901990256628,1,-0.6835227903891017,-1.0661851106598061,0.38266232027070446
2010-03-02,sh.600188,20.6500,21.26,20.3,20.39,8344722,172478559.0000,3,2.317978,1,-2.018300,35.496170,3.639770,4.805276,-57.325455,0,20.491999999999997,20.401999999999997,20.193000000000005,-1,-1,1,1,1,73.90470129970304,77.16357724433696,67.38694941043516,-1,-0.6323126080977737,-0.9794106101473996,0.34709800204962593
2010-03-03,sh.600188,20.3000,20.6,20.03,20.53,6602193,134000663.0000,3,1.833943,1,0.686600,35.739890,3.664761,4.838269,-57.719058,0,20.562,20.433999999999997,20.189500000000002,-1,1,1,1,1,67.25095452967719,75.24141368292705,51.27003622317747,-1,-0.5738167375493184,-0.8982918356277834,0.324475098078465
2010-03-04,sh.600188,20.5800,20.64,19.8,19.81,7447392,150982098.0000,3,2.068720,1,-3.507100,34.486470,3.536235,4.668588,-55.694814,0,20.416000000000004,20.397999999999996,20.146500000000003,-1,-1,-1,1,1,40.89147286821704,60.68237623253242,1.3096661395862839,-1,-0.5788833148968351,-0.8344101314815937,0.2555268165847586
2010-03-05,sh.600188,19.8000,20.09,19.64,19.67,5479833,108305744.0000,3,1.522176,1,-0.706700,34.242749,3.511244,4.635595,-55.301211,0,20.242000000000004,20.297999999999995,20.105000000000004,-1,-1,-1,-1,1,26.93798449612406,45.02680396467276,-9.23965444097334,-1,-0.5874239858682877,-0.7850129023589325,0.1975889164906448
2010-03-08,sh.600188,20.0500,20.15,19.7,19.75,4836514,96244999.0000,3,1.343476,1,0.406700,34.382018,3.525525,4.654448,-55.526127,0,20.030000000000005,20.218999999999998,20.137000000000004,-1,-1,-1,-1,-1,11.821705426356615,26.550387596899238,-17.63565891472863,-1,-0.5810393379300436,-0.7442181894731548,0.16317885154311118
2010-03-09,sh.600188,19.7700,20.48,19.56,20.16,10773386,216502680.0000,3,2.992607,1,2.075900,35.095771,3.598713,4.751072,-56.678821,0,19.984,20.237999999999996,20.188000000000006,1,-1,-1,-1,-1,18.353853169174695,19.037847697218453,16.985864113087175,-1,-0.5367090372612751,-0.7027163590307788,0.16600732176950372
2010-03-10,sh.600188,20.1500,20.2,19.63,19.77,7387913,146402289.0000,3,2.052198,1,-1.934500,34.416835,3.529095,4.659162,-55.582356,0,19.832,20.196999999999996,20.142000000000003,-1,-1,-1,-1,-1,19.95212038303695,16.709226326189416,26.437908496732014,1,-0.5269720890192318,-0.6675675050284694,0.14059541600923764
2010-03-11,sh.600188,19.7000,19.89,19.51,19.71,3548276,69793862.0000,3,0.985632,1,-0.303500,34.312384,3.518384,4.645021,-55.413669,0,19.812,20.113999999999997,20.120000000000005,-1,-1,-1,-1,-1,19.69187675070027,19.3326167676373,20.410396716826206,1,-0.518124370721118,-0.6376788781669991,0.11955450744588103
2010-03-12,sh.600188,19.8000,19.8,19.3,19.34,4298687,83983144.0000,3,1.194080,1,-1.877200,33.668265,3.452337,4.557824,-54.373433,0,19.746000000000002,19.994,20.117000000000004,-1,-1,-1,-1,-1,8.607442977190843,16.083813370309347,-6.345297809046166,-1,-0.534803515977913,-0.6171038057291819,0.0823002897512689
2010-03-15,sh.600188,19.3500,19.4,18.8,18.89,4737612,90113450.0000,3,1.316003,1,-2.326800,32.884877,3.372008,4.451773,-53.108280,0,19.574,19.802,20.076000000000004,-1,-1,-1,-1,-1,6.1202307009759975,11.47318347628903,-4.5856748496500686,-1,-0.5776740313104085,-0.6092178508454272,0.031543819535018724
