date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600200,5.2200,5.48,5.15,5.35,27678098,147231740.0000,3,5.638187,1,2.884600,-122.501770,4.269341,1.574403,-76.922044,0,5.071999999999998,4.914000000000002,4.841500000000001,1,1,1,1,1,90.4882585445245,89.68517627353047,92.09442308651253,1,-0.023985528804700174,-0.1430725067491959,0.11908697794449571
2010-02-26,sh.600200,5.3400,5.37,5.28,5.29,13707654,72900103.0000,3,2.792327,1,-1.121500,-121.127919,4.221461,1.556746,-76.059367,0,5.167999999999998,4.979000000000002,4.853500000000001,1,1,1,1,1,83.55896561523156,88.06905511027317,74.53878662514833,-1,0.003550953542659663,-0.11374781469082478,0.11729876823348444
2010-03-01,sh.600200,5.2800,5.45,5.28,5.41,16463299,88885705.0000,3,3.353668,1,2.268400,-123.875622,4.317222,1.592060,-77.784721,0,5.289999999999998,5.0390000000000015,4.873500000000001,1,1,1,1,1,83.3464052287581,85.79787646283803,78.44346276059824,-1,0.034657303489534996,-0.08406679105475282,0.11872409454428781
2010-03-02,sh.600200,5.4100,5.49,5.35,5.37,16320141,88336122.0000,3,3.324506,1,-0.739400,-122.959721,4.285301,1.580288,-77.209603,0,5.323999999999999,5.097000000000001,4.906500000000001,1,1,1,1,1,83.039039039039,83.31480329434287,82.48751052843127,-1,0.05544253716883052,-0.05616492541003615,0.11160746257886667
2010-03-03,sh.600200,5.3700,5.77,5.36,5.6,36690383,205659178.0000,3,7.474041,1,4.283100,-128.226152,4.468843,1.647973,-80.516532,0,5.403999999999999,5.178000000000002,4.953000000000001,1,1,1,1,1,85.9279279279279,84.10445739857498,89.57486898663373,1,0.08944301897262186,-0.027043336533504547,0.1164863555061264
2010-03-04,sh.600200,5.5600,5.6,5.3,5.36,23585002,128218235.0000,3,4.804400,1,-4.285700,-122.730746,4.277321,1.577346,-77.065824,0,5.405999999999999,5.239000000000002,4.985000000000001,-1,1,1,1,1,75.64034622858152,81.53577106518277,63.849496555379034,-1,0.09591698028359641,-0.002451273170084353,0.09836825345368076
2010-03-05,sh.600200,5.3300,5.45,5.3,5.4,11956393,64340721.0000,3,2.435586,1,0.746300,-123.646647,4.309241,1.589117,-77.640942,0,5.427999999999999,5.298000000000001,5.018000000000002,-1,1,1,1,1,68.5878391760745,76.71870444419461,52.326108639834246,-1,0.10308698438440445,0.018656378340813407,0.08443060604359104
2010-03-08,sh.600200,5.4000,5.59,5.4,5.55,16785624,92572759.0000,3,3.419328,1,2.777800,-127.081276,4.428943,1.633259,-79.797635,0,5.455999999999999,5.373000000000001,5.061500000000001,1,1,1,1,1,64.36561695385228,69.53126745283608,54.03431595588469,-1,0.11949554048179678,0.03882421076901008,0.0806713297127867
2010-03-09,sh.600200,5.5300,5.54,5.41,5.47,11139502,60989306.0000,3,2.269180,1,-1.441400,-125.249474,4.365102,1.609717,-78.647398,0,5.475999999999998,5.4,5.102500000000001,-1,1,1,1,1,61.635277506245245,64.86291121205733,55.18001009462108,-1,0.12460770790303766,0.055980910195815595,0.06862679770722206
2010-03-10,sh.600200,5.4700,5.47,5.24,5.34,13675676,73184927.0000,3,2.785813,1,-2.376600,-122.272795,4.261361,1.571460,-76.778265,0,5.423999999999999,5.414,5.134000000000002,-1,-1,1,1,1,47.04916480692497,57.68335308900748,25.78078824275994,-1,0.11682256604898988,0.06814924136645045,0.04867332468253943
2010-03-11,sh.600200,5.3600,5.42,5.25,5.3,7889824,41995872.0000,3,1.607202,1,-0.749100,-121.356894,4.229441,1.559689,-76.203147,0,5.411999999999999,5.409,5.161500000000002,-1,-1,1,1,1,27.26719415702976,45.31721215673331,-8.832841842377348,-1,0.1062009014505314,0.07575957338326664,0.030441328067264767
2010-03-12,sh.600200,5.3100,5.35,5.18,5.22,7761890,40912934.0000,3,1.581141,1,-1.509400,-119.525092,4.165600,1.536146,-75.052910,0,5.3759999999999994,5.401999999999999,5.190500000000002,-1,-1,1,-1,1,12.322780087410672,28.879713017121787,-20.791085772011556,-1,0.0902870513924734,0.07866506898510799,0.011621982407365408
2010-03-15,sh.600200,5.2200,5.26,5.16,5.18,6764915,35142046.0000,3,1.378052,1,-0.766300,-118.609191,4.133680,1.524375,-74.477792,0,5.301999999999999,5.379,5.209000000000001,-1,-1,-1,-1,1,7.126368086173425,15.572114110204604,-9.765123961888932,-1,0.07359913979265631,0.07765188314661765,-0.004052743353961344
2010-03-16,sh.600200,5.2100,5.29,5.19,5.28,5458283,28527121.0000,3,1.111883,1,1.930500,-120.898944,4.213481,1.553803,-75.915588,0,5.263999999999999,5.37,5.233500000000001,1,-1,1,-1,1,12.443692271422178,10.630946815002076,16.06918318426238,1,0.0676630365188089,0.0756541138210559,-0.007991077302247004
2010-03-17,sh.600200,5.2900,5.42,5.27,5.4,10220257,54842569.0000,3,2.081925,1,2.272700,-123.646647,4.309241,1.589117,-77.640942,0,5.275999999999999,5.35,5.264000000000001,1,1,1,-1,1,28.788456428563183,16.119505595386247,54.12635809491706,1,0.07181380419293149,0.07488605189543102,-0.003072247702499531
2010-03-18,sh.600200,5.4100,5.45,5.35,5.39,9591411,51667497.0000,3,1.953825,1,-0.185200,-123.417672,4.301261,1.586174,-77.497162,0,5.293999999999999,5.353,5.296000000000001,1,1,1,-1,-1,45.525017618040884,28.91905543934207,78.7369419754385,1,0.07344971841974512,0.07459878520029384,-0.0011490667805487131
2010-03-19,sh.600200,5.4100,5.41,5.3,5.4,9148574,48971014.0000,3,1.863617,1,0.185500,-123.646647,4.309241,1.589117,-77.640942,0,5.33,5.353,5.325500000000002,1,1,1,-1,1,57.48674010607917,43.93340471756107,84.59341088311537,1,0.07469210456987252,0.07461744907420957,7.465549566294805e-05
