date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600202,22.0200,22.46,21.71,22.07,4779387,105214793.0000,3,1.246773,1,0.363800,24.388223,7.285219,5.610882,3536.941472,0,21.427999999999997,21.15,20.662999999999997,1,1,1,1,1,84.89639515943055,79.77049113082558,95.14820321664052,1,0.1513445221047398,-0.12774396014861486,0.2790884822533547
2010-02-26,sh.600202,22.0000,22.25,21.6,21.97,4960940,108725864.0000,3,1.294133,1,-0.453100,24.277719,7.252210,5.585459,3520.915457,0,21.657999999999998,21.227999999999998,20.676499999999997,1,1,1,1,1,86.67413074578586,84.56992460080396,90.88254303574965,1,0.20984312364833002,-0.06022654338922588,0.2700696670375559
2010-03-01,sh.600202,21.8400,22.5,21.75,22.2,4557392,101364909.0000,3,1.188862,1,1.046900,24.531878,7.328132,5.643932,3557.775291,0,21.894,21.368999999999996,20.744999999999997,1,1,1,1,1,82.46168781637887,84.6774045738651,78.03025430140642,-1,0.27163156504403574,0.006145078297426443,0.2654864867466093
2010-03-02,sh.600202,22.2000,23.25,22.1,23.16,8589991,195986669.0000,3,2.240824,1,4.324300,25.592716,7.645024,5.887994,3711.625033,0,22.278,21.641999999999996,20.9155,1,1,1,1,1,87.05752370125333,85.3977807544727,90.37700959481458,1,0.39352699274672176,0.08362146118728551,0.30990553155943623
2010-03-03,sh.600202,23.1800,24.18,22.82,23.35,10580528,249342860.0000,3,2.760085,1,0.820400,25.802674,7.707742,5.936298,3742.074462,0,22.55,21.876999999999995,21.087,1,1,1,1,1,86.82033460349457,85.44651537370895,89.5679730630658,1,0.4997011655309187,0.16683740205601216,0.33286376347490654
2010-03-04,sh.600202,23.4200,23.85,22.35,22.46,10340012,239810768.0000,3,2.697343,1,-3.811600,24.819189,7.413957,5.710032,3599.442930,0,22.628000000000004,22.028,21.197499999999998,-1,1,1,1,1,76.3972428736878,83.42503372614526,62.3416611687729,-1,0.5061943075637672,0.23470878315756316,0.271485524406204
2010-03-05,sh.600202,22.4600,22.81,21.79,22.06,4594013,102077781.0000,3,1.198415,1,-1.780900,24.377173,7.281918,5.608339,3535.338870,0,22.646000000000004,22.151999999999997,21.296,-1,-1,1,1,1,58.70910698496909,73.97556148738384,28.17619798013959,-1,0.4736040990987469,0.28248784634579993,0.19111625275294697
2010-03-08,sh.600202,21.9200,22.7,21.85,22.0,6239733,138847063.0000,3,1.627725,1,-0.272000,24.310871,7.262113,5.593085,3525.723261,0,22.606,22.249999999999996,21.442500000000003,-1,-1,1,1,1,44.42076123110608,59.84237036325433,13.577542966809574,-1,0.4378869374911254,0.313567664574865,0.12431927291626038
2010-03-09,sh.600202,22.1800,22.18,21.7,21.97,3593738,78793641.0000,3,0.937479,1,-0.136400,24.277719,7.252210,5.585459,3520.915457,0,22.368000000000002,22.322999999999997,21.57,-1,-1,1,1,1,31.075570379900753,44.73514619865865,3.756418742384966,-1,0.40252007939408685,0.3313581475387094,0.07116193185537745
2010-03-10,sh.600202,21.9000,22.11,21.5,21.7,2964849,64476383.0000,3,0.773424,1,-1.228900,23.979359,7.163084,5.516816,3477.645217,0,22.038000000000004,22.293999999999993,21.656,-1,-1,1,-1,1,18.97427315250986,31.490201587838907,-6.057583718148237,-1,0.34868541758707394,0.3348236015483823,0.013861816038691632
2010-03-11,sh.600202,21.5500,21.97,21.3,21.62,3450614,74597092.0000,3,0.900143,1,-0.368700,23.890955,7.136676,5.496478,3464.824405,0,21.870000000000005,22.248999999999995,21.699499999999997,-1,-1,-1,-1,1,10.97162764986436,20.340490394091667,-7.766097838590255,-1,0.2961518743754574,0.32708925611379736,-0.03093738173833993
2010-03-12,sh.600202,21.5700,21.86,21.5,21.56,3776574,81900546.0000,3,0.985174,1,-0.277500,23.824653,7.116870,5.481224,3455.208796,0,21.770000000000003,22.207999999999995,21.717999999999996,-1,-1,-1,-1,1,9.200525152017685,13.048808651463977,1.503958153125101,-1,0.24683184052732088,0.31103777299650204,-0.06420593246918116
2010-03-15,sh.600202,21.5600,21.67,20.68,20.87,5291274,111103646.0000,3,1.380306,1,-3.200400,23.062176,6.889104,5.305804,3344.629294,0,21.544000000000004,22.074999999999996,21.721999999999998,-1,-1,-1,-1,-1,8.522486772486788,9.564879858122952,6.437700601214463,-1,0.15033515485681548,0.27889724936856475,-0.12856209451174927
