date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600207,5.3500,5.43,5.34,5.39,4017679,21678598.0000,3,0.913109,1,0.936300,-2.223678,6.396339,3.503233,-237.751557,1,5.322000000000001,5.208,5.281500000000003,1,1,1,1,1,76.72353310439043,75.77694385977857,78.61671159361416,1,-0.12775930284704806,-0.1987018102822996,0.07094250743525155
2010-02-26,sh.600207,5.4100,5.45,5.3,5.33,5182254,27872791.0000,3,1.177785,1,-1.113200,-2.198924,6.325137,3.464236,-235.104972,1,5.330000000000001,5.239,5.2535000000000025,-1,1,1,1,1,78.41693773897155,76.8995832368214,81.45164674327185,1,-0.1153784923221739,-0.18203714669027446,0.06665865436810056
2010-03-01,sh.600207,5.3300,5.43,5.29,5.4,4666153,24994083.0000,3,1.060489,1,1.313300,-2.227803,6.408206,3.509733,-238.192655,1,5.344000000000001,5.279,5.230000000000002,1,1,1,1,1,80.15058628113076,78.43035237483087,83.59105409373052,1,-0.09877952689872949,-0.16538562273196547,0.06660609583323598
2010-03-02,sh.600207,5.3800,5.57,5.36,5.52,7163621,39412344.0000,3,1.628096,1,2.222200,-2.277310,6.550611,3.587727,-243.485825,1,5.396000000000002,5.328999999999999,5.219000000000003,1,1,1,1,1,81.96735818763347,80.17829406924523,85.54548642440994,1,-0.07507629727182863,-0.1473237576399381,0.07224746036810947
2010-03-03,sh.600207,5.5000,5.71,5.46,5.63,7960377,44707642.0000,3,1.809177,1,1.992800,-2.322691,6.681148,3.659221,-248.337897,1,5.4540000000000015,5.382999999999999,5.219500000000002,1,1,1,1,1,86.20978243005771,82.77590896627395,93.07752935762525,1,-0.04687489175477744,-0.12723398446290596,0.08035909270812852
2010-03-04,sh.600207,5.6000,5.68,5.35,5.35,7187870,39435306.0000,3,1.633607,1,-4.973400,-2.207175,6.348871,3.477235,-235.987167,1,5.446000000000001,5.3839999999999995,5.215000000000002,-1,-1,1,1,1,70.06535947712409,79.41416669827173,51.3677450348288,-1,-0.04658176900774613,-0.11110354137187399,0.06452177236412786
2010-03-05,sh.600207,5.3500,5.4,5.23,5.36,5188209,27668536.0000,3,1.179138,1,0.186900,-2.211301,6.360738,3.483735,-236.428264,1,5.452000000000001,5.391,5.2185000000000015,-1,-1,1,1,1,52.12121212121209,69.46545134279793,17.432733678040393,-1,-0.04502354726568125,-0.09788754255063545,0.052863995284954196
2010-03-08,sh.600207,5.3700,5.52,5.33,5.41,3847519,20919035.0000,3,0.874436,1,0.932800,-2.231929,6.420073,3.516232,-238.633752,1,5.4540000000000015,5.398999999999999,5.237500000000002,-1,1,1,1,1,36.96969696969695,53.052089522677676,4.804911863735498,-1,-0.03930102541915481,-0.08617023912433933,0.046869213705184515
2010-03-09,sh.600207,5.4300,5.48,5.35,5.44,3401334,18428291.0000,3,0.773030,1,0.554500,-2.244305,6.455675,3.535731,-239.957045,1,5.4380000000000015,5.417,5.270000000000001,1,1,1,1,1,40.0378787878788,43.042929292929244,34.027777777777914,-1,-0.03197653080527729,-0.07533149746052692,0.04335496665524963
2010-03-10,sh.600207,5.4300,5.49,5.39,5.45,3071100,16674057.0000,3,0.697977,1,0.183800,-2.248431,6.467542,3.542230,-240.398142,1,5.402000000000002,5.428,5.2970000000000015,1,1,1,-1,1,43.194444444444436,40.06734006734002,49.448653198653275,1,-0.0250758409419225,-0.06528036615680603,0.04020452521488353
