date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600219,11.3500,11.59,11.35,11.57,18511509,211791499.0000,3,2.233762,1,2.389400,45.219323,1.693654,2.848779,-30.575370,0,11.327999999999998,11.161000000000005,11.234499999999999,1,1,1,1,1,73.85411093276268,68.90391905416732,83.75449468995339,1,-0.533233227870749,-0.784283242676664,0.25105001480591504
2010-02-26,sh.600219,11.5000,11.67,11.41,11.58,18643932,215974630.0000,3,2.249741,1,0.086400,45.258406,1.695118,2.851241,-30.601796,0,11.363999999999997,11.240000000000006,11.2105,1,1,1,1,1,86.79061886927063,74.88061459971577,110.61062740838034,1,-0.4694928552995634,-0.7213251652012439,0.2518323099016805
2010-03-01,sh.600219,11.7100,11.9,11.63,11.75,25083549,294442471.0000,3,3.026802,1,1.468000,45.922821,1.720003,2.893099,-31.051045,0,11.463999999999997,11.333000000000004,11.2015,1,1,1,1,1,91.06323406421586,83.90265462208303,105.38439294848152,1,-0.40064221746972173,-0.6571885756549395,0.25654635818521776
2010-03-02,sh.600219,11.7000,11.7,11.46,11.54,16139378,186198845.0000,3,1.947520,1,-1.787200,45.102073,1.689263,2.841393,-30.496090,0,11.547999999999998,11.386000000000005,11.2075,-1,1,1,1,1,80.16181229773458,86.00522174374034,68.4749934057231,-1,-0.35888582352930953,-0.5975280252298135,0.238642201700504
2010-03-03,sh.600219,11.5300,11.65,11.47,11.6,13201486,152645396.0000,3,1.593008,1,0.519900,45.336573,1.698046,2.856166,-30.654649,0,11.607999999999997,11.432000000000004,11.225999999999999,-1,1,1,1,1,73.78640776699024,81.67048470964687,58.01825388167697,-1,-0.3172945083505887,-0.5414813218539686,0.22418681350337988
2010-03-04,sh.600219,11.6200,11.75,11.27,11.29,19702968,227487885.0000,3,2.377534,1,-2.672400,44.124992,1.652667,2.779837,-29.835430,0,11.551999999999996,11.440000000000003,11.226499999999998,-1,-1,1,1,1,58.899676375404475,70.94929881337642,34.800431499460586,-1,-0.30582217300144343,-0.49434949208346357,0.18852731908202014
2010-03-05,sh.600219,11.3000,11.5,11.21,11.44,12178415,138233122.0000,3,1.469555,1,1.328600,44.711240,1.674624,2.816771,-30.231826,0,11.523999999999997,11.444000000000003,11.238499999999998,-1,-1,1,1,1,55.66343042071193,62.78317152103552,41.42394822006476,-1,-0.28138291114098557,-0.45175617589496797,0.1703732647539824
2010-03-08,sh.600219,11.5500,11.71,11.45,11.67,21739059,252455622.0000,3,2.623227,1,2.010500,45.610155,1.708292,2.873401,-30.839634,0,11.507999999999997,11.486000000000002,11.285499999999999,1,1,1,1,1,57.70550161812293,57.42286947141309,58.270765911542625,1,-0.24068112009770992,-0.4095411647355164,0.16886004463780646
2010-03-09,sh.600219,11.6500,11.77,11.43,11.67,24886776,289852847.0000,3,3.003058,1,0.000000,45.610155,1.708292,2.873401,-30.839634,0,11.533999999999997,11.541000000000002,11.327499999999997,1,1,1,-1,1,66.3354908306364,59.90147428982372,79.20352391226179,1,-0.20604944768377287,-0.36884282132516766,0.1627933736413948
2010-03-10,sh.600219,11.6600,11.79,11.56,11.61,19234867,224452511.0000,3,2.321049,1,-0.514100,45.375656,1.699509,2.858628,-30.681075,0,11.535999999999998,11.572000000000003,11.343999999999998,1,1,1,-1,1,67.21256038647333,63.75118427841085,74.13531260259828,1,-0.18135455393856503,-0.3313451678478471,0.1499906139092821
2010-03-11,sh.600219,11.5400,11.64,11.3,11.44,14148147,162123671.0000,3,1.707240,1,-1.464300,44.711240,1.674624,2.816771,-30.231826,0,11.565999999999997,11.559000000000003,11.359999999999996,-1,-1,1,1,1,52.65700483091772,62.06835201600911,33.834310460734955,-1,-0.17350123771153925,-0.2997763818205855,0.12627514410904628
2010-03-12,sh.600219,11.4300,11.49,11.08,11.12,13027600,147121676.0000,3,1.572025,1,-2.797200,43.460576,1.627782,2.737980,-29.386181,0,11.501999999999997,11.513000000000003,11.376499999999997,-1,-1,-1,-1,1,32.31271688099596,50.72742736612896,-4.51670408927005,-1,-0.1908981980725688,-0.27800074507098216,0.08710254699841335
2010-03-15,sh.600219,11.1200,11.12,11.12,11.12,0,0.0000,3,,0,0.000000,43.460576,1.627782,2.737980,-29.386181,0,11.391999999999996,11.450000000000005,11.391499999999997,-1,-1,-1,-1,1,14.866979655711903,33.27890045587515,-21.956861944614595,-1,-0.20235281718081133,-0.262871159492948,0.06051834231213665
2010-03-16,sh.600219,10.9000,11.07,10.88,11.03,11306150,123965475.0000,3,1.364300,1,-0.809400,43.108827,1.614607,2.715820,-29.148343,0,11.263999999999996,11.399000000000004,11.392499999999998,-1,-1,-1,-1,-1,9.250374039106301,18.810023525271344,-9.868924933223784,-1,-0.21620070602993735,-0.2535370688003459,0.03733636277040853
2010-03-17,sh.600219,11.0800,11.36,11.08,11.34,11324407,127146934.0000,3,1.366503,1,2.810500,44.320408,1.659986,2.792148,-29.967562,0,11.209999999999997,11.373000000000005,11.4025,1,-1,-1,-1,-1,24.222256616622715,16.11320343714693,40.44036297557429,1,-0.19985702115640613,-0.24280105927155793,0.042944038115151795
2010-03-18,sh.600219,11.4000,11.66,11.36,11.61,21714493,250283711.0000,3,2.620262,1,2.381000,45.375656,1.699509,2.858628,-30.681075,0,11.243999999999996,11.405000000000005,11.4225,1,1,1,-1,-1,49.084249084249024,27.518959913325972,92.21482742609513,1,-0.163236105416102,-0.22688806850046675,0.06365196308436474
2010-03-19,sh.600219,11.6200,12.38,11.5,12.01,54103727,648372833.0000,3,6.528633,1,3.445300,46.938986,1.758063,2.957117,-31.738132,0,11.421999999999997,11.462000000000007,11.453,1,1,1,-1,-1,68.70085470085466,47.33578680057542,111.43099050141313,1,-0.1007754323384713,-0.20166554126806766,0.10089010892959635
2010-03-22,sh.600219,11.8500,11.85,11.61,11.71,27640516,323720304.0000,3,3.335348,1,-2.497900,45.766488,1.714148,2.883250,-30.945339,0,11.539999999999997,11.466000000000005,11.475999999999999,1,1,1,1,1,70.29548229548226,62.693528693528606,85.49938949938957,1,-0.07462219351880606,-0.17625687171821533,0.10163467819940927
2010-03-23,sh.600219,11.7000,11.73,11.52,11.53,14843991,172376728.0000,3,1.791207,1,-1.537100,45.062990,1.687799,2.838930,-30.469664,0,11.639999999999997,11.452000000000005,11.4965,-1,1,1,1,1,57.99999999999994,65.66544566544557,42.66910866910868,-1,-0.06764034323537871,-0.154533566021648,0.08689322278626929
2010-03-24,sh.600219,11.5600,11.67,11.51,11.56,9431426,109066190.0000,3,1.138079,1,0.260200,45.180240,1.692190,2.846317,-30.548943,0,11.683999999999997,11.447000000000006,11.5095,-1,1,1,1,1,47.999999999999964,58.76516076516069,26.469678469678513,-1,-0.05900624009895594,-0.1354281008371096,0.07642186073815366
2010-03-25,sh.600219,11.4000,11.48,11.22,11.24,13073153,147919781.0000,3,1.577522,1,-2.768200,51.472611,1.927866,3.242731,-34.803576,0,11.609999999999998,11.427000000000005,11.492999999999999,-1,-1,-1,1,1,37.55555555555551,47.85185185185177,16.962962962962976,-1,-0.07709625912199947,-0.12376173249408758,0.04666547337208811
2010-03-26,sh.600219,11.2200,11.48,11.2,11.42,8619946,98114500.0000,3,1.040159,1,1.601400,52.296906,1.958739,3.294661,-35.360928,0,11.491999999999999,11.457000000000004,11.484999999999998,-1,-1,-1,1,1,35.11111111111107,40.22222222222215,24.888888888888914,-1,-0.07603178674265187,-0.11421574334380044,0.038183956601148566
