date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600227,11.8300,12.25,11.75,12.18,9723160,116832436.0000,3,3.258369,1,3.220300,29.071535,2.186634,4.088258,1.910772,0,11.770000000000001,11.547,11.308500000000002,1,1,1,1,1,96.84083295060891,91.1850357805893,108.15242729064815,1,-0.08471388638837496,-0.30812202911756376,0.2234081427291888
2010-02-26,sh.600227,12.2400,12.47,12.16,12.35,21658271,267038194.0000,3,7.257994,1,1.395700,29.477295,2.217153,4.145319,1.937442,0,11.924000000000003,11.671,11.351500000000001,1,1,1,1,1,94.77981052183544,94.08105094543622,96.17732967463391,1,-0.01614421087254314,-0.24972646546855964,0.2335822545960165
2010-03-01,sh.600227,12.3500,12.48,12.15,12.25,32653557,402637537.0000,3,10.942671,1,-0.809700,29.238613,2.199200,4.111754,1.921754,0,12.072000000000003,11.79,11.407000000000002,1,1,1,1,1,88.81786431047509,93.47950259430648,79.49458774281229,-1,0.029785241008777774,-0.19382412417309217,0.22360936518186994
2010-03-02,sh.600227,12.2500,12.25,12.25,12.25,0,0.0000,3,,0,0.000000,37.643593,2.831386,5.293725,2.474184,0,12.166000000000002,11.882,11.473500000000003,1,1,1,1,1,83.57095073022818,89.05620852084623,72.60043514899209,-1,0.06543042136013888,-0.14197321506644595,0.20740363642658483
2010-03-03,sh.600227,12.2500,12.25,12.25,12.25,0,0.0000,3,,0,0.000000,37.643593,2.831386,5.293725,2.474184,0,12.256000000000004,11.955,11.540000000000003,-1,1,1,1,1,79.19327373350356,83.86069625806894,69.8584286843728,-1,0.09261191113559164,-0.09505618982603842,0.18766810096163006
2010-03-04,sh.600227,12.2500,12.25,12.25,12.25,0,0.0000,3,,0,0.000000,37.643593,2.831386,5.293725,2.474184,0,12.270000000000003,12.02,11.602500000000003,-1,1,1,1,1,78.70370370370365,80.48930938914513,75.1324923328207,-1,0.11285254373874665,-0.0534744431130814,0.16632698685182806
2010-03-05,sh.600227,12.2500,12.25,12.25,12.25,0,0.0000,3,,0,0.000000,37.643593,2.831386,5.293725,2.474184,0,12.250000000000004,12.087,11.668500000000003,-1,1,1,1,1,78.21171005989481,78.70289583236735,77.22933851494975,-1,0.12742452035103113,-0.017294650420258892,0.14471917077129004
2010-03-08,sh.600227,12.0500,12.74,11.85,12.7,25389358,315631016.0000,3,6.276625,1,3.673500,39.026419,2.935396,5.488189,2.565073,0,12.340000000000003,12.206,11.768000000000002,1,1,1,1,1,84.075907590759,80.33044045145249,91.56684186937201,1,0.17328661575551862,0.020821602814896617,0.152465012940622
2010-03-09,sh.600227,12.7000,12.7,12.4,12.56,11896657,148787618.0000,3,2.941030,1,-1.102400,38.596206,2.903038,5.427689,2.536796,0,12.402000000000005,12.284,11.836500000000003,1,1,1,1,1,85.11406696225173,82.46722820430186,90.40774447815144,1,0.19607558946837145,0.05587240014559158,0.14020318932277986
2010-03-10,sh.600227,12.5400,12.63,12.26,12.59,12698089,158009753.0000,3,3.139156,1,0.238900,38.688395,2.909972,5.440653,2.542856,0,12.470000000000004,12.363000000000001,11.903000000000002,1,1,1,1,1,87.08684851006944,85.4256076876934,90.40933015482153,1,0.21408888124375913,0.0875156963652251,0.12657318487853403
2010-03-11,sh.600227,12.5900,12.88,12.5,12.79,18716437,238398757.0000,3,4.626980,1,1.588600,39.302984,2.956198,5.527081,2.583250,0,12.578000000000005,12.424000000000001,11.985500000000004,1,1,1,1,1,85.40879505208069,85.86990350813396,84.48657813997417,-1,0.24171651575446162,0.1183558602430724,0.12336065551138922
2010-03-12,sh.600227,12.7700,13.44,12.75,12.93,27745596,362531642.0000,3,6.859122,1,1.094600,39.733196,2.988557,5.587581,2.611527,0,12.714000000000004,12.482000000000003,12.076500000000005,1,1,1,1,1,80.77757721331568,84.42440692515527,73.48391778963651,-1,0.27177558534826574,0.14903980526411106,0.12273578008415467
2010-03-15,sh.600227,12.5200,12.56,11.92,11.99,49511299,608266415.0000,3,12.239926,1,-7.269900,36.844627,2.771292,5.181369,2.421671,0,12.572000000000005,12.456000000000001,12.123000000000005,-1,-1,-1,1,1,55.99723189025254,74.06120138521631,19.869292900325007,-1,0.21724322579528277,0.1626804893703454,0.054562736424937364
2010-03-16,sh.600227,11.9200,12.29,11.9,12.03,14563746,176074962.0000,3,3.600374,1,0.333600,36.967545,2.780537,5.198654,2.429750,0,12.466000000000005,12.434000000000001,12.158000000000005,-1,-1,-1,1,1,29.350104821802926,55.37497130845704,-22.69962815150531,-1,0.17523361958374117,0.16519111541302456,0.010042504170716615
2010-03-17,sh.600227,12.1300,12.5,11.95,12.42,18284723,223716750.0000,3,4.520254,1,3.241900,38.165994,2.870679,5.367189,2.508520,0,12.432000000000006,12.451000000000002,12.203000000000003,-1,-1,1,-1,1,18.65828092243186,34.66853921149576,-13.36223565569594,-1,0.17143425722901462,0.16643974377622256,0.00499451345279206
2010-03-18,sh.600227,12.3900,12.61,12.36,12.6,16938625,211744506.0000,3,4.187479,1,1.449300,38.719124,2.912283,5.444975,2.544875,0,12.394000000000005,12.486,12.253000000000004,1,1,1,-1,1,31.446540880503125,26.484975541579292,41.369671558350795,1,0.18086285644136346,0.16932436630925074,0.011538490132112722
2010-03-19,sh.600227,12.6400,13.15,12.56,12.9,26621293,343698951.0000,3,6.581178,1,2.381000,39.641008,2.981623,5.574617,2.605468,0,12.388000000000005,12.551000000000002,12.319000000000003,1,1,1,-1,1,49.317977619864415,33.14093314093312,81.672066577727,1,0.21012044435484079,0.17748358191836874,0.03263686243647204
2010-03-22,sh.600227,12.9700,13.07,12.81,12.88,17366818,224439324.0000,3,4.293334,1,-0.155000,39.579549,2.977000,5.565974,2.601428,0,12.566000000000006,12.569,12.387500000000003,1,1,1,-1,1,58.58041329739444,46.44831059925398,82.84461869367537,1,0.22905307939411834,0.18779748141351865,0.04125559798059969
2010-03-23,sh.600227,13.0000,13.35,12.92,13.11,22060020,290616625.0000,3,5.453563,1,1.785700,40.286327,3.030161,5.665366,2.647882,0,12.782000000000005,12.624,12.454000000000002,1,1,1,1,1,69.04761904761905,58.98200332162596,89.17885049960525,1,0.25962362730928845,0.2021627105926726,0.05746091671661585
2010-03-24,sh.600227,13.1900,13.25,12.93,13.06,15056231,197203300.0000,3,3.722123,1,-0.381400,40.132680,3.018604,5.643759,2.637784,0,12.910000000000005,12.671000000000001,12.517000000000001,1,1,1,1,1,72.5108225108225,66.712951618612,84.10656429524354,1,0.2766276334843152,0.21705569517100112,0.05957193831331406
2010-03-25,sh.600227,13.0900,13.53,12.9,13.33,24319277,321864615.0000,3,6.012085,1,2.067400,40.962375,3.081011,5.760437,2.692317,0,13.056000000000006,12.725000000000001,12.574500000000002,1,1,1,1,1,80.54205508193238,74.03349888012464,93.55916748554785,1,0.30833587041934507,0.23531173022066992,0.07302414019867515
2010-03-26,sh.600227,13.3500,13.62,13.16,13.55,18766733,251590297.0000,3,4.639414,1,1.650400,41.638423,3.131860,5.855508,2.736751,0,13.186000000000007,12.787000000000003,12.634500000000003,1,1,1,1,1,86.32832307750273,79.79373355675251,99.39750211900318,1,0.34721456465141287,0.2576922971068185,0.08952226754459436
2010-03-29,sh.600227,13.5500,13.79,13.24,13.45,18558842,249871140.0000,3,4.588020,1,-0.738000,41.331129,3.108747,5.812294,2.716553,0,13.300000000000006,12.933000000000002,12.694500000000001,1,1,1,1,1,88.39401101275587,85.08812972406365,95.00577359014031,1,0.3657410109625605,0.2793020398779669,0.08643897108459359
2010-03-30,sh.600227,13.3600,13.98,13.36,13.83,23172928,319245597.0000,3,5.728691,1,2.825300,42.498848,3.196577,5.976508,2.793304,0,13.444000000000006,13.113000000000003,12.773500000000002,1,1,1,1,1,89.3975708097717,88.03996830001007,92.11277582929492,1,0.4064014345856819,0.30472191881950994,0.10167951576617196
2010-03-31,sh.600227,13.8600,14.05,13.63,13.88,16156494,223648471.0000,3,3.994124,1,0.361500,42.652496,3.208134,5.998115,2.803402,0,13.608000000000004,13.259000000000004,12.855000000000004,1,1,1,1,1,86.95102796600703,88.24753659617818,84.35801070566475,-1,0.4376151404489743,0.3313005631454028,0.10631457730357152
2010-04-01,sh.600227,13.8900,14.06,13.5,13.59,35603704,490107193.0000,3,8.801763,1,-2.089300,41.761341,3.141105,5.872794,2.744830,0,13.660000000000005,13.358000000000004,12.922000000000002,-1,1,1,1,1,80.57711492252876,85.64190456610248,70.44753563538131,-1,0.43394935284387337,0.35183032108509693,0.08211903175877644
2010-04-02,sh.600227,13.6200,14.18,13.45,14.16,34851673,482777336.0000,3,8.615849,1,4.194300,43.512921,3.272851,6.119114,2.859955,0,13.782000000000005,13.484000000000004,13.017500000000004,1,1,1,1,1,83.14270134228185,83.5569480769392,82.31420787296719,-1,0.47160209072769455,0.37578467501361645,0.09581741571407809
2010-04-06,sh.600227,14.2900,14.58,14.02,14.36,32951436,471419553.0000,3,8.146083,1,1.412400,44.127510,3.319078,6.205543,2.900350,0,13.964000000000004,13.632000000000005,13.100500000000006,1,1,1,1,1,82.58075396825393,82.10019007768817,83.54188174938545,1,0.5116821321953307,0.4029641664499593,0.10871796574537135
2010-04-07,sh.600227,14.2000,14.36,13.84,13.94,56505416,792139166.0000,3,13.968975,1,-2.924800,48.205152,3.208526,5.956126,3.317940,0,13.986000000000004,13.715000000000007,13.169500000000005,-1,1,1,1,1,82.41567460317457,82.71304330457009,81.8209372003835,-1,0.5037484651720217,0.42312102619437175,0.0806274389776499
2010-04-08,sh.600227,13.9600,14.33,13.92,14.15,29749772,420078876.0000,3,7.354584,1,1.506500,48.931341,3.256861,6.045853,3.367923,0,14.040000000000003,13.824000000000007,13.247500000000006,1,1,1,1,1,72.84261122289287,79.27967993144044,59.96847380579774,-1,0.5085440426874115,0.4402056294929797,0.06833841319443179
2010-04-09,sh.600227,14.1600,14.24,13.97,14.12,21836801,307830842.0000,3,5.398380,1,-0.212000,48.827600,3.249956,6.033034,3.360782,0,14.146000000000004,13.903000000000006,13.314000000000004,-1,1,1,1,1,65.76490451832048,73.67439678146262,49.94591999203621,-1,0.5041127254394997,0.4529870486822837,0.05112567675721602
2010-04-12,sh.600227,14.2300,14.25,13.81,13.88,28038207,393317066.0000,3,6.931460,1,-1.699700,47.997669,3.194716,5.930490,3.303659,0,14.090000000000003,13.936000000000007,13.361500000000003,-1,-1,1,1,1,59.33763415662393,65.98171663261239,46.04946920464701,-1,0.47575072217757963,0.4575397833813429,0.018210938796236753
2010-04-13,sh.600227,13.8800,13.98,13.12,13.49,25265752,342390705.0000,3,6.246068,1,-2.809800,46.649031,3.104951,5.763855,3.210832,0,13.916000000000002,13.940000000000007,13.436500000000004,-1,-1,1,-1,1,44.54568612138052,56.549408265441606,20.53824183325834,-1,0.4169970076882983,0.44943122824273396,-0.03243422055443568
2010-04-14,sh.600227,13.4400,13.71,13.31,13.68,10453799,142017880.0000,3,2.584334,1,1.408500,47.306060,3.148683,5.845036,3.256055,0,13.864000000000004,13.925000000000006,13.519000000000005,-1,-1,1,-1,1,35.44052698555283,46.441282421185726,13.439016114287043,-1,0.38136948770167045,0.43581888013452125,-0.054449392432850796
2010-04-15,sh.600227,13.6800,13.86,13.42,13.47,11246373,153340627.0000,3,2.780270,1,-1.535100,46.579870,3.100348,5.755310,3.206072,0,13.728000000000005,13.884000000000006,13.571500000000006,-1,-1,-1,-1,1,29.22374429223746,36.403319133056904,14.864594610598573,-1,0.3323579607867728,0.41512669626497156,-0.08276873547819874
