date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600230,18.5700,18.89,18.45,18.67,2740367,51151294.0000,3,1.056704,1,0.701200,150.574155,4.336630,3.135221,8.885796,0,18.354000000000006,17.997000000000007,18.044,1,1,1,1,1,90.46572678658248,84.14444032893243,103.10829970188257,1,-0.6767176297672535,-1.078736271064078,0.4020186412968245
2010-02-26,sh.600230,18.5400,18.78,18.41,18.58,2121919,39326071.0000,3,0.818226,1,-0.482100,149.848302,4.315725,3.120108,8.842961,0,18.452000000000005,18.112000000000005,18.049,1,1,1,1,1,86.84481175390262,88.1370619873294,84.26031128704906,-1,-0.5952214080414784,-0.9820332984595581,0.38681189041807973
2010-03-01,sh.600230,18.5800,18.89,18.58,18.78,2209812,41373458.0000,3,0.852118,1,1.076400,151.461308,4.362180,3.153693,8.938149,0,18.574000000000005,18.241000000000007,18.058999999999997,1,1,1,1,1,85.44444444444444,87.58499432830985,81.16334467671362,-1,-0.5086335259709571,-0.887353343961838,0.37871981799088084
2010-03-02,sh.600230,18.7000,18.7,18.42,18.46,1854765,34335387.0000,3,0.715210,1,-1.703900,148.880498,4.287851,3.099956,8.785849,0,18.606000000000005,18.330000000000005,18.1025,-1,1,1,1,1,78.95767195767195,83.74897605200634,69.37506376900316,-1,-0.46052468929495305,-0.801987613028461,0.34146292373350795
2010-03-03,sh.600230,18.4500,19.13,18.43,18.99,3114447,58824275.0000,3,1.200952,1,2.871100,153.154965,4.410959,3.188958,9.038097,0,18.696000000000005,18.439000000000007,18.184499999999996,1,1,1,1,1,82.73544973544976,82.37918871252207,83.44797178130514,1,-0.37530523390156034,-0.7166511372030808,0.3413459033015205
2010-03-04,sh.600230,19.2500,19.49,18.5,18.58,3706533,70621153.0000,3,1.429264,1,-2.159000,149.848302,4.315725,3.120108,8.842961,0,18.678000000000004,18.51600000000001,18.2245,-1,1,1,1,1,69.20498378562894,76.96603515958356,53.68288103771971,-1,-0.33696742430386806,-0.6407143946232383,0.30374697031937026
2010-03-05,sh.600230,18.6100,18.79,18.28,18.46,1697866,31449121.0000,3,0.654708,1,-0.645900,148.880498,4.287851,3.099956,8.785849,0,18.654000000000007,18.553000000000008,18.231499999999997,-1,-1,1,1,1,62.121863799283155,71.35409910678729,43.657393184274895,-1,-0.3126632438577701,-0.5751041644701447,0.26244092061237456
2010-03-08,sh.600230,18.4000,18.55,18.1,18.51,1424720,26190184.0000,3,0.549382,1,0.270900,71.682793,4.264725,2.728440,18.109138,0,18.60000000000001,18.587000000000007,18.246,-1,-1,1,1,1,42.389152066571505,57.90533321716121,11.356789765392094,-1,-0.2860697891623083,-0.5172972894085774,0.23122750024626915
2010-03-09,sh.600230,18.4000,18.75,18.4,18.63,1793102,33370912.0000,3,0.691432,1,0.648300,72.147512,4.292373,2.746129,18.226539,0,18.634000000000007,18.620000000000005,18.273,-1,1,1,1,1,38.07389459512928,47.52830348699465,19.16507681139855,-1,-0.25240175725945235,-0.46431818297875244,0.21191642571930008
2010-03-10,sh.600230,18.6300,18.74,18.11,18.28,1243620,22838442.0000,3,0.479548,1,-1.878700,70.792083,4.211733,2.694537,17.884119,0,18.49200000000001,18.594000000000005,18.269,-1,-1,1,-1,1,27.515889386393013,35.992978682697945,10.56171079378315,-1,-0.2510675242044016,-0.4216680512238823,0.1706005270194807
2010-03-11,sh.600230,18.2000,18.39,17.65,17.83,1628107,29207645.0000,3,0.627809,1,-2.461700,69.049390,4.108052,2.628206,17.443864,0,18.34200000000001,18.51,18.2535,-1,-1,-1,-1,1,20.28724846209984,28.625677481207386,3.610390423884745,-1,-0.28305845244669214,-0.39394613146844426,0.11088767902175212
2010-03-12,sh.600230,17.8300,17.99,17.5,17.55,1680127,29701301.0000,3,0.647868,1,-1.570400,67.965047,4.043540,2.586933,17.169928,0,18.16000000000001,18.407000000000004,18.2595,-1,-1,-1,-1,-1,8.414937265830767,18.739358371441213,-12.233904945390123,-1,-0.3272330150017986,-0.3806035081751151,0.05337049317331655
