date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600231,10.6000,10.89,10.55,10.84,14209563,153189080.0000,3,3.814351,1,1.308400,29.220288,2.805753,0.916619,-17.791238,0,10.573999999999998,10.261999999999999,10.129999999999999,1,1,1,1,1,89.7764986221813,87.51820771817292,94.29308043019805,1,-0.4523758172177086,-0.798750531208682,0.3463747139909734
2010-02-26,sh.600231,10.8000,11.15,10.7,11.0,11657040,127691514.0000,3,3.129163,1,1.476000,29.651584,2.847167,0.930148,-18.053839,0,10.655999999999997,10.416,10.166499999999997,1,1,1,1,1,95.41558017131327,90.49091154470625,105.26491742452731,1,-0.3681185545944139,-0.7126241358858284,0.3445055812914145
2010-03-01,sh.600231,11.0000,11.15,10.91,10.97,7832741,86133585.0000,3,2.102586,1,-0.272700,29.570716,2.839402,0.927611,-18.004601,0,10.759999999999996,10.550999999999998,10.201499999999998,1,1,1,1,1,90.87220117587952,92.02142665645802,88.57375021472254,-1,-0.3003031088970243,-0.6301599304880676,0.32985682159104335
2010-03-02,sh.600231,11.1500,11.15,10.54,10.59,12459057,133593077.0000,3,3.344453,1,-3.464000,28.546389,2.741045,0.895479,-17.380923,0,10.819999999999997,10.625,10.224499999999997,-1,-1,1,1,1,75.77410396598108,87.35396177105797,52.614388355827316,-1,-0.27406248210964534,-0.5589404408123831,0.2848779587027378
2010-03-03,sh.600231,10.6200,11.04,10.62,11.03,16149053,176307149.0000,3,4.334979,1,4.154900,29.732452,2.854932,0.932685,-18.103077,0,10.885999999999996,10.690000000000001,10.273999999999997,1,1,1,1,1,75.28985507246375,80.64538673810813,64.578791741175,-1,-0.21528065220945258,-0.49020848309179704,0.27492783088234446
2010-03-04,sh.600231,11.0600,11.07,10.55,10.56,10051597,108168980.0000,3,2.698206,1,-4.261100,28.465521,2.733280,0.892942,-17.331686,0,10.829999999999995,10.702000000000002,10.287499999999998,-1,-1,1,1,1,63.18840579710142,71.41745494518209,46.730307500940086,-1,-0.204266048701216,-0.4330199962136808,0.2287539475124648
2010-03-05,sh.600231,10.5600,10.56,10.56,10.56,0,0.0000,3,,0,0.000000,28.465521,2.733280,0.892942,-17.331686,0,10.741999999999996,10.699000000000002,10.308499999999999,-1,-1,1,1,1,62.31884057971013,66.93236714975843,53.09178743961351,-1,-0.19330855536910718,-0.3850777080447661,0.19176915267565892
2010-03-08,sh.600231,10.8600,11.06,10.71,10.96,10939917,119191212.0000,3,2.936662,1,3.787900,29.543760,2.836813,0.926766,-17.988189,0,10.739999999999997,10.75,10.380999999999998,1,1,1,-1,1,59.98670389575856,61.831316757523375,56.297478172228935,-1,-0.15061184628703828,-0.33818453569322054,0.18757268940618227
2010-03-09,sh.600231,10.9600,11.39,10.74,11.28,19005247,212035356.0000,3,5.101683,1,2.919700,30.406351,2.919640,0.953825,-18.513391,0,10.877999999999997,10.849,10.468,1,1,1,1,1,72.77442768092476,65.02665738546449,88.2699682718453,1,-0.08991656884340138,-0.2885309423232567,0.19861437347985533
2010-03-10,sh.600231,11.2500,11.58,11.15,11.49,21390547,244856493.0000,3,5.741982,1,1.861700,30.972427,2.973995,0.971582,-18.858056,0,10.969999999999997,10.928,10.543,1,1,1,1,1,86.9912615716717,73.25079771611836,114.47218928277837,1,-0.02458646179959878,-0.23574204621852513,0.21115558441892635
2010-03-11,sh.600231,11.4800,11.67,11.31,11.47,14904900,171381122.0000,3,4.001004,1,-0.174100,30.918515,2.968818,0.969891,-18.825231,0,11.151999999999997,10.991,10.626499999999998,1,1,1,1,1,86.90195411043926,82.2225477876786,96.26076675596062,1,0.025282841004512946,-0.1835370687739175,0.20881990977843046
2010-03-12,sh.600231,11.5300,11.65,10.95,10.97,17591856,198802744.0000,3,4.722279,1,-4.359200,29.570716,2.839402,0.927611,-18.004601,0,11.233999999999996,10.988,10.701999999999998,-1,-1,1,1,1,70.56671204901299,81.48664257704134,48.72685099295629,-1,0.02418006866010458,-0.1419936412871131,0.16617370994721767
2010-03-15,sh.600231,11.0500,11.09,10.58,10.7,8857642,94851340.0000,3,2.377706,1,-2.461300,28.842904,2.769517,0.904780,-17.561462,0,11.181999999999997,10.961,10.755999999999997,-1,-1,-1,1,1,44.582279814580716,67.35031532467768,-0.9537912056132143,-1,0.0015020553571059025,-0.11329450195826929,0.11479655731537519
2010-03-16,sh.600231,10.7100,10.91,10.57,10.9,7901059,85080756.0000,3,2.120925,1,1.869200,29.382024,2.821283,0.921692,-17.889713,0,11.105999999999996,10.992,10.808499999999999,-1,-1,1,1,1,27.565318162663285,47.571436675419015,-12.446918862848179,-1,-0.0003283203686859082,-0.09070126564035261,0.0903729452716667
2010-03-17,sh.600231,11.0000,11.4,10.9,11.35,18603237,209750884.0000,3,4.993769,1,4.128400,30.595043,2.937758,0.959744,-18.628280,0,11.077999999999996,11.024,10.856999999999998,1,1,1,1,1,38.60467610467605,36.917424693973366,41.97917892608142,1,0.03413880201559394,-0.0657332521091633,0.09987205412475723
2010-03-18,sh.600231,11.3500,11.4,11.18,11.35,9953562,112098999.0000,3,2.671890,1,0.000000,30.595043,2.937758,0.959744,-18.628280,0,11.053999999999997,11.102999999999998,10.902499999999998,1,1,1,-1,1,57.776754026754,41.31558276469779,90.69909655086643,1,0.06075391155295584,-0.040435819376739464,0.1011897309296953
2010-03-19,sh.600231,11.3500,11.65,11.15,11.54,13634184,156140419.0000,3,3.659899,1,1.674000,31.107207,2.986937,0.975810,-18.940119,0,11.167999999999996,11.200999999999999,10.949999999999998,1,1,1,-1,1,76.75402675402671,57.71181896181893,114.83844233844228,1,0.09607054823832151,-0.01313454585372727,0.10920509409204877
2010-03-22,sh.600231,11.5300,11.72,11.47,11.58,12255938,142130880.0000,3,3.289929,1,0.346600,31.215031,2.997290,0.979192,-19.005769,0,11.343999999999998,11.262999999999998,11.006499999999999,1,1,1,1,1,82.30566534914357,72.27881537664143,102.35936529414784,1,0.12583633996345434,0.014659631309709053,0.11117670865374528
