date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600233,16.3800,17.93,16.37,17.93,8913058,153820418.0000,3,9.051639,1,10.000000,31.502929,4.225797,3.278475,59.747847,0,16.43,16.176999999999992,15.999500000000006,1,1,1,1,1,84.81888481888485,77.24867724867723,99.95929995930013,1,-0.20560988435209993,-0.5360613158493072,0.33045143149720724
2010-02-26,sh.600233,17.9300,17.94,17.19,17.28,6392418,112140410.0000,3,6.491808,1,-3.625200,30.360882,4.072603,3.159623,57.581862,0,16.678000000000004,16.312999999999995,16.017500000000005,1,1,1,1,1,90.69061020280537,84.04108387848227,103.98966285145158,1,-0.10979223626443613,-0.45080749993233293,0.3410152636678968
2010-03-01,sh.600233,17.2200,17.53,17.18,17.39,3522317,61249665.0000,3,3.577082,1,0.636600,30.554151,4.098528,3.179737,57.948413,0,16.96,16.447999999999997,16.046500000000005,1,1,1,1,1,83.6043360433604,86.37127702168353,78.07045408671416,-1,-0.024695307007551293,-0.3655850613473766,0.3408897543398253
2010-03-02,sh.600233,17.4400,18.19,17.4,17.91,6069648,108581760.0000,3,6.164019,1,2.990200,31.467789,4.221083,3.274818,59.681201,0,17.362000000000002,16.663999999999994,16.15950000000001,1,1,1,1,1,80.16030160301598,84.81841594972724,70.84407290959348,-1,0.08373898579493755,-0.2757202519189138,0.35945923771385135
2010-03-03,sh.600233,17.8000,17.91,17.44,17.7,3755450,66149577.0000,3,3.813840,1,-1.172500,31.098820,4.171590,3.236420,58.981421,0,17.642000000000003,16.846999999999994,16.26600000000001,1,1,1,1,1,83.07633076330755,82.28032280322797,84.6683466834667,1,0.15098820111546374,-0.19037856131203829,0.341366762427502
2010-03-04,sh.600233,17.7000,17.76,16.81,16.86,3647190,62806709.0000,3,3.703897,1,-4.745800,29.622944,3.973616,3.082827,56.182303,0,17.428,16.928999999999995,16.32700000000001,-1,-1,1,1,1,74.16974169741688,79.13545802124679,64.23830904975705,-1,0.13494712250772167,-0.1253134245480863,0.260260547055808
2010-03-05,sh.600233,16.8700,17.17,16.73,16.85,2318241,39216279.0000,3,2.354285,1,-0.059300,29.605374,3.971259,3.080999,56.148980,0,17.342000000000002,17.009999999999998,16.385000000000012,-1,-1,1,1,1,61.131611316113094,72.79256125894584,37.80971143044761,-1,0.12004374613404778,-0.0762419904116595,0.19628573654570727
2010-03-08,sh.600233,16.8100,17.19,16.81,17.0,1478838,25159537.0000,3,1.501831,1,0.890200,29.868923,4.006612,3.108426,56.648823,0,17.264000000000003,17.112,16.47050000000001,-1,-1,1,1,1,51.54187368645335,62.281075566661094,30.063469926037854,-1,0.11896510372009672,-0.03720057158530825,0.15616567530540498
2010-03-09,sh.600233,17.0300,17.68,16.6,17.44,3163110,54311789.0000,3,3.212290,1,2.588200,30.642001,4.110312,3.188879,58.115028,0,17.17,17.266,16.58150000000001,1,1,1,-1,1,54.16477354182555,55.61275284813065,51.26881492921534,-1,0.15186400093172736,0.0006123429180988765,0.1512516580136285
2010-03-10,sh.600233,17.3200,18.0,17.32,17.63,4877212,86402211.0000,3,4.953043,1,1.089400,30.975830,4.155092,3.223620,58.748161,0,17.156,17.398999999999994,16.68200000000001,1,1,1,-1,1,58.90689643475253,54.87118122101046,66.97832686223668,1,0.19106554147153076,0.03870298262878526,0.15236255884274552
