date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600236,7.7200,7.77,7.67,7.77,9157879,70600603.0000,3,1.136830,1,1.171900,42.718199,2.825408,4.113632,-19.794042,0,7.625999999999996,7.544000000000002,7.493500000000003,1,1,1,1,1,85.98290598290593,80.92291641587413,96.10288511696953,1,-0.10262466105211043,-0.20244557477323533,0.0998209137211249
2010-02-26,sh.600236,7.7700,7.85,7.68,7.7,7975772,61755351.0000,3,0.990087,1,-0.900900,42.333350,2.799953,4.076572,-19.615717,0,7.669999999999996,7.565000000000003,7.491500000000002,1,1,1,1,1,80.47281323877068,82.38303677920096,76.65236615791011,-1,-0.08420965028871841,-0.17879838987633195,0.09458873958761355
2010-03-01,sh.600236,7.6700,7.75,7.65,7.72,8923652,68702102.0000,3,1.107754,1,0.259700,42.443307,2.807226,4.087161,-19.666667,0,7.701999999999996,7.595000000000003,7.492000000000002,1,1,1,1,1,77.91962174940899,81.45844699036188,70.84197126750323,-1,-0.06722683957336884,-0.15648407981573934,0.0892572402423705
2010-03-02,sh.600236,7.7100,7.71,7.62,7.66,6372806,48767353.0000,3,0.791100,1,-0.777200,42.113437,2.785408,4.055395,-19.513818,0,7.705999999999998,7.615000000000004,7.500500000000001,-1,1,1,1,1,65.74790457769187,74.71344652195718,47.81682068916123,-1,-0.05794142559896809,-0.13677554897238509,0.078834123373417
2010-03-03,sh.600236,7.6600,7.9,7.64,7.82,11438155,89356706.0000,3,1.419896,1,2.088800,42.993091,2.843589,4.140103,-19.921417,0,7.733999999999997,7.651000000000005,7.519000000000001,1,1,1,1,1,70.46027652410633,71.37593428373573,68.62896100484753,-1,-0.037242694700517553,-0.11686897811801158,0.07962628341749403
2010-03-04,sh.600236,7.8800,7.88,7.52,7.56,8446443,65112743.0000,3,1.048515,1,-3.324800,41.563653,2.749045,4.002453,-19.259068,0,7.6919999999999975,7.659000000000004,7.524000000000001,-1,-1,1,1,1,52.696007696007655,62.96806293260196,32.151897222819045,-1,-0.04134206286041575,-0.10176359506649242,0.06042153220607667
2010-03-05,sh.600236,7.5500,7.63,7.53,7.6,5973076,45286536.0000,3,0.741479,1,0.529100,45.990461,3.041837,4.428741,-21.310288,0,7.671999999999997,7.671000000000004,7.531000000000001,-1,-1,1,1,1,41.44892144892136,54.86840188967846,14.609960567407157,-1,-0.04089180073087206,-0.08958923619936834,0.04869743546849628
2010-03-08,sh.600236,7.6300,7.65,7.55,7.6,5132564,39010327.0000,3,0.637140,1,0.000000,45.990461,3.041837,4.428741,-21.310288,0,7.647999999999998,7.6750000000000025,7.547,-1,-1,1,-1,1,21.059057901163072,38.401329015364034,-13.625484327238851,-1,-0.040073027829025776,-0.07968599452529983,0.03961296669627405
2010-03-09,sh.600236,7.6000,7.6,7.48,7.56,5089665,38407142.0000,3,0.631815,1,-0.526300,45.748406,3.025827,4.405432,-21.198129,0,7.6279999999999974,7.667000000000003,7.566,-1,-1,-1,-1,1,21.059057901163072,27.855679083749177,7.465815535990863,-1,-0.04216574959733421,-0.07218194553970671,0.030016195942372495
2010-03-10,sh.600236,7.5600,7.68,7.52,7.57,4620604,35087359.0000,3,0.573587,1,0.132300,45.808920,3.029830,4.411259,-21.226168,0,7.577999999999998,7.656000000000003,7.579499999999999,-1,-1,-1,-1,-1,20.509607351712535,20.8759077180129,19.77700661911181,-1,-0.04252710426370321,-0.066250977284506,0.023723873020802796
2010-03-11,sh.600236,7.6100,7.63,7.47,7.52,4107753,30935411.0000,3,0.509923,1,-0.660500,45.506351,3.009818,4.382123,-21.085969,0,7.569999999999998,7.631000000000003,7.587499999999999,-1,-1,-1,-1,-1,17.368032484311467,19.6455659123957,12.812965628142997,-1,-0.046314181517824515,-0.06226361813116971,0.01594943661334519
2010-03-12,sh.600236,7.5400,7.55,7.36,7.42,4327063,32224203.0000,3,0.537148,1,-1.329800,44.901213,2.969793,4.323850,-20.805571,0,7.533999999999997,7.603000000000003,7.583999999999998,-1,-1,-1,-1,-1,14.722529838808859,17.533389891610963,9.100809733204649,-1,-0.05673067587341407,-0.06115702967961858,0.004426353806204507
