date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600237,6.7500,6.87,6.72,6.78,10101757,68619765.0000,3,2.525439,1,1.194000,-56.928861,3.736098,5.356668,41.698131,0,6.600000000000004,6.510000000000001,6.549000000000001,1,1,1,1,1,83.13511050353151,73.6938694833431,102.01759254390834,1,-0.20807249934126393,-0.32592567198491706,0.11785317264365314
2010-02-26,sh.600237,6.7800,6.95,6.7,6.85,8149976,55959908.0000,3,2.037494,1,1.032400,-57.516622,3.774671,5.411972,42.128643,0,6.672000000000004,6.556,6.532000000000001,1,1,1,1,1,86.57833394675498,80.9090324879798,97.91693686430534,1,-0.17084651267208972,-0.2949098401223516,0.12406332745026188
2010-03-01,sh.600237,6.9000,6.96,6.84,6.9,7955032,54821501.0000,3,1.988758,1,0.729900,-57.936451,3.802223,5.451476,42.436151,0,6.7580000000000044,6.605000000000001,6.523000000000001,1,1,1,1,1,86.578333946755,85.43059279901382,88.87381624223735,1,-0.13574528080681514,-0.26307692825924434,0.1273316474524292
2010-03-02,sh.600237,7.0000,7.38,6.95,7.09,18151924,130396746.0000,3,4.537981,1,2.753600,-59.531803,3.906922,5.601589,43.604683,0,6.864000000000004,6.677000000000001,6.5435,1,1,1,1,1,82.89087455754121,85.34918081701706,77.9742620385895,-1,-0.09154066574648034,-0.22876967575669155,0.1372290100102112
2010-03-03,sh.600237,7.0500,7.17,7.01,7.14,8536583,60655420.0000,3,2.134146,1,0.705200,-59.951632,3.934475,5.641092,43.912191,0,6.9520000000000035,6.745,6.5815,1,1,1,1,1,80.61167227833896,83.36029359421173,75.11442964659341,-1,-0.05187561787018957,-0.19339086417939116,0.1415152463092016
2010-03-04,sh.600237,7.1400,7.18,6.68,6.79,12081612,83806127.0000,3,3.020403,1,-4.902000,-57.012827,3.741608,5.364568,41.759633,0,6.954000000000003,6.777000000000001,6.593999999999999,-1,1,1,1,1,65.43209876543209,76.31154853377076,43.673199228754726,-1,-0.048128066196511554,-0.16433830458281523,0.11621023838630368
2010-03-05,sh.600237,6.6800,6.83,6.65,6.72,5255006,35495959.0000,3,1.313751,1,-1.030900,-56.425066,3.703035,5.309263,41.329121,0,6.928000000000003,6.800000000000002,6.605500000000001,-1,-1,1,1,1,54.012345679012334,66.6853722409278,28.6662925551814,-1,-0.05022752780606243,-0.14151614922746467,0.09128862142140223
2010-03-08,sh.600237,6.7400,6.82,6.69,6.74,6529302,44030018.0000,3,1.632325,1,0.297600,-56.592997,3.714056,5.325065,41.452125,0,6.8960000000000035,6.827000000000001,6.635000000000001,-1,-1,1,1,1,37.716049382716044,52.38683127572016,8.3744855967078,-1,-0.04970457006077034,-0.1231538333941258,0.07344926333335547
2010-03-09,sh.600237,6.7400,6.97,6.65,6.89,10205234,69518789.0000,3,2.551309,1,2.225500,-57.852485,3.796713,5.443575,42.374650,0,6.856000000000003,6.860000000000001,6.667,1,1,1,-1,1,33.551496702181595,41.75996392130333,17.134562263938122,-1,-0.03676259951889449,-0.10587558661907955,0.06911298710018506
2010-03-10,sh.600237,6.7800,6.88,6.67,6.76,5654069,38328557.0000,3,1.413517,1,-1.886800,-56.760929,3.725077,5.340866,41.575128,0,6.780000000000003,6.866000000000001,6.676,-1,-1,1,-1,1,25.611364789446924,32.29297029144819,12.248153785444387,-1,-0.03657430237618353,-0.09201532977050034,0.055441027394316805
2010-03-11,sh.600237,6.7200,6.79,6.61,6.67,4969739,33195764.0000,3,1.242435,1,-1.331400,-56.005236,3.675483,5.269760,41.021613,0,6.756000000000003,6.855000000000001,6.6825,-1,-1,-1,-1,1,18.57913775721988,25.913999749616135,3.9094137724273637,-1,-0.043189462137578793,-0.08225015624391603,0.03906069410633724
2010-03-12,sh.600237,6.6700,6.69,6.57,6.6,5196217,34472432.0000,3,1.299054,1,-1.049500,-55.417475,3.636909,5.214455,40.591101,0,6.732000000000004,6.830000000000001,6.6930000000000005,-1,-1,-1,-1,1,8.854801548865405,17.68176803184407,-8.799131417091921,-1,-0.05346413759579427,-0.07649295251429168,0.02302881491849741
2010-03-15,sh.600237,6.6000,6.6,6.4,6.41,4228630,27331750.0000,3,1.057157,1,-2.878800,-53.822124,3.532210,5.064342,39.422570,0,6.666000000000002,6.7810000000000015,6.6930000000000005,-1,-1,-1,-1,-1,4.259320925987535,10.564420077357607,-8.350877376752607,-1,-0.07606151423575369,-0.07640666485858408,0.0003451506228303869
