date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600243,8.7800,9.34,8.72,9.15,15253718,137725279.0000,3,11.146305,1,3.156700,98.418734,2.896379,2.260179,6.893262,0,8.629999999999995,8.495,8.133500000000002,1,1,1,1,1,82.25754345157327,71.53185337104446,103.70892361263088,1,0.08732097955983598,-0.0970799973936171,0.1844009769534531
2010-02-26,sh.600243,9.0400,9.25,8.98,9.05,12344046,112262395.0000,3,9.020129,1,-1.092900,97.343119,2.864724,2.235478,6.817926,0,8.801999999999996,8.537999999999998,8.178500000000001,1,1,1,1,1,84.93962178172704,80.15105752885442,94.51675028747226,1,0.13133083659287514,-0.051397830596318646,0.18272866718919378
2010-03-01,sh.600243,9.0800,9.36,9.0,9.2,10311397,95165037.0000,3,7.534817,1,1.657500,98.956541,2.912206,2.272530,6.930930,0,8.971999999999994,8.62,8.231,1,1,1,1,1,84.01930752807948,83.73882425379327,84.5802740766519,1,0.176280658067844,-0.005862132863486115,0.1821427909313301
2010-03-02,sh.600243,9.1500,9.2,8.88,9.09,8321668,75082114.0000,3,6.080868,1,-1.195700,97.773365,2.877386,2.245358,6.848060,0,9.071999999999994,8.684999999999999,8.2985,1,1,1,1,1,82.11454562331757,83.69115831104136,78.96132024786999,-1,0.20071392950187672,0.035453079609586456,0.16526084989229026
2010-03-03,sh.600243,9.0800,9.35,9.02,9.23,8781432,80716706.0000,3,6.416830,1,1.540200,99.279226,2.921702,2.279940,6.953531,0,9.143999999999995,8.783,8.3775,1,1,1,1,1,86.17283950617286,84.10223088585663,90.31405674680533,1,0.2287375589216829,0.07410997547200575,0.15462758344967714
2010-03-04,sh.600243,9.2500,9.34,8.65,8.77,8538978,76816808.0000,3,6.239662,1,-4.983700,94.331398,2.776092,2.166314,6.606984,0,9.067999999999994,8.849,8.4295,-1,-1,1,1,1,75.55555555555559,81.28098022834867,64.10470620996941,-1,0.2113915414138745,0.1015662886603795,0.109825252753495
2010-03-05,sh.600243,8.8000,9.38,8.73,9.34,11848234,107565418.0000,3,8.657825,1,6.499400,100.462402,2.956522,2.307112,7.036401,0,9.125999999999996,8.964,8.512,1,1,1,1,1,80.99898063200816,80.90912523124554,81.17869143353337,1,0.24086242181187245,0.12942551529067808,0.11143690652119437
2010-03-08,sh.600243,9.4100,9.57,9.29,9.31,9712167,91373655.0000,3,7.096943,1,-0.321200,100.139717,2.947026,2.299701,7.013800,0,9.147999999999996,9.06,8.6015,1,1,1,1,1,76.40104936741021,77.651861851658,73.89942439891462,-1,0.2588141096244154,0.15530323415742556,0.10351087546698987
2010-03-09,sh.600243,9.2700,9.68,9.2,9.31,9255624,87291542.0000,3,6.763335,1,0.000000,100.139717,2.947026,2.299701,7.013800,0,9.191999999999997,9.132000000000001,8.692499999999999,1,1,1,1,1,78.99484056961566,78.79829018967801,79.38794132949096,1,0.2699293737553301,0.17822846207700646,0.09170091167832364
2010-03-10,sh.600243,9.1900,9.3,9.01,9.16,7418533,67773450.0000,3,5.420923,1,-1.611200,98.526295,2.899544,2.262649,6.900795,0,9.177999999999994,9.161,8.7625,-1,-1,1,1,1,63.38960319542846,72.92849771081812,44.31181416464912,-1,0.26359598384359373,0.1953019664303239,0.06829401741326982
2010-03-11,sh.600243,9.0000,9.38,8.9,9.24,6424803,59424226.0000,3,4.694777,1,0.873400,99.386787,2.924868,2.282410,6.961064,0,9.271999999999995,9.169999999999998,8.8325,-1,1,1,1,1,56.95792880258902,66.4474575225444,37.97887136267826,-1,0.26201174976637986,0.2086439230975351,0.053367826668844764
2010-03-12,sh.600243,9.1800,9.26,8.8,8.85,5768384,51789308.0000,3,4.215114,1,-4.220800,95.191890,2.801416,2.186075,6.667253,0,9.173999999999996,9.149999999999999,8.844,-1,-1,1,1,1,42.07119741100322,54.139576469673585,17.93443929366248,-1,0.226673540734188,0.21224984662486568,0.014423694109322316
2010-03-15,sh.600243,8.8500,8.85,8.85,8.85,0,0.0000,3,,0,0.000000,95.191890,2.801416,2.186075,6.667253,0,9.081999999999997,9.114999999999998,8.8675,-1,-1,-1,-1,1,32.03883495145627,43.68932038834952,8.737864077669784,-1,0.19640373547267842,0.20908062439442823,-0.012676888921749813
2010-03-16,sh.600243,8.5500,8.66,8.28,8.56,8883221,75315601.0000,3,6.491210,1,-3.276800,134.111054,2.707228,2.122450,7.631515,0,8.931999999999997,9.061999999999998,8.8735,-1,-1,-1,-1,1,19.61165048543687,31.240560949298807,-3.6461704422870085,-1,0.14731595373818962,0.19672769026318052,-0.049411736524990896
2010-03-17,sh.600243,8.4900,8.88,8.47,8.82,6305856,54521573.0000,3,4.607860,1,3.037400,138.184521,2.789457,2.186917,7.863313,0,8.863999999999997,9.020999999999997,8.902,-1,-1,-1,-1,-1,25.99630143319465,25.882262290029285,26.22437971952538,1,0.12791879193779998,0.1829659105981044,-0.05504711866030443
2010-03-18,sh.600243,8.8200,9.2,8.7,9.03,6297570,55646816.0000,3,4.601805,1,2.381000,141.474629,2.855873,2.238986,8.050535,0,8.821999999999997,9.046999999999999,8.948,1,-1,1,-1,-1,37.38095238095241,27.66296809986133,56.81692094313456,1,0.12801595814048206,0.17197592010657994,-0.04395996196609789
2010-03-19,sh.600243,9.1800,9.9,9.18,9.6,22069331,211098110.0000,3,16.126658,1,6.312300,150.404921,3.036144,2.380317,8.558708,0,8.971999999999998,9.072999999999997,9.0185,1,1,1,-1,-1,57.8747795414462,40.417344451864444,92.78964972060972,1,0.17210329965950066,0.17200139601716408,0.00010190364233658711
2010-03-22,sh.600243,9.9500,10.56,9.8,10.56,19443095,200892285.0000,3,14.207596,1,10.000000,165.445413,3.339759,2.618349,9.414579,0,9.313999999999997,9.197999999999997,9.129000000000001,1,1,1,1,1,78.35097001763666,57.86890064667845,119.31510875955307,1,0.28126456951446244,0.19385403071662374,0.0874105387978387
2010-03-23,sh.600243,10.9000,11.47,10.68,10.91,41842690,460070717.0000,3,30.575586,1,3.314400,170.928926,3.450451,2.705132,9.726615,0,9.783999999999997,9.357999999999997,9.245000000000001,1,1,1,1,1,87.97554084910405,74.73376346939567,114.45909560852081,1,0.3915047146200372,0.23338416749730645,0.15812054712273077
2010-03-24,sh.600243,10.9100,10.91,10.91,10.91,0,0.0000,3,,0,0.000000,170.928926,3.450451,2.705132,9.726615,0,10.201999999999998,9.532999999999998,9.347,1,1,1,1,1,88.29676071055378,84.8744238590982,95.14143441346496,1,0.4734136064877106,0.2813900552953873,0.19202355119232328
2010-03-25,sh.600243,10.9100,10.91,10.91,10.91,0,0.0000,3,,0,0.000000,170.928926,3.450451,2.705132,9.726615,0,10.577999999999998,9.699999999999998,9.434999999999999,1,1,1,1,1,82.4451410658307,86.23914754182954,74.85712811383303,-1,0.5321922128628085,0.33155048680887156,0.20064172605393693
2010-03-26,sh.600243,10.2500,10.39,9.9,10.24,23384616,237099581.0000,3,17.087772,1,-6.141200,160.431915,3.238554,2.539005,9.129288,0,10.705999999999998,9.838999999999997,9.494499999999999,-1,1,1,1,1,75.44409613375127,82.06199930337861,62.20828979449661,-1,0.5187316655742062,0.3689867225619385,0.14974494301226776
2010-03-29,sh.600243,10.1400,10.17,9.87,10.1,13834058,138735786.0000,3,10.108921,1,-1.367200,158.238510,3.194277,2.504292,9.004474,0,10.613999999999997,9.963999999999997,9.5395,-1,1,1,1,1,66.07349355625213,74.65424358527805,48.9119934982003,-1,0.4911060896008088,0.39341059596971256,0.09769549363109625
2010-03-30,sh.600243,10.0000,10.35,9.96,10.24,14657698,149326516.0000,3,10.710777,1,1.386100,160.431915,3.238554,2.539005,9.129288,0,10.479999999999997,10.131999999999996,9.597,-1,1,1,1,1,57.12366915765394,66.21375294921914,38.94350157452354,-1,0.4750335603954312,0.40973518885485627,0.06529837154057494
2010-03-31,sh.600243,10.1800,10.25,10.03,10.11,8912951,90141330.0000,3,6.512935,1,-1.269500,158.395182,3.197439,2.506772,9.013389,0,10.319999999999997,10.260999999999997,9.641,-1,-1,1,1,1,50.180118305053234,57.7924270063198,34.9555009025201,-1,0.446657264745685,0.417119604033022,0.029537660712663005
2010-04-01,sh.600243,10.0600,10.25,10.05,10.09,9459181,95705832.0000,3,6.912080,1,-0.197800,158.081839,3.191114,2.501813,8.995559,0,10.155999999999997,10.366999999999997,9.706999999999999,-1,-1,1,-1,1,37.85743034763473,48.387072603447336,16.798145836009525,-1,0.41773957140476625,0.41724359750737083,0.0004959738973954186
2010-04-02,sh.600243,10.1000,10.13,9.9,9.94,10433317,104063781.0000,3,7.623907,1,-1.486600,155.731762,3.143674,2.464620,8.861829,0,10.095999999999997,10.400999999999998,9.736999999999998,-1,-1,1,-1,1,20.783874390956033,36.2738076812147,-10.195992189561295,-1,0.378356882076071,0.40946625442111084,-0.031109372345039854
2010-04-06,sh.600243,9.9500,10.16,9.92,10.14,7429690,74465294.0000,3,5.429076,1,2.012100,158.865198,3.206927,2.514210,9.040135,0,10.103999999999996,10.358999999999998,9.7785,1,-1,1,-1,1,15.900602640872101,24.847302459820984,-1.992796997025664,-1,0.35914415531340715,0.3994018345995701,-0.04025767928616297
2010-04-07,sh.600243,10.1300,10.3,9.96,10.17,11261934,114197903.0000,3,8.229400,1,0.295900,159.335213,3.216415,2.521649,9.066881,0,10.089999999999996,10.284999999999998,9.821499999999999,1,-1,1,-1,1,19.72756410256413,18.80401371146412,21.574664884764154,1,0.3423918006667215,0.3879998278130004,-0.04560802714627893
2010-04-08,sh.600243,10.1500,10.45,10.1,10.26,13644487,140320626.0000,3,9.970396,1,0.885000,160.745259,3.244879,2.543964,9.147119,0,10.119999999999996,10.219999999999999,9.876499999999998,1,1,1,-1,1,40.6830238726791,25.437063538705143,71.17494454062702,1,0.3325443228020326,0.37690872681080684,-0.04436440400877423
2010-04-09,sh.600243,10.2000,10.24,10.0,10.17,7920527,80004937.0000,3,5.787744,1,-0.877200,159.335213,3.216415,2.521649,9.066881,0,10.135999999999996,10.145999999999999,9.922999999999998,1,1,1,-1,1,49.27055702917778,36.560381668140366,74.69090775125261,1,0.3138598962949182,0.3642989607076291,-0.050439064412710954
2010-04-12,sh.600243,10.1800,10.29,9.98,10.04,7407122,74763816.0000,3,5.412585,1,-1.278300,157.298480,3.175301,2.489415,8.950982,0,10.155999999999995,10.126,9.982499999999998,-1,-1,1,1,1,48.14002089864158,46.03120060016619,52.35766149559237,1,0.2852739792731622,0.34849396442073577,-0.06321998514757354
2010-04-13,sh.600243,10.0400,10.1,9.48,9.96,10084612,98929589.0000,3,7.369099,1,-0.796800,156.045105,3.150000,2.469579,8.879659,0,10.119999999999996,10.112,10.037999999999998,-1,-1,-1,1,1,42.22107315601804,46.543883694612504,33.57545207882913,-1,0.2532448536376197,0.32944414226411256,-0.07619928862649283
2010-04-14,sh.600243,9.9600,10.21,9.8,10.19,8436178,85241337.0000,3,6.164544,1,2.309200,159.648557,3.222740,2.526608,9.084712,0,10.123999999999995,10.107000000000001,10.119499999999999,1,1,1,1,1,49.37831927522645,46.579804443295394,54.97534893908856,1,0.24361240644581272,0.3122777951004526,-0.06866538865463989
2010-04-15,sh.600243,10.3400,11.2,10.23,11.07,32228704,348396092.0000,3,23.550387,1,8.635900,173.435674,3.501054,2.744803,9.869260,0,10.285999999999996,10.203,10.231999999999998,1,1,1,1,1,71.70742427875012,54.435605569998245,106.25106169625388,1,0.3034888377747862,0.31052000363531934,-0.007031165860533151
2010-04-16,sh.600243,10.6800,10.8,10.37,10.42,13151435,138190870.0000,3,9.610110,1,-5.871700,163.252008,3.295481,2.583636,9.289764,0,10.335999999999995,10.236,10.301499999999997,1,1,1,1,1,73.42963318149124,64.83845891182266,90.61198172082842,1,0.29509015761629165,0.3074340344315138,-0.012343876815222143
2010-04-19,sh.600243,10.4200,10.42,10.42,10.42,0,0.0000,3,,0,0.000000,163.252008,3.295481,2.583636,9.289764,0,10.411999999999995,10.284,10.342499999999998,1,1,1,1,1,67.24806201550386,70.79503982524845,60.15410639601467,-1,0.2851471442999074,0.3029766564051925,-0.017829512105285106
2010-04-20,sh.600243,9.6800,9.95,9.5,9.77,10841790,104619676.0000,3,7.922389,1,-6.238000,153.068341,3.089909,2.422469,8.710268,0,10.373999999999995,10.247,10.302999999999997,-1,-1,-1,1,1,42.05426356589144,60.910652920962214,4.341484855749897,-1,0.22225564219390925,0.28683245356293585,-0.0645768113690266
2010-04-21,sh.600243,9.8100,10.29,9.81,10.13,8994768,90642970.0000,3,6.572720,1,3.684700,158.708526,3.203765,2.511731,9.031220,0,10.361999999999997,10.242999999999999,10.263999999999998,-1,-1,-1,1,1,36.43410852713176,48.578811369509054,12.144702842377171,-1,0.19916679419412198,0.2692993216891731,-0.07013252749505111
2010-04-22,sh.600243,10.1300,10.95,9.84,10.83,18127082,189069744.0000,3,13.245950,1,6.910200,169.675551,3.425150,2.685296,9.655292,0,10.313999999999997,10.299999999999999,10.259999999999998,1,1,1,1,1,44.3798449612403,40.9560723514212,51.2273901808785,1,0.23464798970204725,0.2623690552917479,-0.027721065589700666
2010-04-23,sh.600243,10.8400,11.25,10.6,10.65,18555477,202650448.0000,3,13.558989,1,-1.662000,166.855459,3.368222,2.640665,9.494817,0,10.359999999999996,10.347999999999999,10.246999999999998,1,1,1,1,1,60.79358822756537,47.202513905312514,87.97573687207108,1,0.2454136216276055,0.2589779685589194,-0.01356434693131392
2010-04-26,sh.600243,10.5600,10.56,10.08,10.26,10251301,105045944.0000,3,7.490903,1,-3.662000,285.923441,3.274087,2.400567,9.660179,0,10.327999999999994,10.370000000000001,10.247999999999998,-1,-1,1,-1,1,62.672879478949625,55.9487708892518,76.12109665834528,1,0.21994038599518007,0.25117045204617156,-0.03123006605099149
2010-04-27,sh.600243,10.1000,10.18,9.42,9.87,7646723,74727479.0000,3,5.587668,1,-3.801200,275.055006,3.149634,2.309317,9.292979,0,10.347999999999995,10.361,10.236499999999998,-1,-1,-1,-1,1,44.706810092750594,56.0577592664219,22.00491174540798,-1,0.16636516849404615,0.23420939533574647,-0.06784422684170033
2010-04-28,sh.600243,9.7000,10.01,9.63,9.86,3822954,37680931.0000,3,2.793536,1,-0.101300,274.776328,3.146442,2.306977,9.283564,0,10.293999999999993,10.328000000000001,10.217499999999998,-1,-1,-1,-1,1,30.687483736664017,46.022391102788106,0.017669004415836298,-1,0.1216966628336813,0.21170684883533344,-0.09001018600165214
2010-04-29,sh.600243,9.8500,10.14,9.53,9.62,7045619,69169663.0000,3,5.148425,1,-2.434100,268.088061,3.069856,2.250824,9.057594,0,10.051999999999994,10.183000000000002,10.192999999999998,-1,-1,-1,-1,-1,19.85428051001816,31.74952477981095,-3.9362080295674176,-1,0.06616781466292743,0.18259904200085225,-0.11643122733792483
2010-04-30,sh.600243,9.6200,9.69,8.81,9.03,4839012,44026888.0000,3,3.535997,1,-6.133100,251.646069,2.881580,2.112779,8.502087,0,9.727999999999994,10.044,10.139999999999997,-1,-1,-1,-1,-1,14.663023679417064,21.734929308699773,0.5192124208516447,-1,-0.025157269398636828,0.14104777972095445,-0.16620504911959127
2010-05-04,sh.600243,8.6100,9.09,8.61,8.97,2468182,22034550.0000,3,1.803567,1,-0.664500,249.974002,2.862433,2.098741,8.445595,0,9.469999999999995,9.899000000000001,10.091499999999998,-1,-1,-1,-1,-1,11.193906275873454,15.237070155102915,3.1075785174145345,-1,-0.10120789344232861,0.09259664508829783,-0.19380453853062646
2010-05-05,sh.600243,8.8700,9.25,8.82,9.23,3661166,33148687.0000,3,2.675313,1,2.898600,257.219626,2.945402,2.159574,8.690395,0,9.341999999999995,9.845000000000002,10.045999999999996,-1,-1,-1,-1,-1,15.37920185461168,13.74537726996742,18.646851023900197,1,-0.1388976086510052,0.04629779434043722,-0.18519540299144244
2010-05-06,sh.600243,9.2100,9.29,8.6,8.65,3836251,34464019.0000,3,2.803252,1,-6.283900,241.056312,2.760317,2.023870,8.144303,0,9.099999999999996,9.697000000000003,9.969999999999997,-1,-1,-1,-1,-1,13.002668191347448,13.19192544061088,12.624153692820585,-1,-0.2131115153398433,-0.005584067595618886,-0.2075274477442244
2010-05-07,sh.600243,8.3900,8.55,8.27,8.33,3497344,29375403.0000,3,2.555604,1,-3.699400,232.138622,2.658201,1.948998,7.843011,0,8.841999999999995,9.447000000000003,9.873499999999998,-1,-1,-1,-1,-1,9.330576091307742,12.570815379088977,2.8500975157452757,-1,-0.2943547582973114,-0.06333820573595739,-0.231016552561354
2010-05-10,sh.600243,8.3000,8.45,7.86,8.12,3536759,28834239.0000,3,2.584406,1,-2.521000,226.286388,2.591188,1.899864,7.645288,0,8.659999999999995,9.194000000000003,9.770999999999999,-1,-1,-1,-1,-1,5.237925446932935,9.190389909862729,-2.6670034789266523,-1,-0.37140453829763764,-0.12495147224829345,-0.2464530660493442
2010-05-11,sh.600243,8.2900,8.34,7.92,8.3,4277962,35034646.0000,3,3.126023,1,2.216700,231.302589,2.648628,1.941979,7.814764,0,8.525999999999996,8.998000000000001,9.684000000000001,-1,-1,-1,-1,-1,11.041743167334564,8.536748235191768,16.051733031620156,1,-0.4131796703400852,-0.18259711186665178,-0.2305825584734334
2010-05-12,sh.600243,8.1500,8.48,8.1,8.36,3767358,31301222.0000,3,2.752910,1,0.722900,232.974656,2.667775,1.956017,7.871257,0,8.351999999999995,8.847000000000001,9.604,1,-1,-1,-1,-1,17.47832224238753,11.252663618885029,29.92963948939253,1,-0.4364145496287257,-0.23336059941906656,-0.20305395020965916
2010-05-13,sh.600243,8.3600,8.43,7.8,8.36,4083280,33541519.0000,3,2.983763,1,0.000000,232.974656,2.667775,1.956017,7.871257,0,8.293999999999995,8.697000000000001,9.5125,1,-1,-1,-1,-1,23.61923326835604,17.379766226026064,36.098167353015995,1,-0.4496451297024038,-0.276617505475734,-0.17302762422666979
2010-05-14,sh.600243,8.3200,8.38,8.14,8.24,2958811,24418075.0000,3,2.162083,1,-1.435400,229.630522,2.629481,1.927941,7.758272,0,8.275999999999996,8.559000000000001,9.371,-1,-1,-1,-1,-1,27.029885177771646,22.709146896171756,35.67136174097143,1,-0.4644594573418672,-0.3141858958489606,-0.1502735614929066
2010-05-17,sh.600243,8.1900,8.19,7.42,7.42,4452596,34381969.0000,3,3.253632,1,-9.951500,206.778941,2.367810,1.736082,6.986211,0,8.135999999999997,8.398,9.221,-1,-1,-1,-1,-1,19.719943657303826,23.456354034477187,12.247122902957102,-1,-0.5361862444401151,-0.3585859655671915,-0.17760027887292357
2010-05-18,sh.600243,7.2600,7.42,6.85,7.32,5174448,37072723.0000,3,3.781109,1,-1.347700,203.992163,2.335898,1.712685,6.892057,0,7.939999999999996,8.233,9.066,-1,-1,-1,-1,-1,16.2641654747497,21.00466476994174,6.783166884365613,-1,-0.594249268583301,-0.40571862617041343,-0.18853064241288753
2010-05-19,sh.600243,7.2000,7.34,7.04,7.24,3431687,24777705.0000,3,2.507627,1,-1.092900,201.762740,2.310370,1.693967,6.816734,0,7.715999999999997,8.034,8.9395,-1,-1,-1,-1,-1,14.067823850851811,16.683977660968463,8.83551623061851,-1,-0.6393499368597766,-0.45244488830828605,-0.18690504855149054
2010-05-20,sh.600243,7.0900,7.31,6.93,6.96,3631468,25726723.0000,3,2.653612,1,-3.867400,193.959761,2.221018,1.628455,6.553104,0,7.435999999999997,7.864999999999999,8.781000000000002,-1,-1,-1,-1,-1,16.317312603408055,15.54976730966987,17.852403190884427,1,-0.6897353614426578,-0.4999029829351604,-0.1898323785074974
2010-05-21,sh.600243,6.6500,7.22,6.5,7.2,6070725,42121652.0000,3,4.436043,1,3.448300,200.648029,2.297605,1.684608,6.779073,0,7.227999999999997,7.752,8.5995,-1,-1,-1,-1,-1,21.681059360597427,17.355398604952445,30.332380871887388,1,-0.7022055902589583,-0.54036350439992,-0.16184208585903836
2010-05-24,sh.600243,7.1200,7.64,7.12,7.49,6493293,48149533.0000,3,4.744825,1,4.027800,208.729685,2.390147,1.752460,7.052119,0,7.241999999999997,7.688999999999998,8.441500000000001,1,-1,-1,-1,-1,30.700667203734678,22.89967972258007,46.30264216604389,1,-0.6808394665080959,-0.5684586968215551,-0.11238076968654076
2010-05-25,sh.600243,7.4000,7.44,7.2,7.23,4137534,30247618.0000,3,3.023408,1,-3.471300,201.484062,2.307178,1.691627,6.807319,0,7.223999999999998,7.581999999999999,8.290000000000001,1,-1,-1,-1,-1,41.05912318347551,31.146949915935892,60.88346971855475,1,-0.6770815123841079,-0.5901832599340657,-0.08689825245004212
2010-05-26,sh.600243,7.2300,7.34,7.18,7.3,2828501,20557409.0000,3,2.066862,1,0.968200,203.434807,2.329516,1.708006,6.873227,0,7.235999999999997,7.475999999999999,8.1615,1,-1,-1,-1,-1,43.45900856208428,38.406266316431505,53.564493053389825,1,-0.6608371721173478,-0.6043140423707222,-0.056523129746625655
2010-05-27,sh.600243,7.2500,7.54,7.13,7.45,4632955,34126665.0000,3,3.385426,1,2.054800,207.614974,2.377383,1.743102,7.014457,0,7.333999999999998,7.385,8.041,1,1,-1,-1,-1,45.53001447924405,43.34938207493463,49.8912792878629,1,-0.6286134049896308,-0.6091739148945039,-0.01943949009512691
2010-05-28,sh.600243,7.5000,7.83,7.42,7.68,7906899,60389527.0000,3,5.777785,1,3.087200,214.024564,2.450779,1.796915,7.231011,0,7.429999999999998,7.328999999999999,7.944,1,1,-1,1,-1,62.4960045840397,50.495009208456025,86.49799533520707,1,-0.5778555999181751,-0.6029102518992382,0.025054651981063047
2010-05-31,sh.600243,7.7000,8.35,7.61,7.9,12030237,96287189.0000,3,8.790820,1,2.864600,220.155476,2.520983,1.848390,7.438149,0,7.511999999999998,7.377,7.8875,1,1,1,1,-1,73.53683264614439,60.52095056980939,99.5685967988144,1,-0.5139529822705322,-0.585118797973497,0.07116581570296476
2010-06-01,sh.600243,7.7800,7.78,7.35,7.66,5775525,43865354.0000,3,4.220332,1,-3.038000,213.467208,2.444396,1.792236,7.212180,0,7.597999999999997,7.410999999999999,7.822,1,1,-1,1,-1,75.70006096321886,70.57763273113433,85.94491742738794,1,-0.47717511394522116,-0.5635300611678418,0.0863549472226206
