date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600246,9.2900,9.64,9.29,9.58,15334280,146450591.0000,3,1.512256,1,3.344100,35.376687,3.256598,3.942432,8.436915,0,9.302000000000001,9.274,9.376500000000004,1,1,1,1,-1,46.93130273927475,31.32694559692119,78.14001702398187,1,-0.16863754580833934,-0.227925621106664,0.059288075298324666
2010-02-26,sh.600246,9.6000,9.6,9.42,9.43,9450459,89708698.0000,3,0.931998,1,-1.565800,34.822772,3.205608,3.880703,8.304813,0,9.324000000000002,9.288,9.363500000000004,1,1,1,1,-1,64.58834857968219,45.19285643179145,103.37933287546367,1,-0.1491865809599453,-0.21217781307732025,0.06299123211737495
2010-03-01,sh.600246,9.3700,9.6,9.36,9.5,9939423,94374288.0000,3,0.980219,1,0.742300,35.081266,3.229403,3.909510,8.366461,0,9.392000000000001,9.316999999999998,9.348000000000003,1,1,1,1,1,77.95698924731177,63.158880188756235,107.55320736442285,1,-0.12666304347519208,-0.19507485915689463,0.06841181568170254
2010-03-02,sh.600246,9.5000,9.62,9.45,9.6,10511148,100254112.0000,3,1.036602,1,1.052600,35.450542,3.263397,3.950662,8.454529,0,9.476000000000003,9.356999999999998,9.364000000000003,1,1,1,1,1,79.03225806451604,73.85919863050334,89.37837693254144,1,-0.0995957358335744,-0.17597903449223057,0.07638329865865617
2010-03-03,sh.600246,9.6100,9.66,9.44,9.52,12184183,115920211.0000,3,1.201596,1,-0.833300,35.155121,3.236202,3.917740,8.384074,0,9.526000000000002,9.385999999999997,9.376000000000003,-1,1,1,1,1,83.03091397849454,80.00672043010745,89.07930107526872,1,-0.0836359280136918,-0.1575104131965228,0.07387448518283102
2010-03-04,sh.600246,9.5200,9.66,9.27,9.31,12564344,119453521.0000,3,1.239087,1,-2.205900,34.379641,3.164815,3.831319,8.199132,0,9.472000000000003,9.386999999999997,9.376500000000004,-1,-1,-1,1,1,72.32862903225804,78.13060035842288,60.72468637992833,-1,-0.08693082584126266,-0.14339449572547078,0.05646366988420812
2010-03-05,sh.600246,9.3100,9.31,9.31,9.31,0,0.0000,3,,0,0.000000,34.379641,3.164815,3.831319,8.199132,0,9.448000000000004,9.386,9.380000000000003,-1,-1,-1,1,1,56.25000000000005,70.53651433691755,27.676971326165045,-1,-0.08852163381623868,-0.13241992334362435,0.04389828952738567
2010-03-08,sh.600246,9.4000,9.51,9.29,9.42,6627126,62253667.0000,3,0.653563,1,1.181500,34.785845,3.202208,3.876587,8.296006,0,9.432000000000004,9.411999999999999,9.375000000000002,-1,1,1,1,1,51.04166666666674,59.873431899641616,33.378136200716995,-1,-0.07998427101810002,-0.12193279287851948,0.04194852186041946
2010-03-09,sh.600246,9.4800,9.75,9.28,9.59,16078771,154148023.0000,3,1.585678,1,1.804700,35.413615,3.259998,3.946547,8.445722,0,9.430000000000003,9.453,9.392000000000001,1,1,1,-1,1,58.159722222222264,55.150462962963026,64.17824074074075,1,-0.058822698785736094,-0.1093107740599628,0.050488075274226704
2010-03-10,sh.600246,9.5700,9.65,9.33,9.4,9475387,89936349.0000,3,0.934456,1,-1.981200,34.711990,3.195410,3.868357,8.278393,0,9.406000000000004,9.466000000000001,9.383000000000001,-1,-1,1,-1,1,52.08333333333339,53.76157407407414,48.72685185185189,-1,-0.0567294704123924,-0.09879451333044872,0.04206504291805632
2010-03-11,sh.600246,9.3300,9.5,9.29,9.36,5805344,54394419.0000,3,0.572519,1,-0.425500,34.564279,3.181812,3.851896,8.243166,0,9.416000000000004,9.444,9.359,-1,-1,1,-1,1,37.50000000000004,49.24768518518524,14.004629629629648,-1,-0.057633870172168145,-0.0905623846987926,0.03292851452662446
2010-03-12,sh.600246,9.3100,9.38,9.19,9.2,6742790,62382079.0000,3,0.664969,1,-1.709400,33.973437,3.127422,3.786051,8.102257,0,9.394000000000002,9.421000000000003,9.3545,-1,-1,-1,-1,1,15.873015873015902,35.152116402116455,-22.685185185185205,-1,-0.07044918200478634,-0.08653974415999136,0.016090562155205018
2010-03-15,sh.600246,9.2000,9.25,9.14,9.21,4676678,42972668.0000,3,0.461211,1,0.108700,34.010364,3.130822,3.790167,8.111064,0,9.352000000000002,9.392000000000001,9.3545,-1,-1,-1,-1,-1,10.670374707259954,21.347796860091975,-10.684469598404085,-1,-0.07888910800464721,-0.08500961692892253,0.00612050892427532
2010-03-16,sh.600246,9.2600,9.28,9.18,9.28,3918483,36187726.0000,3,0.386438,1,0.760000,34.268858,3.154617,3.818974,8.172711,0,9.290000000000003,9.360000000000003,9.358500000000001,-1,-1,-1,-1,-1,12.070647931303627,12.871346170526502,10.469251452857879,-1,-0.07901851888197875,-0.08381139731953377,0.00479287843755502
2010-03-17,sh.600246,9.3000,9.48,9.28,9.44,6695395,62997623.0000,3,0.660295,1,1.724100,34.859700,3.209007,3.884818,8.313620,0,9.298000000000004,9.352000000000002,9.369000000000002,1,1,1,-1,-1,27.868852459016324,16.869958365859976,49.86664064532902,1,-0.06545588046527939,-0.0801402939486829,0.014684413483403505
2010-03-18,sh.600246,9.4400,9.64,9.4,9.53,10569963,100880616.0000,3,1.042403,1,0.953400,35.192049,3.239602,3.921855,8.392881,0,9.332000000000004,9.374000000000002,9.380500000000001,1,1,1,-1,-1,45.355191256830466,28.431563882383482,79.20244600572443,1,-0.046904458566551455,-0.0734931268722566,0.02658866830570515
2010-03-19,sh.600246,9.6000,9.66,9.49,9.58,8810571,84393176.0000,3,0.868893,1,0.524700,35.376687,3.256598,3.942432,8.436915,0,9.408000000000005,9.401000000000002,9.393500000000001,1,1,1,1,1,61.748633879781345,44.99089253187606,95.26411657559191,1,-0.027846741026902322,-0.06436384970318575,0.036517108676283425
2010-03-22,sh.600246,9.6200,9.64,9.43,9.48,7401813,70251681.0000,3,0.729962,1,-1.043800,35.007411,3.222605,3.901279,8.348847,0,9.462000000000003,9.407000000000002,9.409500000000001,1,1,1,1,1,67.15006305170238,58.08462939610474,85.28093036289765,1,-0.02057534704538888,-0.05560614917162637,0.03503080212623749
2010-03-23,sh.600246,9.5000,9.5,9.31,9.37,7087005,66515803.0000,3,0.698916,1,-1.160300,34.601207,3.185212,3.856011,8.251972,0,9.480000000000002,9.385000000000002,9.419,-1,-1,-1,1,1,60.58217738545602,63.160291438979925,55.42594927840821,-1,-0.023418837834285,-0.0491686869041581,0.0257498490698731
2010-03-24,sh.600246,9.3700,9.42,9.32,9.33,4486391,42012272.0000,3,0.442445,1,-0.426900,34.453496,3.171614,3.839550,8.216745,0,9.458000000000002,9.378000000000002,9.422,-1,-1,-1,1,1,48.71794871794865,58.816729718369025,28.52038671710791,-1,-0.028570645855962695,-0.04504907869451902,0.016478432838556323
2010-03-25,sh.600246,9.2800,9.35,9.17,9.19,7304791,67302018.0000,3,0.720394,1,-1.500500,33.936509,3.124023,3.781936,8.093450,0,9.390000000000002,9.361,9.4025,-1,-1,-1,1,-1,30.128205128204986,46.47611041053656,-2.567605436458166,-1,-0.0434494624443893,-0.044729155444493074,0.0012796930001037765
2010-03-26,sh.600246,9.1900,9.3,9.17,9.3,4170229,38617257.0000,3,0.411265,1,1.197000,34.342713,3.161416,3.827204,8.190325,0,9.334000000000003,9.371,9.396,-1,-1,-1,-1,-1,24.228152799581352,34.358102215245005,3.9682539682540465,-1,-0.045836575584104366,-0.04495063947241533,-0.0008859361116890369
2010-03-29,sh.600246,9.3100,9.52,9.26,9.49,8647895,81563364.0000,3,0.852850,1,2.043000,35.044338,3.226004,3.905394,8.357654,0,9.336000000000002,9.399,9.395500000000002,1,1,1,-1,-1,33.8173731030874,29.391243676957924,42.669631955346354,1,-0.03202777162708159,-0.042366065903348585,0.010338294276266993
2010-03-30,sh.600246,9.5000,9.51,9.39,9.47,7258490,68505018.0000,3,0.715827,1,-0.210700,34.970483,3.219205,3.897164,8.340040,0,9.356000000000003,9.418,9.389000000000001,1,1,1,-1,-1,51.02040816326542,36.35531135531141,80.35060177917346,1,-0.02243936087297982,-0.03838072489727483,0.01594136402429501
2010-03-31,sh.600246,9.4800,9.54,9.38,9.44,7246423,68567728.0000,3,0.714637,1,-0.316800,34.859700,3.209007,3.884818,8.313620,0,9.378000000000004,9.418,9.385000000000002,1,1,1,-1,-1,60.544217687074855,48.460666317809235,84.7113204256061,1,-0.017064516426058773,-0.034117483203031616,0.017052966776972843
2010-04-01,sh.600246,9.5000,9.86,9.45,9.77,19309905,186326824.0000,3,1.904330,1,3.495800,36.078313,3.321187,4.020622,8.604244,0,9.494000000000003,9.441999999999998,9.408000000000001,1,1,1,1,1,67.76101745045847,59.775214433599594,83.73262348417622,1,0.013665797786499567,-0.02456082700512538,0.03822662479162495
2010-04-02,sh.600246,9.8500,9.88,9.71,9.84,17019221,166841569.0000,3,1.678424,1,0.716500,36.336806,3.344982,4.049429,8.665892,0,9.602000000000004,9.468,9.434500000000002,1,1,1,1,1,78.80825324618513,69.0378294612395,98.3491008160764,1,0.04317056478737591,-0.01101454864662512,0.05418511343400103
2010-04-06,sh.600246,9.8600,9.94,9.59,9.79,14364535,139885918.0000,3,1.416621,1,-0.508100,36.152168,3.327985,4.028853,8.621858,0,9.662000000000003,9.498999999999999,9.453000000000001,1,1,1,1,1,87.28073314723649,77.95000128129338,105.94219687912269,1,0.061806258992765706,0.003549612881253047,0.058256646111512655
2010-04-07,sh.600246,8.0900,8.22,8.04,8.09,9316330,75673771.0000,3,0.765642,1,0.123800,35.849361,3.300110,3.995107,8.549642,0,9.386000000000005,9.370999999999999,9.378000000000002,-1,-1,-1,1,1,59.17241888331583,75.08713509224583,27.342986465455823,-1,-0.059910006333414145,-0.009142310961680392,-0.050767695371733756
2010-04-08,sh.600246,8.0000,8.01,7.77,7.81,15841814,124508663.0000,3,1.301924,1,-3.461100,34.608592,3.185892,3.856834,8.253734,0,9.060000000000006,9.218999999999998,9.2985,-1,-1,-1,-1,-1,28.331459146399748,58.26153705898403,-31.528696678768824,-1,-0.17692519989286026,-0.04269888874791637,-0.13422631114494388
2010-04-09,sh.600246,7.7800,7.89,7.77,7.87,9093202,71181716.0000,3,0.747305,1,0.768200,34.874471,3.210367,3.886464,8.317143,0,8.680000000000005,9.087,9.224,-1,-1,-1,-1,-1,3.0277306168647917,30.177202882193466,-51.27121391379256,-1,-0.2618012039648736,-0.08651935179130782,-0.1752818521735658
2010-04-12,sh.600246,7.8800,7.88,7.49,7.56,18957679,144237191.0000,3,1.557995,1,-3.939000,33.500763,3.083910,3.733376,7.989530,0,8.224000000000007,8.913,9.142000000000001,-1,-1,-1,-1,-1,3.102918586789583,11.48736945001805,-13.665983139667352,-1,-0.35004535297895956,-0.13922455202883816,-0.2108208009501214
2010-04-13,sh.600246,7.5700,7.63,7.46,7.6,11819857,89245708.0000,3,0.971389,1,0.529100,33.678015,3.100227,3.753129,8.031802,0,7.786000000000007,8.724,9.0615,-1,-1,-1,-1,-1,4.3701996927803615,3.5002829654782546,6.110033147384576,1,-0.4120025027423715,-0.19378014217154482,-0.21822236057082667
2010-04-14,sh.600246,7.5900,7.59,7.5,7.55,7784580,58663005.0000,3,0.639758,1,-0.657900,33.456449,3.079831,3.728438,7.978961,0,7.678000000000007,8.532,8.975000000000001,-1,-1,-1,-1,-1,4.043778801843332,3.8389656938044348,4.453405017921127,1,-0.4598378479673535,-0.24699168333070656,-0.21284616463664693
2010-04-15,sh.600246,7.5000,7.52,7.4,7.42,10445832,77719857.0000,3,0.858467,1,-1.721900,32.880378,3.026801,3.664239,7.841575,0,7.600000000000007,8.33,8.874,-1,-1,-1,-1,-1,3.353865041063431,3.9226145118957176,2.2163660993988588,-1,-0.5024457355599488,-0.298082493776555,-0.20436324178339377
2010-04-16,sh.600246,7.3800,7.45,7.22,7.36,8431964,61604989.0000,3,0.692962,1,-0.808600,32.614499,3.002325,3.634609,7.778166,0,7.498000000000007,8.089,8.765500000000001,-1,-1,-1,-1,-1,3.18783088546572,3.52849157612417,2.506509504148819,-1,-0.5348884311318116,-0.3454436812476063,-0.1894447498842053
2010-04-19,sh.600246,7.3600,7.36,7.36,7.36,0,0.0000,3,,0,0.000000,32.614499,3.002325,3.634609,7.778166,0,7.458000000000008,7.840999999999999,8.654500000000002,-1,-1,-1,-1,-1,6.644820132777564,4.395505353102248,11.143449692128197,1,-0.5542109028062701,-0.38719712555933905,-0.167013777246931
2010-04-20,sh.600246,6.6300,6.8,6.62,6.62,20220090,134418994.0000,3,1.661743,1,-10.054300,29.335324,2.700461,3.269173,6.996123,0,7.262000000000008,7.524000000000001,8.511500000000002,-1,-1,-1,-1,-1,6.38235294117652,5.405001319806611,8.337056183916337,1,-0.6220651367072696,-0.4341707277889252,-0.1878944089183444
2010-04-21,sh.600246,6.5000,6.73,6.4,6.7,16084097,105626285.0000,3,1.321836,1,1.208500,29.689829,2.733095,3.308680,7.080668,0,7.092000000000008,7.385000000000001,8.378000000000002,-1,-1,-1,-1,-1,11.378076062639863,8.135083045531324,17.86406209685694,1,-0.6617564580062618,-0.47968787383239253,-0.18206858417386929
2010-04-22,sh.600246,6.6000,6.62,6.42,6.49,11154309,72791759.0000,3,0.916692,1,-3.134300,28.759253,2.647431,3.204975,6.858736,0,6.906000000000008,7.253,8.236,-1,-1,-1,-1,-1,8.738436423000207,8.832955142272205,8.54939898445621,-1,-0.7020643996734908,-0.5241631790006122,-0.1779012206728786
2010-04-23,sh.600246,6.4900,6.55,6.43,6.47,8731979,56652779.0000,3,0.717618,1,-0.308200,28.670626,2.639272,3.195098,6.837600,0,6.728000000000007,7.1129999999999995,8.100000000000001,-1,-1,-1,-1,-1,10.635455393189893,10.250655959609995,11.40505426034969,1,-0.7272394035475482,-0.5647784239099993,-0.1624609796375489
2010-04-26,sh.600246,6.4000,6.47,6.28,6.31,9314306,59044564.0000,3,0.765476,1,-2.473000,29.394704,2.653688,3.122401,5.943385,0,6.518000000000008,6.9879999999999995,7.950500000000001,-1,-1,-1,-1,-1,4.687404775842677,8.020432197344267,-1.9786500671605012,-1,-0.7514393136648572,-0.6021106018609709,-0.1493287118038863
2010-04-27,sh.600246,6.2800,6.31,6.03,6.12,9700450,59880701.0000,3,0.797210,1,-3.011100,28.509602,2.573783,3.028383,5.764425,0,6.418000000000008,6.839999999999999,7.782000000000001,-1,-1,-1,-1,-1,4.673800567607597,6.665553578880064,0.690294545062665,-1,-0.7769926413788184,-0.6370870097645404,-0.13990563161427805
2010-04-28,sh.600246,6.0800,6.19,6.01,6.17,6421610,39309906.0000,3,0.527746,1,0.817000,28.742523,2.594811,3.053124,5.811519,0,6.312000000000007,6.702,7.617,-1,-1,-1,-1,-1,6.480485301121617,5.280563548190639,8.880328806983574,1,-0.7841698338455547,-0.6665035745807433,-0.11766625926481145
2010-04-29,sh.600246,6.2000,6.27,6.1,6.11,7719166,47752325.0000,3,0.634382,1,-0.972400,28.463017,2.569577,3.023434,5.755006,0,6.236000000000007,6.571,7.450500000000001,-1,-1,-1,-1,-1,8.186262324964828,6.446849397898023,11.665088179098435,1,-0.7856429067599988,-0.6903314410165944,-0.09531146574340443
2010-04-30,sh.600246,6.1400,6.16,6.01,6.13,6905746,42006639.0000,3,0.567533,1,0.327300,28.556186,2.577989,3.033331,5.773844,0,6.168000000000007,6.447999999999999,7.2685,-1,-1,-1,-1,-1,11.236130645413391,8.634292757166621,16.439806421906933,1,-0.7762483866016865,-0.7075148301336128,-0.06873355646807366
2010-05-04,sh.600246,6.0000,6.04,5.8,5.84,8671250,51262778.0000,3,0.712627,1,-4.730800,27.205241,2.456028,2.889829,5.500693,0,6.074000000000007,6.295999999999999,7.0685,-1,-1,-1,-1,-1,8.966118697982088,9.46283722278678,7.972681648372703,-1,-0.7831757752343282,-0.722647019153756,-0.06052875608057229
2010-05-05,sh.600246,5.8300,6.05,5.61,6.0,13038507,76559393.0000,3,1.071541,1,2.739700,27.950590,2.523317,2.969002,5.651397,0,6.050000000000007,6.234,6.8790000000000004,-1,-1,-1,-1,-1,19.368270024225804,13.190173122540438,31.724463827596534,1,-0.766914603647546,-0.731500536052514,-0.03541406759503207
2010-05-06,sh.600246,5.9300,5.97,5.71,5.72,7927579,46131570.0000,3,0.651510,1,-4.666700,26.646229,2.405562,2.830449,5.387665,0,5.960000000000006,6.135999999999999,6.7605,-1,-1,-1,-1,-1,18.205688104843432,15.513358942350452,23.590346429829392,1,-0.7677707842716046,-0.7387545856963321,-0.02901619857527249
2010-05-07,sh.600246,5.6400,5.84,5.6,5.73,5962541,34285287.0000,3,0.490018,1,0.174800,26.692813,2.409767,2.835397,5.397084,0,5.884000000000007,6.06,6.656499999999999,-1,-1,-1,-1,-1,21.752839260448454,19.77559912983924,25.707319521666882,1,-0.7588943356520312,-0.742782535687472,-0.016111799964559248
2010-05-10,sh.600246,5.7200,5.95,5.7,5.94,8570292,50066789.0000,3,0.704330,1,3.664900,27.671084,2.498084,2.939312,5.594883,0,5.846000000000007,6.007,6.56,1,-1,-1,-1,-1,24.84399344628962,21.600840270527176,31.33029979781451,1,-0.7265393478657325,-0.7395338981231241,0.012994550257391602
2010-05-11,sh.600246,6.0200,6.08,5.79,5.8,8915247,52502693.0000,3,0.732680,1,-2.356900,27.018904,2.439206,2.870036,5.463017,0,5.838000000000007,5.955999999999999,6.4719999999999995,-1,-1,-1,-1,-1,30.8935329826504,25.83012189646283,41.020355155025534,1,-0.7040784389406758,-0.7324428062866344,0.028364367345958597
2010-05-12,sh.600246,5.7200,5.96,5.69,5.95,8412314,49486138.0000,3,0.691347,1,2.586200,27.717668,2.502289,2.944261,5.604302,0,5.828000000000007,5.938999999999999,6.3895,1,1,-1,-1,-1,43.325625394156084,33.021050607698704,63.93477496707085,1,-0.6664913628433728,-0.719252517597982,0.052761154754609185
2010-05-13,sh.600246,5.9600,6.0,5.88,5.97,7250413,43109968.0000,3,0.595859,1,0.336100,27.810837,2.510700,2.954157,5.623140,0,5.878000000000007,5.918999999999999,6.3105,1,1,-1,-1,-1,49.386993603411575,41.20205066007269,65.75687949008933,1,-0.6278520141877264,-0.7009724169159309,0.07312040272820453
2010-05-14,sh.600246,5.9400,5.94,5.83,5.85,5155344,30254087.0000,3,0.423680,1,-2.010100,27.251825,2.460234,2.894777,5.510112,0,5.902000000000006,5.892999999999999,6.232,-1,-1,-1,1,-1,56.79785595830376,49.83682498529047,70.71991790433033,1,-0.5999966610907075,-0.6807772657508863,0.08078060466017878
2010-05-17,sh.600246,5.8000,5.8,5.27,5.27,8559593,47591721.0000,3,0.703451,1,-9.914500,24.549935,2.216313,2.607774,4.963810,0,5.768000000000006,5.8069999999999995,6.1274999999999995,-1,-1,-1,-1,-1,39.38492063492064,48.52325673221199,21.108248440337945,-1,-0.6176029039794741,-0.6681423933966039,0.05053948941712971
2010-05-18,sh.600246,5.3000,5.62,5.17,5.54,10646809,57737839.0000,3,0.874984,1,5.123300,25.807711,2.329862,2.741379,5.218123,0,5.716000000000006,5.776999999999999,6.0365,-1,-1,-1,-1,-1,30.91422466422469,42.36566708581636,8.011339821041346,-1,-0.6028202976503945,-0.655077974247362,0.05225767659696756
