date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600275,7.8200,8.15,7.82,8.1,11717738,94661220.0000,3,2.302846,1,3.713200,-3019.617998,14.012768,77.931275,-6990.024277,1,7.701999999999998,7.424999999999999,7.151000000000002,1,1,1,1,1,88.67619238559365,88.55868063441856,88.91121588794383,1,0.3353818910730899,0.2387923476751602,0.09658954339792972
2010-02-26,sh.600275,8.1600,8.51,8.05,8.42,21468868,179906176.0000,3,4.219201,1,3.950600,-3138.911549,14.566359,81.010041,-7266.173384,1,7.941999999999998,7.5649999999999995,7.2185000000000015,1,1,1,1,1,91.51775891874898,90.08634419294174,94.38058837036345,1,0.3885014482886229,0.26873416779785275,0.11976728049077012
2010-03-01,sh.600275,8.5800,8.84,8.58,8.84,8766940,77277439.0000,3,1.722936,1,4.988100,-3295.484334,15.292947,85.050922,-7628.619087,1,8.193999999999999,7.731999999999999,7.303500000000002,1,1,1,1,1,96.46825396825393,92.22073509086552,104.96329172303078,1,0.45919624156815875,0.306826582551914,0.15236965901624477
2010-03-02,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.402000000000001,7.897,7.406500000000003,1,1,1,1,1,97.85714285714285,95.28105191471525,103.00932474199806,1,0.5093508945185858,0.34733144494524837,0.16201944957333747
2010-03-03,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.608,8.062999999999999,7.517500000000003,1,1,1,1,1,100.0,98.10846560846558,103.78306878306884,1,0.5428412819353747,0.38643341234327366,0.15640786959210107
2010-03-04,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.756,8.229,7.624500000000003,1,1,1,1,1,100.0,99.28571428571428,101.42857142857144,1,0.56289396402049,0.42172552267871694,0.14116844134177303
2010-03-05,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.391,7.735500000000004,1,1,1,1,1,100.0,100.0,100.0,1,0.5721900087991934,0.45181841990281224,0.12037158889638111
2010-03-08,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.517,7.830000000000004,1,1,1,1,1,100.0,100.0,100.0,1,0.5729525509044535,0.4760452461031405,0.09690730480131304
2010-03-09,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.621,7.932000000000004,1,1,1,1,1,100.0,100.0,100.0,1,0.5670206103783251,0.4942403189581774,0.07278029142014769
2010-03-10,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.724,8.026500000000004,1,1,1,1,1,100.0,100.0,100.0,1,0.5559113052894409,0.5065745162244301,0.04933678906501082
2010-03-11,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.798000000000002,8.111500000000005,1,1,1,1,1,100.0,100.0,100.0,1,0.5408722622108062,0.5134340654217053,0.027438196789100866
2010-03-12,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.202500000000004,1,-1,1,-1,1,66.66666666666667,88.8888888888889,22.2222222222222,-1,0.5229257496881061,0.5153324022749854,0.007593347413120677
2010-03-15,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.286000000000005,1,-1,1,-1,1,33.333333333333336,66.66666666666667,-33.33333333333334,-1,0.5029058239260102,0.5128470866051904,-0.009941262679180163
2010-03-16,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.368500000000006,1,-1,1,-1,1,4.736951571734001e-15,33.33333333333334,-66.66666666666667,-1,0.4814895764038454,0.5065755845649214,-0.02508600816107598
2010-03-17,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.451500000000006,1,-1,1,-1,1,4.736951571734001e-15,11.111111111111121,-22.22222222222223,-1,0.4592234043975463,0.49710514853144633,-0.03788174413390005
2010-03-18,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.534500000000005,1,-1,1,-1,1,4.736951571734001e-15,1.105288700071267e-14,-7.894919286223336e-15,-1,0.43654508269007586,0.48499313536317223,-0.048448052673096376
2010-03-19,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.615500000000006,1,-1,1,-1,1,4.736951571734001e-15,1.105288700071267e-14,-7.894919286223336e-15,-1,0.4138022940851904,0.47075496710757586,-0.056952673022385436
2010-03-22,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.678500000000005,1,-1,1,-1,1,4.736951571734001e-15,1.105288700071267e-14,-7.894919286223336e-15,-1,0.3912681743054627,0.45485760854715324,-0.06358943424169056
2010-03-23,sh.600275,8.8400,8.84,8.84,8.84,0,0.0000,3,,0,0.000000,-3295.484334,15.292947,85.050922,-7628.619087,1,8.84,8.840000000000002,8.730500000000005,1,-1,1,-1,1,4.736951571734001e-15,1.105288700071267e-14,-7.894919286223336e-15,-1,0.36915434058282237,0.4377169549542871,-0.06856261437146471
