date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600283,10.6500,10.85,10.63,10.71,6547380,70395950.0000,3,3.079974,1,1.228700,75.847897,3.205202,5.117844,12.690087,0,10.474,10.411000000000001,10.793500000000002,1,1,-1,1,-1,67.64224664224662,55.7530370863704,91.42066575399906,1,-0.21356342913727566,-0.21189575390991244,-0.001667675227363219
2010-02-26,sh.600283,10.7200,11.07,10.62,11.02,7077598,76643062.0000,3,3.329395,1,2.894500,78.043308,3.297976,5.265980,13.057400,0,10.598000000000003,10.491000000000001,10.757000000000001,1,1,1,1,-1,88.48813614792998,71.41803697130156,122.6283345011868,1,-0.1658566103446386,-0.2026879251968577,0.03683131485221908
2010-03-01,sh.600283,11.0600,11.08,10.9,10.98,5735650,62970235.0000,3,2.698125,1,-0.363000,77.760029,3.286006,5.246866,13.010005,0,10.716000000000003,10.552000000000001,10.703500000000002,1,1,1,1,1,88.6582041751409,81.59619565510584,102.782221215211,1,-0.12978025248323277,-0.1881063906541327,0.05832613817089993
2010-03-02,sh.600283,10.9200,11.03,10.8,10.93,4031310,43939870.0000,3,1.896381,1,-0.455400,77.405931,3.271042,5.222973,12.950761,0,10.844000000000003,10.612,10.682000000000002,1,1,1,1,1,89.77838558103652,88.97490863470249,91.38533947370459,1,-0.10402492649514272,-0.1712900978223347,0.06726517132719198
2010-03-03,sh.600283,10.9300,11.2,10.83,11.16,5723032,63434432.0000,3,2.692190,1,2.104300,79.034784,3.339874,5.332880,13.223284,0,10.960000000000003,10.677,10.683000000000003,1,1,1,1,1,90.28447742733461,89.57368906117068,91.70605415966247,1,-0.06431320469256363,-0.14989471919638048,0.08558151450381685
2010-03-04,sh.600283,11.1600,11.36,10.7,10.77,6437588,71265813.0000,3,3.028326,1,-3.494600,76.272815,3.223158,5.146516,12.761180,0,10.972000000000003,10.722999999999999,10.640000000000004,-1,1,1,1,1,78.07737236308668,86.04674512381928,62.13862684162149,-1,-0.0635782294376348,-0.13263142124463134,0.06905319180699654
2010-03-05,sh.600283,10.7200,10.95,10.69,10.8,2913387,31521670.0000,3,1.370496,1,0.278600,76.485275,3.232137,5.160851,12.796726,0,10.928000000000003,10.762999999999998,10.600500000000004,-1,1,1,1,1,68.36459836459845,78.90881605167327,47.276162990448796,-1,-0.05988469350357306,-0.11808207569641968,0.05819738219284662
2010-03-08,sh.600283,10.8400,10.97,10.73,10.88,2657420,28877963.0000,3,1.250085,1,0.740700,77.051832,3.256078,5.199080,12.891517,0,10.908000000000003,10.811999999999998,10.604000000000003,-1,1,1,1,1,56.67349377026806,67.70515483265109,34.61017164550199,-1,-0.04992668451245841,-0.10445099745962742,0.054524312947169015
2010-03-09,sh.600283,10.8200,10.87,10.64,10.79,2528745,27225683.0000,3,1.189555,1,-0.827200,76.414455,3.229144,5.156073,12.784877,0,10.880000000000003,10.861999999999998,10.623500000000003,-1,-1,1,1,1,46.60628370305798,57.21479194597486,25.38926721722423,-1,-0.048735347730104905,-0.09330786751372291,0.04457251978361801
2010-03-10,sh.600283,10.7000,10.84,10.5,10.53,3022674,32134768.0000,3,1.421906,1,-2.409600,74.573143,3.151333,5.031830,12.476808,0,10.754000000000001,10.856999999999998,10.625000000000004,-1,-1,-1,-1,1,29.250555882213828,44.17677778517998,-0.6018879237184791,-1,-0.0679873163737863,-0.0882437572857356,0.020256440911949294
2010-03-11,sh.600283,10.5400,10.68,10.48,10.53,2411326,25434199.0000,3,1.134320,1,0.000000,74.573143,3.151333,5.031830,12.476808,0,10.706000000000003,10.838999999999999,10.625000000000004,-1,-1,-1,-1,1,10.714387749271422,28.8570757781811,-25.570988308547932,-1,-0.08229598335816668,-0.0870542025002218,0.004758219142055126
2010-03-12,sh.600283,10.5400,10.6,10.35,10.37,2405973,25185224.0000,3,1.131801,1,-1.519500,73.440027,3.103450,4.955373,12.287227,0,10.620000000000003,10.774,10.632500000000004,-1,-1,-1,-1,-1,3.7167960982144153,14.560579909899909,-17.97077152515657,-1,-0.10533216423358382,-0.0907097948468942,-0.014622369386689621
2010-03-15,sh.600283,10.4000,10.49,10.16,10.22,1843732,18911446.0000,3,0.867316,1,-1.446500,72.377732,3.058559,4.883695,12.109494,0,10.488000000000003,10.697999999999999,10.625000000000004,-1,-1,-1,-1,-1,4.220672067206702,6.217285304897534,0.22744559182503643,-1,-0.13414589951508127,-0.09939701578053162,-0.03474888373454965
2010-03-16,sh.600283,10.2500,10.3,10.18,10.28,1386874,14201000.0000,3,0.652404,1,0.587100,72.802650,3.076515,4.912366,12.180587,0,10.386000000000003,10.633,10.622500000000002,-1,-1,-1,-1,-1,5.660066006600659,4.532511390673947,7.9151752384540845,1,-0.15040571035368977,-0.10959875469516325,-0.04080695565852652
2010-03-17,sh.600283,11.0000,11.31,10.81,11.31,8157132,91408948.0000,3,3.837222,1,10.019500,80.097079,3.384765,5.404558,13.401016,0,10.542000000000003,10.648,10.662500000000003,1,1,1,-1,-1,38.33333333333335,16.071357135713594,82.85728572857286,1,-0.07926561103517749,-0.1035321259631661,0.02426651492798862
2010-03-18,sh.600283,11.8000,11.94,11.23,11.33,20881165,240847473.0000,3,9.822775,1,0.176800,80.238719,3.390751,5.414115,13.424714,0,10.702000000000002,10.703999999999999,10.713500000000003,1,1,1,-1,-1,58.57677902621723,34.19005945538377,107.35021816788417,1,-0.021030312582951183,-0.08703176328712312,0.06600145070417193
2010-03-19,sh.600283,11.1600,12.46,11.07,12.25,31007112,370420901.0000,3,14.586154,1,8.120000,86.754131,3.666081,5.853744,14.514805,0,11.078000000000003,10.849,10.806000000000003,1,1,1,1,1,85.53330076534768,60.81447104163277,134.97096021277747,1,0.09822560857002394,-0.049980288915693706,0.14820589748571764
2010-03-22,sh.600283,12.4300,12.67,12.02,12.16,23252138,285259836.0000,3,10.938112,1,-0.734700,86.116754,3.639146,5.810736,14.408166,0,11.466000000000003,10.977,10.894500000000004,1,1,1,1,1,78.7603923988138,74.29015739679294,87.70086240285556,1,0.1833608674953453,-0.003312057633485903,0.1866729251288312
2010-03-23,sh.600283,12.0200,12.77,12.0,12.21,28125615,348390636.0000,3,13.230660,1,0.411200,86.470852,3.654110,5.834629,14.467410,0,11.852000000000002,11.119,10.990500000000004,1,1,1,1,1,83.03163380682393,82.44177565699516,84.21135010648146,1,0.2519613026363192,0.04774261442047512,0.2042186882158441
2010-03-24,sh.600283,12.1000,12.2,11.8,11.89,16135655,192545123.0000,3,7.590425,1,-2.620800,84.204622,3.558343,5.681715,14.088247,0,11.968000000000002,11.254999999999999,11.056000000000003,-1,1,1,1,1,74.83628703576504,78.87610441380095,66.75665227969321,-1,0.27730966290191184,0.09365602411676247,0.18365363878514937
