date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600284,12.9800,13.22,12.95,13.17,4925363,64457230.0000,3,1.423515,1,1.777400,41.223399,2.121859,3.229057,-3.540171,0,12.926000000000002,12.817999999999998,12.957500000000001,1,1,1,1,-1,78.07488807488797,73.36367985490783,87.49730451484825,1,-0.28427945539568533,-0.3993556234509368,0.11507616805525145
2010-02-26,sh.600284,13.1700,13.24,13.04,13.11,3993489,52452248.0000,3,1.154188,1,-0.455600,41.035593,2.112193,3.214346,-3.524043,0,12.960000000000003,12.877999999999997,12.891500000000002,1,1,1,1,1,89.11445883276859,79.83541675906379,107.67254298017818,1,-0.24952895491223614,-0.36939028974319665,0.11986133483096051
2010-03-01,sh.600284,13.1000,13.28,13.06,13.24,4331963,57219711.0000,3,1.252012,1,0.991600,41.442506,2.133137,3.246219,-3.558987,0,13.032000000000002,12.937999999999997,12.854000000000003,1,1,1,1,1,89.98218370049352,85.72384353605001,98.49886402938054,1,-0.2090887741356049,-0.3373299866216783,0.1282412124860734
2010-03-02,sh.600284,13.3900,13.45,13.21,13.32,5356931,71341661.0000,3,1.548246,1,0.604200,41.692914,2.146026,3.265834,-3.580492,0,13.156,12.994999999999996,12.860000000000003,1,1,1,1,1,87.40879090970948,88.83514448099051,84.55608376714744,-1,-0.1686403273831374,-0.3035920547739701,0.13495172739083272
2010-03-03,sh.600284,13.3700,13.76,13.37,13.73,8124867,110703456.0000,3,2.348227,1,3.078100,29.799091,2.212083,2.700030,-3.690702,0,13.314000000000002,13.083999999999994,12.898000000000001,1,1,1,1,1,92.69906916460475,90.03001459160255,98.03717831060916,1,-0.1023215690741317,-0.2633379576340024,0.16101638855987072
2010-03-04,sh.600284,13.8000,13.8,13.1,13.14,6757009,90808141.0000,3,1.952893,1,-4.297200,28.518576,2.117026,2.584005,-3.532107,0,13.308000000000002,13.116999999999996,12.909000000000002,-1,1,1,1,1,77.15401229671322,85.75395745700912,59.9541219761214,-1,-0.09626189724714251,-0.22992274555663045,0.13366084830948793
2010-03-05,sh.600284,13.1800,13.5,13.11,13.39,4333755,57764404.0000,3,1.252530,1,1.902600,29.061167,2.157304,2.633168,-3.599308,0,13.364,13.161999999999995,12.935000000000002,1,1,1,1,1,71.10300236860637,80.31869460997477,52.67161788586955,-1,-0.07047426949383606,-0.19803305034407157,0.1275587808502355
2010-03-08,sh.600284,13.4200,13.8,13.42,13.6,5921039,80848730.0000,3,1.711283,1,1.568300,29.516944,2.191138,2.674465,-3.655757,0,13.436000000000002,13.233999999999995,12.990000000000004,1,1,1,1,1,66.66666666666663,71.64122711066206,56.71754577867577,-1,-0.03271502530541781,-0.1649694453363408,0.132254420030923
2010-03-09,sh.600284,13.6600,13.66,13.33,13.49,4766209,64504752.0000,3,1.377517,1,-0.808800,29.278204,2.173416,2.652833,-3.626189,0,13.470000000000002,13.312999999999994,13.043000000000003,1,1,1,1,1,71.83263856723786,69.8674358675036,75.76304396670639,1,-0.011533679855171286,-0.1342822922401069,0.12274861238493562
2010-03-10,sh.600284,13.4500,13.55,13.13,13.25,3793958,50605707.0000,3,1.096520,1,-1.779100,28.757316,2.134748,2.605637,-3.561675,0,13.374,13.343999999999994,13.064000000000004,-1,-1,1,1,1,58.47098640533705,65.65676387974717,44.09943145651681,-1,-0.013952469831700398,-0.1102163277584256,0.0962638579267252
