date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600313,6.9700,6.97,6.97,6.97,0,0.0000,3,,0,0.000000,-103.751864,4.743043,4.011155,20.855372,1,6.969999999999997,6.837000000000003,6.859499999999997,1,1,1,1,1,82.78673464700746,84.28031172967097,79.79958048168047,-1,-0.21227577181189883,-0.332545872914336,0.12027010110243719
2010-02-26,sh.600313,6.9700,6.97,6.97,6.97,0,0.0000,3,,0,0.000000,-103.751864,4.743043,4.011155,20.855372,1,6.969999999999997,6.8830000000000044,6.843999999999997,1,1,1,1,1,80.8851224105461,82.78673464700746,77.08189793762338,-1,-0.19106861327422742,-0.3042504209863143,0.11318180771208686
2010-03-01,sh.600313,7.0900,7.19,7.05,7.14,2058740,14652763.0000,3,1.259399,1,1.133100,-106.282398,4.858727,4.108988,21.364040,1,7.003999999999998,6.923000000000004,6.8379999999999965,1,1,1,1,1,83.46448748991115,82.37878151582157,85.63589943809029,1,-0.15871464446808314,-0.27514326568266806,0.11642862121458492
2010-03-02,sh.600313,7.1500,7.46,7.07,7.41,3421158,24921166.0000,3,2.092835,1,3.781500,-110.301480,5.042460,4.264370,22.171923,1,7.091999999999999,6.9970000000000026,6.863499999999997,1,1,1,1,1,88.07964634235816,84.14308541427181,95.95276819853086,1,-0.11001891797360397,-0.24211839614085523,0.13209947816725126
2010-03-03,sh.600313,7.4000,7.68,7.3,7.55,3468931,25887939.0000,3,2.122060,1,1.889300,-112.385449,5.137729,4.344938,22.590826,1,7.207999999999998,7.081000000000003,6.899499999999996,1,1,1,1,1,89.63842382517079,87.06085255248003,94.79356637055233,1,-0.059445127495323824,-0.20558374241174895,0.14613861491642513
2010-03-04,sh.600313,7.5900,7.59,7.17,7.19,2948035,21609641.0000,3,1.803410,1,-4.768200,-107.026672,4.892751,4.137762,21.513648,1,7.251999999999998,7.111000000000002,6.918499999999996,-1,1,1,1,1,72.45000524786339,83.38935847179744,50.571298799995304,-1,-0.04786229874458847,-0.17403945367831686,0.12617715493372839
2010-03-05,sh.600313,7.1800,7.27,7.16,7.2,1276508,9219846.0000,3,0.780882,1,0.139100,-107.175527,4.899556,4.143517,21.543569,1,7.297999999999999,7.134000000000003,6.936999999999995,-1,1,1,1,1,52.07929614475993,71.38924173926469,13.459404955750415,-1,-0.03744427281458673,-0.14672041750557083,0.1092761446909841
2010-03-08,sh.600313,7.2100,7.35,7.18,7.29,1350392,9841327.0000,3,0.826079,1,1.250000,-108.515221,4.960801,4.195311,21.812864,1,7.3279999999999985,7.166000000000004,6.958499999999994,-1,1,1,1,1,38.99032052396691,54.50654063886339,7.957880294173933,-1,-0.02167579924760954,-0.12171149385397857,0.10003569460636903
2010-03-09,sh.600313,7.2700,7.32,7.2,7.24,1356062,9826063.0000,3,0.829548,1,-0.685900,-107.770947,4.926776,4.166537,21.663256,1,7.293999999999999,7.193000000000003,6.982999999999994,-1,1,1,1,1,38.49765258215968,43.189089750295494,29.11477824588806,-1,-0.013063168398866232,-0.09998182876295611,0.08691866036408988
2010-03-10,sh.600313,7.2000,7.22,7.06,7.09,1556067,11099760.0000,3,0.951898,1,-2.071800,-105.538123,4.824702,4.080213,21.214431,1,7.201999999999998,7.205000000000004,7.007499999999995,-1,-1,1,-1,1,33.33333333333338,36.940435479819975,26.119129040360193,-1,-0.018132324646729536,-0.0836119279397108,0.06547960329298126
2010-03-11,sh.600313,7.0600,7.19,7.06,7.13,1176382,8384715.0000,3,0.719632,1,0.564200,-106.133543,4.851922,4.103233,21.334118,1,7.189999999999998,7.221000000000004,7.028999999999995,-1,-1,1,-1,1,22.542663387733842,31.45788310107562,4.712223961050292,-1,-0.018706366440392586,-0.07063081563984716,0.051924449199454575
2010-03-12,sh.600313,7.1700,7.18,7.05,7.06,1157701,8238989.0000,3,0.708204,1,-0.981800,-105.091559,4.804287,4.062949,21.124667,1,7.161999999999997,7.230000000000004,7.056499999999995,-1,-1,1,-1,1,10.395707578806169,22.090568099957782,-12.994013463497055,-1,-0.024526981903343348,-0.0614100488925464,0.03688306698920305
2010-03-15,sh.600313,7.0500,7.35,7.01,7.19,2042426,14713841.0000,3,1.249419,1,1.841400,-107.026672,4.892751,4.137762,21.513648,1,7.141999999999998,7.235000000000004,7.078999999999995,1,-1,1,-1,1,13.7171286425018,15.551833203013922,10.047719521477557,-1,-0.018437413027839078,-0.052815521719604935,0.03437810869176586
