date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600328,9.8600,10.03,9.78,9.98,7029525,69524017.0000,3,3.215806,1,1.114500,2512.238770,3.719892,3.759643,4.999285,0,9.7,9.526999999999997,9.547999999999991,1,1,1,1,1,82.86516361852703,66.99683312700962,114.60182460156184,1,-0.28512068183049877,-0.4762052195263347,0.19108453769583594
2010-02-26,sh.600328,9.9200,10.03,9.79,9.97,5452795,54091370.0000,3,2.494497,1,-0.100200,2509.721496,3.716165,3.755876,4.994276,0,9.806000000000001,9.598999999999998,9.543499999999991,1,1,1,1,1,94.8550516647532,82.54841268557892,119.46832962310177,1,-0.23663687518570597,-0.42829155065820895,0.19165467547250298
2010-03-01,sh.600328,10.0000,10.26,9.89,10.12,7421180,74519415.0000,3,3.394977,1,1.504500,2547.480596,3.772075,3.812383,5.069415,0,9.91,9.681999999999999,9.556499999999991,1,1,1,1,1,90.68589743589753,89.46870423972592,93.12028382824076,1,-0.18398845829664268,-0.3794309321858957,0.195442473889253
2010-03-02,sh.600328,10.1600,10.35,10.08,10.21,10104424,103181714.0000,3,4.622484,1,0.889300,2570.136056,3.805621,3.846288,5.114499,0,10.03,9.759,9.591999999999992,1,1,1,1,1,88.48788520348164,91.34294476804412,82.77776607435666,-1,-0.13346347687875415,-0.3302374411244674,0.19677396424571325
2010-03-03,sh.600328,10.3000,10.87,10.28,10.63,18169331,192905784.0000,3,8.311947,1,4.113600,2675.861535,3.962170,4.004509,5.324890,0,10.182,9.873000000000001,9.654499999999992,1,1,1,1,1,85.85718257277898,88.34365507071938,80.88423757689819,-1,-0.05885315266953839,-0.2759605834334816,0.21710743076394323
2010-03-04,sh.600328,10.5900,10.76,10.11,10.18,13138372,136608402.0000,3,6.010428,1,-4.233300,2562.584236,3.794439,3.834986,5.099471,0,10.222000000000001,9.961000000000002,9.689999999999992,-1,1,1,1,1,75.0876076287074,83.14422513498936,58.974372616143484,-1,-0.03562451515326437,-0.22789336977743818,0.1922688546241738
2010-03-05,sh.600328,10.2400,10.49,10.08,10.22,6834195,70290642.0000,3,3.126448,1,0.392900,2572.653329,3.809348,3.850055,5.119508,0,10.272000000000002,10.039000000000001,9.726999999999993,-1,1,1,1,1,64.82756616984811,75.25745212377818,43.96779426198796,-1,-0.01382857960457784,-0.1850804117428661,0.17125183213828826
2010-03-08,sh.600328,10.2600,10.55,10.22,10.3,7454027,77406830.0000,3,3.410003,1,0.782800,2592.791516,3.839167,3.880193,5.159583,0,10.308000000000002,10.109000000000002,9.783499999999993,-1,1,1,1,1,55.84326688704137,65.25281356186564,37.02417353739284,-1,0.009787365108547164,-0.14610685637258344,0.1558942214811306
2010-03-09,sh.600328,10.2500,10.38,10.12,10.17,5683457,57957396.0000,3,2.600018,1,-1.262100,2560.066963,3.790712,3.831219,5.094462,0,10.3,10.165000000000003,9.824999999999992,-1,1,1,1,1,49.87278066903347,56.84787124197433,35.922599523151746,-1,0.017807978600497876,-0.11332388937796717,0.13113186797846504
2010-03-10,sh.600328,10.2100,10.21,9.86,9.97,5804881,58077199.0000,3,2.655566,1,-1.966600,2509.721496,3.716165,3.755876,4.994276,0,10.168000000000001,10.175,9.839999999999993,-1,-1,1,-1,1,36.63638991586422,47.45081249064637,15.00754476629993,-1,0.007934579158574095,-0.08907219567065891,0.097006774829233
