date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600329,27.1900,27.38,26.5,27.26,2213896,59835174.0000,3,2.566020,1,1.564800,43.928201,6.845628,3.809106,143.066954,0,26.037999999999993,25.538,24.835499999999996,1,1,1,1,1,85.31339640234377,74.51632418537851,106.90754083627431,1,0.7606677868521139,0.5166248760843032,0.2440429107678107
2010-02-26,sh.600329,27.2800,28.7,27.21,28.67,3918404,110466303.0000,3,4.541632,1,5.172400,46.200349,7.199712,4.006129,150.466969,0,26.74599999999999,25.851999999999997,25.050499999999996,1,1,1,1,1,93.90664174976575,84.23798318807884,113.24395887313958,1,0.9574439833418467,0.6047886975358119,0.3526552858060348
2010-03-01,sh.600329,28.7500,28.9,28.27,28.72,2093074,59840107.0000,3,2.425981,1,0.174400,46.280922,7.212268,4.013116,150.729381,0,27.46399999999999,26.201999999999998,25.273999999999994,1,1,1,1,1,97.00086569570574,92.07363461593842,106.8553278552404,1,1.104690929499423,0.7047691439285341,0.39992178557088887
2010-03-02,sh.600329,28.6100,28.88,27.95,28.0,2779062,78442147.0000,3,3.221076,1,-2.507000,45.120676,7.031459,3.912508,146.950650,0,27.89799999999999,26.530999999999995,25.526499999999995,1,1,1,1,1,91.56088093464757,94.15612946003968,86.37038388386335,-1,1.150030378147104,0.793821390772248,0.35620898737485596
2010-03-03,sh.600329,28.0400,28.44,27.68,28.09,1929574,54141290.0000,3,2.236476,1,0.321400,45.265707,7.054060,3.925084,147.422991,0,28.14799999999999,26.851999999999993,25.781499999999994,-1,1,1,1,1,85.3862427564266,91.31599646225997,73.52673534475983,-1,1.179626466083068,0.870982405834412,0.308644060248656
2010-03-04,sh.600329,28.0900,28.3,27.1,27.13,1065902,29435132.0000,3,1.235435,1,-3.417600,43.718712,6.812982,3.790941,142.384683,0,28.121999999999993,27.079999999999995,25.978499999999997,-1,1,1,1,1,72.73873357176484,83.22861908761301,51.758962540068495,-1,1.1127900510347999,0.9193439348744896,0.19344611616031027
2010-03-05,sh.600329,27.1000,27.43,26.7,26.9,909921,24604337.0000,3,1.054645,1,-0.847800,43.348078,6.755223,3.758803,141.177589,0,27.76799999999999,27.256999999999994,26.111499999999996,-1,-1,1,1,1,63.737133808392734,73.95403671219474,43.303328000788724,-1,1.0293963919396063,0.941354426287513,0.08804196565209332
2010-03-08,sh.600329,26.9000,27.2,26.76,27.0,818746,22081484.0000,3,0.948969,1,0.371700,43.509223,6.780336,3.772776,141.702412,0,27.42399999999999,27.443999999999996,26.210499999999996,-1,-1,1,-1,1,50.35876880443391,62.278212061530496,26.51988229024073,-1,0.9603056745067384,0.9451446759313581,0.015160998575380336
2010-03-09,sh.600329,27.1800,27.37,26.48,26.75,1653276,44257302.0000,3,1.916232,1,-0.925900,43.106360,6.717555,3.737843,140.390353,0,27.17399999999999,27.535999999999994,26.314999999999998,-1,-1,1,-1,1,34.75869551703607,49.61819937662091,5.039687797866378,-1,0.875288096181766,0.9311733599814397,-0.055885263799673734
2010-03-10,sh.600329,26.7500,27.18,26.24,26.95,1385060,36996410.0000,3,1.605356,1,0.747700,43.428651,6.767780,3.765789,141.440001,0,26.945999999999987,27.546999999999997,26.445999999999998,1,-1,1,-1,1,26.15791803889894,37.09179412012298,4.290165876450871,-1,0.8146585052299287,0.9078703890311375,-0.09321188380120882
