date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600337,9.6600,10.18,9.65,9.88,10962533,108878899.0000,3,2.727493,1,1.437400,111.520458,3.628946,2.698491,-20.672954,0,9.474,9.242000000000004,9.206,1,1,1,1,1,74.66565041099874,64.48096347065392,95.03502429168836,1,-0.08412537075413518,-0.2551824008411179,0.1710570300869827
2010-02-26,sh.600337,9.8700,9.99,9.77,9.91,7974274,78673300.0000,3,1.984010,1,0.303600,111.859083,3.639965,2.706684,-20.735726,0,9.666,9.286000000000005,9.236499999999998,1,1,1,1,1,80.77561733354759,74.89240778061323,92.54203643941631,1,-0.0317947629890547,-0.21050487327070525,0.17871011028165054
2010-03-01,sh.600337,9.8500,10.14,9.8,9.9,7579533,75410019.0000,3,1.885798,1,-0.100900,111.746208,3.636292,2.703953,-20.714802,0,9.766,9.375000000000004,9.287999999999998,1,1,1,1,1,80.68213586804586,78.70780120419738,84.63080519574282,1,0.00876961361309192,-0.1666499758939458,0.17541958950703773
2010-03-02,sh.600337,9.9000,9.98,9.64,9.72,6845371,66634447.0000,3,1.703138,1,-1.818200,109.714459,3.570178,2.654790,-20.338169,0,9.83,9.463000000000005,9.336999999999998,-1,1,1,1,1,76.76224623387053,79.40666647848798,71.47340574463561,-1,0.026091907377017165,-0.12810159923975323,0.1541935066167704
2010-03-03,sh.600337,9.7200,9.79,9.56,9.77,6443722,62424171.0000,3,1.603207,1,0.514400,110.278833,3.588543,2.668447,-20.442789,0,9.835999999999999,9.549000000000003,9.382499999999997,-1,1,1,1,1,72.90902611370565,76.78446940520733,65.1581395307023,-1,0.04335476537009875,-0.09381032631778283,0.13716509168788157
2010-03-04,sh.600337,9.7500,10.1,9.54,9.6,10474441,103502401.0000,3,2.606055,1,-1.740000,108.359959,3.526102,2.622015,-20.087080,0,9.779999999999998,9.627000000000004,9.398999999999997,-1,-1,1,1,1,63.95780483371723,71.20969239376446,49.45402971362279,-1,0.04282447159977565,-0.06648336673427113,0.10930783833404678
2010-03-05,sh.600337,9.5700,9.72,9.24,9.34,6710102,63071214.0000,3,1.669483,1,-2.708300,105.425210,3.430603,2.551002,-19.543055,0,9.666,9.666000000000004,9.406999999999996,-1,-1,-1,-1,1,44.89318151377473,60.586670820399185,13.506202900525821,-1,0.021180230365480668,-0.04895064731432077,0.07013087767980145
2010-03-08,sh.600337,9.3600,9.53,9.36,9.4,2991204,28236977.0000,3,0.744216,1,0.642400,106.102460,3.452641,2.567390,-19.668599,0,9.565999999999999,9.666000000000004,9.409499999999998,-1,-1,-1,-1,1,27.209276145446335,45.35342083097942,-9.079013225619832,-1,0.008767446146411118,-0.03740702862217439,0.04617447476858551
2010-03-09,sh.600337,9.4400,9.6,9.22,9.54,4025959,38150933.0000,3,1.001664,1,1.489400,107.682709,3.504064,2.605627,-19.961536,0,9.53,9.680000000000003,9.426999999999996,1,-1,1,-1,1,20.33096926713942,30.811142308786813,-0.6293768161553714,-1,0.010110507557152815,-0.02790352138630895,0.038014028943461765
2010-03-10,sh.600337,9.5900,9.61,9.2,9.34,4261510,39905521.0000,3,1.060270,1,-2.096400,105.425210,3.430603,2.551002,-19.543055,0,9.443999999999999,9.640000000000004,9.420999999999996,-1,-1,-1,-1,1,21.7494089834515,23.096551465345737,19.05512401966302,-1,-0.004906871765566478,-0.023304191462160458,0.01839731969659398
2010-03-11,sh.600337,9.3400,9.48,9.16,9.25,3174887,29474310.0000,3,0.789916,1,-0.963600,104.409336,3.397546,2.526421,-19.354739,0,9.373999999999999,9.577000000000005,9.409499999999998,-1,-1,-1,-1,-1,19.13687460799917,20.405750952863347,16.599121918270818,-1,-0.0237961932091153,-0.023402591811551427,-0.00039360139756387455
2010-03-12,sh.600337,9.2800,9.58,9.25,9.34,7191477,67863281.0000,3,1.789249,1,0.973000,105.425210,3.430603,2.551002,-19.543055,0,9.374,9.520000000000007,9.402999999999997,-1,-1,-1,-1,-1,14.408742220292353,18.431675270580993,6.362876119715075,-1,-0.031144850257945222,-0.024951043500830185,-0.006193806757115037
2010-03-15,sh.600337,9.3000,9.35,9.01,9.2,3122498,28600003.0000,3,0.776882,1,-1.498900,103.844961,3.379181,2.512764,-19.250119,0,9.334,9.450000000000006,9.412499999999998,-1,-1,-1,-1,-1,15.254600766716948,16.26673919833614,13.230323903478563,-1,-0.04771550919639722,-0.029503936639943593,-0.01821157255645363
2010-03-16,sh.600337,9.1800,9.27,8.98,9.18,2818479,25686171.0000,3,0.701241,1,-0.217400,103.619211,3.371835,2.507302,-19.208271,0,9.262,9.396000000000006,9.429499999999997,-1,-1,-1,-1,-1,18.14575722930197,15.936366738770408,22.564538210365097,1,-0.06174989429978339,-0.035953128171911555,-0.025796766127871837
2010-03-17,sh.600337,9.1800,9.51,9.16,9.48,4095573,38348989.0000,3,1.018984,1,3.268000,107.005460,3.482025,2.589240,-19.835992,0,9.290000000000001,9.367000000000008,9.457999999999997,1,1,1,-1,-1,34.28530102842024,22.561886341479703,57.73213040230133,1,-0.04811016873349239,-0.03838453628422772,-0.009725632449264665
2010-03-18,sh.600337,9.4800,9.59,9.41,9.55,4446944,42281693.0000,3,1.106406,1,0.738400,107.795584,3.507737,2.608359,-19.982460,0,9.35,9.362000000000007,9.494499999999999,1,1,1,-1,-1,58.63363363363366,37.02156396378527,101.85777297333044,1,-0.03129146444385178,-0.036965921916152535,0.005674457472300755
2010-03-19,sh.600337,9.5500,9.55,9.55,9.55,0,0.0000,3,,0,0.000000,107.795584,3.507737,2.608359,-19.982460,0,9.392,9.383000000000006,9.5245,1,1,1,1,-1,82.83998283998295,58.58630583401226,131.34733685192435,1,-0.017757819038077827,-0.03312430134053759,0.015366482302459766
2010-03-22,sh.600337,9.5000,9.7,9.36,9.46,3439358,32672643.0000,3,0.855717,1,-0.942400,106.779710,3.474679,2.583777,-19.794144,0,9.443999999999999,9.389000000000006,9.5275,1,1,-1,1,-1,82.53968253968272,74.67109967109975,98.27684827684865,1,-0.014131654471867705,-0.029325771966803617,0.015194117494935912
2010-03-23,sh.600337,9.4600,9.62,9.38,9.48,3945083,37474606.0000,3,0.981542,1,0.211400,107.005460,3.482025,2.589240,-19.835992,0,9.504,9.383000000000008,9.531499999999998,-1,1,-1,1,-1,75.52910052910067,80.30292196958877,65.98145764812449,-1,-0.009534156256496118,-0.025367448824742116,0.015833292568245998
2010-03-24,sh.600337,9.5400,9.7,9.49,9.62,6752246,65058357.0000,3,1.679968,1,1.476800,108.585709,3.533448,2.627478,-20.128928,0,9.531999999999998,9.411000000000008,9.525499999999997,1,1,1,1,1,75.00000000000007,77.68959435626114,69.62081128747795,-1,0.005344614781263246,-0.019225036103541045,0.02456965088480429
2010-03-25,sh.600337,9.5500,9.6,9.2,9.24,4859987,45342129.0000,3,1.209171,1,-3.950100,104.296461,3.393873,2.523690,-19.333815,0,9.469999999999997,9.410000000000007,9.4935,-1,-1,-1,1,-1,64.81481481481485,71.78130511463853,50.881834215167515,-1,-0.01337252602711736,-0.01805453408825631,0.0046820080611389495
2010-03-26,sh.600337,9.1800,9.41,9.15,9.4,3630541,33679043.0000,3,0.903284,1,1.731600,106.102460,3.452641,2.567390,-19.668599,0,9.439999999999996,9.416000000000007,9.468,-1,-1,-1,1,-1,61.111111111111136,66.97530864197535,49.38271604938271,-1,-0.015121026363859258,-0.017467832543376898,0.0023468061795176402
2010-03-29,sh.600337,9.4300,9.74,9.3,9.58,7455742,71332564.0000,3,1.854999,1,1.914900,108.134209,3.518756,2.616553,-20.045232,0,9.463999999999995,9.454000000000008,9.452,1,1,1,1,1,55.775266792215966,60.56706423938064,46.19167189788661,-1,-0.0019596402873585106,-0.014366194092173221,0.01240655380481471
