date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600355,6.8300,6.92,6.77,6.89,7170473,49038241.0000,3,3.380252,1,1.323500,-20.115380,3.153579,10.195292,38.030523,0,6.751999999999995,6.7529999999999974,6.6620000000000035,1,1,1,-1,1,62.118149146451024,46.19240020021048,93.96964703893211,1,-0.18036471738413695,-0.2948287559028131,0.11446403851867615
2010-02-26,sh.600355,6.8600,7.01,6.8,6.9,6817634,47090128.0000,3,3.213920,1,0.145100,-20.144575,3.158156,10.210089,38.085720,0,6.777999999999996,6.7529999999999974,6.664500000000004,1,1,1,1,1,75.0943396226415,59.436903047951056,106.4092127720224,1,-0.15259529700177588,-0.2663820641226057,0.1137867671208298
2010-03-01,sh.600355,6.8800,7.08,6.86,7.01,7618110,53339728.0000,3,3.591274,1,1.594200,-20.465721,3.208504,10.372859,38.692884,0,6.857999999999995,6.775999999999998,6.679000000000004,1,1,1,1,1,83.08922289734569,73.43390388881278,102.39986091441153,1,-0.12032472209249967,-0.23717059571658447,0.1168458736240848
2010-03-02,sh.600355,7.0000,7.2,6.94,7.17,11070719,78491398.0000,3,5.218878,1,2.282500,-20.932841,3.281736,10.609615,39.576031,0,6.953999999999995,6.843999999999997,6.7180000000000035,1,1,1,1,1,87.97008036922098,82.05121429640276,99.80781251485743,1,-0.08090675346451892,-0.20591782726617136,0.12501107380165244
2010-03-03,sh.600355,7.1700,7.17,7.17,7.17,0,0.0000,3,,0,0.000000,-20.932841,3.281736,10.609615,39.576031,0,7.027999999999994,6.889999999999996,6.770500000000003,1,1,1,1,1,93.22829633166225,88.09586653274302,103.49315592950072,1,-0.04910171532619234,-0.17455460487817556,0.12545288955198322
2010-03-04,sh.600355,7.3100,7.58,6.9,6.97,16030891,116267784.0000,3,7.557166,1,-2.789400,-20.348941,3.190196,10.313670,38.472097,0,7.043999999999994,6.897999999999996,6.815000000000002,-1,1,1,1,1,78.52866434078474,86.57568034722271,62.43463232790879,-1,-0.03957809039928506,-0.14755930198239747,0.10798121158311241
2010-03-05,sh.600355,6.9100,7.04,6.71,6.82,7307760,50304568.0000,3,3.444971,1,-2.152100,-19.911015,3.121540,10.091712,37.644146,0,7.027999999999994,6.902999999999997,6.844500000000002,-1,-1,-1,1,1,56.69552483094282,76.15082850113,17.78491749056849,-1,-0.04363134049473594,-0.12677370968486518,0.08314236919012924
2010-03-08,sh.600355,6.8400,6.93,6.76,6.88,3946387,27051159.0000,3,1.860377,1,0.879800,-20.086185,3.149002,10.180495,37.975326,0,7.001999999999995,6.929999999999997,6.867500000000002,-1,-1,1,1,1,34.294451725644386,56.50621363245738,-10.129072087981612,-1,-0.04152341574906604,-0.10972365089770535,0.06820023514863931
2010-03-09,sh.600355,6.8700,7.09,6.66,6.98,7975513,55009431.0000,3,3.759759,1,1.453500,-20.378136,3.194773,10.328467,38.527293,0,6.963999999999996,6.958999999999998,6.868000000000002,1,1,1,1,1,31.209755541626322,40.73324403273791,12.16277855940315,-1,-0.03142149846115849,-0.09406322041039597,0.06264172194923748
2010-03-10,sh.600355,6.9300,6.96,6.76,6.84,4132313,28347916.0000,3,1.948025,1,-2.005700,-19.969405,3.130694,10.121306,37.754540,0,6.897999999999996,6.962999999999998,6.857000000000002,-1,-1,-1,-1,1,27.639751552795033,31.047986273355306,20.823282111674487,-1,-0.034316902312956366,-0.08211395679090805,0.047797054477951684
