date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600360,8.3300,8.38,8.21,8.33,18303509,151883996.0000,3,4.461073,1,0.482500,-141.770683,2.957100,4.996453,158.165649,0,8.116000000000003,7.947999999999998,7.921999999999999,1,1,1,1,1,94.67475879240584,86.95507832762735,110.11411972196282,1,-0.12604622025889078,-0.26849831348257713,0.14245209322368635
2010-02-26,sh.600360,8.3100,8.33,8.18,8.19,14048866,115694417.0000,3,3.424098,1,-1.680700,-139.387983,2.907400,4.912479,155.507403,0,8.158000000000001,7.982999999999997,7.933499999999998,1,1,1,1,1,89.54248366013063,89.65971573814706,89.30801950409776,-1,-0.10324998759201165,-0.23544864830446405,0.1321986607124524
2010-03-01,sh.600360,8.1600,8.69,8.14,8.61,32975796,279901329.0000,3,8.037116,1,5.128200,-146.536084,3.056498,5.164401,163.482141,0,8.312000000000001,8.074999999999998,7.964499999999998,1,1,1,1,1,88.68686868686864,90.96803704646835,84.12453196766918,-1,-0.050708779803523285,-0.1985006746042759,0.1477918948007526
2010-03-02,sh.600360,8.5900,8.74,8.48,8.52,32805441,281661736.0000,3,7.995596,1,-1.045300,-145.004348,3.024548,5.110418,161.773269,0,8.388,8.165999999999997,8.001,1,1,1,1,1,83.13131313131308,87.1202218261041,75.15349574173104,-1,-0.016145625213640713,-0.16202966472614885,0.14588403951250814
2010-03-03,sh.600360,8.5300,8.78,8.47,8.72,24035602,209359573.0000,3,5.858143,1,2.347400,-148.408206,3.095547,5.230381,165.570763,0,8.474,8.252999999999997,8.043,1,1,1,1,1,88.2075658546247,86.67524922426878,91.27219911533655,1,0.027072181091408964,-0.1242092955626373,0.15128147665404626
2010-03-04,sh.600360,8.7000,8.79,8.13,8.18,28983570,244417184.0000,3,7.064100,1,-6.192700,-139.217790,2.903850,4.906481,155.317528,0,8.443999999999999,8.279999999999998,8.04,-1,-1,1,1,1,70.89070795524255,80.74319564706008,51.1857325716075,-1,0.01754684778520499,-0.09585806689306883,0.11340491467827382
2010-03-05,sh.600360,8.1500,8.28,8.04,8.14,12610328,103261963.0000,3,3.073487,1,-0.489000,-138.537018,2.889651,4.882489,154.558029,0,8.434000000000001,8.295999999999998,8.0415,-1,-1,1,1,1,57.26251665714839,72.12026348900518,27.54702299343481,-1,0.0066931325420522825,-0.07534782700604462,0.0820409595480969
2010-03-08,sh.600360,8.1900,8.3,8.17,8.23,9154731,75402231.0000,3,2.231262,1,1.105700,-140.068754,2.921600,4.936472,156.266902,0,8.358,8.334999999999997,8.075,-1,-1,1,1,1,35.594608987751506,54.582611200047445,-2.3813954368403785,-1,0.005292721653063381,-0.05921971727422301,0.06451243892728639
2010-03-09,sh.600360,8.2000,8.66,8.1,8.51,23421568,197004972.0000,3,5.708486,1,3.402200,-144.834155,3.020998,5.104420,161.583394,0,8.356000000000002,8.371999999999998,8.1185,1,1,1,-1,1,42.89126486693167,45.24946350394382,38.174867592907376,-1,0.026471400054532523,-0.0420814938084719,0.06855289386300442
2010-03-10,sh.600360,8.4500,8.54,8.24,8.32,13845989,115789359.0000,3,3.374652,1,-2.232700,-141.600490,2.953550,4.990455,157.975774,0,8.276000000000002,8.374999999999996,8.136999999999999,1,-1,1,-1,1,43.03797468354443,40.507949512742506,48.09802502514826,1,0.02760601817472086,-0.028143991411833345,0.055750009586554204
