date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600363,11.2100,11.35,11.0,11.23,15116165,169072516.0000,3,4.076561,1,0.267900,147.935881,4.885874,3.785508,-376.768251,0,10.794,10.530000000000001,10.638499999999999,1,1,1,1,1,95.01932844488358,87.42326116224916,110.21146301015244,1,-0.4844958864069344,-0.7802119327533402,0.2957160463464058
2010-02-26,sh.600363,11.1600,11.5,11.08,11.39,12510209,141113810.0000,3,3.373781,1,1.424800,150.043605,4.955486,3.839442,-382.136276,0,10.966,10.642000000000001,10.6125,1,1,1,1,1,94.26439232409378,91.83117513477906,99.13082670272323,1,-0.39558264505286544,-0.7032860752132453,0.3077034301603798
2010-03-01,sh.600363,11.3900,11.66,11.3,11.39,11907455,136160760.0000,3,3.211229,1,0.000000,150.043605,4.955486,3.839442,-382.136276,0,11.174,10.781000000000002,10.592500000000001,1,1,1,1,1,89.13690476190476,92.80687517696072,81.79696393179285,-1,-0.32141320929052775,-0.6269115020287017,0.30549829273817397
2010-03-02,sh.600363,11.4400,11.85,11.41,11.63,15170992,176571814.0000,3,4.091347,1,2.107100,153.205192,5.059903,3.920344,-390.188313,0,11.367999999999999,10.931000000000001,10.64,1,1,1,1,1,87.89721335461559,90.43283681353806,82.82596643677064,-1,-0.24049512475547097,-0.5496282265740555,0.30913310181858455
2010-03-03,sh.600363,11.7100,12.3,11.62,12.2,21991743,263412663.0000,3,5.930783,1,4.901100,160.713958,5.307895,4.112484,-409.311902,0,11.568000000000001,11.102000000000002,10.732,1,1,1,1,1,88.7900704974727,88.60806287133103,89.15408574975604,1,-0.12888699442452456,-0.4654799801441493,0.33659298571962476
2010-03-04,sh.600363,12.1100,12.14,11.21,11.28,21383577,249173131.0000,3,5.766771,1,-7.541000,148.594545,4.907628,3.802362,-378.445758,0,11.578,11.186000000000003,10.764999999999999,-1,1,1,1,1,79.23649906890125,85.30792764032986,67.09364192604403,-1,-0.11336624280427188,-0.3950572326761738,0.28169098987190194
2010-03-05,sh.600363,11.2800,11.42,11.01,11.15,9135049,102552371.0000,3,2.463561,1,-1.152500,146.882019,4.851068,3.758541,-374.084238,0,11.53,11.248000000000003,10.783999999999999,-1,-1,1,1,1,66.22023809523803,78.08226922053734,42.496175844639424,-1,-0.1102845571439115,-0.33810269756972133,0.22781814042580983
2010-03-08,sh.600363,11.1700,11.42,11.17,11.26,6708410,75919262.0000,3,1.809139,1,0.986500,148.331080,4.898926,3.795621,-377.774755,0,11.504,11.339000000000004,10.8325,-1,-1,1,1,1,48.44907407407402,64.63527041273778,16.076681396746494,-1,-0.09783839821179008,-0.2900498376981351,0.192211439486345
2010-03-09,sh.600363,11.2700,11.39,10.97,11.34,7388959,82554886.0000,3,1.992671,1,0.710500,149.384942,4.933732,3.822588,-380.458768,0,11.445999999999998,11.407000000000005,10.8895,-1,-1,1,1,1,39.567495126705595,51.41226909867256,15.877947182771663,-1,-0.08059040020842545,-0.24815795020019316,0.1675675499917677
2010-03-10,sh.600363,11.2200,11.42,11.01,11.14,6089675,68110436.0000,3,1.642277,1,-1.763700,146.750287,4.846718,3.755170,-373.748737,0,11.233999999999998,11.401000000000005,10.9225,-1,-1,1,-1,1,27.607908660540186,38.541492620439946,5.740740740740662,-1,-0.08211301829458328,-0.2149489638190712,0.1328359455244879
2010-03-11,sh.600363,11.1300,11.23,10.85,10.88,8035449,88360460.0000,3,2.167018,1,-2.333900,143.325235,4.733598,3.667527,-365.025696,0,11.153999999999998,11.366000000000003,10.947999999999999,-1,-1,-1,-1,1,14.223489758879937,27.13296451537525,-11.595459754110685,-1,-0.10311093254106574,-0.1925813575634701,0.08947042502240438
2010-03-12,sh.600363,10.8100,10.94,10.52,10.55,7125192,76394133.0000,3,1.921538,1,-3.033100,138.978054,4.590024,3.556288,-353.954145,0,11.033999999999997,11.282000000000004,10.962,-1,-1,-1,-1,1,5.512104554295484,15.781167657905213,-15.026021652923973,-1,-0.1447120228191796,-0.18300749061461202,0.038295467795432414
2010-03-15,sh.600363,10.5500,10.83,10.28,10.58,6151699,64871352.0000,3,1.659004,1,0.284400,139.373252,4.603076,3.566400,-354.960649,0,10.897999999999998,11.201000000000004,10.991,-1,-1,-1,-1,-1,6.201947974727763,8.645847429301071,1.314149065581148,-1,-0.17326316736392222,-0.18105862596447406,0.007795458600551836
2010-03-16,sh.600363,10.5500,10.88,10.51,10.86,4489473,47886758.0000,3,1.210731,1,2.646500,143.061770,4.724897,3.660785,-364.354693,0,10.801999999999998,11.124000000000004,11.0275,1,-1,-1,-1,-1,15.906558035288848,9.206870188104041,29.305933729658463,1,-0.17132160633927285,-0.1791112220394338,0.007789615700160957
2010-03-17,sh.600363,10.9100,11.54,10.91,11.4,14786162,166859872.0000,3,3.987565,1,4.972400,150.175338,4.959837,3.842813,-382.471777,0,10.853999999999997,11.044000000000004,11.073,1,1,1,-1,-1,44.9743899121095,22.36096530737538,90.20123912157774,1,-0.12477113423917352,-0.16824320447938174,0.043472070240208216
2010-03-18,sh.600363,11.3900,11.5,11.11,11.42,18902354,213604107.0000,3,5.097629,1,0.175400,150.438804,4.968538,3.849555,-383.142780,0,10.961999999999998,11.058000000000003,11.122,1,1,1,-1,-1,70.18262502133472,43.68785765624437,123.1721597515154,1,-0.08528263177625561,-0.1516510899387565,0.06636845816250089
2010-03-19,sh.600363,11.3600,11.96,11.26,11.8,29318326,342388256.0000,3,7.906632,1,3.327500,155.444648,5.133866,3.977649,-395.891840,0,11.211999999999998,11.123000000000003,11.185500000000001,1,1,1,1,1,89.94708994708998,68.36803496017808,133.10519992091378,1,-0.023059074213840347,-0.12593268679377329,0.10287361257993294
2010-03-22,sh.600363,11.7200,11.94,11.6,11.8,16792252,197488464.0000,3,4.528572,1,0.000000,155.444648,5.133866,3.977649,-395.891840,0,11.455999999999998,11.177000000000003,11.258000000000001,1,1,1,1,1,90.47619047619048,83.53530181487174,104.35796779882796,1,0.02595435777054611,-0.09555527788090941,0.12150963565145552
