date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600375,15.5200,16.58,15.52,16.08,8378023,134704140.0000,3,4.468726,1,3.408400,69.247593,5.795293,1.394204,40.239660,0,15.505999999999997,15.048000000000002,14.872499999999999,1,1,1,1,1,82.53175585394355,78.00020747238324,91.59485261706419,1,0.16533523332510391,-0.033810879073013486,0.19914611239811741
2010-02-26,sh.600375,15.9800,16.33,15.83,16.14,5864747,94350199.0000,3,3.128178,1,0.373100,69.505979,5.816917,1.399406,40.389808,0,15.723999999999998,15.186000000000002,14.949499999999997,1,1,1,1,1,81.53809410078817,81.58649857957238,81.44128514321977,-1,0.22961800362555707,0.01887489746670063,0.21074310615885644
2010-03-01,sh.600375,16.2500,16.42,15.89,15.91,4603514,74261481.0000,3,2.455453,1,-1.425000,68.515498,5.734024,1.379464,39.814241,0,15.837999999999997,15.346,15.007,1,1,1,1,1,76.4396780746992,80.16984267647699,68.97934887114363,-1,0.2590176897170746,0.06690345591677543,0.19211423380029918
2010-03-02,sh.600375,16.0700,16.35,15.81,16.21,5299904,85328567.0000,3,2.826898,1,1.885600,69.807430,5.842145,1.405475,40.564981,0,15.977999999999998,15.518,15.110999999999999,1,1,1,1,1,77.08169872721378,78.35315696756707,74.53878224650717,-1,0.30303148719940864,0.11412906217330207,0.18890242502610657
2010-03-03,sh.600375,16.1000,16.65,16.1,16.5,6497230,106596125.0000,3,3.465536,1,1.789000,71.056299,5.946662,1.430619,41.290696,0,16.168,15.696000000000002,15.225999999999999,1,1,1,1,1,80.67949210004485,78.06695630065263,85.90456369882929,1,0.3571957845180531,0.16274240664225229,0.19445337787580083
2010-03-04,sh.600375,16.4700,16.78,15.19,15.47,7424531,119945392.0000,3,3.960146,1,-6.242400,66.620663,5.575446,1.341314,38.713156,0,16.046,15.776000000000002,15.285500000000003,-1,-1,1,1,1,68.51040720759225,75.423866011617,54.68348959954275,-1,0.3133963503999748,0.1928731953937968,0.12052315500617802
2010-03-05,sh.600375,15.4900,16.26,15.2,16.24,6007751,94586347.0000,3,3.204454,1,4.977400,69.936624,5.852957,1.408076,40.640055,0,16.065999999999995,15.895000000000001,15.357500000000002,1,1,1,1,1,64.37441957010468,71.18810629258063,50.747046125152764,-1,0.33693358748239177,0.2216852738115158,0.11524831367087598
2010-03-08,sh.600375,16.3200,16.46,16.1,16.29,5449223,88836442.0000,3,2.906543,1,0.307900,70.151946,5.870977,1.412411,40.765178,0,16.141999999999996,15.99,15.428000000000003,1,1,1,1,1,56.69255645760313,63.19246107843338,43.69274721594263,-1,0.3555233477323494,0.24845288859568251,0.10707045913666688
2010-03-09,sh.600375,16.3000,16.78,16.16,16.66,7313699,121031091.0000,3,3.901030,1,2.271300,71.745329,6.004327,1.444492,41.691091,0,16.231999999999992,16.105,15.517000000000005,1,1,1,1,1,76.68542425245495,65.91746676005428,98.2213392372563,1,0.39555209610217723,0.27787273009698144,0.1176793660051958
2010-03-10,sh.600375,16.7800,16.84,16.08,16.29,4762038,78059282.0000,3,2.540008,1,-2.220900,70.151946,5.870977,1.412411,40.765178,0,16.18999999999999,16.179,15.577500000000006,1,1,1,1,1,76.10062893081756,69.82620321362525,88.64948036520221,1,0.39289026538221705,0.30087623715402856,0.0920140282281885
2010-03-11,sh.600375,16.3500,16.55,15.7,15.99,3880999,62517217.0000,3,2.070073,1,-1.841600,68.860013,5.762856,1.386400,40.014438,0,16.29399999999999,16.169999999999998,15.609000000000005,-1,-1,1,1,1,69.20144844673145,73.99583387666802,59.612677586858325,-1,0.3623957796001118,0.3131801456432452,0.04921563395686662
2010-03-12,sh.600375,16.0000,16.1,15.7,15.83,2513168,39786630.0000,3,1.340490,1,-1.000600,68.170982,5.705192,1.372527,39.614044,0,16.211999999999993,16.139000000000003,15.662500000000005,-1,-1,1,1,1,51.31313131313132,65.53840289689347,22.86258814560702,-1,0.321610689262565,0.31486625436710913,0.006744434895455842
2010-03-15,sh.600375,15.8100,16.0,15.46,15.92,2285602,35731018.0000,3,1.219110,1,0.568500,68.558562,5.737628,1.380331,39.839266,0,16.13799999999999,16.14,15.743000000000006,-1,-1,1,-1,1,43.83838383838386,54.78432119941558,21.946509116320428,-1,0.2931709667557971,0.31052719684484675,-0.01735623008904963
2010-03-16,sh.600375,15.9000,16.09,15.72,16.01,1562264,24941290.0000,3,0.833291,1,0.565300,68.946142,5.770064,1.388134,40.064488,0,16.007999999999992,16.119999999999997,15.819000000000006,1,-1,1,-1,1,44.2424242424243,46.46464646464653,39.797979797979835,-1,0.27472764038433084,0.30336728555274356,-0.02863964516841272
2010-03-17,sh.600375,16.1500,16.28,15.98,16.25,2271121,36649549.0000,3,1.211386,1,1.499100,69.979688,5.856561,1.408943,40.665080,0,15.999999999999995,16.095,15.895500000000004,1,1,1,-1,1,52.654594727765506,46.91180093619125,64.14018231091403,1,0.2762922406302266,0.2979522765682402,-0.021660035938013578
2010-03-18,sh.600375,16.2500,17.7,16.16,17.55,11273642,191226498.0000,3,6.013210,1,8.000000,75.578063,6.325086,1.521659,43.918286,0,16.311999999999994,16.303,16.039500000000004,1,1,1,1,1,69.00831045648125,55.30177647555704,96.4213784183297,1,0.3780731412145606,0.31397644949750425,0.06409669171705634
2010-03-19,sh.600375,17.4800,17.48,16.85,17.07,7244211,123658044.0000,3,3.863966,1,-2.735000,73.510971,6.152092,1.480041,42.717102,0,16.559999999999995,16.386,16.140500000000003,1,1,1,1,1,76.40098722415799,66.02129746946827,97.16036673353744,1,0.4152168879263378,0.33422453718327094,0.08099235074306688
2010-03-22,sh.600375,17.0100,18.24,17.0,18.02,9259364,165431144.0000,3,4.938821,1,5.565300,77.602091,6.494476,1.562410,45.094445,0,16.979999999999997,16.559,16.274500000000003,1,1,1,1,1,85.75496745460778,77.05475504508236,103.15539227365863,1,0.5153697733794225,0.37045358442250126,0.1449161889569212
