date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600378,11.2600,11.28,11.04,11.16,2605564,29037051.0000,3,1.060836,1,0.722000,71.102602,6.027195,5.211991,114.097649,0,10.869999999999996,10.558,10.552000000000005,1,1,1,1,1,91.81005073330228,93.00402786467028,89.42209647056629,-1,-0.41463170237789093,-0.7143331610622775,0.2997014586843866
2010-02-26,sh.600378,11.1000,11.29,11.0,11.24,3386649,37917067.0000,3,1.378849,1,0.716800,71.612298,6.070401,5.249353,114.915553,0,10.997999999999996,10.696,10.555000000000005,1,1,1,1,1,95.31930239677875,93.72695866393434,98.50398986246756,1,-0.34195202351314613,-0.6398569335524512,0.2979049100393051
2010-03-01,sh.600378,11.2700,11.58,11.2,11.43,3961632,45088186.0000,3,1.612948,1,1.690400,72.822827,6.173014,5.338087,116.858076,0,11.119999999999996,10.834999999999999,10.567000000000005,1,1,1,1,1,92.10292812777288,93.0774270859513,90.15393021141605,-1,-0.26595567085828264,-0.5650766810136175,0.2991210101553349
2010-03-02,sh.600378,11.4900,11.66,11.28,11.36,5413225,61877729.0000,3,2.203954,1,-0.612400,72.376843,6.135209,5.305395,116.142410,0,11.253999999999996,10.94,10.601000000000004,1,1,1,1,1,87.36132999598283,91.5945201735115,78.89494964092549,-1,-0.20896758064882093,-0.4938548609406582,0.2848872802918373
2010-03-03,sh.600378,11.3400,11.87,11.34,11.79,6446601,75214438.0000,3,2.624685,1,3.785200,75.116459,6.367440,5.506216,120.538645,0,11.395999999999997,11.068999999999999,10.652500000000005,1,1,1,1,1,86.67780650949908,88.71402154441826,82.60537643966072,-1,-0.1276354007907088,-0.42061096891066835,0.29297556811995956
2010-03-04,sh.600378,11.8900,11.95,11.02,11.06,6991891,80091745.0000,3,2.846696,1,-6.191700,70.465482,5.973188,5.165288,113.075269,0,11.375999999999996,11.123000000000001,10.668500000000005,-1,-1,1,1,1,70.73554593636604,81.59156081394931,49.02351618119948,-1,-0.12069269120625492,-0.36062731336978565,0.23993462216353073
2010-03-05,sh.600378,11.1500,11.22,10.73,10.88,4533412,49455802.0000,3,1.845744,1,-1.627500,69.318666,5.875975,5.081224,111.234984,0,11.303999999999997,11.151,10.675000000000004,-1,-1,1,1,1,53.429713985011745,70.28102214362562,19.727097667783994,-1,-0.12823680544970273,-0.31414921178576904,0.18591240633606632
2010-03-08,sh.600378,11.1000,11.5,11.1,11.2,4794915,54274894.0000,3,1.952213,1,2.941200,71.357450,6.048798,5.230672,114.506601,0,11.257999999999996,11.189,10.730500000000003,-1,1,1,1,1,36.090197709325246,53.41848587690101,1.4336213741737112,-1,-0.1071589826438597,-0.2727511659573872,0.16559218331352749
2010-03-09,sh.600378,11.0600,11.18,10.89,11.06,3684378,40637704.0000,3,1.500067,1,-1.250000,70.465482,5.973188,5.165288,113.075269,0,11.197999999999997,11.226,10.792500000000004,-1,-1,1,-1,1,31.683772360001896,40.40122801811297,14.248861043779755,-1,-0.1005919250877838,-0.23831931778346652,0.1377273926956827
2010-03-10,sh.600378,11.0700,11.13,10.75,10.87,2661116,29087704.0000,3,1.083453,1,-1.717900,69.254954,5.870574,5.076554,111.132746,0,11.013999999999996,11.205000000000002,10.830500000000004,-1,-1,1,-1,1,26.94409415720888,31.57268807551201,17.686906320602624,-1,-0.10945714295595543,-0.2125468828179643,0.10308973986200887
