date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600389,13.7300,13.96,13.7,13.86,4473852,61690885.0000,3,4.652702,1,0.072200,-62.297129,3.067467,1.214099,-34.109669,0,13.587999999999994,13.331000000000003,13.891000000000002,1,1,-1,1,-1,74.88565650458177,60.53371804710067,103.58953341954397,1,-0.7923040552062126,-1.0345174623248317,0.24221340711861905
2010-02-26,sh.600389,13.8700,13.95,13.7,13.87,3093326,42770094.0000,3,3.216987,1,0.072200,-62.342077,3.069680,1.214975,-34.134279,0,13.689999999999994,13.413000000000002,13.831000000000003,1,1,1,1,-1,81.92451165060051,73.0405803091221,99.69237433355732,1,-0.7200557728820627,-0.9716251244362779,0.2515693515542152
2010-03-01,sh.600389,13.9000,14.14,13.82,13.93,3287416,45905115.0000,3,3.418836,1,0.432600,-62.611761,3.082959,1.220231,-34.281940,0,13.777999999999995,13.511000000000001,13.763000000000002,1,1,1,1,1,82.24741279317378,79.68586031611868,87.37051774728397,1,-0.6504589047035179,-0.9073918804897259,0.256932975786208
2010-03-02,sh.600389,13.9500,13.98,13.65,13.78,3284826,45183626.0000,3,3.416143,1,-1.076800,-61.937550,3.049762,1.207091,-33.912788,0,13.857999999999993,13.586000000000002,13.735500000000002,-1,1,1,1,1,77.48036106942406,80.55076183773276,71.33955953280665,-1,-0.6004846187550452,-0.8460104281427897,0.2455258093877445
2010-03-03,sh.600389,13.7900,14.13,13.61,14.1,4597856,64165387.0000,3,4.781663,1,2.322200,-63.375867,3.120583,1.235123,-34.700312,0,13.907999999999992,13.689000000000002,13.728500000000002,1,1,1,1,1,82.41958446520438,80.7157861092674,85.82718117707836,1,-0.528960780832394,-0.7826004986807106,0.2536397178483166
2010-03-04,sh.600389,14.1500,14.15,13.51,13.58,3038400,42022512.0000,3,3.159865,1,-3.687900,-61.038601,3.005498,1.189572,-33.420585,0,13.851999999999993,13.720000000000002,13.6835,-1,-1,-1,1,1,70.88456211050989,76.92816921504608,58.79734790143752,-1,-0.5083770242738233,-0.7277558037993331,0.21937877952550988
2010-03-05,sh.600389,13.5800,13.68,13.31,13.51,2765225,37358865.0000,3,2.875770,1,-0.515500,-60.723969,2.990006,1.183440,-33.248314,0,13.779999999999992,13.735000000000003,13.625,-1,-1,-1,1,1,62.11009174311918,71.80474610627779,42.72078301680196,-1,-0.4920407246991729,-0.6806127879793011,0.1885720632801282
2010-03-08,sh.600389,13.5000,13.68,13.47,13.63,1427200,19351724.0000,3,1.484255,1,0.888200,-61.263338,3.016564,1.193952,-33.543635,0,13.719999999999994,13.749000000000004,13.5725,-1,-1,1,-1,1,42.69841269841265,58.5643555173472,10.966527060543555,-1,-0.46406167831220557,-0.637302566045882,0.1732408877336764
2010-03-09,sh.600389,13.6300,14.04,13.5,14.01,2859627,39506493.0000,3,2.973945,1,2.788000,-62.971341,3.100665,1.227239,-34.478821,0,13.765999999999995,13.812000000000003,13.5575,1,1,1,-1,1,54.41558441558436,53.074696285705365,57.09736067534236,1,-0.40653893053538326,-0.5911498389437823,0.184610908408399
2010-03-10,sh.600389,14.0000,14.08,13.66,13.67,2016050,27849645.0000,3,2.096645,1,-2.426800,-61.443128,3.025417,1.197456,-33.642076,0,13.679999999999993,13.794000000000002,13.545499999999999,-1,-1,1,-1,1,54.76190476190471,50.62530062530055,63.03511303511304,1,-0.3839608354904609,-0.549712038253118,0.1657512027626571
2010-03-11,sh.600389,13.6400,13.85,13.48,13.79,1601919,21882913.0000,3,1.665958,1,0.877800,-61.982497,3.051975,1.207967,-33.937398,0,13.72199999999999,13.787000000000003,13.559000000000001,1,1,1,-1,1,61.111111111111,56.76286676286666,69.80759980759969,1,-0.3523231731562291,-0.5102342652337402,0.15791109207751108
2010-03-12,sh.600389,13.7500,13.8,13.39,13.41,1578362,21374527.0000,3,1.641460,1,-2.755600,-60.274495,2.967874,1.174680,-33.002212,0,13.701999999999993,13.741000000000003,13.577000000000002,-1,-1,-1,-1,1,37.3015873015872,51.05820105820094,9.788359788359699,-1,-0.3538341422885978,-0.4789542406447117,0.12512009835611393
