date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600392,23.4000,24.5,23.4,23.97,2313285,55743304.0000,3,1.477193,1,2.875500,285.763645,7.421392,7.375700,-93.984937,0,23.215999999999994,22.542999999999985,23.089499999999997,1,1,1,1,1,89.23498272937235,83.37710138959501,100.95074540892702,1,-0.9871465986251522,-1.4812086433177383,0.4940620446925861
2010-02-26,sh.600392,23.8900,24.21,23.28,23.41,1565088,37094733.0000,3,0.999418,1,-2.336300,279.087482,7.248009,7.203385,-91.789211,0,23.297999999999995,22.68499999999998,23.0135,1,1,1,1,1,83.62509770228102,85.73309724500577,79.40909861683153,-1,-0.8884104269878499,-1.3626490000517606,0.4742385730639107
2010-03-01,sh.600392,23.3500,23.79,23.3,23.65,1087846,25611175.0000,3,0.694665,1,1.025200,281.948695,7.322316,7.277234,-92.730237,0,23.461999999999996,22.908999999999985,22.973499999999998,1,1,1,1,1,74.24319924753486,82.36775989306274,57.99407795647912,-1,-0.7817833930613247,-1.2464758786536734,0.46469248559234866
2010-03-02,sh.600392,23.8000,23.85,23.0,23.15,1648818,38317482.0000,3,1.052885,1,-2.114200,275.987834,7.167510,7.123381,-90.769766,0,23.49599999999999,23.064999999999984,22.927999999999997,-1,1,1,1,1,63.709457652914296,73.8592515342434,43.40986989025609,-1,-0.7292205215455425,-1.1430248072320472,0.41380428568650474
2010-03-03,sh.600392,23.2300,23.5,23.09,23.49,1461220,34001948.0000,3,0.933091,1,1.468700,280.041220,7.272778,7.228001,-92.102886,0,23.533999999999992,23.241999999999983,22.9015,-1,1,1,1,1,57.903423034255496,65.28535997823488,43.13954914629673,-1,-0.6526060721067317,-1.0449410602069842,0.39233498810025247
2010-03-04,sh.600392,23.4900,23.59,22.6,22.66,1119645,25884298.0000,3,0.714971,1,-3.533400,270.146191,7.015801,6.972606,-88.848506,0,23.27199999999999,23.243999999999986,22.8375,-1,-1,-1,1,1,36.15164974619284,52.58817681112087,3.278595616336773,-1,-0.651354226283086,-0.9662236934222046,0.31486946713911856
2010-03-05,sh.600392,22.6200,22.97,22.51,22.68,602247,13672714.0000,3,0.384577,1,0.088300,270.384626,7.021993,6.978760,-88.926925,0,23.125999999999994,23.211999999999986,22.7745,-1,-1,-1,-1,1,21.290887602139225,38.44865346086251,-13.02464411530734,-1,-0.6413551536146116,-0.901249985460686,0.2598948318460744
2010-03-08,sh.600392,22.8000,22.88,22.5,22.56,971485,22049738.0000,3,0.620361,1,-0.529100,268.954019,6.984839,6.941835,-88.456412,0,22.907999999999994,23.184999999999985,22.7925,-1,-1,-1,-1,1,6.047232779804216,21.163256709378754,-24.184815079344858,-1,-0.6357848812548141,-0.8481569646195116,0.21237208336469748
2010-03-09,sh.600392,22.5200,23.15,22.3,22.77,1510617,34394477.0000,3,0.964634,1,0.930900,271.457581,7.049858,7.006453,-89.279809,0,22.83199999999999,23.163999999999987,22.812,-1,-1,-1,-1,1,10.968783310491803,12.768967897478406,7.368414136518599,-1,-0.607423159249219,-0.800010203545453,0.19258704429623408
2010-03-10,sh.600392,22.7600,22.85,22.55,22.7,837827,19021012.0000,3,0.535011,1,-0.307400,270.623060,7.028185,6.984914,-89.005343,0,22.673999999999992,23.103999999999985,22.7745,1,-1,-1,-1,-1,15.102014913533191,10.70601033460973,23.894024071380116,1,-0.5838642812192063,-0.7567810190802037,0.17291673786099737
2010-03-11,sh.600392,22.6800,24.97,22.68,24.97,6339542,153537840.0000,3,4.048239,1,10.000000,297.685366,7.731004,7.683405,-97.905878,0,23.135999999999992,23.203999999999986,22.8735,1,1,1,-1,1,47.435348246866546,24.502048823630506,93.30194709333864,1,-0.3776701257117132,-0.6809588404065056,0.30328871469479235
2010-03-12,sh.600392,24.5000,24.85,23.65,23.87,5916637,142891611.0000,3,3.778185,1,-4.405300,284.571473,7.390431,7.344929,-93.592843,0,23.373999999999995,23.249999999999986,22.9675,1,1,1,1,1,59.91463550143474,40.817332887278155,98.10924072974791,1,-0.2995673528700955,-0.6046805428992236,0.30511319002912807
2010-03-15,sh.600392,23.7500,24.29,23.66,23.97,2144049,51548182.0000,3,1.369125,1,0.418900,285.763645,7.421392,7.375700,-93.984937,0,23.655999999999995,23.281999999999986,23.095499999999998,1,1,1,1,1,73.78277153558055,60.37758509462727,100.59314441748712,1,-0.2269846407819891,-0.5291413624757767,0.3021567216937876
2010-03-16,sh.600392,23.9100,24.25,23.6,23.76,1050268,25091890.0000,3,0.670669,1,-0.876100,283.260084,7.356373,7.311082,-93.161540,0,23.853999999999996,23.342999999999982,23.204,-1,1,1,1,1,58.676654182272216,64.12468707309583,47.78058840062499,-1,-0.18428326076102763,-0.4601697421328269,0.2758864813717993
