date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600395,23.9100,24.47,23.91,24.44,5112157,124271968.0000,3,1.919622,1,2.003300,34.348479,5.198888,6.345539,92.945135,0,24.11400000000001,23.889999999999993,23.908,1,1,1,1,1,65.4919236417034,64.58537281775166,67.30502528960685,1,-1.14096709232917,-1.652809923284583,0.511842830955413
2010-02-26,sh.600395,24.2400,24.48,24.05,24.23,3861610,93677570.0000,3,1.450040,1,-0.859200,34.053341,5.154217,6.291015,92.146506,0,24.06400000000001,24.03099999999999,23.85,1,1,1,1,1,73.09042036884944,66.39928680266917,86.47268750120998,1,-1.0392243358126088,-1.5300928057901881,0.4908684699775794
2010-03-01,sh.600395,24.2000,24.8,24.16,24.71,5168067,126933822.0000,3,1.940616,1,1.981000,34.727943,5.256323,6.415641,93.971943,0,24.180000000000014,24.154999999999994,23.832,1,1,1,1,1,83.29930023817576,73.96054808290951,101.97680454870826,1,-0.9093777392732783,-1.405949792486806,0.4965720532135278
2010-03-02,sh.600395,24.9000,24.9,23.98,24.09,5552123,134994675.0000,3,2.084829,1,-2.509100,33.856582,5.124436,6.254666,91.614087,0,24.286000000000012,24.175999999999995,23.8425,-1,-1,1,1,1,73.78341308848974,76.72437789850495,67.9014834684593,-1,-0.8467414856966151,-1.2941081311287679,0.44736664543215277
2010-03-03,sh.600395,24.1400,24.45,23.78,24.38,4311407,104067029.0000,3,1.618939,1,1.203800,34.264154,5.186125,6.329960,92.716955,0,24.37000000000001,24.20199999999999,23.8815,1,1,1,1,1,74.7330464578851,77.27191992818352,69.65529951728823,-1,-0.7648841190972746,-1.1882633287224693,0.4233792096251947
2010-03-04,sh.600395,24.4500,24.68,23.7,23.79,5418203,131478153.0000,3,2.034542,1,-2.420000,33.434956,5.060620,6.176774,90.473190,0,24.24000000000001,24.176999999999992,23.8825,-1,-1,-1,1,1,56.737588652482266,68.41801606628569,33.37673382487543,-1,-0.7390997535952586,-1.0984306136970272,0.3593308601017686
2010-03-05,sh.600395,23.8200,23.96,23.49,23.54,4099629,96936858.0000,3,1.539416,1,-1.050900,33.083601,5.007440,6.111865,89.522441,0,24.10200000000001,24.08299999999999,23.878000000000004,-1,-1,-1,1,1,46.98581560283686,59.48548357106805,21.98647966637448,-1,-0.7304185583603982,-1.0248282026297013,0.29440964426930316
2010-03-08,sh.600395,23.9000,24.15,23.7,23.94,2879542,68851071.0000,3,1.081272,1,1.699200,33.645769,5.092528,6.215720,91.043638,0,23.948000000000008,24.063999999999993,23.953500000000002,-1,-1,-1,-1,-1,38.42789598108747,47.38376674546885,20.516154452324713,-1,-0.6833843619984918,-0.9565394345034595,0.2731550725049676
2010-03-09,sh.600395,23.9000,24.98,23.51,24.57,10843546,265069535.0000,3,4.071766,1,2.631600,34.531184,5.226542,6.379292,93.439524,0,24.044000000000004,24.164999999999992,24.053500000000003,1,1,1,-1,-1,48.93648753708729,44.78339970700386,57.242663197254146,1,-0.5884899419200949,-0.8829295359867866,0.29443959406669173
2010-03-10,sh.600395,24.5700,24.65,23.97,24.09,4928213,119650877.0000,3,1.850550,1,-1.953600,33.856582,5.124436,6.254666,91.614087,0,23.986000000000008,24.17799999999999,24.0165,1,-1,1,-1,-1,53.13944817300524,46.83461056372665,65.74912339156243,1,-0.5457266220077344,-0.8154889531909761,0.2697623311832418
